Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Октябрь, 2019, тыс. рублей;Сентябрь, 2019, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;29 335 801 862,00;29 159 254 509,00;176 547 353,00;0,61
2;0;ВТБ;1000;Санкт-Петербург и обл.;14 557 742 143,00;14 912 469 140,00;-354 726 997,00;-2,38
3;0;Газпромбанк;354;Москва и обл.;6 224 964 344,00;6 283 513 740,00;-58 549 396,00;-0,93
4;2;Национальный Клиринговый Центр;3466;Москва и обл.;3 618 873 892,00;3 353 360 321,00;265 513 571,00;7,92
5;-1;Альфа-Банк;1326;Москва и обл.;3 511 293 671,00;3 552 802 408,00;-41 508 737,00;-1,17
6;-1;Россельхозбанк;3349;Москва и обл.;3 441 088 627,00;3 373 482 887,00;67 605 740,00;2,00
7;0;Банк Открытие;2209;Москва и обл.;2 504 755 865,00;2 359 378 518,00;145 377 347,00;6,16
8;0;Московский Кредитный Банк;1978;Москва и обл.;2 277 291 484,00;2 287 455 299,00;-10 163 815,00;-0,44
9;1;Траст;3279;Москва и обл.;1 464 361 637,00;1 320 943 447,00;143 418 190,00;10,86
10;-1;ЮниКредит Банк;1;Москва и обл.;1 405 685 191,00;1 393 214 334,00;12 470 857,00;0,90
11;0;Росбанк;2272;Москва и обл.;1 210 624 112,00;1 226 955 867,00;-16 331 755,00;-1,33
12;0;Райффайзенбанк;3292;Москва и обл.;1 186 015 550,00;1 220 338 722,00;-34 323 172,00;-2,81
13;0;Совкомбанк;963;Костромская обл.;1 083 329 259,00;1 113 932 857,00;-30 603 598,00;-2,75
14;0;Россия;328;Санкт-Петербург и обл.;1 011 227 865,00;1 032 717 289,00;-21 489 424,00;-2,08
15;1;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;686 769 588,00;663 553 332,00;23 216 256,00;3,50
16;-1;Всероссийский Банк Развития Регионов;3287;Москва и обл.;667 598 839,00;689 688 729,00;-22 089 890,00;-3,20
17;2;Ак Барс;2590;Татарстан;576 731 031,00;568 426 347,00;8 304 684,00;1,46
18;2;Банк Уралсиб;30;Москва и обл.;567 646 256,00;516 434 942,00;51 211 314,00;9,92
19;-2;Московский Областной Банк;1751;Москва и обл.;563 865 658,00;585 817 851,00;-21 952 193,00;-3,75
20;-2;Ситибанк;2557;Москва и обл.;537 725 232,00;574 661 225,00;-36 935 993,00;-6,43
21;0;Тинькофф Банк;2673;Москва и обл.;534 755 414,00;514 585 496,00;20 169 918,00;3,92
