Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Март, 2011, тыс. рублей;Февраль, 2011, тыс. рублей;Изменение, тыс. рублей;Изменение, %
36;-3;КИТ Финанс Инвестиционный Банк;1911;Санкт-Петербург и обл.;115 562 721,00;119 468 688,00;-3 905 967,00;-3,27
37;0;Московский Индустриальный Банк;912;Москва и обл.;115 201 301,00;111 367 060,00;3 834 241,00;3,44
38;-3;Хоум Кредит Банк;316;Москва и обл.;113 652 821,00;115 843 099,00;-2 190 278,00;-1,89
39;-5;Абсолют Банк;2306;Москва и обл.;112 756 392,00;119 260 494,00;-6 504 102,00;-5,45
40;0;ОТП Банк;2766;Москва и обл.;107 188 808,00;108 046 516,00;-857 708,00;-0,79
41;-3;Национальный Клиринговый Центр;3466;Москва и обл.;106 580 129,00;109 238 033,00;-2 657 904,00;-2,43
42;-1;Восточный Банк;1460;Амурская обл.;105 103 885,00;104 580 241,00;523 644,00;0,50
43;0;Бинбанк;323;Москва и обл.;97 336 825,00;97 680 190,00;-343 365,00;-0,35
44;0;РГС Банк;3073;Москва и обл.;94 587 309,00;95 756 094,00;-1 168 785,00;-1,22
45;0;Русфинанс Банк;1792;Самарская обл.;91 454 143,00;92 500 354,00;-1 046 211,00;-1,13
46;2;МСП Банк;3340;Москва и обл.;89 986 471,00;82 824 979,00;7 161 492,00;8,65
47;-1;Банк Интеза;2216;Москва и обл.;83 299 207,00;86 703 099,00;-3 403 892,00;-3,93
48;-1;Юниаструм Банк;2771;Москва и обл.;83 159 154,00;84 388 091,00;-1 228 937,00;-1,46
49;2;Кредит Европа Банк;3311;Москва и обл.;82 886 436,00;79 260 609,00;3 625 827,00;4,57
50;-1;Транскапиталбанк;2210;Москва и обл.;80 663 969,00;79 722 123,00;941 846,00;1,18
51;-1;СКБ-Банк;705;Свердловская обл.;79 962 771,00;79 283 853,00;678 918,00;0,86
52;14;Дойче Банк;3328;Москва и обл.;79 648 529,00;61 463 755,00;18 184 774,00;29,59
53;0;Пробизнесбанк;2412;Москва и обл.;77 797 203,00;77 894 545,00;-97 342,00;-0,12
54;0;Союз;2307;Москва и обл.;75 848 085,00;73 333 660,00;2 514 425,00;3,43
55;8;БНП Париба Банк;3407;Москва и обл.;73 891 010,00;66 119 616,00;7 771 394,00;11,75
56;3;СМП Банк;3368;Москва и обл.;72 181 296,00;70 535 117,00;1 646 179,00;2,33
57;0;Балтийский Банк;128;Москва и обл.;72 082 926,00;72 612 103,00;-529 177,00;-0,73
58;-2;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;71 960 451,00;72 724 043,00;-763 592,00;-1,05
59;-4;РосЕвроБанк;3137;Москва и обл.;71 667 381,00;72 918 958,00;-1 251 577,00;-1,72
60;-8;ЦентроКредит;121;Москва и обл.;70 579 581,00;78 385 893,00;-7 806 312,00;-9,96
61;-3;Мастер-Банк;2176;Москва и обл.;69 975 054,00;71 346 623,00;-1 371 569,00;-1,92
62;0;Собинбанк;1317;Москва и обл.;69 576 069,00;67 486 749,00;2 089 320,00;3,10
63;-3;Внешпромбанк;3261;Москва и обл.;68 305 429,00;68 631 374,00;-325 945,00;-0,47
64;-3;Инвестторгбанк;2763;Москва и обл.;67 389 584,00;68 424 636,00;-1 035 052,00;-1,51
65;3;Новикомбанк;2546;Москва и обл.;65 202 055,00;59 751 892,00;5 450 163,00;9,12
66;4;Всероссийский Банк Развития Регионов;3287;Москва и обл.;64 732 691,00;53 165 407,00;11 567 284,00;21,76
67;-3;Татфондбанк;3058;Татарстан;63 799 278,00;62 894 279,00;904 999,00;1,44
68;-3;Запсибкомбанк;918;Тюменская обл.;61 828 288,00;61 953 237,00;-124 949,00;-0,20
69;-2;Национальный Резервный Банк;2170;Москва и обл.;58 242 039,00;61 155 010,00;-2 912 971,00;-4,76
70;-1;Авангард;2879;Москва и обл.;57 054 815,00;56 760 043,00;294 772,00;0,52
71;1;Сургутнефтегазбанк;588;Тюменская обл.;54 247 154,00;52 122 273,00;2 124 881,00;4,08
72;1;Роскосмосбанк;2989;Москва и обл.;54 073 886,00;51 744 357,00;2 329 529,00;4,50
73;;ДельтаКредит;3338;Москва и обл.;53 582 768,00;-;-;
74;0;Локо-Банк;2707;Москва и обл.;53 463 273,00;50 111 697,00;3 351 576,00;6,69
75;-4;Экспо Финанс;2594;Москва и обл.;51 912 115,00;52 390 619,00;-478 504,00;-0,91
76;0;Меткомбанк (Каменск-Уральский);2443;Свердловская обл.;49 979 116,00;49 874 723,00;104 393,00;0,21
77;0;Международный Банк Санкт-Петербурга (МБСП);197;Санкт-Петербург и обл.;49 790 312,00;49 375 835,00;414 477,00;0,84
78;-3;Балтинвестбанк;3176;Санкт-Петербург и обл.;49 695 964,00;50 018 024,00;-322 060,00;-0,64
79;1;Ренессанс Кредит;3354;Москва и обл.;49 057 165,00;48 839 003,00;218 162,00;0,45
80;-2;Центр-инвест;2225;Ростовская обл.;48 419 666,00;49 349 841,00;-930 175,00;-1,88
81;3;Совкомбанк;963;Костромская обл.;47 829 074,00;44 339 626,00;3 489 448,00;7,87
82;-1;АМТ Банк;2820;Москва и обл.;47 412 262,00;47 534 694,00;-122 432,00;-0,26
83;0;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;46 634 243,00;44 602 510,00;2 031 733,00;4,56
84;-2;Пересвет;2110;Москва и обл.;45 979 732,00;45 120 916,00;858 816,00;1,90
85;-6;Металлинвестбанк;2440;Москва и обл.;44 432 243,00;48 960 852,00;-4 528 609,00;-9,25
86;15;Креди Агриколь КИБ;1680;Санкт-Петербург и обл.;42 349 584,00;29 895 243,00;12 454 341,00;41,66
87;-2;Инвестбанк;107;Калининградская обл.;42 148 422,00;41 002 595,00;1 145 827,00;2,79
88;-2;СБ Банк (Судостроительный банк);2999;Москва и обл.;40 350 053,00;39 814 047,00;536 006,00;1,35
89;-1;Банк ДОМ.РФ;2312;Москва и обл.;40 281 752,00;37 459 100,00;2 822 652,00;7,54
90;1;Эйч-Эс-Би-Си Банк (HSBC);3290;Москва и обл.;39 187 380,00;35 584 238,00;3 603 142,00;10,13
91;-1;Национальный Стандарт;3421;Москва и обл.;37 522 514,00;36 104 868,00;1 417 646,00;3,93
92;-5;Банк Сберегательно-Кредитного Сервиса;3224;Москва и обл.;35 801 928,00;39 535 401,00;-3 733 473,00;-9,44
93;6;Расчетная Палата РТС;3335;Москва и обл.;35 189 574,00;30 817 310,00;4 372 264,00;14,19
94;-5;Еврофинанс Моснарбанк;2402;Москва и обл.;35 099 780,00;36 517 963,00;-1 418 183,00;-3,88
95;-3;Первобанк;3461;Самарская обл.;34 302 912,00;34 454 210,00;-151 298,00;-0,44
96;-3;Коммерцбанк (Евразия);3333;Москва и обл.;33 461 296,00;33 231 329,00;229 967,00;0,69
97;1;Таврический Банк;2304;Санкт-Петербург и обл.;33 196 054,00;32 017 746,00;1 178 308,00;3,68
98;-3;Национальный Торговый Банк;3087;Самарская обл.;33 064 595,00;32 580 534,00;484 061,00;1,49
99;-5;Сведбанк;3064;Москва и обл.;32 339 382,00;33 012 870,00;-673 488,00;-2,04
100;-3;Бинбанк Диджитал;2827;Москва и обл.;32 073 129,00;32 032 091,00;41 038,00;0,13
101;-5;Международный Финансовый Клуб;2618;Москва и обл.;31 579 496,00;32 405 305,00;-825 809,00;-2,55
102;-2;Нота-Банк;2913;Москва и обл.;30 621 687,00;30 200 876,00;420 811,00;1,39
103;0;Экспобанк;2998;Москва и обл.;30 015 586,00;28 731 460,00;1 284 126,00;4,47
104;1;Дальневосточный Банк;843;Приморский край;29 760 669,00;28 015 411,00;1 745 258,00;6,23
105;-3;Челиндбанк;485;Челябинская обл.;29 349 318,00;29 273 701,00;75 617,00;0,26
106;-2;Челябинвестбанк;493;Челябинская обл.;28 226 049,00;28 086 954,00;139 095,00;0,50
107;0;Кубань Кредит;2518;Краснодарский край;27 738 123,00;27 330 392,00;407 731,00;1,49
108;0;Межтопэнергобанк;2956;Москва и обл.;27 486 819,00;26 634 666,00;852 153,00;3,20
109;-3;Современный Коммерческий Банк (бывш. ДжиИ Мани Банк);3316;Москва и обл.;27 308 942,00;27 976 457,00;-667 515,00;-2,39
110;5;Первый Республиканский Банк;1730;Москва и обл.;26 413 791,00;24 680 691,00;1 733 100,00;7,02
111;1;Кедр;1574;Москва и обл.;25 176 762,00;25 491 863,00;-315 101,00;-1,24
112;1;Далькомбанк;84;Хабаровский край;25 147 098,00;25 371 045,00;-223 947,00;-0,88
113;-4;Москоммерцбанк;3365;Москва и обл.;25 138 440,00;26 506 162,00;-1 367 722,00;-5,16
114;0;Севергазбанк;2816;Вологодская обл.;24 870 782,00;24 920 797,00;-50 015,00;-0,20
115;2;Акибанк;2587;Татарстан;24 676 734,00;24 584 175,00;92 559,00;0,38
116;0;СДМ-Банк;1637;Москва и обл.;24 576 964,00;24 610 875,00;-33 911,00;-0,14
117;3;Экспресс-Волга;3085;Саратовская обл.;24 145 707,00;23 919 545,00;226 162,00;0,95
118;3;Газбанк;2316;Самарская обл.;24 053 378,00;23 405 621,00;647 757,00;2,77
119;-8;НС Банк;3124;Москва и обл.;23 843 625,00;25 969 677,00;-2 126 052,00;-8,19
120;5;Приморье;3001;Приморский край;23 414 656,00;21 841 836,00;1 572 820,00;7,20
121;8;Банк Кредит Свисс;2494;Москва и обл.;23 134 953,00;20 723 514,00;2 411 439,00;11,64
122;-3;Интерпромбанк;3266;Москва и обл.;22 747 578,00;24 078 602,00;-1 331 024,00;-5,53
123;-5;Кредит Урал Банк;2584;Челябинская обл.;22 653 218,00;24 363 185,00;-1 709 967,00;-7,02
124;-2;БФГ-Кредит;3068;Москва и обл.;22 593 316,00;22 861 369,00;-268 053,00;-1,17
125;8;Банк АВБ;23;Самарская обл.;22 415 950,00;20 601 849,00;1 814 101,00;8,81
126;-2;Интеркоммерц Банк;1657;Москва и обл.;22 292 199,00;21 871 784,00;420 415,00;1,92
127;-1;Русский Международный Банк;3123;Москва и обл.;22 182 449,00;21 783 356,00;399 093,00;1,83
128;-5;Крайинвестбанк;3360;Краснодарский край;22 144 878,00;22 449 162,00;-304 284,00;-1,36
129;-2;М2М Прайвет Банк;1414;Москва и обл.;22 100 964,00;21 293 775,00;807 189,00;3,79
130;-20;Меткомбанк (Череповец);901;Вологодская обл.;21 558 221,00;26 114 172,00;-4 555 951,00;-17,45
131;-3;АМБ Банк;3036;Москва и обл.;21 051 874,00;21 206 140,00;-154 266,00;-0,73
132;-1;Липецккомбанк;1242;Липецкая обл.;20 998 064,00;20 623 415,00;374 649,00;1,82
133;9;Солидарность;554;Самарская обл.;20 558 400,00;18 474 630,00;2 083 770,00;11,28
134;-4;Фора-Банк;1885;Москва и обл.;20 189 157,00;20 672 845,00;-483 688,00;-2,34
135;-1;Девон-Кредит;1972;Татарстан;20 036 810,00;20 153 877,00;-117 067,00;-0,58
136;-1;Агропромкредит;2880;Москва и обл.;19 938 054,00;19 864 335,00;73 719,00;0,37
137;3;Альта-Банк;2269;Москва и обл.;19 529 580,00;18 851 546,00;678 034,00;3,60
138;5;Московский Областной Банк;1751;Москва и обл.;19 468 305,00;18 414 225,00;1 054 080,00;5,72
139;-2;ГПБ-Ипотека;2403;Москва и обл.;19 359 560,00;19 260 642,00;98 918,00;0,51
140;-8;Саровбизнесбанк;2048;Нижегородская обл.;19 337 206,00;20 616 107,00;-1 278 901,00;-6,20
141;-3;Кольцо Урала;65;Свердловская обл.;19 221 384,00;19 206 297,00;15 087,00;0,08
142;-1;Примсоцбанк;2733;Приморский край;19 080 622,00;18 656 441,00;424 181,00;2,27
143;-4;Мой Банк;2939;Москва и обл.;19 077 344,00;19 048 963,00;28 381,00;0,15
144;0;Уралтрансбанк;812;Свердловская обл.;18 593 448,00;18 360 572,00;232 876,00;1,27
145;4;Стройкредит;18;Москва и обл.;18 417 127,00;17 084 785,00;1 332 342,00;7,80
146;6;Росэнергобанк;2211;Москва и обл.;17 931 508,00;16 505 889,00;1 425 619,00;8,64
147;-2;Урал ФД;249;Пермская обл.;17 912 126,00;18 250 098,00;-337 972,00;-1,85
148;-2;МБА-Москва;3395;Москва и обл.;17 886 917,00;18 000 596,00;-113 679,00;-0,63
149;-13;Тройка-Д Банк;3431;Москва и обл.;17 690 346,00;19 648 551,00;-1 958 205,00;-9,97
150;-3;Народный Кредит;2401;Москва и обл.;17 570 926,00;17 675 504,00;-104 578,00;-0,59
151;0;Сетелем Банк;2168;Москва и обл.;17 428 529,00;16 619 007,00;809 522,00;4,87
152;-4;ФИА-Банк;2542;Самарская обл.;17 200 457,00;17 466 863,00;-266 406,00;-1,53
153;33;Развитие-Столица;3013;Москва и обл.;16 647 071,00;11 715 695,00;4 931 376,00;42,09
154;7;Банк РСБ 24 (Русславбанк);1073;Москва и обл.;16 302 078,00;14 836 453,00;1 465 625,00;9,88
155;12;Тинькофф Банк;2673;Москва и обл.;16 296 304,00;14 340 373,00;1 955 931,00;13,64
156;-3;ПЧРБ Банк;3291;Москва и обл.;16 243 555,00;16 411 166,00;-167 611,00;-1,02
157;2;Модульбанк;1927;Костромская обл.;15 856 529,00;15 326 444,00;530 085,00;3,46
158;2;Банк Проектного Финансирования;1677;Москва и обл.;15 737 796,00;15 317 337,00;420 459,00;2,74
159;-9;Натиксис Банк;3390;Москва и обл.;15 654 017,00;16 721 289,00;-1 067 272,00;-6,38
160;8;Тимер Банк;1581;Татарстан;15 541 135,00;14 307 187,00;1 233 948,00;8,62
161;2;Смоленский Банк;2029;Смоленская обл.;15 405 043,00;14 704 800,00;700 243,00;4,76
162;-5;Морской Банк;77;Москва и обл.;15 357 453,00;15 409 403,00;-51 950,00;-0,34
163;-8;НОМОС-Региобанк;539;Хабаровский край;15 354 190,00;15 761 712,00;-407 522,00;-2,59
164;-6;Интерпрогрессбанк;600;Москва и обл.;15 183 501,00;15 368 725,00;-185 224,00;-1,21
165;-9;Банк БФА;3038;Санкт-Петербург и обл.;14 869 747,00;15 559 458,00;-689 711,00;-4,43
166;-12;Столичный Торговый Банк;2797;Москва и обл.;14 715 686,00;15 996 348,00;-1 280 662,00;-8,01
167;-5;Мосстройэкономбанк (М Банк);948;Москва и обл.;14 693 166,00;14 744 256,00;-51 090,00;-0,35
168;1;Тойота Банк;3470;Москва и обл.;14 692 306,00;14 091 689,00;600 617,00;4,26
169;-4;Спурт Банк;2207;Татарстан;14 676 051,00;14 460 451,00;215 600,00;1,49
170;0;Связной Банк;1961;Москва и обл.;14 452 978,00;13 914 365,00;538 613,00;3,87
171;-5;Энергобанк;67;Татарстан;14 411 743,00;14 442 240,00;-30 497,00;-0,21
172;1;Левобережный;1343;Новосибирская обл.;14 053 122,00;13 692 398,00;360 724,00;2,63
173;-2;Российский Кредит;324;Москва и обл.;13 816 989,00;13 906 447,00;-89 458,00;-0,64
174;-2;Ланта-Банк;1920;Москва и обл.;13 813 283,00;13 839 687,00;-26 404,00;-0,19
175;1;Углеметбанк;2997;Челябинская обл.;13 628 425,00;13 373 073,00;255 352,00;1,91
176;-1;Инвесткапиталбанк;2377;Башкортостан;13 607 927,00;13 421 677,00;186 250,00;1,39
177;-3;НБД-Банк;1966;Нижегородская обл.;13 493 690,00;13 677 788,00;-184 098,00;-1,35
178;3;Европейский Трастовый Банк;2968;Москва и обл.;13 468 793,00;12 747 370,00;721 423,00;5,66
179;-2;Центркомбанк;2983;Москва и обл.;13 341 344,00;13 114 793,00;226 551,00;1,73
180;-1;Норвик Банк;902;Кировская обл.;13 331 817,00;12 967 709,00;364 108,00;2,81
181;-3;Рост Банк;2888;Татарстан;13 180 726,00;13 048 541,00;132 185,00;1,01
182;-18;Соцгорбанк;1827;Москва и обл.;13 144 030,00;14 667 567,00;-1 523 537,00;-10,39
183;-3;Новокузнецкий Муниципальный Банк;2865;Кемеровская обл.;13 026 161,00;12 898 483,00;127 678,00;0,99
184;3;Алмазэргиэнбанк;2602;Саха (Якутия);13 015 238,00;11 582 436,00;1 432 802,00;12,37
185;-2;Курскпромбанк;735;Курская обл.;12 910 752,00;12 418 826,00;491 926,00;3,96
186;-4;Русстройбанк;3205;Москва и обл.;12 896 929,00;12 446 817,00;450 112,00;3,62
187;-2;Держава;2738;Москва и обл.;11 690 480,00;12 118 360,00;-427 880,00;-3,53
188;4;Фининвест;671;Москва и обл.;11 638 592,00;11 205 206,00;433 386,00;3,87
189;0;Интехбанк;2705;Татарстан;11 539 141,00;11 423 583,00;115 558,00;1,01
190;-2;Эллипс Банк;1950;Нижегородская обл.;11 505 152,00;11 581 772,00;-76 620,00;-0,66
191;49;Мир Бизнес Банк;3396;Москва и обл.;11 332 978,00;8 069 701,00;3 263 277,00;40,44
192;1;Московское Ипотечное Агентство;3344;Москва и обл.;11 177 664,00;11 153 193,00;24 471,00;0,22
193;-3;БыстроБанк;1745;Удмуртия;11 174 028,00;11 420 192,00;-246 164,00;-2,16
194;0;Образование;1521;Москва и обл.;11 111 668,00;11 150 770,00;-39 102,00;-0,35
195;2;БМВ Банк;3482;Москва и обл.;11 098 255,00;10 710 696,00;387 559,00;3,62
196;6;Гаранти Банк — Москва;3275;Москва и обл.;10 783 153,00;10 447 544,00;335 609,00;3,21
197;1;Александровский;53;Санкт-Петербург и обл.;10 675 977,00;10 665 524,00;10 453,00;0,10
198;35;Свенска Хандельсбанкен;3455;Москва и обл.;10 561 792,00;8 402 833,00;2 158 959,00;25,69
199;-3;Петербургский Социальный Коммерческий Банк;2551;Санкт-Петербург и обл.;10 428 841,00;10 765 714,00;-336 873,00;-3,13
200;-5;РосДорБанк;1573;Москва и обл.;10 420 384,00;10 912 164,00;-491 780,00;-4,51
201;-1;Форштадт;2208;Оренбургская обл.;10 366 807,00;10 467 207,00;-100 400,00;-0,96
202;-11;АБ Финанс;514;Москва и обл.;10 234 922,00;11 332 724,00;-1 097 802,00;-9,69
203;11;Аресбанк;2914;Москва и обл.;10 115 314,00;9 483 915,00;631 399,00;6,66
204;0;Нижегородпромстройбанк;1851;Нижегородская обл.;10 105 653,00;10 146 701,00;-41 048,00;-0,40
205;4;Тольяттихимбанк;2507;Самарская обл.;10 048 817,00;9 706 782,00;342 035,00;3,52
206;-1;Первомайский;518;Краснодарский край;9 953 702,00;10 098 921,00;-145 219,00;-1,44
207;0;Солидарность (Москва);1555;Москва и обл.;9 947 185,00;9 982 522,00;-35 337,00;-0,35
208;-9;Банк Финсервис;3388;Москва и обл.;9 932 770,00;10 633 094,00;-700 324,00;-6,59
209;-8;Эс-Би-Ай Банк;3185;Москва и обл.;9 912 571,00;10 460 903,00;-548 332,00;-5,24
210;-4;Роспромбанк;3204;Москва и обл.;9 847 189,00;10 034 139,00;-186 950,00;-1,86
211;-3;АйМаниБанк;1975;Республика Алтай;9 842 399,00;9 771 654,00;70 745,00;0,72
212;-9;ТЭМБР-Банк;2764;Москва и обл.;9 662 755,00;10 156 588,00;-493 833,00;-4,86
213;-3;Хлынов;254;Кировская обл.;9 629 317,00;9 629 736,00;-419,00;-0,00
214;5;Гута-Банк;256;Москва и обл.;9 570 648,00;9 342 704,00;227 944,00;2,44
215;-2;Энерготрансбанк;1307;Калининградская обл.;9 564 870,00;9 498 098,00;66 772,00;0,70
216;-4;Росэксимбанк;2790;Москва и обл.;9 533 478,00;9 515 598,00;17 880,00;0,19
217;11;Алеф-Банк;2119;Москва и обл.;9 521 053,00;8 823 149,00;697 904,00;7,91
218;2;Банк «Советский»;558;Санкт-Петербург и обл.;9 519 408,00;9 328 405,00;191 003,00;2,05
219;26;Руснарбанк;3403;Москва и обл.;9 471 543,00;7 767 029,00;1 704 514,00;21,95
220;-9;Легион;3117;Москва и обл.;9 341 357,00;9 586 174,00;-244 817,00;-2,55
221;0;Северо-Восточный Альянс;2768;Москва и обл.;9 325 754,00;9 197 025,00;128 729,00;1,40
222;-5;Интрастбанк;3144;Москва и обл.;9 308 457,00;9 358 794,00;-50 337,00;-0,54
223;13;ББР Банк;2929;Москва и обл.;9 304 342,00;8 314 736,00;989 606,00;11,90
224;14;Экопромбанк;2011;Пермская обл.;9 269 183,00;8 264 967,00;1 004 216,00;12,15
225;-1;НК Банк;2755;Москва и обл.;9 235 771,00;8 969 242,00;266 529,00;2,97
226;0;Гранд Инвест Банк;3053;Москва и обл.;9 163 926,00;8 900 346,00;263 580,00;2,96
227;-2;ВУЗ-Банк;1557;Свердловская обл.;9 137 323,00;8 938 657,00;198 666,00;2,22
228;-13;Нацинвестпромбанк;3077;Москва и обл.;9 070 802,00;9 463 659,00;-392 857,00;-4,15
229;-45;Ю Би Эс Банк;3463;Москва и обл.;9 048 801,00;12 381 103,00;-3 332 302,00;-26,91
230;-14;БКС Банк;101;Новосибирская обл.;9 029 487,00;9 412 211,00;-382 724,00;-4,07
231;-8;Прио-Внешторгбанк;212;Рязанская обл.;8 836 533,00;8 985 013,00;-148 480,00;-1,65
232;-3;Юникорбанк;2586;Москва и обл.;8 812 942,00;8 822 630,00;-9 688,00;-0,11
233;-11;Банк24.ру;2227;Свердловская обл.;8 713 070,00;9 050 504,00;-337 434,00;-3,73
234;3;МАК-Банк;1088;Москва и обл.;8 630 130,00;8 312 120,00;318 010,00;3,83
235;-5;Банк Жилищного Финансирования;3138;Москва и обл.;8 580 087,00;8 798 919,00;-218 832,00;-2,49
236;-2;Газэнергобанк;3252;Калужская обл.;8 535 202,00;8 355 687,00;179 515,00;2,15
237;-19;Современный Коммерческий Инновационный Банк;3329;Калужская обл.;8 428 072,00;9 348 879,00;-920 807,00;-9,85
238;-7;Экономбанк;1319;Саратовская обл.;8 425 990,00;8 610 971,00;-184 981,00;-2,15
239;-12;Банк Оренбург;3269;Оренбургская обл.;8 312 901,00;8 837 534,00;-524 633,00;-5,94
240;20;Русьуниверсалбанк;3293;Москва и обл.;8 233 942,00;7 127 683,00;1 106 259,00;15,52
241;-6;Промсбербанк;1043;Москва и обл.;8 222 137,00;8 354 766,00;-132 629,00;-1,59
242;-10;Энергомашбанк;52;Санкт-Петербург и обл.;8 218 135,00;8 441 025,00;-222 890,00;-2,64
243;0;Тарханы;459;Пензенская обл.;8 125 749,00;8 015 991,00;109 758,00;1,37
244;-5;Мерседес-Бенц Банк Рус;3473;Москва и обл.;8 077 879,00;8 188 710,00;-110 831,00;-1,35
245;21;Расчетно-Кредитный Банк;103;Москва и обл.;8 007 898,00;6 766 804,00;1 241 094,00;18,34
246;1;Гарант-Инвест;2576;Москва и обл.;7 998 185,00;7 668 369,00;329 816,00;4,30
247;-3;Екатеринбург;3161;Свердловская обл.;7 942 215,00;7 783 941,00;158 274,00;2,03
248;-6;Бэнк оф Чайна;2309;Москва и обл.;7 921 663,00;8 054 410,00;-132 747,00;-1,65
249;12;Денизбанк Москва;3330;Москва и обл.;7 874 240,00;7 113 699,00;760 541,00;10,69
250;-4;Социнвестбанк;1132;Башкортостан;7 827 536,00;7 753 425,00;74 111,00;0,96
251;6;Национальный Банк Развития Бизнеса;2795;Москва и обл.;7 805 307,00;7 212 280,00;593 027,00;8,22
252;38;Новый Московский Банк;2932;Москва и обл.;7 786 537,00;6 012 793,00;1 773 744,00;29,50
253;-12;Снежинский;1376;Челябинская обл.;7 722 076,00;8 056 307,00;-334 231,00;-4,15
254;0;Национальная Факторинговая Компания;3437;Москва и обл.;7 603 281,00;7 265 533,00;337 748,00;4,65
255;-6;Международный Акционерный Банк;1987;Москва и обл.;7 530 998,00;7 502 812,00;28 186,00;0,38
256;-8;Квантмобайл Банк;1189;Омская обл.;7 494 703,00;7 621 434,00;-126 731,00;-1,66
257;-5;Европейский;1616;Калининградская обл.;7 453 100,00;7 344 785,00;108 315,00;1,47
258;-5;Новосибирский Муниципальный Банк;2786;Новосибирская обл.;7 385 105,00;7 310 373,00;74 732,00;1,02
