Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Март, 2011, тыс. рублей;Февраль, 2011, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;9 134 420 162,00;8 937 642 403,00;196 777 759,00;2,20
2;0;ВТБ;1000;Санкт-Петербург и обл.;3 026 511 442,00;2 863 855 034,00;162 656 408,00;5,68
3;0;Газпромбанк;354;Москва и обл.;1 884 001 371,00;1 830 963 269,00;53 038 102,00;2,90
4;0;Россельхозбанк;3349;Москва и обл.;1 091 632 269,00;1 066 019 750,00;25 612 519,00;2,40
5;0;ВТБ 24;1623;Москва и обл.;943 976 307,00;939 049 117,00;4 927 190,00;0,52
6;0;БМ-Банк;2748;Москва и обл.;920 238 298,00;904 026 776,00;16 211 522,00;1,79
7;0;Альфа-Банк;1326;Москва и обл.;859 238 334,00;842 252 339,00;16 985 995,00;2,02
8;0;ЮниКредит Банк;1;Москва и обл.;620 313 241,00;635 986 911,00;-15 673 670,00;-2,46
9;1;Райффайзенбанк;3292;Москва и обл.;509 368 469,00;492 883 475,00;16 484 994,00;3,34
10;-1;Промсвязьбанк;3251;Москва и обл.;503 244 614,00;495 262 905,00;7 981 709,00;1,61
11;0;Росбанк;2272;Москва и обл.;448 720 706,00;472 389 582,00;-23 668 876,00;-5,01
12;0;Банк Уралсиб;30;Москва и обл.;413 695 270,00;423 131 474,00;-9 436 204,00;-2,23
13;1;Банк Открытие;2209;Москва и обл.;389 177 841,00;381 247 940,00;7 929 901,00;2,08
14;-1;МДМ Банк;2562;Новосибирская обл.;384 491 022,00;390 191 469,00;-5 700 447,00;-1,46
15;0;Транскредитбанк;2142;Москва и обл.;349 274 594,00;340 689 662,00;8 584 932,00;2,52
16;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;282 942 851,00;278 996 537,00;3 946 314,00;1,41
17;2;Ситибанк;2557;Москва и обл.;266 127 270,00;246 298 210,00;19 829 060,00;8,05
18;0;Россия;328;Санкт-Петербург и обл.;258 466 380,00;254 160 403,00;4 305 977,00;1,69
19;1;Ак Барс;2590;Татарстан;250 026 198,00;245 393 907,00;4 632 291,00;1,89
20;-3;ВТБ Северо-Запад;439;Санкт-Петербург и обл.;240 568 018,00;256 699 499,00;-16 131 481,00;-6,28
21;0;Нордеа Банк;3016;Москва и обл.;189 839 302,00;197 812 666,00;-7 973 364,00;-4,03
22;1;Ханты-Мансийский банк Открытие;1971;Тюменская обл.;188 785 810,00;175 375 494,00;13 410 316,00;7,65
23;-1;Петрокоммерц;1776;Москва и обл.;180 468 922,00;188 664 891,00;-8 195 969,00;-4,34
24;1;Банк Зенит;3255;Москва и обл.;180 229 042,00;171 151 884,00;9 077 158,00;5,30
25;-1;Возрождение;1439;Москва и обл.;178 838 810,00;171 308 539,00;7 530 271,00;4,40
26;0;Траст;3279;Москва и обл.;167 420 224,00;161 111 259,00;6 308 965,00;3,92
27;2;Московский Кредитный Банк;1978;Москва и обл.;164 540 785,00;157 171 906,00;7 368 879,00;4,69
28;-1;Связь-Банк;1470;Москва и обл.;163 880 603,00;158 935 473,00;4 945 130,00;3,11
29;7;ИНГ Банк;2495;Москва и обл.;161 938 993,00;115 603 274,00;46 335 719,00;40,08
30;0;Русский Стандарт;2289;Москва и обл.;152 915 103,00;150 546 723,00;2 368 380,00;1,57
31;0;Банк Сосьете Женераль Восток;2295;Москва и обл.;148 134 022,00;140 468 416,00;7 665 606,00;5,46
32;-4;МТС Банк;2268;Москва и обл.;147 922 508,00;158 572 495,00;-10 649 987,00;-6,72
33;-1;Банк «Открытие»;2179;Москва и обл.;131 082 042,00;135 597 307,00;-4 515 265,00;-3,33
34;5;Глобэкс;1942;Москва и обл.;126 982 332,00;109 000 715,00;17 981 617,00;16,50
35;7;Национальный Расчетный Депозитарий;3294;Москва и обл.;122 074 251,00;104 560 440,00;17 513 811,00;16,75
