Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Июль, 2018, тыс. рублей;Июнь, 2018, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;25 708 685 619,00;25 247 064 642,00;461 620 977,00;1,83
2;0;ВТБ;1000;Санкт-Петербург и обл.;12 645 470 815,00;12 357 435 215,00;288 035 600,00;2,33
3;0;Газпромбанк;354;Москва и обл.;6 086 342 996,00;6 047 527 444,00;38 815 552,00;0,64
4;0;Россельхозбанк;3349;Москва и обл.;3 337 713 696,00;3 392 278 656,00;-54 564 960,00;-1,61
5;0;Национальный Клиринговый Центр;3466;Москва и обл.;3 021 058 559,00;3 129 487 074,00;-108 428 515,00;-3,46
6;0;Альфа-Банк;1326;Москва и обл.;2 935 566 418,00;2 890 100 084,00;45 466 334,00;1,57
7;0;Московский Кредитный Банк;1978;Москва и обл.;2 004 734 411,00;1 904 795 207,00;99 939 204,00;5,25
8;0;Банк Открытие;2209;Москва и обл.;1 768 198 567,00;1 742 360 871,00;25 837 696,00;1,48
9;0;Промсвязьбанк;3251;Москва и обл.;1 354 984 959,00;1 337 318 220,00;17 666 739,00;1,32
10;0;ЮниКредит Банк;1;Москва и обл.;1 263 398 982,00;1 284 534 636,00;-21 135 654,00;-1,65
11;0;Райффайзенбанк;3292;Москва и обл.;965 052 621,00;977 720 593,00;-12 667 972,00;-1,30
12;0;Россия;328;Санкт-Петербург и обл.;962 631 595,00;953 278 891,00;9 352 704,00;0,98
13;1;Росбанк;2272;Москва и обл.;932 094 158,00;919 311 433,00;12 782 725,00;1,39
14;-1;Бинбанк;323;Москва и обл.;861 155 800,00;923 145 471,00;-61 989 671,00;-6,72
15;0;Рост Банк;2888;Москва и обл.;774 517 561,00;794 808 355,00;-20 290 794,00;-2,55
16;0;Совкомбанк;963;Костромская обл.;742 410 055,00;773 670 156,00;-31 260 101,00;-4,04
17;0;БМ-Банк;2748;Москва и обл.;645 717 199,00;649 246 217,00;-3 529 018,00;-0,54
18;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;645 162 770,00;643 241 592,00;1 921 178,00;0,30
19;2;Траст;3279;Москва и обл.;583 452 304,00;568 135 697,00;15 316 607,00;2,70
20;0;Московский Областной Банк;1751;Москва и обл.;576 626 760,00;572 860 166,00;3 766 594,00;0,66
21;-2;Всероссийский Банк Развития Регионов;3287;Москва и обл.;563 438 400,00;629 142 121,00;-65 703 721,00;-10,44
22;0;Банк Уралсиб;30;Москва и обл.;535 955 414,00;534 112 828,00;1 842 586,00;0,34
23;1;Ак Барс;2590;Татарстан;499 284 815,00;451 829 697,00;47 455 118,00;10,50
24;-1;Ситибанк;2557;Москва и обл.;495 240 845,00;487 044 842,00;8 196 003,00;1,68
25;0;СМП Банк;3368;Москва и обл.;413 035 576,00;397 195 066,00;15 840 510,00;3,99
26;0;Русский Стандарт;2289;Москва и обл.;365 348 319,00;367 742 620,00;-2 394 301,00;-0,65
27;1;Банк АВБ;23;Самарская обл.;357 114 540,00;322 888 204,00;34 226 336,00;10,60
28;-1;Новикомбанк;2546;Москва и обл.;353 704 367,00;363 160 422,00;-9 456 055,00;-2,60
29;0;Тинькофф Банк;2673;Москва и обл.;315 874 444,00;320 114 858,00;-4 240 414,00;-1,32
30;0;Почта Банк;650;Москва и обл.;299 338 434,00;312 491 487,00;-13 153 053,00;-4,21
31;6;Абсолют Банк;2306;Москва и обл.;297 844 434,00;264 238 256,00;33 606 178,00;12,72
32;-1;Связь-Банк;1470;Москва и обл.;297 711 731,00;303 816 915,00;-6 105 184,00;-2,01
33;1;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;296 495 355,00;286 857 216,00;9 638 139,00;3,36
34;-2;Банк ДОМ.РФ;2312;Москва и обл.;295 165 183,00;297 434 208,00;-2 269 025,00;-0,76
35;-2;Пересвет;2110;Москва и обл.;293 624 359,00;290 372 394,00;3 251 965,00;1,12
36;-1;Восточный Банк;1460;Амурская обл.;292 381 240,00;283 565 824,00;8 815 416,00;3,11
37;-1;Московский Индустриальный Банк;912;Москва и обл.;275 163 893,00;277 316 617,00;-2 152 724,00;-0,78
38;0;Хоум Кредит Банк;316;Москва и обл.;259 873 659,00;255 911 928,00;3 961 731,00;1,55
39;0;Возрождение;1439;Москва и обл.;254 900 020,00;250 644 086,00;4 255 934,00;1,70
40;1;Сургутнефтегазбанк;588;Ханты-Мансийский АО — Югра;241 211 271,00;240 110 765,00;1 100 506,00;0,46
41;1;Банк Зенит;3255;Москва и обл.;229 947 559,00;220 084 825,00;9 862 734,00;4,48
42;2;РосЕвроБанк;3137;Москва и обл.;197 509 182,00;206 297 321,00;-8 788 139,00;-4,26
43;0;Экспресс-Волга;3085;Костромская обл.;196 400 415,00;207 187 437,00;-10 787 022,00;-5,21
44;1;ДельтаКредит;3338;Москва и обл.;187 710 801,00;188 435 393,00;-724 592,00;-0,38
45;3;МТС Банк;2268;Москва и обл.;175 760 653,00;172 478 082,00;3 282 571,00;1,90
46;0;Транскапиталбанк;2210;Москва и обл.;175 609 349,00;185 545 330,00;-9 935 981,00;-5,36
47;2;Инвестторгбанк;2763;Москва и обл.;166 631 304,00;162 015 637,00;4 615 667,00;2,85
48;-8;ИНГ Банк;2495;Москва и обл.;164 905 265,00;249 072 367,00;-84 167 102,00;-33,79
49;-2;Нордеа Банк;3016;Москва и обл.;160 695 032,00;183 220 616,00;-22 525 584,00;-12,29
50;1;РНКБ;1354;Симферополь;153 549 743,00;150 101 103,00;3 448 640,00;2,30
51;1;Ренессанс Кредит;3354;Москва и обл.;148 590 793,00;144 952 392,00;3 638 401,00;2,51
52;2;ОТП Банк;2766;Москва и обл.;142 400 169,00;141 238 193,00;1 161 976,00;0,82
53;2;Сетелем Банк;2168;Москва и обл.;133 585 391,00;133 100 168,00;485 223,00;0,36
54;3;Авангард;2879;Москва и обл.;131 938 325,00;132 628 842,00;-690 517,00;-0,52
55;1;Кредит Европа Банк;3311;Москва и обл.;131 107 666,00;133 061 376,00;-1 953 710,00;-1,47
56;5;Глобэкс;1942;Москва и обл.;129 327 464,00;120 453 039,00;8 874 425,00;7,37
57;1;Запсибкомбанк;918;Тюменская обл.;125 844 246,00;125 036 498,00;807 748,00;0,65
58;2;Банк Финсервис;3388;Москва и обл.;123 050 530,00;122 029 561,00;1 020 969,00;0,84
59;0;Русфинанс Банк;1792;Самарская обл.;122 996 354,00;123 368 268,00;-371 914,00;-0,30
60;-7;Национальный Расчетный Депозитарий;3294;Москва и обл.;121 788 633,00;144 083 816,00;-22 295 183,00;-15,47
61;2;Таврический Банк;2304;Санкт-Петербург и обл.;114 119 704,00;113 187 345,00;932 359,00;0,82
62;3;СКБ-Банк;705;Свердловская обл.;112 392 958,00;111 490 068,00;902 890,00;0,81
63;5;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;112 067 273,00;108 697 968,00;3 369 305,00;3,10
64;5;МСП Банк;3340;Москва и обл.;110 800 628,00;105 980 833,00;4 819 795,00;4,55
65;2;Центр-инвест;2225;Ростовская обл.;109 804 220,00;109 654 633,00;149 587,00;0,14
66;0;Росэксимбанк;2790;Москва и обл.;107 808 485,00;110 096 278,00;-2 287 793,00;-2,08
67;-3;Роскосмосбанк;2989;Москва и обл.;107 206 187,00;111 621 554,00;-4 415 367,00;-3,96
68;-18;РГС Банк;3073;Москва и обл.;105 827 558,00;157 145 634,00;-51 318 076,00;-32,66
69;7;Металлинвестбанк;2440;Москва и обл.;98 253 459,00;84 535 966,00;13 717 493,00;16,23
70;0;ЦентроКредит;121;Москва и обл.;96 902 113,00;95 140 168,00;1 761 945,00;1,85
71;-9;Аверс;415;Татарстан;95 876 495,00;116 353 868,00;-20 477 373,00;-17,60
72;0;Союз;2307;Москва и обл.;95 623 702,00;92 243 999,00;3 379 703,00;3,66
73;-2;Балтинвестбанк;3176;Санкт-Петербург и обл.;94 431 655,00;94 089 843,00;341 812,00;0,36
74;0;ВУЗ-Банк;1557;Свердловская обл.;92 073 106,00;88 586 441,00;3 486 665,00;3,94
75;-2;Кубань Кредит;2518;Краснодарский край;91 541 061,00;89 486 742,00;2 054 319,00;2,30
76;-1;РН Банк;170;Москва и обл.;86 842 917,00;86 654 866,00;188 051,00;0,22
77;0;Локо-Банк;2707;Москва и обл.;82 177 961,00;82 093 163,00;84 798,00;0,10
78;8;Сумитомо Мицуи Рус Банк;3494;Москва и обл.;75 024 180,00;59 816 687,00;15 207 493,00;25,42
79;0;Мидзухо Банк;3337;Москва и обл.;73 614 005,00;69 816 668,00;3 797 337,00;5,44
80;-2;Дойче Банк;3328;Москва и обл.;73 210 083,00;76 359 932,00;-3 149 849,00;-4,13
