Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Июль, 2018, тыс. рублей;Июнь, 2018, тыс. рублей;Изменение, тыс. рублей;Изменение, %
81;1;Эйч-Эс-Би-Си Банк (HSBC);3290;Москва и обл.;69 118 511,00;64 620 943,00;4 497 568,00;6,96
82;-1;Экспобанк;2998;Москва и обл.;66 968 229,00;64 770 028,00;2 198 201,00;3,39
83;5;БКС Банк;101;Новосибирская обл.;62 760 162,00;58 100 693,00;4 659 469,00;8,02
84;-4;Меткомбанк (Каменск-Уральский);2443;Свердловская обл.;62 701 441,00;69 337 394,00;-6 635 953,00;-9,57
85;-1;Тимер Банк;1581;Татарстан;60 949 885,00;61 249 499,00;-299 614,00;-0,49
86;-1;Тойота Банк;3470;Москва и обл.;60 463 274,00;60 333 142,00;130 132,00;0,22
87;4;Эм-Ю-Эф-Джи Банк (Евразия);3465;Москва и обл.;58 939 734,00;56 955 398,00;1 984 336,00;3,48
88;4;СДМ-Банк;1637;Москва и обл.;58 437 847,00;56 366 690,00;2 071 157,00;3,67
89;-2;АйСиБиСи Банк;3475;Москва и обл.;57 726 742,00;58 710 829,00;-984 087,00;-1,68
90;0;Балтийский Банк;128;Санкт-Петербург и обл.;57 655 734,00;57 511 921,00;143 813,00;0,25
91;4;Крайинвестбанк;3360;Краснодарский край;56 952 354,00;56 162 227,00;790 127,00;1,41
92;1;Банк Интеза;2216;Москва и обл.;56 486 845,00;56 315 633,00;171 212,00;0,30
93;3;Примсоцбанк;2733;Приморский край;56 255 331,00;55 313 113,00;942 218,00;1,70
94;4;Международный Финансовый Клуб;2618;Москва и обл.;55 458 609,00;54 882 618,00;575 991,00;1,05
95;-1;ББР Банк;2929;Москва и обл.;55 362 789,00;56 269 468,00;-906 679,00;-1,61
96;-7;Севергазбанк;2816;Вологодская обл.;55 218 483,00;57 897 800,00;-2 679 317,00;-4,63
97;2;Левобережный;1343;Новосибирская обл.;54 825 106,00;54 260 686,00;564 420,00;1,04
98;-1;Фора-Банк;1885;Москва и обл.;53 506 650,00;54 887 057,00;-1 380 407,00;-2,51
99;1;Социнвестбанк;1132;Башкортостан;52 709 840,00;53 433 678,00;-723 838,00;-1,35
100;5;Коммерцбанк (Евразия);3333;Москва и обл.;52 686 369,00;48 727 394,00;3 958 975,00;8,12
101;1;Челябинвестбанк;493;Челябинская обл.;52 216 202,00;51 873 692,00;342 510,00;0,66
102;-1;Данске Банк;3307;Санкт-Петербург и обл.;52 179 879,00;52 720 229,00;-540 350,00;-1,02
103;1;Челиндбанк;485;Челябинская обл.;51 528 983,00;50 310 268,00;1 218 715,00;2,42
104;-1;Еврофинанс Моснарбанк;2402;Москва и обл.;51 079 286,00;51 698 746,00;-619 460,00;-1,20
105;-22;БНП Париба Банк;3407;Москва и обл.;50 679 745,00;62 113 423,00;-11 433 678,00;-18,41
106;0;СЭБ Банк;3235;Санкт-Петербург и обл.;48 579 306,00;48 331 805,00;247 501,00;0,51
107;1;Газэнергобанк;3252;Калужская обл.;47 831 693,00;47 748 761,00;82 932,00;0,17
108;1;Генбанк;2490;Симферополь;47 446 845,00;47 525 755,00;-78 910,00;-0,17
109;2;Банк «Советский»;558;Санкт-Петербург и обл.;47 216 658,00;46 481 350,00;735 308,00;1,58
110;2;Саровбизнесбанк;2048;Нижегородская обл.;45 761 630,00;45 005 886,00;755 744,00;1,68
111;2;Мир Бизнес Банк;3396;Москва и обл.;45 240 729,00;42 964 214,00;2 276 515,00;5,30
112;3;Объединенный Капитал;2611;Санкт-Петербург и обл.;44 607 865,00;42 877 512,00;1 730 353,00;4,04
113;1;Бэнк оф Чайна;2309;Москва и обл.;44 050 936,00;42 935 120,00;1 115 816,00;2,60
114;5;Энерготрансбанк;1307;Калининградская обл.;43 323 912,00;37 588 518,00;5 735 394,00;15,26
115;-5;Интерпрогрессбанк;600;Москва и обл.;41 603 444,00;46 844 444,00;-5 241 000,00;-11,19
116;-9;Креди Агриколь КИБ;1680;Санкт-Петербург и обл.;41 071 348,00;48 302 831,00;-7 231 483,00;-14,97
117;-1;Международный Банк Санкт-Петербурга (МБСП);197;Санкт-Петербург и обл.;40 458 829,00;41 149 516,00;-690 687,00;-1,68
118;4;Платежный Центр;3166;Новосибирская обл.;40 055 450,00;35 747 082,00;4 308 368,00;12,05
119;4;Финанс Бизнес Банк;520;Москва и обл.;39 280 038,00;35 327 909,00;3 952 129,00;11,19
120;-3;БыстроБанк;1745;Удмуртия;38 565 178,00;38 884 578,00;-319 400,00;-0,82
121;-1;Кольцо Урала;65;Свердловская обл.;37 374 314,00;36 385 266,00;989 048,00;2,72
122;-1;Дальневосточный Банк;843;Приморский край;35 433 004,00;35 860 479,00;-427 475,00;-1,19
123;-5;Дж. П. Морган Банк;2629;Москва и обл.;35 263 632,00;38 332 166,00;-3 068 534,00;-8,01
124;2;Фольксваген Банк Рус;3500;Москва и обл.;34 758 781,00;33 114 243,00;1 644 538,00;4,97
125;0;Солидарность;554;Самарская обл.;33 987 360,00;33 672 902,00;314 458,00;0,93
126;-2;БМВ Банк;3482;Москва и обл.;33 784 064,00;35 195 568,00;-1 411 504,00;-4,01
127;0;Кредит Урал Банк;2584;Челябинская обл.;32 609 360,00;32 554 030,00;55 330,00;0,17
128;0;Квантмобайл Банк;1189;Москва и обл.;32 391 299,00;32 272 302,00;118 997,00;0,37
129;15;Национальный Стандарт;3421;Москва и обл.;32 239 192,00;24 761 077,00;7 478 115,00;30,20
130;0;НС Банк;3124;Москва и обл.;31 987 436,00;31 369 342,00;618 094,00;1,97
131;0;Приморье;3001;Приморский край;31 157 420,00;30 746 516,00;410 904,00;1,34
132;-3;Девон-Кредит;1972;Татарстан;29 501 521,00;31 867 970,00;-2 366 449,00;-7,43
133;-1;Интерпромбанк;3266;Москва и обл.;28 528 190,00;29 688 435,00;-1 160 245,00;-3,91
134;-1;Алмазэргиэнбанк;2602;Саха (Якутия);28 340 448,00;28 538 734,00;-198 286,00;-0,69
135;-1;Ланта-Банк;1920;Москва и обл.;28 316 826,00;28 351 446,00;-34 620,00;-0,12
136;1;Бинбанк Диджитал;2827;Москва и обл.;25 593 471,00;25 862 748,00;-269 277,00;-1,04
137;1;Татсоцбанк;480;Татарстан;25 562 217,00;25 856 312,00;-294 095,00;-1,14
138;9;Киви Банк;2241;Москва и обл.;25 431 368,00;23 524 054,00;1 907 314,00;8,11
139;0;Газбанк;2316;Самарская обл.;25 215 151,00;25 476 239,00;-261 088,00;-1,02
140;1;Москоммерцбанк;3365;Москва и обл.;25 173 208,00;25 286 340,00;-113 132,00;-0,45
141;5;Урал ФД;249;Пермская обл.;25 168 205,00;24 399 253,00;768 952,00;3,15
142;-6;Мерседес-Бенц Банк Рус;3473;Москва и обл.;24 953 430,00;25 981 307,00;-1 027 877,00;-3,96
143;0;Курскпромбанк;735;Курская обл.;24 762 123,00;24 782 596,00;-20 473,00;-0,08
144;4;Петербургский Социальный Коммерческий Банк;2551;Санкт-Петербург и обл.;24 449 838,00;23 251 828,00;1 198 010,00;5,15
145;-5;Чайна Констракшн;3515;Москва и обл.;24 020 456,00;25 310 976,00;-1 290 520,00;-5,10
146;-4;Акибанк;2587;Татарстан;23 763 302,00;24 843 565,00;-1 080 263,00;-4,35
147;2;Хлынов;254;Кировская обл.;23 585 567,00;23 161 722,00;423 845,00;1,83
148;2;Энергобанк;67;Татарстан;23 562 627,00;23 087 848,00;474 779,00;2,06
149;5;Инбанк;1829;Москва и обл.;23 188 370,00;22 412 064,00;776 306,00;3,46
150;1;Собинбанк;1317;Москва и обл.;22 886 943,00;22 883 816,00;3 127,00;0,01
151;2;Экономбанк;1319;Саратовская обл.;22 685 117,00;22 421 027,00;264 090,00;1,18
152;4;Агропромкредит;2880;Москва и обл.;22 425 007,00;22 109 218,00;315 789,00;1,43
153;5;Роскомснаббанк (бывш. Башкомснаббанк);1398;Башкортостан;21 251 433,00;21 455 231,00;-203 798,00;-0,95
154;-2;Липецккомбанк;1242;Липецкая обл.;21 088 318,00;22 851 623,00;-1 763 305,00;-7,72
155;6;Московское Ипотечное Агентство;3344;Москва и обл.;20 631 380,00;20 306 899,00;324 481,00;1,60
156;3;НБД-Банк;1966;Нижегородская обл.;20 489 407,00;20 562 264,00;-72 857,00;-0,35
157;5;Аресбанк;2914;Москва и обл.;20 137 167,00;20 246 268,00;-109 101,00;-0,54
158;2;Кошелев-Банк;3300;Самарская обл.;20 132 743,00;20 458 449,00;-325 706,00;-1,59
159;-4;Александровский;53;Санкт-Петербург и обл.;20 068 814,00;22 284 493,00;-2 215 679,00;-9,94
160;4;Денизбанк Москва;3330;Москва и обл.;19 939 055,00;20 156 929,00;-217 874,00;-1,08
161;-4;ЦМРБанк;3531;Москва и обл.;19 745 030,00;21 681 143,00;-1 936 113,00;-8,93
162;3;Джей энд Ти Банк;3061;Москва и обл.;19 593 893,00;19 586 751,00;7 142,00;0,04
163;3;Тольяттихимбанк;2507;Самарская обл.;19 337 474,00;18 388 684,00;948 790,00;5,16
164;-1;Держава;2738;Москва и обл.;19 184 748,00;20 179 782,00;-995 034,00;-4,93
165;-30;Банк Кредит Свисс;2494;Москва и обл.;19 148 919,00;28 042 945,00;-8 894 026,00;-31,72
166;2;Алеф-Банк;2119;Москва и обл.;18 844 103,00;17 802 828,00;1 041 275,00;5,85
167;28;Морган Стэнли Банк;3456;Москва и обл.;18 699 456,00;12 811 096,00;5 888 360,00;45,96
168;-23;Натиксис Банк;3390;Москва и обл.;18 635 334,00;24 438 756,00;-5 803 422,00;-23,75
169;-2;Банк Акцепт;567;Новосибирская обл.;18 574 548,00;17 974 537,00;600 011,00;3,34
170;-1;Пойдем!;2534;Москва и обл.;18 103 617,00;17 713 507,00;390 110,00;2,20
171;5;МС Банк Рус;2789;Москва и обл.;16 995 871,00;15 776 237,00;1 219 634,00;7,73
172;0;Прио-Внешторгбанк;212;Рязанская обл.;16 592 697,00;16 422 172,00;170 525,00;1,04
173;1;Гарант-Инвест;2576;Москва и обл.;16 407 852,00;16 348 527,00;59 325,00;0,36
174;3;Модульбанк;1927;Костромская обл.;16 090 439,00;15 421 959,00;668 480,00;4,33
175;-4;Ури Банк;3479;Москва и обл.;15 542 467,00;16 810 137,00;-1 267 670,00;-7,54
176;6;Нацинвестпромбанк;3077;Москва и обл.;15 461 764,00;14 705 485,00;756 279,00;5,14
177;3;Форштадт;2208;Оренбургская обл.;15 024 466,00;14 894 006,00;130 460,00;0,88
178;0;Национальный Резервный Банк;2170;Москва и обл.;14 821 661,00;15 232 238,00;-410 577,00;-2,70
179;5;Норвик Банк;902;Кировская обл.;14 730 763,00;14 545 913,00;184 850,00;1,27
180;10;Национальная Факторинговая Компания;3437;Москва и обл.;14 650 617,00;13 705 028,00;945 589,00;6,90
181;0;Развитие-Столица;3013;Москва и обл.;14 637 733,00;14 738 627,00;-100 894,00;-0,68
182;-12;Руснарбанк;3403;Москва и обл.;14 615 636,00;17 222 538,00;-2 606 902,00;-15,14
183;-10;НК Банк;2755;Москва и обл.;14 610 710,00;16 404 780,00;-1 794 070,00;-10,94
184;4;РосДорБанк;1573;Москва и обл.;14 483 216,00;13 822 457,00;660 759,00;4,78
185;-10;Ишбанк;2867;Москва и обл.;14 291 951,00;15 913 203,00;-1 621 252,00;-10,19
186;0;Банк Казани;708;Татарстан;14 273 301,00;14 148 821,00;124 480,00;0,88
187;-4;Российская Финансовая Корпорация;3099;Москва и обл.;13 988 281,00;14 612 872,00;-624 591,00;-4,27
188;3;Ассоциация;732;Нижегородская обл.;13 745 395,00;13 471 498,00;273 897,00;2,03
189;-2;Морской Банк;77;Москва и обл.;13 682 187,00;14 122 079,00;-439 892,00;-3,11
190;3;Консервативный Коммерческий Банк;1087;Астраханская обл.;13 452 662,00;13 394 119,00;58 543,00;0,44
191;3;КС Банк;1752;Мордовия;13 330 095,00;13 329 391,00;704,00;0,01
192;0;Нижневолжский Коммерческий Банк;931;Саратовская обл.;13 197 989,00;13 418 857,00;-220 868,00;-1,65
193;-4;МБА-Москва;3395;Москва и обл.;13 059 326,00;13 709 498,00;-650 172,00;-4,74
194;3;НИКО-Банк;702;Оренбургская обл.;12 914 660,00;12 411 273,00;503 387,00;4,06
195;5;Русский Ипотечный Банк;1968;Москва и обл.;12 867 556,00;12 166 262,00;701 294,00;5,76
196;3;Современный Коммерческий Инновационный Банк;3329;Костромская обл.;12 864 021,00;12 270 622,00;593 399,00;4,84
197;-12;КЭБ ЭйчЭнБи Банк;3525;Москва и обл.;12 748 636,00;14 362 667,00;-1 614 031,00;-11,24
198;-2;Уралтрансбанк;812;Свердловская обл.;12 568 351,00;12 623 397,00;-55 046,00;-0,44
199;3;Первомайский;518;Краснодарский край;12 100 944,00;11 984 987,00;115 957,00;0,97
200;5;Банк Оренбург;3269;Оренбургская обл.;11 803 558,00;11 696 697,00;106 861,00;0,91
201;2;ТЭМБР-Банк;2764;Москва и обл.;11 788 563,00;11 892 067,00;-103 504,00;-0,87
202;-4;Тройка-Д Банк;3431;Москва и обл.;11 492 056,00;12 352 865,00;-860 809,00;-6,97
203;3;Агросоюз;1459;Москва и обл.;11 357 129,00;11 118 150,00;238 979,00;2,15
204;3;Датабанк;646;Удмуртия;11 328 295,00;10 938 514,00;389 781,00;3,56
205;-1;Солид Банк;1329;Приморский край;11 113 987,00;11 704 420,00;-590 433,00;-5,04
206;5;Реалист Банк;1067;Иркутская обл.;11 029 518,00;10 268 581,00;760 937,00;7,41
207;2;Юг-Инвестбанк;2772;Краснодарский край;10 842 429,00;10 790 787,00;51 642,00;0,48
208;0;Снежинский;1376;Челябинская обл.;10 544 481,00;10 855 124,00;-310 643,00;-2,86
209;6;Екатеринбург;3161;Свердловская обл.;10 515 347,00;9 740 646,00;774 701,00;7,95
210;3;Русьуниверсалбанк;3293;Москва и обл.;10 230 756,00;9 925 087,00;305 669,00;3,08
211;3;Банк Раунд;2506;Москва и обл.;10 174 840,00;9 811 221,00;363 619,00;3,71
212;17;ЮMoney;3510;Россия;9 673 612,00;8 136 042,00;1 537 570,00;18,90
213;4;Банк Жилищного Финансирования;3138;Москва и обл.;9 625 111,00;9 465 574,00;159 537,00;1,69
214;-2;Автоторгбанк;2776;Москва и обл.;9 533 369,00;10 233 428,00;-700 059,00;-6,84
215;4;РЕСО Кредит;3450;Москва и обл.;9 111 998,00;9 028 998,00;83 000,00;0,92
216;14;Голдман Сакс Банк;3490;Москва и обл.;9 060 876,00;7 983 066,00;1 077 810,00;13,50
217;-16;Ю Би Эс Банк;3463;Москва и обл.;8 808 201,00;12 018 955,00;-3 210 754,00;-26,71
218;5;Московский Нефтехимический Банк;1411;Москва и обл.;8 790 029,00;8 515 868,00;274 161,00;3,22
219;2;Промтрансбанк;2638;Башкортостан;8 781 367,00;8 768 222,00;13 145,00;0,15
220;2;Углеметбанк;2997;Челябинская обл.;8 758 549,00;8 541 720,00;216 829,00;2,54
221;47;Альба Альянс;2593;Москва и обл.;8 464 790,00;5 842 419,00;2 622 371,00;44,89
222;-2;Таатта;1249;Саха (Якутия);8 359 512,00;8 791 207,00;-431 695,00;-4,91
223;4;Кранбанк;2271;Ивановская обл.;8 337 864,00;8 223 175,00;114 689,00;1,39
224;2;ФорБанк;2063;Москва и обл.;8 283 224,00;8 273 957,00;9 267,00;0,11
225;3;Кузнецкбизнесбанк;1158;Кемеровская обл.;8 243 712,00;8 179 983,00;63 729,00;0,78
226;-1;Томскпромстройбанк;1720;Томская обл.;8 218 587,00;8 384 124,00;-165 537,00;-1,97
227;5;Эксперт Банк;2949;Омская обл.;8 174 263,00;7 854 451,00;319 812,00;4,07
228;-4;Энергомашбанк;52;Санкт-Петербург и обл.;8 122 424,00;8 443 783,00;-321 359,00;-3,81
229;2;Белгородсоцбанк;760;Белгородская обл.;7 984 422,00;7 860 788,00;123 634,00;1,57
230;4;Актив Банк;2529;Мордовия;7 919 909,00;7 797 805,00;122 104,00;1,57
231;2;Хакасский Муниципальный Банк;1049;Хакасия;7 889 615,00;7 820 468,00;69 147,00;0,88
232;3;Славия;2664;Москва и обл.;7 861 504,00;7 768 845,00;92 659,00;1,19
233;7;СИАБ;3245;Санкт-Петербург и обл.;7 665 791,00;7 390 909,00;274 882,00;3,72
234;4;Эс-Би-Ай Банк;3185;Москва и обл.;7 601 976,00;7 567 835,00;34 141,00;0,45
235;1;Трансстройбанк;2807;Москва и обл.;7 593 439,00;7 717 832,00;-124 393,00;-1,61
236;7;Финам Банк;2799;Москва и обл.;7 473 345,00;7 103 020,00;370 325,00;5,21
237;2;Нейва;1293;Свердловская обл.;7 460 758,00;7 523 644,00;-62 886,00;-0,84
238;4;Ставропольпромстройбанк;1288;Ставропольский край;7 424 792,00;7 111 272,00;313 520,00;4,41
239;6;Банк БКФ;2684;Москва и обл.;7 392 616,00;6 932 766,00;459 850,00;6,63
240;1;Сибсоцбанк;2015;Алтайский край;7 314 674,00;7 207 144,00;107 530,00;1,49
241;8;Ростфинанс;481;Ростовская обл.;7 255 842,00;6 714 379,00;541 463,00;8,06
242;-26;Азия-Инвест Банк;3303;Москва и обл.;7 214 354,00;9 661 912,00;-2 447 558,00;-25,33
243;5;Северный Народный Банк;2721;Коми;7 154 540,00;6 783 950,00;370 590,00;5,46
244;2;Новобанк;1352;Новгородская обл.;6 785 296,00;6 843 185,00;-57 889,00;-0,85
245;-8;Коммерческий Индо Банк;3446;Москва и обл.;6 707 756,00;7 580 937,00;-873 181,00;-11,52
246;8;Зираат Банк;2559;Москва и обл.;6 699 505,00;6 527 435,00;172 070,00;2,64
247;10;Нефтепромбанк;2156;Москва и обл.;6 689 353,00;6 436 021,00;253 332,00;3,94
248;3;Банк Сберегательно-Кредитного Сервиса;3224;Москва и обл.;6 611 498,00;6 582 918,00;28 580,00;0,43
249;1;Сити Инвест Банк;3194;Санкт-Петербург и обл.;6 553 377,00;6 631 139,00;-77 762,00;-1,17
250;-3;Муниципальный Камчатпрофитбанк;2103;Камчатская обл.;6 519 494,00;6 834 163,00;-314 669,00;-4,60
251;1;Проминвестбанк;2433;Москва и обл.;6 499 127,00;6 569 873,00;-70 746,00;-1,08
252;6;Вокбанк;312;Нижегородская обл.;6 484 385,00;6 428 624,00;55 761,00;0,87
253;3;Русь;704;Оренбургская обл.;6 454 024,00;6 452 473,00;1 551,00;0,02
254;19;Инкахран;3454;Москва и обл.;6 438 558,00;5 346 356,00;1 092 202,00;20,43
255;5;Енисейский Объединенный Банк;2645;Красноярский край;6 400 102,00;6 130 892,00;269 210,00;4,39
256;-12;Союзный;3236;Москва и обл.;6 310 945,00;6 956 988,00;-646 043,00;-9,29
257;-4;Чайнасельхозбанк;3529;Москва и обл.;6 251 413,00;6 532 511,00;-281 098,00;-4,30
258;5;Земский Банк;2900;Самарская обл.;6 209 565,00;6 065 560,00;144 005,00;2,37
259;-4;Газтрансбанк;665;Краснодарский край;6 194 579,00;6 470 618,00;-276 039,00;-4,27
