Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Февраль, 2020, тыс. рублей;Январь, 2020, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;28 956 284 893,00;28 894 527 589,00;61 757 304,00;0,21
2;0;ВТБ;1000;Санкт-Петербург и обл.;14 121 403 057,00;14 329 205 070,00;-207 802 013,00;-1,45
3;0;Газпромбанк;354;Москва и обл.;6 651 137 698,00;6 554 665 558,00;96 472 140,00;1,47
4;1;Альфа-Банк;1326;Москва и обл.;3 761 502 037,00;3 761 758 370,00;-256 333,00;-0,01
5;-1;Национальный Клиринговый Центр;3466;Москва и обл.;3 714 752 967,00;3 959 360 947,00;-244 607 980,00;-6,18
6;0;Россельхозбанк;3349;Москва и обл.;3 409 864 634,00;3 541 806 193,00;-131 941 559,00;-3,73
7;0;Банк Открытие;2209;Москва и обл.;2 714 064 048,00;2 714 672 202,00;-608 154,00;-0,02
8;0;Московский Кредитный Банк;1978;Москва и обл.;2 528 641 747,00;2 518 240 826,00;10 400 921,00;0,41
9;0;Траст;3279;Москва и обл.;1 314 423 199,00;1 382 958 267,00;-68 535 068,00;-4,96
10;1;ЮниКредит Банк;1;Москва и обл.;1 306 365 158,00;1 244 425 224,00;61 939 934,00;4,98
11;1;Росбанк;2272;Москва и обл.;1 279 238 538,00;1 226 365 552,00;52 872 986,00;4,31
12;1;Совкомбанк;963;Костромская обл.;1 260 254 769,00;1 213 237 203,00;47 017 566,00;3,88
13;-3;Райффайзенбанк;3292;Москва и обл.;1 255 694 215,00;1 292 865 252,00;-37 171 037,00;-2,88
14;0;Россия;328;Санкт-Петербург и обл.;1 052 832 567,00;1 012 001 526,00;40 831 041,00;4,03
15;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;699 850 623,00;701 451 089,00;-1 600 466,00;-0,23
16;0;Всероссийский Банк Развития Регионов;3287;Москва и обл.;675 597 956,00;660 552 595,00;15 045 361,00;2,28
17;1;Ак Барс;2590;Татарстан;616 511 628,00;603 868 334,00;12 643 294,00;2,09
18;-1;Тинькофф Банк;2673;Москва и обл.;599 113 743,00;604 466 787,00;-5 353 044,00;-0,89
