Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Сентябрь, 2018, тыс. рублей;Август, 2018, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;26 294 513 458,00;25 846 339 867,00;448 173 591,00;1,73
2;0;ВТБ;1000;Санкт-Петербург и обл.;12 921 525 439,00;12 412 911 832,00;508 613 607,00;4,10
3;0;Газпромбанк;354;Москва и обл.;6 043 157 034,00;5 864 116 130,00;179 040 904,00;3,05
4;0;Россельхозбанк;3349;Москва и обл.;3 285 837 032,00;3 157 184 032,00;128 653 000,00;4,07
5;0;Национальный Клиринговый Центр;3466;Москва и обл.;3 221 880 522,00;3 081 082 563,00;140 797 959,00;4,57
6;0;Альфа-Банк;1326;Москва и обл.;3 196 582 199,00;3 021 745 435,00;174 836 764,00;5,79
7;0;Московский Кредитный Банк;1978;Москва и обл.;2 044 113 558,00;1 939 789 966,00;104 323 592,00;5,38
8;0;Банк Открытие;2209;Москва и обл.;1 792 083 337,00;1 736 310 137,00;55 773 200,00;3,21
9;0;Траст;3279;Москва и обл.;1 409 104 414,00;1 413 980 390,00;-4 875 976,00;-0,34
10;1;ЮниКредит Банк;1;Москва и обл.;1 366 033 514,00;1 291 840 259,00;74 193 255,00;5,74
11;1;Райффайзенбанк;3292;Москва и обл.;1 044 148 832,00;995 596 382,00;48 552 450,00;4,88
12;2;Росбанк;2272;Москва и обл.;969 951 411,00;916 918 018,00;53 033 393,00;5,78
13;0;Россия;328;Санкт-Петербург и обл.;878 244 444,00;959 176 404,00;-80 931 960,00;-8,44
14;2;Совкомбанк;963;Костромская обл.;787 209 660,00;758 852 345,00;28 357 315,00;3,74
15;0;Бинбанк;323;Москва и обл.;764 351 078,00;782 141 324,00;-17 790 246,00;-2,27
16;3;Всероссийский Банк Развития Регионов;3287;Москва и обл.;661 639 120,00;622 076 898,00;39 562 222,00;6,36
17;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;637 837 592,00;631 574 806,00;6 262 786,00;0,99
18;0;БМ-Банк;2748;Москва и обл.;636 296 988,00;630 983 353,00;5 313 635,00;0,84
19;2;Московский Областной Банк;1751;Москва и обл.;594 978 646,00;577 767 855,00;17 210 791,00;2,98
20;0;Ситибанк;2557;Москва и обл.;574 068 803,00;590 941 010,00;-16 872 207,00;-2,86
21;1;Банк Уралсиб;30;Москва и обл.;521 678 581,00;532 989 127,00;-11 310 546,00;-2,12
22;1;Ак Барс;2590;Татарстан;509 891 918,00;509 074 081,00;817 837,00;0,16
23;1;СМП Банк;3368;Москва и обл.;406 062 418,00;407 963 684,00;-1 901 266,00;-0,47
24;2;Банк АВБ;23;Самарская обл.;366 612 811,00;358 094 304,00;8 518 507,00;2,38
25;0;Русский Стандарт;2289;Москва и обл.;366 188 606,00;360 692 913,00;5 495 693,00;1,52
26;2;Тинькофф Банк;2673;Москва и обл.;348 846 408,00;329 711 831,00;19 134 577,00;5,80
27;0;Новикомбанк;2546;Москва и обл.;346 724 974,00;333 264 273,00;13 460 701,00;4,04
28;2;Почта Банк;650;Москва и обл.;318 388 233,00;306 993 016,00;11 395 217,00;3,71
29;12;ИНГ Банк;2495;Москва и обл.;305 046 230,00;222 815 556,00;82 230 674,00;36,91
30;1;Пересвет;2110;Москва и обл.;302 738 755,00;303 948 736,00;-1 209 981,00;-0,40
31;2;Восточный Банк;1460;Амурская обл.;293 866 522,00;291 686 091,00;2 180 431,00;0,75
32;0;Связь-Банк;1470;Москва и обл.;293 542 934,00;297 301 438,00;-3 758 504,00;-1,26
33;-4;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;290 199 581,00;313 612 364,00;-23 412 783,00;-7,47
34;1;Московский Индустриальный Банк;912;Москва и обл.;276 522 797,00;273 074 255,00;3 448 542,00;1,26
35;-1;Банк ДОМ.РФ;2312;Москва и обл.;268 806 966,00;280 575 196,00;-11 768 230,00;-4,19
36;0;Хоум Кредит Банк;316;Москва и обл.;262 423 669,00;262 312 548,00;111 121,00;0,04
37;1;Возрождение;1439;Москва и обл.;262 138 497,00;253 789 417,00;8 349 080,00;3,29
38;-1;Абсолют Банк;2306;Москва и обл.;258 823 318,00;258 142 726,00;680 592,00;0,26
39;0;Сургутнефтегазбанк;588;Ханты-Мансийский АО — Югра;256 545 804,00;242 120 876,00;14 424 928,00;5,96
40;0;Банк Зенит;3255;Москва и обл.;231 733 473,00;228 456 703,00;3 276 770,00;1,43
41;1;РосЕвроБанк;3137;Москва и обл.;197 643 526,00;196 791 484,00;852 042,00;0,43
42;1;Экспресс-Волга;3085;Костромская обл.;196 130 462,00;191 958 381,00;4 172 081,00;2,17
43;4;Инвестторгбанк;2763;Москва и обл.;185 285 987,00;163 381 284,00;21 904 703,00;13,41
44;0;ДельтаКредит;3338;Москва и обл.;184 036 835,00;187 947 534,00;-3 910 699,00;-2,08
45;0;МТС Банк;2268;Москва и обл.;174 486 159,00;176 352 439,00;-1 866 280,00;-1,06
46;0;РНКБ;1354;Симферополь;170 397 305,00;164 765 978,00;5 631 327,00;3,42
47;1;Нордеа Банк;3016;Москва и обл.;161 972 927,00;162 114 765,00;-141 838,00;-0,09
48;1;Транскапиталбанк;2210;Москва и обл.;161 418 160,00;157 140 308,00;4 277 852,00;2,72
49;1;Ренессанс Кредит;3354;Москва и обл.;154 564 717,00;151 302 997,00;3 261 720,00;2,16
50;1;ОТП Банк;2766;Москва и обл.;152 675 211,00;145 332 361,00;7 342 850,00;5,05
51;2;Кредит Европа Банк;3311;Москва и обл.;135 649 401,00;133 590 970,00;2 058 431,00;1,54
52;3;Авангард;2879;Москва и обл.;132 715 595,00;131 439 887,00;1 275 708,00;0,97
53;1;Сетелем Банк;2168;Москва и обл.;132 598 369,00;133 264 588,00;-666 219,00;-0,50
54;3;Русфинанс Банк;1792;Самарская обл.;126 176 987,00;125 162 416,00;1 014 571,00;0,81
55;3;Запсибкомбанк;918;Тюменская обл.;124 550 163,00;124 177 154,00;373 009,00;0,30
56;3;Банк Финсервис;3388;Москва и обл.;124 051 998,00;123 643 405,00;408 593,00;0,33
57;4;Таврический Банк;2304;Санкт-Петербург и обл.;121 288 085,00;116 254 199,00;5 033 886,00;4,33
58;-2;Глобэкс;1942;Москва и обл.;120 002 273,00;125 692 139,00;-5 689 866,00;-4,53
59;1;Росэксимбанк;2790;Москва и обл.;119 396 343,00;117 660 720,00;1 735 623,00;1,48
60;2;МСП Банк;3340;Москва и обл.;119 070 398,00;115 459 023,00;3 611 375,00;3,13
61;3;Центр-инвест;2225;Ростовская обл.;114 150 183,00;112 587 449,00;1 562 734,00;1,39
62;-10;Национальный Расчетный Депозитарий;3294;Москва и обл.;111 774 393,00;134 867 046,00;-23 092 653,00;-17,12
63;0;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;110 896 508,00;114 174 241,00;-3 277 733,00;-2,87
64;1;СКБ-Банк;705;Свердловская обл.;109 214 695,00;109 184 929,00;29 766,00;0,03
65;1;Роскосмосбанк;2989;Москва и обл.;106 300 514,00;108 588 619,00;-2 288 105,00;-2,11
66;7;Аверс;415;Татарстан;102 177 680,00;94 540 960,00;7 636 720,00;8,08
67;0;ЦентроКредит;121;Москва и обл.;101 259 421,00;108 211 804,00;-6 952 383,00;-6,42
68;0;Металлинвестбанк;2440;Москва и обл.;100 296 984,00;103 164 358,00;-2 867 374,00;-2,78
69;5;ВУЗ-Банк;1557;Свердловская обл.;99 065 534,00;94 529 619,00;4 535 915,00;4,80
70;0;Союз;2307;Москва и обл.;96 498 252,00;97 654 677,00;-1 156 425,00;-1,18
