Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Сентябрь, 2018, тыс. рублей;Август, 2018, тыс. рублей;Изменение, тыс. рублей;Изменение, %
71;1;Кубань Кредит;2518;Краснодарский край;96 478 822,00;94 788 652,00;1 690 170,00;1,78
72;-1;Локо-Банк;2707;Москва и обл.;96 060 229,00;95 675 952,00;384 277,00;0,40
73;2;Балтинвестбанк;3176;Санкт-Петербург и обл.;95 715 126,00;89 847 657,00;5 867 469,00;6,53
74;-5;РГС Банк;3073;Москва и обл.;94 948 156,00;102 443 218,00;-7 495 062,00;-7,32
75;1;РН Банк;170;Москва и обл.;85 773 391,00;89 250 459,00;-3 477 068,00;-3,90
76;1;Эйч-Эс-Би-Си Банк (HSBC);3290;Москва и обл.;84 616 253,00;79 112 022,00;5 504 231,00;6,96
77;3;Мидзухо Банк;3337;Москва и обл.;80 413 724,00;69 927 498,00;10 486 226,00;15,00
78;6;Дойче Банк;3328;Москва и обл.;73 364 228,00;65 239 956,00;8 124 272,00;12,45
79;4;Экспобанк;2998;Москва и обл.;71 219 499,00;65 360 068,00;5 859 431,00;8,96
80;-2;Сумитомо Мицуи Рус Банк;3494;Москва и обл.;69 246 258,00;74 178 906,00;-4 932 648,00;-6,65
81;5;Тойота Банк;3470;Москва и обл.;67 877 876,00;62 479 838,00;5 398 038,00;8,64
82;7;БКС Банк;101;Новосибирская обл.;66 933 588,00;60 122 333,00;6 811 255,00;11,33
83;2;Аресбанк;2914;Москва и обл.;66 815 625,00;63 403 231,00;3 412 394,00;5,38
84;14;АйСиБиСи Банк;3475;Москва и обл.;65 288 017,00;54 472 489,00;10 815 528,00;19,86
85;-3;Меткомбанк (Каменск-Уральский);2443;Свердловская обл.;64 697 393,00;65 806 894,00;-1 109 501,00;-1,69
86;8;Коммерцбанк (Евразия);3333;Москва и обл.;62 639 025,00;56 901 754,00;5 737 271,00;10,08
87;1;Эм-Ю-Эф-Джи Банк (Евразия);3465;Москва и обл.;62 194 979,00;60 413 008,00;1 781 971,00;2,95
88;11;Еврофинанс Моснарбанк;2402;Москва и обл.;61 041 678,00;53 931 961,00;7 109 717,00;13,18
89;1;СДМ-Банк;1637;Москва и обл.;60 816 931,00;59 428 219,00;1 388 712,00;2,34
90;-3;Тимер Банк;1581;Татарстан;60 700 222,00;60 810 738,00;-110 516,00;-0,18
91;2;Примсоцбанк;2733;Приморский край;58 906 239,00;57 143 708,00;1 762 531,00;3,08
92;-1;Балтийский Банк;128;Санкт-Петербург и обл.;58 077 873,00;57 842 421,00;235 452,00;0,41
93;-1;Крайинвестбанк;3360;Краснодарский край;57 660 735,00;57 503 181,00;157 554,00;0,27
94;-15;Банк Интеза;2216;Москва и обл.;56 987 594,00;70 802 186,00;-13 814 592,00;-19,51
95;5;БНП Париба Банк;3407;Москва и обл.;56 351 560,00;53 794 615,00;2 556 945,00;4,75
96;-1;ББР Банк;2929;Москва и обл.;56 248 979,00;55 352 368,00;896 611,00;1,62
97;0;Левобережный;1343;Новосибирская обл.;55 869 124,00;54 916 665,00;952 459,00;1,73
98;7;СЭБ Банк;3235;Санкт-Петербург и обл.;55 020 052,00;51 606 233,00;3 413 819,00;6,62
99;-3;Международный Финансовый Клуб;2618;Москва и обл.;53 886 442,00;55 109 257,00;-1 222 815,00;-2,22
100;2;Челябинвестбанк;493;Челябинская обл.;53 348 405,00;52 591 560,00;756 845,00;1,44
101;3;Челиндбанк;485;Челябинская обл.;52 329 967,00;51 940 487,00;389 480,00;0,75
102;-1;Севергазбанк;2816;Вологодская обл.;52 110 344,00;52 757 329,00;-646 985,00;-1,23
103;4;Мир Бизнес Банк;3396;Москва и обл.;51 784 543,00;49 840 172,00;1 944 371,00;3,90
104;7;Данске Банк;3307;Санкт-Петербург и обл.;50 157 046,00;46 713 552,00;3 443 494,00;7,37
105;-2;Социнвестбанк;1132;Башкортостан;50 024 478,00;52 155 702,00;-2 131 224,00;-4,09
106;3;Генбанк;2490;Симферополь;49 883 176,00;49 569 478,00;313 698,00;0,63
107;-1;Фора-Банк;1885;Москва и обл.;49 572 622,00;51 077 845,00;-1 505 223,00;-2,95
108;0;Креди Агриколь КИБ;1680;Санкт-Петербург и обл.;48 363 275,00;49 642 512,00;-1 279 237,00;-2,58
109;1;Газэнергобанк;3252;Калужская обл.;48 306 972,00;47 965 231,00;341 741,00;0,71
110;2;Энерготрансбанк;1307;Калининградская обл.;46 268 118,00;45 866 057,00;402 061,00;0,88
111;2;Саровбизнесбанк;2048;Нижегородская обл.;44 556 403,00;45 013 279,00;-456 876,00;-1,01
112;3;Интерпрогрессбанк;600;Москва и обл.;43 606 612,00;41 339 371,00;2 267 241,00;5,48
113;1;Объединенный Капитал;2611;Санкт-Петербург и обл.;43 300 782,00;41 603 530,00;1 697 252,00;4,08
114;7;Платежный Центр;3166;Новосибирская обл.;42 343 084,00;37 470 949,00;4 872 135,00;13,00
115;8;Бэнк оф Чайна;2309;Москва и обл.;40 788 771,00;35 854 943,00;4 933 828,00;13,76
116;0;Международный Банк Санкт-Петербурга (МБСП);197;Санкт-Петербург и обл.;40 151 937,00;40 763 148,00;-611 211,00;-1,50
117;2;БыстроБанк;1745;Удмуртия;38 557 465,00;38 470 167,00;87 298,00;0,23
118;2;Кольцо Урала;65;Свердловская обл.;38 235 265,00;37 772 830,00;462 435,00;1,22
119;10;Национальный Стандарт;3421;Москва и обл.;37 882 284,00;32 488 598,00;5 393 686,00;16,60
120;-2;Дж. П. Морган Банк;2629;Москва и обл.;37 413 070,00;39 958 176,00;-2 545 106,00;-6,37
121;6;Фольксваген Банк Рус;3500;Москва и обл.;36 991 241,00;34 882 723,00;2 108 518,00;6,04
122;2;Дальневосточный Банк;843;Приморский край;36 572 718,00;35 646 178,00;926 540,00;2,60
123;2;Солидарность;554;Самарская обл.;35 482 481,00;35 109 319,00;373 162,00;1,06
124;2;БМВ Банк;3482;Москва и обл.;34 207 573,00;35 046 515,00;-838 942,00;-2,39
125;3;Квантмобайл Банк;1189;Москва и обл.;33 881 241,00;33 133 013,00;748 228,00;2,26
126;5;НС Банк;3124;Москва и обл.;33 029 951,00;31 981 862,00;1 048 089,00;3,28
127;5;Приморье;3001;Приморский край;32 604 639,00;31 417 598,00;1 187 041,00;3,78
128;2;Кредит Урал Банк;2584;Челябинская обл.;32 446 372,00;32 032 929,00;413 443,00;1,29
129;-7;Алмазэргиэнбанк;2602;Саха (Якутия);29 427 841,00;36 398 880,00;-6 971 039,00;-19,15
130;6;Девон-Кредит;1972;Татарстан;29 143 848,00;28 635 484,00;508 364,00;1,78
131;8;Киви Банк;2241;Москва и обл.;29 091 255,00;25 340 665,00;3 750 590,00;14,80
132;3;Ланта-Банк;1920;Москва и обл.;29 089 892,00;28 825 813,00;264 079,00;0,92
133;15;Чайна Констракшн;3515;Москва и обл.;28 923 642,00;22 473 993,00;6 449 649,00;28,70
134;0;Интерпромбанк;3266;Москва и обл.;28 822 499,00;29 170 763,00;-348 264,00;-1,19
135;-54;Банк Кредит Свисс;2494;Москва и обл.;28 739 134,00;66 726 738,00;-37 987 604,00;-56,93
136;-3;ЦМРБанк;3531;Москва и обл.;28 163 732,00;30 133 344,00;-1 969 612,00;-6,54
137;1;Бинбанк Диджитал;2827;Москва и обл.;25 971 709,00;25 568 453,00;403 256,00;1,58
138;3;Курскпромбанк;735;Курская обл.;25 147 151,00;24 948 373,00;198 778,00;0,80
139;-2;Мерседес-Бенц Банк Рус;3473;Москва и обл.;25 120 333,00;26 024 810,00;-904 477,00;-3,48
140;5;Петербургский Социальный Коммерческий Банк;2551;Санкт-Петербург и обл.;24 797 302,00;23 421 623,00;1 375 679,00;5,87
141;1;Урал ФД;249;Пермская обл.;24 346 223,00;24 356 163,00;-9 940,00;-0,04
142;-2;Татсоцбанк;480;Татарстан;24 045 342,00;25 115 476,00;-1 070 134,00;-4,26
143;0;Акибанк;2587;Татарстан;23 980 348,00;24 240 142,00;-259 794,00;-1,07
144;0;Хлынов;254;Кировская обл.;23 444 288,00;23 504 093,00;-59 805,00;-0,25
145;2;Энергобанк;67;Татарстан;23 191 620,00;22 954 588,00;237 032,00;1,03
146;0;Экономбанк;1319;Саратовская обл.;23 131 075,00;22 989 766,00;141 309,00;0,61
147;3;Собинбанк;1317;Москва и обл.;22 896 578,00;22 421 176,00;475 402,00;2,12
148;5;Москоммерцбанк;3365;Москва и обл.;22 748 024,00;21 312 358,00;1 435 666,00;6,74
149;5;Тольяттихимбанк;2507;Самарская обл.;22 273 024,00;20 954 770,00;1 318 254,00;6,29
150;-1;Агропромкредит;2880;Москва и обл.;22 038 018,00;22 433 006,00;-394 988,00;-1,76
151;0;Инбанк;1829;Москва и обл.;22 021 843,00;22 373 713,00;-351 870,00;-1,57
152;0;Роскомснаббанк (бывш. Башкомснаббанк);1398;Башкортостан;21 618 169,00;21 441 161,00;177 008,00;0,83
153;-36;Финанс Бизнес Банк;520;Москва и обл.;21 613 681,00;40 525 780,00;-18 912 099,00;-46,67
154;13;Натиксис Банк;3390;Москва и обл.;21 268 210,00;17 528 521,00;3 739 689,00;21,33
155;2;НБД-Банк;1966;Нижегородская обл.;20 735 781,00;20 512 075,00;223 706,00;1,09
156;2;Московское Ипотечное Агентство;3344;Москва и обл.;20 092 173,00;20 083 499,00;8 674,00;0,04
157;2;Липецккомбанк;1242;Липецкая обл.;20 058 459,00;20 010 770,00;47 689,00;0,24
158;2;Кошелев-Банк;3300;Самарская обл.;19 953 885,00;19 938 442,00;15 443,00;0,08
159;5;МС Банк Рус;2789;Москва и обл.;19 824 635,00;18 752 776,00;1 071 859,00;5,72
160;1;Денизбанк Москва;3330;Москва и обл.;19 818 166,00;19 146 918,00;671 248,00;3,51
161;1;Банк Акцепт;567;Новосибирская обл.;19 101 788,00;18 987 494,00;114 294,00;0,60
162;-6;Александровский;53;Санкт-Петербург и обл.;18 862 951,00;20 516 852,00;-1 653 901,00;-8,06
163;0;Джей энд Ти Банк;3061;Москва и обл.;18 411 734,00;18 811 457,00;-399 723,00;-2,12
164;1;Пойдем!;2534;Москва и обл.;18 157 476,00;18 173 400,00;-15 924,00;-0,09
165;1;Алеф-Банк;2119;Москва и обл.;17 805 632,00;17 910 424,00;-104 792,00;-0,59
166;7;Модульбанк;1927;Костромская обл.;17 617 367,00;15 669 397,00;1 947 970,00;12,43
167;-12;Держава;2738;Москва и обл.;17 431 172,00;20 591 279,00;-3 160 107,00;-15,35
168;0;НК Банк;2755;Москва и обл.;17 374 285,00;17 012 777,00;361 508,00;2,12
169;0;Ури Банк;3479;Москва и обл.;17 142 313,00;16 827 517,00;314 796,00;1,87
170;13;Ишбанк;2867;Москва и обл.;16 703 008,00;13 771 138,00;2 931 870,00;21,29
171;-1;Прио-Внешторгбанк;212;Рязанская обл.;16 589 008,00;16 602 135,00;-13 127,00;-0,08
172;-1;Гарант-Инвест;2576;Москва и обл.;16 022 801,00;15 998 050,00;24 751,00;0,15
173;-1;Нацинвестпромбанк;3077;Москва и обл.;15 928 236,00;15 695 678,00;232 558,00;1,48
174;7;Российская Финансовая Корпорация;3099;Москва и обл.;15 267 736,00;14 076 350,00;1 191 386,00;8,46
175;1;Норвик Банк;902;Кировская обл.;15 244 866,00;15 069 689,00;175 177,00;1,16
176;4;Национальная Факторинговая Компания;3437;Москва и обл.;15 219 656,00;14 667 038,00;552 618,00;3,77
177;-2;Форштадт;2208;Оренбургская обл.;15 217 563,00;15 098 266,00;119 297,00;0,79
178;0;Национальный Резервный Банк;2170;Москва и обл.;15 183 708,00;14 808 913,00;374 795,00;2,53
179;0;Банк Казани;708;Татарстан;15 061 906,00;14 804 138,00;257 768,00;1,74
180;-3;Развитие-Столица;3013;Москва и обл.;14 892 317,00;14 880 629,00;11 688,00;0,08
181;-7;РосДорБанк;1573;Москва и обл.;14 806 167,00;15 111 188,00;-305 021,00;-2,02
182;3;Консервативный Коммерческий Банк;1087;Астраханская обл.;14 492 586,00;13 595 643,00;896 943,00;6,60
183;1;Ассоциация;732;Нижегородская обл.;13 949 519,00;13 656 240,00;293 279,00;2,15
184;9;Современный Коммерческий Инновационный Банк;3329;Костромская обл.;13 465 471,00;12 330 714,00;1 134 757,00;9,20
185;-3;Морской Банк;77;Москва и обл.;13 226 737,00;13 836 622,00;-609 885,00;-4,41
186;3;МБА-Москва;3395;Москва и обл.;13 039 245,00;12 805 251,00;233 994,00;1,83
187;-1;Нижневолжский Коммерческий Банк;931;Саратовская обл.;12 873 944,00;13 153 840,00;-279 896,00;-2,13
188;0;КС Банк;1752;Мордовия;12 844 298,00;13 104 338,00;-260 040,00;-1,98
189;3;НИКО-Банк;702;Оренбургская обл.;12 266 581,00;12 404 593,00;-138 012,00;-1,11
190;0;Русский Ипотечный Банк;1968;Москва и обл.;12 260 376,00;12 774 111,00;-513 735,00;-4,02
191;9;КЭБ ЭйчЭнБи Банк;3525;Москва и обл.;12 201 712,00;10 994 655,00;1 207 057,00;10,98
192;3;ТЭМБР-Банк;2764;Москва и обл.;11 685 336,00;11 816 519,00;-131 183,00;-1,11
193;4;Банк Оренбург;3269;Оренбургская обл.;11 633 167,00;11 633 620,00;-453,00;-0,00
194;-7;Руснарбанк;3403;Москва и обл.;11 465 430,00;13 148 100,00;-1 682 670,00;-12,80
195;-4;Уралтрансбанк;812;Свердловская обл.;11 441 614,00;12 502 711,00;-1 061 097,00;-8,49
196;-2;Реалист Банк;1067;Иркутская обл.;11 395 480,00;11 857 082,00;-461 602,00;-3,89
197;8;Промтрансбанк;2638;Башкортостан;11 390 101,00;10 634 698,00;755 403,00;7,10
198;0;Агросоюз;1459;Москва и обл.;11 305 818,00;11 624 384,00;-318 566,00;-2,74
199;4;Солид Банк;1329;Приморский край;11 298 191,00;10 796 694,00;501 497,00;4,64
200;-4;Первомайский;518;Краснодарский край;11 262 396,00;11 758 142,00;-495 746,00;-4,22
201;-2;Юг-Инвестбанк;2772;Краснодарский край;11 220 537,00;11 077 723,00;142 814,00;1,29
202;-1;Датабанк;646;Удмуртия;10 975 420,00;10 958 001,00;17 419,00;0,16
203;-1;Тройка-Д Банк;3431;Москва и обл.;10 795 416,00;10 842 225,00;-46 809,00;-0,43
204;0;Снежинский;1376;Челябинская обл.;10 622 247,00;10 707 802,00;-85 555,00;-0,80
205;7;РЕСО Кредит;3450;Москва и обл.;10 487 087,00;9 462 244,00;1 024 843,00;10,83
206;2;Русьуниверсалбанк;3293;Москва и обл.;10 231 799,00;10 008 654,00;223 145,00;2,23
207;-1;Банк Раунд;2506;Москва и обл.;9 908 739,00;10 111 063,00;-202 324,00;-2,00
208;-1;Екатеринбург;3161;Свердловская обл.;9 716 571,00;10 010 405,00;-293 834,00;-2,94
209;5;Автоторгбанк;2776;Москва и обл.;9 570 061,00;8 821 157,00;748 904,00;8,49
210;-1;Углеметбанк;2997;Челябинская обл.;9 247 694,00;9 975 451,00;-727 757,00;-7,30
211;-1;Банк Жилищного Финансирования;3138;Москва и обл.;9 051 175,00;9 773 414,00;-722 239,00;-7,39
212;1;ЮMoney;3510;Россия;8 914 009,00;8 841 914,00;72 095,00;0,82
213;3;ФорБанк;2063;Москва и обл.;8 427 544,00;8 406 492,00;21 052,00;0,25
214;3;Кранбанк;2271;Ивановская обл.;8 331 153,00;8 218 251,00;112 902,00;1,37
215;3;Кузнецкбизнесбанк;1158;Кемеровская обл.;8 296 894,00;8 202 793,00;94 101,00;1,15
216;6;Белгородсоцбанк;760;Белгородская обл.;8 278 646,00;8 114 495,00;164 151,00;2,02
217;2;Томскпромстройбанк;1720;Томская обл.;8 232 321,00;8 181 932,00;50 389,00;0,62
218;2;Московский Нефтехимический Банк;1411;Москва и обл.;8 212 201,00;8 165 244,00;46 957,00;0,58
219;2;Энергомашбанк;52;Санкт-Петербург и обл.;8 207 283,00;8 148 816,00;58 467,00;0,72
220;4;Эксперт Банк;2949;Омская обл.;8 190 772,00;7 953 804,00;236 968,00;2,98
221;9;Эс-Би-Ай Банк;3185;Москва и обл.;7 977 269,00;7 553 960,00;423 309,00;5,60
222;-7;Ю Би Эс Банк;3463;Москва и обл.;7 972 756,00;8 763 668,00;-790 912,00;-9,02
223;11;Ставропольпромстройбанк;1288;Ставропольский край;7 972 270,00;7 286 653,00;685 617,00;9,41
224;-1;Хакасский Муниципальный Банк;1049;Хакасия;7 956 056,00;7 967 791,00;-11 735,00;-0,15
225;4;Трансстройбанк;2807;Москва и обл.;7 905 601,00;7 583 058,00;322 543,00;4,25
226;2;Нейва;1293;Свердловская обл.;7 886 696,00;7 685 460,00;201 236,00;2,62
227;0;Финам Банк;2799;Москва и обл.;7 843 665,00;7 726 218,00;117 447,00;1,52
228;-3;Актив Банк;2529;Мордовия;7 726 247,00;7 765 640,00;-39 393,00;-0,51
229;4;Славия;2664;Москва и обл.;7 630 119,00;7 318 401,00;311 718,00;4,26
230;1;СИАБ;3245;Санкт-Петербург и обл.;7 527 482,00;7 532 980,00;-5 498,00;-0,07
231;8;Северный Народный Банк;2721;Коми;7 394 861,00;6 976 475,00;418 386,00;6,00
232;3;Ростфинанс;481;Ростовская обл.;7 291 144,00;7 257 961,00;33 183,00;0,46
233;8;Банк БКФ;2684;Москва и обл.;7 227 669,00;6 897 183,00;330 486,00;4,79
234;8;Чайнасельхозбанк;3529;Москва и обл.;7 227 073,00;6 828 109,00;398 964,00;5,84
235;1;Сибсоцбанк;2015;Алтайский край;7 162 016,00;7 084 764,00;77 252,00;1,09
236;-25;Морган Стэнли Банк;3456;Москва и обл.;7 138 708,00;9 701 122,00;-2 562 414,00;-26,41
237;1;Новобанк;1352;Новгородская обл.;7 097 526,00;6 993 620,00;103 906,00;1,49
238;2;Банк Сберегательно-Кредитного Сервиса;3224;Москва и обл.;6 999 564,00;6 969 296,00;30 268,00;0,43
239;-2;Нефтепромбанк;2156;Москва и обл.;6 982 160,00;7 023 591,00;-41 431,00;-0,59
240;-14;Зираат Банк;2559;Москва и обл.;6 868 983,00;7 751 464,00;-882 481,00;-11,38
241;4;Сити Инвест Банк;3194;Санкт-Петербург и обл.;6 828 506,00;6 524 100,00;304 406,00;4,67
242;23;Голдман Сакс Банк;3490;Москва и обл.;6 703 527,00;5 605 107,00;1 098 420,00;19,60
243;1;Союзный;3236;Москва и обл.;6 665 075,00;6 571 177,00;93 898,00;1,43
244;6;Коммерческий Индо Банк;3446;Москва и обл.;6 475 608,00;6 331 129,00;144 479,00;2,28
245;-13;Азия-Инвест Банк;3303;Москва и обл.;6 425 158,00;7 355 331,00;-930 173,00;-12,65
246;0;Муниципальный Камчатпрофитбанк;2103;Камчатская обл.;6 379 257,00;6 467 493,00;-88 236,00;-1,36
247;1;Автоградбанк;1455;Татарстан;6 374 287,00;6 364 005,00;10 282,00;0,16
248;-5;Проминвестбанк;2433;Москва и обл.;6 364 269,00;6 614 286,00;-250 017,00;-3,78
249;4;Агророс;2860;Саратовская обл.;6 335 030,00;6 189 627,00;145 403,00;2,35
250;-1;Русь;704;Оренбургская обл.;6 284 550,00;6 352 823,00;-68 273,00;-1,07
251;-4;Земский Банк;2900;Самарская обл.;6 283 696,00;6 415 304,00;-131 608,00;-2,05
252;-1;Вокбанк;312;Нижегородская обл.;6 243 018,00;6 328 706,00;-85 688,00;-1,35
253;-1;Гута-Банк;256;Москва и обл.;6 207 424,00;6 305 653,00;-98 229,00;-1,56
254;0;Газтрансбанк;665;Краснодарский край;6 189 233,00;6 134 309,00;54 924,00;0,90
255;3;Банк Оранжевый;1659;Санкт-Петербург и обл.;6 161 312,00;5 972 281,00;189 031,00;3,17
256;3;Венец;524;Ульяновская обл.;6 054 108,00;5 957 301,00;96 807,00;1,63
257;9;Зенит Сочи;232;Краснодарский край;6 013 366,00;5 576 511,00;436 855,00;7,83
258;-3;Чувашкредитпромбанк;1280;Чувашия;5 974 686,00;6 053 882,00;-79 196,00;-1,31
259;5;Черноморский банк развития и реконструкции;3527;Симферополь;5 964 171,00;5 665 165,00;299 006,00;5,28
