Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Июнь, 2018, тыс. рублей;Май, 2018, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;25 247 064 642,00;25 006 454 545,00;240 610 097,00;0,96
2;0;ВТБ;1000;Санкт-Петербург и обл.;12 357 435 215,00;12 468 025 960,00;-110 590 745,00;-0,89
3;0;Газпромбанк;354;Москва и обл.;6 047 527 444,00;5 946 724 041,00;100 803 403,00;1,70
4;1;Россельхозбанк;3349;Москва и обл.;3 392 278 656,00;3 327 043 880,00;65 234 776,00;1,96
5;-1;Национальный Клиринговый Центр;3466;Москва и обл.;3 129 487 074,00;3 465 767 112,00;-336 280 038,00;-9,70
6;0;Альфа-Банк;1326;Москва и обл.;2 890 100 084,00;2 892 049 560,00;-1 949 476,00;-0,07
7;0;Московский Кредитный Банк;1978;Москва и обл.;1 904 795 207,00;1 933 530 001,00;-28 734 794,00;-1,49
8;0;Банк Открытие;2209;Москва и обл.;1 742 360 871,00;1 828 084 178,00;-85 723 307,00;-4,69
9;0;Промсвязьбанк;3251;Москва и обл.;1 337 318 220,00;1 421 467 237,00;-84 149 017,00;-5,92
10;0;ЮниКредит Банк;1;Москва и обл.;1 284 534 636,00;1 366 781 113,00;-82 246 477,00;-6,02
11;1;Райффайзенбанк;3292;Москва и обл.;977 720 593,00;953 459 730,00;24 260 863,00;2,54
12;-1;Россия;328;Санкт-Петербург и обл.;953 278 891,00;993 769 885,00;-40 490 994,00;-4,07
13;0;Бинбанк;323;Москва и обл.;923 145 471,00;947 087 285,00;-23 941 814,00;-2,53
14;0;Росбанк;2272;Москва и обл.;919 311 433,00;922 320 516,00;-3 009 083,00;-0,33
15;0;Рост Банк;2888;Москва и обл.;794 808 355,00;792 955 672,00;1 852 683,00;0,23
16;0;Совкомбанк;963;Костромская обл.;773 670 156,00;749 422 378,00;24 247 778,00;3,24
17;1;БМ-Банк;2748;Москва и обл.;649 246 217,00;645 825 388,00;3 420 829,00;0,53
18;-1;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;643 241 592,00;651 242 823,00;-8 001 231,00;-1,23
19;1;Всероссийский Банк Развития Регионов;3287;Москва и обл.;629 142 121,00;575 501 659,00;53 640 462,00;9,32
20;1;Московский Областной Банк;1751;Москва и обл.;572 860 166,00;574 713 002,00;-1 852 836,00;-0,32
21;-2;Траст;3279;Москва и обл.;568 135 697,00;580 352 414,00;-12 216 717,00;-2,11
22;0;Банк Уралсиб;30;Москва и обл.;534 112 828,00;526 021 205,00;8 091 623,00;1,54
23;1;Ситибанк;2557;Москва и обл.;487 044 842,00;487 600 138,00;-555 296,00;-0,11
24;-1;Ак Барс;2590;Татарстан;451 829 697,00;494 757 913,00;-42 928 216,00;-8,68
25;0;СМП Банк;3368;Москва и обл.;397 195 066,00;402 587 126,00;-5 392 060,00;-1,34
26;1;Русский Стандарт;2289;Москва и обл.;367 742 620,00;377 966 304,00;-10 223 684,00;-2,70
27;1;Новикомбанк;2546;Москва и обл.;363 160 422,00;354 343 225,00;8 817 197,00;2,49
28;1;Банк АВБ;23;Самарская обл.;322 888 204,00;327 095 464,00;-4 207 260,00;-1,29
29;2;Тинькофф Банк;2673;Москва и обл.;320 114 858,00;311 106 225,00;9 008 633,00;2,90
30;2;Почта Банк;650;Москва и обл.;312 491 487,00;309 015 733,00;3 475 754,00;1,12
31;2;Связь-Банк;1470;Москва и обл.;303 816 915,00;292 742 436,00;11 074 479,00;3,78
32;-2;Банк ДОМ.РФ;2312;Москва и обл.;297 434 208,00;316 916 391,00;-19 482 183,00;-6,15
33;2;Пересвет;2110;Москва и обл.;290 372 394,00;284 464 985,00;5 907 409,00;2,08
34;0;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;286 857 216,00;288 750 811,00;-1 893 595,00;-0,66
35;1;Восточный Банк;1460;Амурская обл.;283 565 824,00;281 214 436,00;2 351 388,00;0,84
36;1;Московский Индустриальный Банк;912;Москва и обл.;277 316 617,00;275 952 612,00;1 364 005,00;0,49
37;1;Абсолют Банк;2306;Москва и обл.;264 238 256,00;257 256 684,00;6 981 572,00;2,71
38;1;Хоум Кредит Банк;316;Москва и обл.;255 911 928,00;251 258 778,00;4 653 150,00;1,85
39;1;Возрождение;1439;Москва и обл.;250 644 086,00;250 353 510,00;290 576,00;0,12
40;-14;ИНГ Банк;2495;Москва и обл.;249 072 367,00;386 922 970,00;-137 850 603,00;-35,63
41;0;Сургутнефтегазбанк;588;Ханты-Мансийский АО — Югра;240 110 765,00;245 684 226,00;-5 573 461,00;-2,27
42;0;Банк Зенит;3255;Москва и обл.;220 084 825,00;224 046 851,00;-3 962 026,00;-1,77
43;1;Экспресс-Волга;3085;Костромская обл.;207 187 437,00;191 678 413,00;15 509 024,00;8,09
44;-1;РосЕвроБанк;3137;Москва и обл.;206 297 321,00;203 558 904,00;2 738 417,00;1,35
45;1;ДельтаКредит;3338;Москва и обл.;188 435 393,00;179 245 458,00;9 189 935,00;5,13
46;1;Транскапиталбанк;2210;Москва и обл.;185 545 330,00;176 769 936,00;8 775 394,00;4,96
47;1;Нордеа Банк;3016;Москва и обл.;183 220 616,00;168 790 329,00;14 430 287,00;8,55
48;-3;МТС Банк;2268;Москва и обл.;172 478 082,00;179 265 711,00;-6 787 629,00;-3,79
49;1;Инвестторгбанк;2763;Москва и обл.;162 015 637,00;147 811 405,00;14 204 232,00;9,61
50;1;РГС Банк;3073;Москва и обл.;157 145 634,00;144 364 102,00;12 781 532,00;8,85
51;-2;РНКБ;1354;Симферополь;150 101 103,00;148 725 880,00;1 375 223,00;0,92
52;1;Ренессанс Кредит;3354;Москва и обл.;144 952 392,00;141 335 575,00;3 616 817,00;2,56
53;-1;Национальный Расчетный Депозитарий;3294;Москва и обл.;144 083 816,00;143 496 514,00;587 302,00;0,41
54;1;ОТП Банк;2766;Москва и обл.;141 238 193,00;139 220 585,00;2 017 608,00;1,45
55;3;Сетелем Банк;2168;Москва и обл.;133 100 168,00;132 941 893,00;158 275,00;0,12
56;0;Кредит Европа Банк;3311;Москва и обл.;133 061 376,00;134 640 810,00;-1 579 434,00;-1,17
57;2;Авангард;2879;Москва и обл.;132 628 842,00;132 534 845,00;93 997,00;0,07
58;2;Запсибкомбанк;918;Тюменская обл.;125 036 498,00;123 586 544,00;1 449 954,00;1,17
59;3;Русфинанс Банк;1792;Самарская обл.;123 368 268,00;120 821 235,00;2 547 033,00;2,11
60;1;Банк Финсервис;3388;Москва и обл.;122 029 561,00;122 674 016,00;-644 455,00;-0,53
61;-4;Глобэкс;1942;Москва и обл.;120 453 039,00;133 530 992,00;-13 077 953,00;-9,79
