Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Июнь, 2018, тыс. рублей;Май, 2018, тыс. рублей;Изменение, тыс. рублей;Изменение, %
62;-8;Аверс;415;Татарстан;116 353 868,00;141 180 602,00;-24 826 734,00;-17,59
63;0;Таврический Банк;2304;Санкт-Петербург и обл.;113 187 345,00;113 096 586,00;90 759,00;0,08
64;4;Роскосмосбанк;2989;Москва и обл.;111 621 554,00;105 185 984,00;6 435 570,00;6,12
65;-1;СКБ-Банк;705;Свердловская обл.;111 490 068,00;110 815 647,00;674 421,00;0,61
66;3;Росэксимбанк;2790;Москва и обл.;110 096 278,00;105 037 202,00;5 059 076,00;4,82
67;0;Центр-инвест;2225;Ростовская обл.;109 654 633,00;108 009 076,00;1 645 557,00;1,52
68;-3;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;108 697 968,00;110 632 124,00;-1 934 156,00;-1,75
69;-3;МСП Банк;3340;Москва и обл.;105 980 833,00;109 410 643,00;-3 429 810,00;-3,13
70;0;ЦентроКредит;121;Москва и обл.;95 140 168,00;94 822 428,00;317 740,00;0,34
71;2;Балтинвестбанк;3176;Санкт-Петербург и обл.;94 089 843,00;89 377 457,00;4 712 386,00;5,27
72;-1;Союз;2307;Москва и обл.;92 243 999,00;90 293 686,00;1 950 313,00;2,16
73;-1;Кубань Кредит;2518;Краснодарский край;89 486 742,00;89 712 782,00;-226 040,00;-0,25
74;0;ВУЗ-Банк;1557;Свердловская обл.;88 586 441,00;86 845 274,00;1 741 167,00;2,00
75;0;РН Банк;170;Москва и обл.;86 654 866,00;86 746 791,00;-91 925,00;-0,11
76;1;Металлинвестбанк;2440;Москва и обл.;84 535 966,00;82 285 887,00;2 250 079,00;2,73
77;-1;Локо-Банк;2707;Москва и обл.;82 093 163,00;84 334 647,00;-2 241 484,00;-2,66
78;1;Дойче Банк;3328;Москва и обл.;76 359 932,00;77 621 942,00;-1 262 010,00;-1,63
79;2;Мидзухо Банк;3337;Москва и обл.;69 816 668,00;70 327 342,00;-510 674,00;-0,73
80;0;Меткомбанк (Каменск-Уральский);2443;Свердловская обл.;69 337 394,00;70 716 201,00;-1 378 807,00;-1,95
81;1;Экспобанк;2998;Москва и обл.;64 770 028,00;66 290 377,00;-1 520 349,00;-2,29
82;-4;Эйч-Эс-Би-Си Банк (HSBC);3290;Москва и обл.;64 620 943,00;79 659 641,00;-15 038 698,00;-18,88
83;5;БНП Париба Банк;3407;Москва и обл.;62 113 423,00;57 550 567,00;4 562 856,00;7,93
84;-1;Тимер Банк;1581;Татарстан;61 249 499,00;61 330 597,00;-81 098,00;-0,13
85;0;Тойота Банк;3470;Москва и обл.;60 333 142,00;60 014 730,00;318 412,00;0,53
86;8;Сумитомо Мицуи Рус Банк;3494;Москва и обл.;59 816 687,00;56 158 906,00;3 657 781,00;6,51
87;8;АйСиБиСи Банк;3475;Москва и обл.;58 710 829,00;55 348 414,00;3 362 415,00;6,07
88;-1;БКС Банк;101;Новосибирская обл.;58 100 693,00;58 203 271,00;-102 578,00;-0,18
89;0;Севергазбанк;2816;Вологодская обл.;57 897 800,00;57 484 870,00;412 930,00;0,72
90;0;Балтийский Банк;128;Санкт-Петербург и обл.;57 511 921,00;57 323 006,00;188 915,00;0,33
91;7;Эм-Ю-Эф-Джи Банк (Евразия);3465;Москва и обл.;56 955 398,00;54 507 522,00;2 447 876,00;4,49
92;4;СДМ-Банк;1637;Москва и обл.;56 366 690,00;55 073 275,00;1 293 415,00;2,35
93;-7;Банк Интеза;2216;Москва и обл.;56 315 633,00;58 716 736,00;-2 401 103,00;-4,09
94;-3;ББР Банк;2929;Москва и обл.;56 269 468,00;56 799 684,00;-530 216,00;-0,93
95;-2;Крайинвестбанк;3360;Краснодарский край;56 162 227,00;56 384 239,00;-222 012,00;-0,39
96;1;Примсоцбанк;2733;Приморский край;55 313 113,00;55 012 491,00;300 622,00;0,55
97;-13;Фора-Банк;1885;Москва и обл.;54 887 057,00;61 168 321,00;-6 281 264,00;-10,27
98;3;Международный Финансовый Клуб;2618;Москва и обл.;54 882 618,00;51 855 739,00;3 026 879,00;5,84
99;1;Левобережный;1343;Новосибирская обл.;54 260 686,00;53 494 124,00;766 562,00;1,43
100;-1;Социнвестбанк;1132;Башкортостан;53 433 678,00;54 502 391,00;-1 068 713,00;-1,96
101;3;Данске Банк;3307;Санкт-Петербург и обл.;52 720 229,00;48 792 147,00;3 928 082,00;8,05
102;0;Челябинвестбанк;493;Челябинская обл.;51 873 692,00;51 809 063,00;64 629,00;0,12
103;-11;Еврофинанс Моснарбанк;2402;Москва и обл.;51 698 746,00;56 603 357,00;-4 904 611,00;-8,66
104;-1;Челиндбанк;485;Челябинская обл.;50 310 268,00;50 099 958,00;210 310,00;0,42
105;2;Коммерцбанк (Евразия);3333;Москва и обл.;48 727 394,00;47 131 177,00;1 596 217,00;3,39
106;4;СЭБ Банк;3235;Санкт-Петербург и обл.;48 331 805,00;45 068 174,00;3 263 631,00;7,24
107;4;Креди Агриколь КИБ;1680;Санкт-Петербург и обл.;48 302 831,00;43 015 359,00;5 287 472,00;12,29
108;-3;Газэнергобанк;3252;Калужская обл.;47 748 761,00;47 449 187,00;299 574,00;0,63
109;-3;Генбанк;2490;Симферополь;47 525 755,00;47 234 479,00;291 276,00;0,62
110;2;Интерпрогрессбанк;600;Москва и обл.;46 844 444,00;42 490 277,00;4 354 167,00;10,25
111;-3;Банк «Советский»;558;Санкт-Петербург и обл.;46 481 350,00;46 855 174,00;-373 824,00;-0,80
112;-3;Саровбизнесбанк;2048;Нижегородская обл.;45 005 886,00;45 188 682,00;-182 796,00;-0,40
113;0;Мир Бизнес Банк;3396;Москва и обл.;42 964 214,00;42 131 574,00;832 640,00;1,98
114;0;Бэнк оф Чайна;2309;Москва и обл.;42 935 120,00;42 008 699,00;926 421,00;2,21
115;1;Объединенный Капитал;2611;Санкт-Петербург и обл.;42 877 512,00;40 831 483,00;2 046 029,00;5,01
116;-1;Международный Банк Санкт-Петербурга (МБСП);197;Санкт-Петербург и обл.;41 149 516,00;41 369 708,00;-220 192,00;-0,53
117;1;БыстроБанк;1745;Удмуртия;38 884 578,00;39 074 145,00;-189 567,00;-0,49
118;4;Дж. П. Морган Банк;2629;Москва и обл.;38 332 166,00;35 007 969,00;3 324 197,00;9,50
119;0;Энерготрансбанк;1307;Калининградская обл.;37 588 518,00;38 720 244,00;-1 131 726,00;-2,92
120;0;Кольцо Урала;65;Свердловская обл.;36 385 266,00;36 760 289,00;-375 023,00;-1,02
121;4;Дальневосточный Банк;843;Приморский край;35 860 479,00;34 216 886,00;1 643 593,00;4,80
122;-5;Платежный Центр;3166;Новосибирская обл.;35 747 082,00;40 222 263,00;-4 475 181,00;-11,13
123;-2;Финанс Бизнес Банк;520;Москва и обл.;35 327 909,00;35 381 646,00;-53 737,00;-0,15
124;-1;БМВ Банк;3482;Москва и обл.;35 195 568,00;34 860 843,00;334 725,00;0,96
125;1;Солидарность;554;Самарская обл.;33 672 902,00;33 252 421,00;420 481,00;1,26
126;2;Фольксваген Банк Рус;3500;Москва и обл.;33 114 243,00;32 909 712,00;204 531,00;0,62
127;0;Кредит Урал Банк;2584;Челябинская обл.;32 554 030,00;33 187 886,00;-633 856,00;-1,91
128;2;Квантмобайл Банк;1189;Москва и обл.;32 272 302,00;31 937 011,00;335 291,00;1,05
129;2;Девон-Кредит;1972;Татарстан;31 867 970,00;30 727 982,00;1 139 988,00;3,71
130;2;НС Банк;3124;Москва и обл.;31 369 342,00;30 080 653,00;1 288 689,00;4,28
131;-2;Приморье;3001;Приморский край;30 746 516,00;32 497 601,00;-1 751 085,00;-5,39
132;1;Интерпромбанк;3266;Москва и обл.;29 688 435,00;29 685 663,00;2 772,00;0,01
133;2;Алмазэргиэнбанк;2602;Саха (Якутия);28 538 734,00;28 834 728,00;-295 994,00;-1,03
134;2;Ланта-Банк;1920;Москва и обл.;28 351 446,00;28 220 991,00;130 455,00;0,46
135;-11;Банк Кредит Свисс;2494;Москва и обл.;28 042 945,00;34 354 541,00;-6 311 596,00;-18,37
136;5;Мерседес-Бенц Банк Рус;3473;Москва и обл.;25 981 307,00;24 702 927,00;1 278 380,00;5,18
137;1;Бинбанк Диджитал;2827;Москва и обл.;25 862 748,00;27 696 976,00;-1 834 228,00;-6,62
138;4;Татсоцбанк;480;Татарстан;25 856 312,00;24 546 019,00;1 310 293,00;5,34
139;0;Газбанк;2316;Самарская обл.;25 476 239,00;26 404 368,00;-928 129,00;-3,52
140;0;Чайна Констракшн;3515;Москва и обл.;25 310 976,00;25 421 912,00;-110 936,00;-0,44
141;18;Москоммерцбанк;3365;Москва и обл.;25 286 340,00;20 652 363,00;4 633 977,00;22,44
142;3;Акибанк;2587;Татарстан;24 843 565,00;24 155 404,00;688 161,00;2,85
143;0;Курскпромбанк;735;Курская обл.;24 782 596,00;24 474 705,00;307 891,00;1,26
144;-10;Национальный Стандарт;3421;Москва и обл.;24 761 077,00;29 679 809,00;-4 918 732,00;-16,57
145;13;Натиксис Банк;3390;Москва и обл.;24 438 756,00;20 981 107,00;3 457 649,00;16,48
146;-2;Урал ФД;249;Пермская обл.;24 399 253,00;24 181 878,00;217 375,00;0,90
147;0;Киви Банк;2241;Москва и обл.;23 524 054,00;23 814 663,00;-290 609,00;-1,22
148;2;Петербургский Социальный Коммерческий Банк;2551;Санкт-Петербург и обл.;23 251 828,00;23 176 124,00;75 704,00;0,33
149;4;Хлынов;254;Кировская обл.;23 161 722,00;22 749 775,00;411 947,00;1,81
150;1;Энергобанк;67;Татарстан;23 087 848,00;23 065 826,00;22 022,00;0,10
151;1;Собинбанк;1317;Москва и обл.;22 883 816,00;22 863 672,00;20 144,00;0,09
152;-4;Липецккомбанк;1242;Липецкая обл.;22 851 623,00;23 400 127,00;-548 504,00;-2,34
153;2;Экономбанк;1319;Саратовская обл.;22 421 027,00;22 082 758,00;338 269,00;1,53
154;-5;Инбанк;1829;Москва и обл.;22 412 064,00;23 332 707,00;-920 643,00;-3,95
155;-1;Александровский;53;Санкт-Петербург и обл.;22 284 493,00;22 090 205,00;194 288,00;0,88
156;0;Агропромкредит;2880;Москва и обл.;22 109 218,00;22 072 335,00;36 883,00;0,17
157;-20;ЦМРБанк;3531;Москва и обл.;21 681 143,00;27 829 403,00;-6 148 260,00;-22,09
158;-1;Роскомснаббанк (бывш. Башкомснаббанк);1398;Башкортостан;21 455 231,00;21 224 788,00;230 443,00;1,09
159;2;НБД-Банк;1966;Нижегородская обл.;20 562 264,00;20 035 503,00;526 761,00;2,63
160;2;Кошелев-Банк;3300;Самарская обл.;20 458 449,00;19 977 296,00;481 153,00;2,41
161;3;Московское Ипотечное Агентство;3344;Москва и обл.;20 306 899,00;19 723 946,00;582 953,00;2,96
162;13;Аресбанк;2914;Москва и обл.;20 246 268,00;15 301 054,00;4 945 214,00;32,32
163;3;Держава;2738;Москва и обл.;20 179 782,00;18 412 818,00;1 766 964,00;9,60
164;-4;Денизбанк Москва;3330;Москва и обл.;20 156 929,00;20 219 038,00;-62 109,00;-0,31
165;-2;Джей энд Ти Банк;3061;Москва и обл.;19 586 751,00;19 918 094,00;-331 343,00;-1,66
166;2;Тольяттихимбанк;2507;Самарская обл.;18 388 684,00;17 853 317,00;535 367,00;3,00
167;0;Банк Акцепт;567;Новосибирская обл.;17 974 537,00;18 291 447,00;-316 910,00;-1,73
168;-3;Алеф-Банк;2119;Москва и обл.;17 802 828,00;18 468 084,00;-665 256,00;-3,60
169;0;Пойдем!;2534;Москва и обл.;17 713 507,00;17 363 746,00;349 761,00;2,01
170;11;Руснарбанк;3403;Москва и обл.;17 222 538,00;15 081 587,00;2 140 951,00;14,20
171;0;Ури Банк;3479;Москва и обл.;16 810 137,00;16 221 579,00;588 558,00;3,63
172;2;Прио-Внешторгбанк;212;Рязанская обл.;16 422 172,00;15 885 535,00;536 637,00;3,38
173;6;НК Банк;2755;Москва и обл.;16 404 780,00;15 218 524,00;1 186 256,00;7,79
174;-1;Гарант-Инвест;2576;Москва и обл.;16 348 527,00;16 142 971,00;205 556,00;1,27
175;1;Ишбанк;2867;Москва и обл.;15 913 203,00;15 291 268,00;621 935,00;4,07
176;2;МС Банк Рус;2789;Москва и обл.;15 776 237,00;15 228 637,00;547 600,00;3,60
177;3;Модульбанк;1927;Костромская обл.;15 421 959,00;15 099 919,00;322 040,00;2,13
178;-1;Национальный Резервный Банк;2170;Москва и обл.;15 232 238,00;15 285 473,00;-53 235,00;-0,35
179;-9;Рублев;3098;Москва и обл.;14 928 593,00;16 720 999,00;-1 792 406,00;-10,72
180;3;Форштадт;2208;Оренбургская обл.;14 894 006,00;14 764 531,00;129 475,00;0,88
181;4;Развитие-Столица;3013;Москва и обл.;14 738 627,00;14 493 161,00;245 466,00;1,69
182;0;Нацинвестпромбанк;3077;Москва и обл.;14 705 485,00;14 917 672,00;-212 187,00;-1,42
183;-11;Российская Финансовая Корпорация;3099;Москва и обл.;14 612 872,00;16 221 336,00;-1 608 464,00;-9,92
184;2;Норвик Банк;902;Кировская обл.;14 545 913,00;14 238 569,00;307 344,00;2,16
185;9;КЭБ ЭйчЭнБи Банк;3525;Москва и обл.;14 362 667,00;13 031 900,00;1 330 767,00;10,21
186;5;Банк Казани;708;Татарстан;14 148 821,00;13 340 021,00;808 800,00;6,06
187;0;Морской Банк;77;Москва и обл.;14 122 079,00;14 081 501,00;40 578,00;0,29
188;2;РосДорБанк;1573;Москва и обл.;13 822 457,00;13 529 976,00;292 481,00;2,16
189;-5;МБА-Москва;3395;Москва и обл.;13 709 498,00;14 632 793,00;-923 295,00;-6,31
190;-2;Национальная Факторинговая Компания;3437;Москва и обл.;13 705 028,00;14 031 913,00;-326 885,00;-2,33
191;2;Ассоциация;732;Нижегородская обл.;13 471 498,00;13 219 976,00;251 522,00;1,90
192;0;Нижневолжский Коммерческий Банк;931;Саратовская обл.;13 418 857,00;13 243 485,00;175 372,00;1,32
193;3;Консервативный Коммерческий Банк;1087;Астраханская обл.;13 394 119,00;12 904 539,00;489 580,00;3,79
194;-5;КС Банк;1752;Мордовия;13 329 391,00;13 639 069,00;-309 678,00;-2,27
195;-49;Морган Стэнли Банк;3456;Москва и обл.;12 811 096,00;24 120 124,00;-11 309 028,00;-46,89
196;1;Уралтрансбанк;812;Свердловская обл.;12 623 397,00;12 899 391,00;-275 994,00;-2,14
197;-2;НИКО-Банк;702;Оренбургская обл.;12 411 273,00;12 911 709,00;-500 436,00;-3,88
198;3;Тройка-Д Банк;3431;Москва и обл.;12 352 865,00;12 193 491,00;159 374,00;1,31
199;0;Современный Коммерческий Инновационный Банк;3329;Костромская обл.;12 270 622,00;12 461 569,00;-190 947,00;-1,53
200;0;Русский Ипотечный Банк;1968;Москва и обл.;12 166 262,00;12 242 815,00;-76 553,00;-0,63
201;22;Ю Би Эс Банк;3463;Москва и обл.;12 018 955,00;8 419 086,00;3 599 869,00;42,76
202;0;Первомайский;518;Краснодарский край;11 984 987,00;12 080 316,00;-95 329,00;-0,79
203;0;ТЭМБР-Банк;2764;Москва и обл.;11 892 067,00;11 659 180,00;232 887,00;2,00
204;9;Солид Банк;1329;Приморский край;11 704 420,00;9 896 299,00;1 808 121,00;18,27
205;-1;Банк Оренбург;3269;Оренбургская обл.;11 696 697,00;11 645 407,00;51 290,00;0,44
206;-1;Агросоюз;1459;Москва и обл.;11 118 150,00;10 872 526,00;245 624,00;2,26
207;-1;Датабанк;646;Удмуртия;10 938 514,00;10 851 089,00;87 425,00;0,81
208;3;Снежинский;1376;Челябинская обл.;10 855 124,00;10 316 581,00;538 543,00;5,22
209;-2;Юг-Инвестбанк;2772;Краснодарский край;10 790 787,00;10 805 482,00;-14 695,00;-0,14
210;0;Воронеж;654;Воронежская обл.;10 389 820,00;10 490 187,00;-100 367,00;-0,96
211;-2;Реалист Банк;1067;Иркутская обл.;10 268 581,00;10 564 277,00;-295 696,00;-2,80
212;-4;Автоторгбанк;2776;Москва и обл.;10 233 428,00;10 731 623,00;-498 195,00;-4,64
213;-1;Русьуниверсалбанк;3293;Москва и обл.;9 925 087,00;9 923 738,00;1 349,00;0,01
214;3;Банк Раунд;2506;Москва и обл.;9 811 221,00;9 450 851,00;360 370,00;3,81
215;-1;Екатеринбург;3161;Свердловская обл.;9 740 646,00;9 889 346,00;-148 700,00;-1,50
216;-1;Азия-Инвест Банк;3303;Москва и обл.;9 661 912,00;9 832 809,00;-170 897,00;-1,74
217;-1;Банк Жилищного Финансирования;3138;Москва и обл.;9 465 574,00;9 828 180,00;-362 606,00;-3,69
218;3;РусЮгбанк;2093;Волгоградская обл.;9 130 039,00;8 924 719,00;205 320,00;2,30
219;0;РЕСО Кредит;3450;Москва и обл.;9 028 998,00;9 353 430,00;-324 432,00;-3,47
220;0;Таатта;1249;Саха (Якутия);8 791 207,00;9 319 283,00;-528 076,00;-5,67
221;1;Промтрансбанк;2638;Башкортостан;8 768 222,00;8 563 798,00;204 424,00;2,39
222;12;Углеметбанк;2997;Челябинская обл.;8 541 720,00;7 683 323,00;858 397,00;11,17
223;3;Московский Нефтехимический Банк;1411;Москва и обл.;8 515 868,00;8 178 449,00;337 419,00;4,13
224;3;Энергомашбанк;52;Санкт-Петербург и обл.;8 443 783,00;8 103 101,00;340 682,00;4,20
225;-1;Томскпромстройбанк;1720;Томская обл.;8 384 124,00;8 295 425,00;88 699,00;1,07
226;4;ФорБанк;2063;Москва и обл.;8 273 957,00;7 957 083,00;316 874,00;3,98
227;-2;Кранбанк;2271;Ивановская обл.;8 223 175,00;8 220 995,00;2 180,00;0,03
228;1;Кузнецкбизнесбанк;1158;Кемеровская обл.;8 179 983,00;7 968 472,00;211 511,00;2,65
229;-11;ЮMoney;3510;Россия;8 136 042,00;9 416 194,00;-1 280 152,00;-13,60
230;12;Голдман Сакс Банк;3490;Москва и обл.;7 983 066,00;7 038 326,00;944 740,00;13,42
231;2;Белгородсоцбанк;760;Белгородская обл.;7 860 788,00;7 746 220,00;114 568,00;1,48
232;-4;Эксперт Банк;2949;Омская обл.;7 854 451,00;8 076 683,00;-222 232,00;-2,75
233;2;Хакасский Муниципальный Банк;1049;Хакасия;7 820 468,00;7 682 733,00;137 735,00;1,79
234;2;Актив Банк;2529;Мордовия;7 797 805,00;7 659 320,00;138 485,00;1,81
235;-4;Славия;2664;Москва и обл.;7 768 845,00;7 778 071,00;-9 226,00;-0,12
236;-4;Трансстройбанк;2807;Москва и обл.;7 717 832,00;7 777 328,00;-59 496,00;-0,76
237;0;Коммерческий Индо Банк;3446;Москва и обл.;7 580 937,00;7 570 199,00;10 738,00;0,14
238;39;Эс-Би-Ай Банк;3185;Москва и обл.;7 567 835,00;5 312 591,00;2 255 244,00;42,45
239;1;Нейва;1293;Свердловская обл.;7 523 644,00;7 245 299,00;278 345,00;3,84
240;-2;СИАБ;3245;Санкт-Петербург и обл.;7 390 909,00;7 493 587,00;-102 678,00;-1,37
241;3;Сибсоцбанк;2015;Алтайский край;7 207 144,00;6 963 922,00;243 222,00;3,49
242;-1;Ставропольпромстройбанк;1288;Ставропольский край;7 111 272,00;7 236 036,00;-124 764,00;-1,72
243;0;Финам Банк;2799;Москва и обл.;7 103 020,00;6 971 565,00;131 455,00;1,89
244;2;Союзный;3236;Москва и обл.;6 956 988,00;6 912 767,00;44 221,00;0,64
245;6;Банк БКФ;2684;Москва и обл.;6 932 766,00;6 660 534,00;272 232,00;4,09
246;3;Новобанк;1352;Новгородская обл.;6 843 185,00;6 705 990,00;137 195,00;2,05
247;-2;Муниципальный Камчатпрофитбанк;2103;Камчатская обл.;6 834 163,00;6 932 707,00;-98 544,00;-1,42
248;2;Северный Народный Банк;2721;Коми;6 783 950,00;6 689 372,00;94 578,00;1,41
249;-10;Ростфинанс;481;Ростовская обл.;6 714 379,00;7 293 087,00;-578 708,00;-7,94
250;9;Сити Инвест Банк;3194;Санкт-Петербург и обл.;6 631 139,00;6 304 815,00;326 324,00;5,18
251;-4;Банк Сберегательно-Кредитного Сервиса;3224;Москва и обл.;6 582 918,00;6 823 099,00;-240 181,00;-3,52
252;3;Проминвестбанк;2433;Москва и обл.;6 569 873,00;6 413 147,00;156 726,00;2,44
253;1;Чайнасельхозбанк;3529;Москва и обл.;6 532 511,00;6 464 588,00;67 923,00;1,05
254;-2;Зираат Банк;2559;Москва и обл.;6 527 435,00;6 487 973,00;39 462,00;0,61
255;2;Газтрансбанк;665;Краснодарский край;6 470 618,00;6 337 927,00;132 691,00;2,09
256;-3;Русь;704;Оренбургская обл.;6 452 473,00;6 478 231,00;-25 758,00;-0,40
257;-9;Нефтепромбанк;2156;Москва и обл.;6 436 021,00;6 754 315,00;-318 294,00;-4,71
258;-2;Вокбанк;312;Нижегородская обл.;6 428 624,00;6 389 720,00;38 904,00;0,61
259;2;Автоградбанк;1455;Татарстан;6 321 028,00;6 232 539,00;88 489,00;1,42
