Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Июль, 2014, тыс. рублей;Июнь, 2014, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;17 853 466 005,00;17 916 590 174,00;-63 124 169,00;-0,35
2;0;ВТБ;1000;Санкт-Петербург и обл.;6 421 715 674,00;6 255 620 145,00;166 095 529,00;2,66
3;0;Газпромбанк;354;Москва и обл.;3 814 395 661,00;3 912 129 498,00;-97 733 837,00;-2,50
4;0;ВТБ 24;1623;Москва и обл.;2 374 046 587,00;2 380 578 773,00;-6 532 186,00;-0,27
5;1;БМ-Банк;2748;Москва и обл.;2 067 123 250,00;1 910 533 506,00;156 589 744,00;8,20
6;-1;Россельхозбанк;3349;Москва и обл.;1 883 095 991,00;1 941 267 472,00;-58 171 481,00;-3,00
7;0;Альфа-Банк;1326;Москва и обл.;1 608 017 241,00;1 553 548 233,00;54 469 008,00;3,51
8;0;Банк Открытие;2209;Москва и обл.;1 010 145 889,00;1 039 494 580,00;-29 348 691,00;-2,82
9;1;ЮниКредит Банк;1;Москва и обл.;947 737 007,00;896 838 419,00;50 898 588,00;5,68
10;-1;Национальный Клиринговый Центр;3466;Москва и обл.;933 306 433,00;911 321 145,00;21 985 288,00;2,41
11;0;Промсвязьбанк;3251;Москва и обл.;797 325 522,00;812 760 032,00;-15 434 510,00;-1,90
12;0;Росбанк;2272;Москва и обл.;774 233 052,00;804 878 405,00;-30 645 353,00;-3,81
13;0;Райффайзенбанк;3292;Москва и обл.;751 605 786,00;742 009 345,00;9 596 441,00;1,29
14;0;Московский Кредитный Банк;1978;Москва и обл.;493 715 033,00;472 219 294,00;21 495 739,00;4,55
15;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;468 301 431,00;453 951 226,00;14 350 205,00;3,16
16;1;Россия;328;Санкт-Петербург и обл.;446 230 745,00;400 488 021,00;45 742 724,00;11,42
17;-1;Русский Стандарт;2289;Москва и обл.;413 514 635,00;400 835 671,00;12 678 964,00;3,16
18;0;Ак Барс;2590;Татарстан;392 959 336,00;393 851 360,00;-892 024,00;-0,23
19;0;Банк Уралсиб;30;Москва и обл.;374 795 861,00;383 562 199,00;-8 766 338,00;-2,29
20;2;Ситибанк;2557;Москва и обл.;353 356 045,00;339 346 117,00;14 009 928,00;4,13
21;0;МДМ Банк;2562;Новосибирская обл.;351 045 471,00;347 278 148,00;3 767 323,00;1,08
22;2;Ханты-Мансийский банк Открытие;1971;Тюменская обл.;348 575 729,00;331 023 587,00;17 552 142,00;5,30
23;0;Связь-Банк;1470;Москва и обл.;342 909 092,00;334 986 529,00;7 922 563,00;2,37
24;-4;Хоум Кредит Банк;316;Москва и обл.;341 126 856,00;363 907 039,00;-22 780 183,00;-6,26
25;0;Нордеа Банк;3016;Москва и обл.;305 673 327,00;326 769 687,00;-21 096 360,00;-6,46
26;1;Банк Зенит;3255;Москва и обл.;266 626 315,00;265 631 121,00;995 194,00;0,37
27;2;Петрокоммерц;1776;Москва и обл.;265 285 479,00;262 920 218,00;2 365 261,00;0,90
28;0;Восточный Банк;1460;Амурская обл.;261 344 489,00;265 558 772,00;-4 214 283,00;-1,59
29;1;Глобэкс;1942;Москва и обл.;257 245 895,00;256 812 098,00;433 797,00;0,17
30;1;Бинбанк;323;Москва и обл.;246 180 094,00;250 735 271,00;-4 555 177,00;-1,82
31;1;Траст;3279;Москва и обл.;245 368 420,00;248 041 814,00;-2 673 394,00;-1,08
32;2;Возрождение;1439;Москва и обл.;225 412 613,00;223 472 710,00;1 939 903,00;0,87
33;2;Банк «Открытие»;2179;Москва и обл.;223 284 157,00;222 257 418,00;1 026 739,00;0,46
34;2;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;222 101 948,00;221 380 877,00;721 071,00;0,33
35;-2;Московский Областной Банк;1751;Москва и обл.;219 393 938,00;226 796 232,00;-7 402 294,00;-3,26
36;5;Новикомбанк;2546;Москва и обл.;211 664 100,00;181 262 314,00;30 401 786,00;16,77
37;1;Абсолют Банк;2306;Москва и обл.;206 007 884,00;195 218 925,00;10 788 959,00;5,53
38;2;МТС Банк;2268;Москва и обл.;203 008 174,00;193 366 290,00;9 641 884,00;4,99
39;0;Московский Индустриальный Банк;912;Москва и обл.;196 307 149,00;194 567 411,00;1 739 738,00;0,89
40;-3;ИНГ Банк;2495;Москва и обл.;195 462 208,00;218 313 168,00;-22 850 960,00;-10,47
41;2;Совкомбанк;963;Костромская обл.;179 233 520,00;176 128 228,00;3 105 292,00;1,76
42;0;Внешпромбанк;3261;Москва и обл.;171 497 356,00;176 143 043,00;-4 645 687,00;-2,64
