Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Октябрь, 2010, тыс. рублей;Сентябрь, 2010, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;8 574 836 002,00;8 243 891 885,00;330 944 117,00;4,01
2;0;ВТБ;1000;Санкт-Петербург и обл.;2 710 395 365,00;2 752 157 150,00;-41 761 785,00;-1,52
3;0;Газпромбанк;354;Москва и обл.;1 638 309 625,00;1 602 450 227,00;35 859 398,00;2,24
4;0;Россельхозбанк;3349;Москва и обл.;1 029 361 254,00;1 025 516 683,00;3 844 571,00;0,37
5;0;БМ-Банк;2748;Москва и обл.;989 729 827,00;911 602 136,00;78 127 691,00;8,57
6;0;ВТБ 24;1623;Москва и обл.;828 370 324,00;816 115 564,00;12 254 760,00;1,50
7;0;Альфа-Банк;1326;Москва и обл.;787 695 851,00;741 559 533,00;46 136 318,00;6,22
8;0;ЮниКредит Банк;1;Москва и обл.;570 891 817,00;551 868 494,00;19 023 323,00;3,45
9;0;Райффайзенбанк;3292;Москва и обл.;517 517 348,00;532 379 216,00;-14 861 868,00;-2,79
10;0;Промсвязьбанк;3251;Москва и обл.;500 035 890,00;496 772 704,00;3 263 186,00;0,66
11;2;МДМ Банк;2562;Новосибирская обл.;428 128 730,00;403 075 828,00;25 052 902,00;6,22
12;-1;Банк Уралсиб;30;Москва и обл.;415 379 453,00;410 454 444,00;4 925 009,00;1,20
13;-1;Росбанк;2272;Москва и обл.;389 596 336,00;403 725 312,00;-14 128 976,00;-3,50
14;0;Транскредитбанк;2142;Москва и обл.;346 932 317,00;353 225 289,00;-6 292 972,00;-1,78
15;0;Банк Открытие;2209;Москва и обл.;307 192 760,00;286 568 472,00;20 624 288,00;7,20
16;3;Ситибанк;2557;Москва и обл.;270 008 840,00;235 386 231,00;34 622 609,00;14,71
17;-1;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;260 497 401,00;247 009 275,00;13 488 126,00;5,46
18;0;ВТБ Северо-Запад;439;Санкт-Петербург и обл.;243 248 094,00;238 072 714,00;5 175 380,00;2,17
19;-2;Ак Барс;2590;Татарстан;241 674 244,00;241 487 183,00;187 061,00;0,08
20;1;Россия;328;Санкт-Петербург и обл.;232 523 769,00;222 548 639,00;9 975 130,00;4,48
21;-1;Связь-Банк;1470;Москва и обл.;200 504 312,00;230 885 984,00;-30 381 672,00;-13,16
22;2;Нордеа Банк;3016;Москва и обл.;182 179 750,00;170 262 442,00;11 917 308,00;7,00
23;-1;Петрокоммерц;1776;Москва и обл.;179 678 897,00;185 798 674,00;-6 119 777,00;-3,29
24;-1;Ханты-Мансийский банк Открытие;1971;Тюменская обл.;172 227 505,00;172 812 476,00;-584 971,00;-0,34
25;2;Банк Зенит;3255;Москва и обл.;168 826 533,00;156 241 062,00;12 585 471,00;8,06
26;-1;Возрождение;1439;Москва и обл.;164 498 698,00;163 977 188,00;521 510,00;0,32
27;1;Траст;3279;Москва и обл.;153 853 293,00;147 163 407,00;6 689 886,00;4,55
28;1;Русский Стандарт;2289;Москва и обл.;143 263 103,00;141 244 501,00;2 018 602,00;1,43
29;1;Банк Сосьете Женераль Восток;2295;Москва и обл.;140 256 860,00;132 937 219,00;7 319 641,00;5,51
30;4;Московский Кредитный Банк;1978;Москва и обл.;138 481 985,00;126 532 582,00;11 949 403,00;9,44
31;2;КИТ Финанс Инвестиционный Банк;1911;Санкт-Петербург и обл.;128 574 417,00;128 368 893,00;205 524,00;0,16
32;-1;ЦентроКредит;121;Москва и обл.;128 274 912,00;129 945 185,00;-1 670 273,00;-1,29
33;3;МТС Банк;2268;Москва и обл.;120 870 154,00;114 332 956,00;6 537 198,00;5,72
34;-2;Абсолют Банк;2306;Москва и обл.;119 768 476,00;129 781 844,00;-10 013 368,00;-7,72
35;0;Хоум Кредит Банк;316;Москва и обл.;117 318 355,00;116 448 883,00;869 472,00;0,75
36;37;Банк «Открытие»;2179;Москва и обл.;116 023 717,00;49 461 517,00;66 562 200,00;134,57
37;0;Национальный Клиринговый Центр;3466;Москва и обл.;113 471 856,00;113 647 064,00;-175 208,00;-0,15
38;1;ОТП Банк;2766;Москва и обл.;105 974 297,00;103 080 157,00;2 894 140,00;2,81
39;-1;ИНГ Банк;2495;Москва и обл.;105 268 183,00;108 839 391,00;-3 571 208,00;-3,28
40;0;Московский Индустриальный Банк;912;Москва и обл.;101 798 238,00;99 728 996,00;2 069 242,00;2,07
41;3;Глобэкс;1942;Москва и обл.;97 819 021,00;85 918 941,00;11 900 080,00;13,85
42;-1;РГС Банк;3073;Москва и обл.;94 776 113,00;94 928 326,00;-152 213,00;-0,16
43;-1;Русфинанс Банк;1792;Самарская обл.;91 261 605,00;86 525 923,00;4 735 682,00;5,47
44;-1;Бинбанк;323;Москва и обл.;87 265 463,00;85 950 055,00;1 315 408,00;1,53
45;1;Дойче Банк;3328;Москва и обл.;86 515 085,00;82 048 153,00;4 466 932,00;5,44
46;1;Восточный Банк;1460;Амурская обл.;83 983 095,00;76 649 815,00;7 333 280,00;9,57
47;-2;Юниаструм Банк;2771;Москва и обл.;80 545 502,00;82 495 892,00;-1 950 390,00;-2,36
48;1;Пробизнесбанк;2412;Москва и обл.;74 703 099,00;69 626 385,00;5 076 714,00;7,29
49;2;Банк Интеза;2216;Москва и обл.;73 501 893,00;68 890 471,00;4 611 422,00;6,69
50;0;Кредит Европа Банк;3311;Москва и обл.;71 694 334,00;68 967 666,00;2 726 668,00;3,95
51;1;Транскапиталбанк;2210;Москва и обл.;71 610 842,00;67 420 679,00;4 190 163,00;6,21
52;1;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;69 597 643,00;67 392 891,00;2 204 752,00;3,27
53;1;Мастер-Банк;2176;Москва и обл.;69 246 190,00;67 371 476,00;1 874 714,00;2,78
54;1;СКБ-Банк;705;Свердловская обл.;67 709 752,00;66 135 641,00;1 574 111,00;2,38
55;2;МСП Банк;3340;Москва и обл.;67 502 028,00;63 213 101,00;4 288 927,00;6,78
56;-8;Балтийский Банк;128;Москва и обл.;67 212 283,00;70 302 096,00;-3 089 813,00;-4,40
57;-1;РосЕвроБанк;3137;Москва и обл.;64 849 559,00;63 818 881,00;1 030 678,00;1,62
58;2;Собинбанк;1317;Москва и обл.;61 067 567,00;57 129 255,00;3 938 312,00;6,89
59;6;Внешпромбанк;3261;Москва и обл.;60 162 957,00;55 648 613,00;4 514 344,00;8,11
60;3;Запсибкомбанк;918;Тюменская обл.;59 708 389,00;55 975 308,00;3 733 081,00;6,67
61;-3;Союз;2307;Москва и обл.;58 997 108,00;57 914 008,00;1 083 100,00;1,87
62;-3;Татфондбанк;3058;Татарстан;58 629 610,00;57 865 471,00;764 139,00;1,32
63;3;Национальный Резервный Банк;2170;Москва и обл.;58 436 636,00;55 597 052,00;2 839 584,00;5,11
64;-3;Инвестторгбанк;2763;Москва и обл.;57 007 214,00;56 638 045,00;369 169,00;0,65
65;-3;СМП Банк;3368;Москва и обл.;55 747 164,00;56 115 932,00;-368 768,00;-0,66
66;2;БНП Париба Банк;3407;Москва и обл.;54 652 806,00;51 455 117,00;3 197 689,00;6,21
67;2;Авангард;2879;Москва и обл.;53 914 244,00;51 031 526,00;2 882 718,00;5,65
