Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Декабрь, 2017, тыс. рублей;Ноябрь, 2017, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;23 633 271 356,00;23 477 658 406,00;155 612 950,00;0,66
2;0;ВТБ;1000;Санкт-Петербург и обл.;9 353 664 727,00;9 335 743 708,00;17 921 019,00;0,19
3;0;Газпромбанк;354;Москва и обл.;5 613 397 081,00;5 487 313 311,00;126 083 770,00;2,30
4;0;ВТБ 24;1623;Москва и обл.;3 719 460 785,00;3 678 862 129,00;40 598 656,00;1,10
5;1;Национальный Клиринговый Центр;3466;Москва и обл.;3 213 300 548,00;2 899 630 763,00;313 669 785,00;10,82
6;-1;Россельхозбанк;3349;Москва и обл.;3 117 836 187,00;3 084 821 548,00;33 014 639,00;1,07
7;0;Альфа-Банк;1326;Москва и обл.;2 699 694 089,00;2 659 535 433,00;40 158 656,00;1,51
8;0;Банк Открытие;2209;Москва и обл.;2 159 564 309,00;2 109 056 129,00;50 508 180,00;2,39
9;0;Московский Кредитный Банк;1978;Москва и обл.;1 884 617 801,00;1 846 375 227,00;38 242 574,00;2,07
10;0;Промсвязьбанк;3251;Москва и обл.;1 326 171 969,00;1 347 154 328,00;-20 982 359,00;-1,56
11;0;Бинбанк;323;Москва и обл.;1 280 020 734,00;1 275 671 001,00;4 349 733,00;0,34
12;0;ЮниКредит Банк;1;Москва и обл.;1 172 446 752,00;1 137 526 567,00;34 920 185,00;3,07
13;1;Росбанк;2272;Москва и обл.;928 934 469,00;841 439 262,00;87 495 207,00;10,40
14;-1;Райффайзенбанк;3292;Москва и обл.;870 017 477,00;848 732 934,00;21 284 543,00;2,51
15;1;Россия;328;Санкт-Петербург и обл.;805 820 426,00;774 606 724,00;31 213 702,00;4,03
16;-1;Рост Банк;2888;Москва и обл.;805 179 357,00;823 998 252,00;-18 818 895,00;-2,28
17;0;Совкомбанк;963;Костромская обл.;697 561 010,00;684 836 850,00;12 724 160,00;1,86
18;1;Траст;3279;Москва и обл.;643 465 927,00;609 920 753,00;33 545 174,00;5,50
19;-1;БМ-Банк;2748;Москва и обл.;612 422 850,00;614 043 185,00;-1 620 335,00;-0,26
20;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;591 946 236,00;608 544 615,00;-16 598 379,00;-2,73
21;0;Банк Уралсиб;30;Москва и обл.;550 536 496,00;537 172 435,00;13 364 061,00;2,49
22;0;Московский Областной Банк;1751;Москва и обл.;529 443 223,00;523 416 882,00;6 026 341,00;1,15
23;0;Ситибанк;2557;Москва и обл.;498 253 026,00;505 717 632,00;-7 464 606,00;-1,48
24;0;Ак Барс;2590;Татарстан;444 969 319,00;451 102 567,00;-6 133 248,00;-1,36
25;1;Всероссийский Банк Развития Регионов;3287;Москва и обл.;431 027 296,00;384 941 982,00;46 085 314,00;11,97
26;-1;Русский Стандарт;2289;Москва и обл.;390 879 491,00;389 401 184,00;1 478 307,00;0,38
27;0;СМП Банк;3368;Москва и обл.;365 576 162,00;356 680 946,00;8 895 216,00;2,49
28;0;Банк ДОМ.РФ;2312;Москва и обл.;335 514 006,00;333 332 284,00;2 181 722,00;0,65
29;0;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;321 965 942,00;330 868 465,00;-8 902 523,00;-2,69
30;1;Новикомбанк;2546;Москва и обл.;293 197 506,00;276 502 167,00;16 695 339,00;6,04
31;-1;Восточный Банк;1460;Амурская обл.;281 547 550,00;278 427 140,00;3 120 410,00;1,12
32;0;Московский Индустриальный Банк;912;Москва и обл.;275 430 868,00;275 709 030,00;-278 162,00;-0,10
33;0;Тинькофф Банк;2673;Москва и обл.;273 233 059,00;266 376 497,00;6 856 562,00;2,57
34;3;Абсолют Банк;2306;Москва и обл.;273 085 931,00;251 630 029,00;21 455 902,00;8,53
35;-1;Связь-Банк;1470;Москва и обл.;272 680 631,00;261 804 323,00;10 876 308,00;4,15
