Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Март, 2016, тыс. рублей;Февраль, 2016, тыс. рублей;Изменение, тыс. рублей;Изменение, %
50;-4;Всероссийский Банк Развития Регионов;3287;Москва и обл.;167 688 506,00;174 434 726,00;-6 746 220,00;-3,87
51;-1;Тинькофф Банк;2673;Москва и обл.;164 482 883,00;158 921 590,00;5 561 293,00;3,50
52;-1;ДельтаКредит;3338;Москва и обл.;159 291 420,00;158 310 568,00;980 852,00;0,62
53;0;Кредит Европа Банк;3311;Москва и обл.;155 511 932,00;154 792 355,00;719 577,00;0,46
54;1;ОТП Банк;2766;Москва и обл.;153 210 977,00;153 207 398,00;3 579,00;0,00
55;-3;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;150 367 153,00;154 845 014,00;-4 477 861,00;-2,89
56;0;МСП Банк;3340;Москва и обл.;150 061 175,00;151 108 760,00;-1 047 585,00;-0,69
57;0;РГС Банк;3073;Москва и обл.;147 965 745,00;139 334 246,00;8 631 499,00;6,19
58;0;Авангард;2879;Москва и обл.;137 247 567,00;135 522 400,00;1 725 167,00;1,27
59;1;СКБ-Банк;705;Свердловская обл.;125 316 744,00;129 168 372,00;-3 851 628,00;-2,98
60;1;Инвестторгбанк;2763;Москва и обл.;124 043 965,00;125 794 143,00;-1 750 178,00;-1,39
61;-2;Ренессанс Кредит;3354;Москва и обл.;122 727 558,00;129 788 976,00;-7 061 418,00;-5,44
62;0;ЦентроКредит;121;Москва и обл.;110 151 493,00;122 281 172,00;-12 129 679,00;-9,92
63;6;Русфинанс Банк;1792;Самарская обл.;106 396 017,00;102 323 614,00;4 072 403,00;3,98
64;-1;Международный Финансовый Клуб;2618;Москва и обл.;106 306 550,00;111 380 236,00;-5 073 686,00;-4,56
65;0;Запсибкомбанк;918;Тюменская обл.;106 101 928,00;106 745 145,00;-643 217,00;-0,60
66;-2;БНП Париба Банк;3407;Москва и обл.;104 132 149,00;110 206 761,00;-6 074 612,00;-5,51
67;0;Локо-Банк;2707;Москва и обл.;103 173 914,00;102 477 202,00;696 712,00;0,68
68;0;Сетелем Банк;2168;Москва и обл.;102 270 399,00;102 378 547,00;-108 148,00;-0,11
69;1;Банк БФА;3038;Санкт-Петербург и обл.;98 493 057,00;99 156 940,00;-663 883,00;-0,67
70;3;Сургутнефтегазбанк;588;Ханты-Мансийский АО — Югра;96 662 294,00;96 318 637,00;343 657,00;0,36
71;5;Центр-инвест;2225;Ростовская обл.;94 717 479,00;92 908 747,00;1 808 732,00;1,95
72;2;Балтийский Банк;128;Санкт-Петербург и обл.;93 099 445,00;95 207 286,00;-2 107 841,00;-2,21
73;4;РосинтерБанк;226;Москва и обл.;91 566 413,00;91 741 832,00;-175 419,00;-0,19
74;4;Таврический Банк;2304;Санкт-Петербург и обл.;90 492 339,00;90 132 616,00;359 723,00;0,40
75;0;Бинбанк Диджитал;2827;Москва и обл.;90 420 404,00;93 770 923,00;-3 350 519,00;-3,57
76;5;Креди Агриколь КИБ;1680;Санкт-Петербург и обл.;87 989 622,00;81 524 142,00;6 465 480,00;7,93
77;-5;Эйч-Эс-Би-Си Банк (HSBC);3290;Москва и обл.;87 136 768,00;97 693 229,00;-10 556 461,00;-10,81
78;5;Аверс;415;Татарстан;86 682 873,00;77 187 421,00;9 495 452,00;12,30
79;0;Союз;2307;Москва и обл.;85 292 963,00;90 117 490,00;-4 824 527,00;-5,35
80;0;Юниаструм Банк;2771;Москва и обл.;83 954 705,00;83 866 271,00;88 434,00;0,11
81;-10;Дойче Банк;3328;Москва и обл.;81 991 650,00;97 861 636,00;-15 869 986,00;-16,22
82;4;Почта Банк;650;Москва и обл.;77 746 978,00;76 385 357,00;1 361 621,00;1,78
83;4;Банк Финсервис;3388;Москва и обл.;77 459 662,00;75 453 167,00;2 006 495,00;2,66
84;-2;Банк Интеза;2216;Москва и обл.;76 926 812,00;77 636 222,00;-709 410,00;-0,91
85;-1;Военно-Промышленный Банк;3065;Москва и обл.;75 859 818,00;77 038 086,00;-1 178 268,00;-1,53
86;-1;Балтинвестбанк;3176;Санкт-Петербург и обл.;74 771 594,00;77 026 139,00;-2 254 545,00;-2,93
87;6;РНКБ;1354;Симферополь;67 482 583,00;64 408 511,00;3 074 072,00;4,77
88;3;Кубань Кредит;2518;Краснодарский край;66 933 964,00;64 797 355,00;2 136 609,00;3,30
89;0;Экспобанк;2998;Москва и обл.;66 677 129,00;73 157 800,00;-6 480 671,00;-8,86
90;0;Металлинвестбанк;2440;Москва и обл.;66 078 646,00;65 522 445,00;556 201,00;0,85
91;-3;АйСиБиСи Банк;3475;Москва и обл.;64 766 246,00;74 030 108,00;-9 263 862,00;-12,51
92;0;БФГ-Кредит;3068;Москва и обл.;64 007 348,00;64 778 422,00;-771 074,00;-1,19
93;1;Образование;1521;Москва и обл.;62 539 650,00;62 370 353,00;169 297,00;0,27
94;2;Международный Банк Санкт-Петербурга (МБСП);197;Санкт-Петербург и обл.;59 382 029,00;58 449 337,00;932 692,00;1,60
95;0;Финпромбанк (ФПБ Банк);2157;Москва и обл.;58 058 150,00;58 449 727,00;-391 577,00;-0,67
96;1;Росэнергобанк;2211;Москва и обл.;57 963 793,00;57 139 823,00;823 970,00;1,44
97;2;Росэксимбанк;2790;Москва и обл.;57 097 887,00;55 204 413,00;1 893 474,00;3,43
98;0;РН Банк;170;Москва и обл.;56 480 324,00;56 735 560,00;-255 236,00;-0,45
99;1;БКС Банк;101;Новосибирская обл.;54 907 964,00;53 365 121,00;1 542 843,00;2,89
100;1;Крайинвестбанк;3360;Краснодарский край;51 958 695,00;50 960 016,00;998 679,00;1,96
101;1;СДМ-Банк;1637;Москва и обл.;50 555 118,00;50 860 814,00;-305 696,00;-0,60
102;1;Межтопэнергобанк;2956;Москва и обл.;50 299 817,00;50 192 466,00;107 351,00;0,21
103;2;ББР Банк;2929;Москва и обл.;50 018 348,00;49 072 687,00;945 661,00;1,93
104;2;Тойота Банк;3470;Москва и обл.;48 668 059,00;48 686 074,00;-18 015,00;-0,04
105;2;Сумитомо Мицуи Рус Банк;3494;Москва и обл.;47 961 172,00;48 260 852,00;-299 680,00;-0,62
106;2;Меткомбанк (Каменск-Уральский);2443;Свердловская обл.;47 959 907,00;47 618 049,00;341 858,00;0,72
107;2;Первобанк;3461;Самарская обл.;46 448 345,00;47 055 269,00;-606 924,00;-1,29
108;6;Бэнк оф Чайна;2309;Москва и обл.;46 327 860,00;44 989 557,00;1 338 303,00;2,97
109;-5;Коммерцбанк (Евразия);3333;Москва и обл.;46 276 198,00;50 034 228,00;-3 758 030,00;-7,51
110;1;Газэнергобанк;3252;Калужская обл.;45 840 621,00;45 693 291,00;147 330,00;0,32
111;1;МБА-Москва;3395;Москва и обл.;45 266 582,00;45 497 990,00;-231 408,00;-0,51
112;-2;Фора-Банк;1885;Москва и обл.;44 864 716,00;46 839 251,00;-1 974 535,00;-4,22
113;5;Челябинвестбанк;493;Челябинская обл.;43 886 250,00;43 427 442,00;458 808,00;1,06
114;-1;Интерпрогрессбанк;600;Москва и обл.;43 878 830,00;45 033 734,00;-1 154 904,00;-2,56
115;1;Социнвестбанк;1132;Башкортостан;43 865 780,00;43 697 696,00;168 084,00;0,38
116;3;Левобережный;1343;Новосибирская обл.;43 757 623,00;43 240 797,00;516 826,00;1,20
117;-2;Национальный Стандарт;3421;Москва и обл.;43 445 163,00;44 952 929,00;-1 507 766,00;-3,35
118;2;Челиндбанк;485;Челябинская обл.;43 291 468,00;42 895 471,00;395 997,00;0,92
119;-2;Примсоцбанк;2733;Приморский край;42 960 696,00;43 659 212,00;-698 516,00;-1,60
120;1;ПЧРБ Банк;3291;Москва и обл.;41 296 673,00;42 834 579,00;-1 537 906,00;-3,59
121;1;Интерпромбанк;3266;Москва и обл.;38 686 435,00;39 090 528,00;-404 093,00;-1,03
122;2;Банк «Советский»;558;Санкт-Петербург и обл.;38 438 871,00;37 513 205,00;925 666,00;2,47
123;2;Саровбизнесбанк;2048;Нижегородская обл.;37 883 141,00;37 328 225,00;554 916,00;1,49
124;-1;Еврофинанс Моснарбанк;2402;Москва и обл.;37 413 892,00;38 942 571,00;-1 528 679,00;-3,93
125;7;ОФК Банк;2270;Москва и обл.;37 046 891,00;34 743 869,00;2 303 022,00;6,63
126;0;Инвестиционный Республиканский Банк;2571;Москва и обл.;36 978 421,00;37 107 799,00;-129 378,00;-0,35
127;2;Меткомбанк (Череповец);901;Вологодская обл.;36 031 999,00;35 232 649,00;799 350,00;2,27
128;2;НС Банк;3124;Москва и обл.;35 536 220,00;35 142 723,00;393 497,00;1,12
129;-2;Кольцо Урала;65;Свердловская обл.;35 237 889,00;35 797 137,00;-559 248,00;-1,56
130;5;Тольяттихимбанк;2507;Самарская обл.;34 961 671,00;33 696 437,00;1 265 234,00;3,75
131;-3;ВУЗ-Банк;1557;Свердловская обл.;34 627 378,00;35 322 606,00;-695 228,00;-1,97
132;-1;Фольксваген Банк Рус;3500;Москва и обл.;34 186 909,00;34 994 086,00;-807 177,00;-2,31
133;3;Московское Ипотечное Агентство;3344;Москва и обл.;33 933 107,00;33 582 943,00;350 164,00;1,04
134;0;Русский Международный Банк;3123;Москва и обл.;33 808 253,00;34 344 472,00;-536 219,00;-1,56
135;3;Кедр;1574;Красноярский край;32 904 653,00;32 963 594,00;-58 941,00;-0,18
136;1;Дальневосточный Банк;843;Приморский край;30 806 821,00;32 971 539,00;-2 164 718,00;-6,57
137;4;Интехбанк;2705;Татарстан;30 240 776,00;30 238 226,00;2 550,00;0,01
138;5;Объединенный Капитал;2611;Санкт-Петербург и обл.;29 940 899,00;30 146 849,00;-205 950,00;-0,68
139;5;Кредит Урал Банк;2584;Челябинская обл.;29 670 179,00;29 595 907,00;74 272,00;0,25
140;-1;М2М Прайвет Банк;1414;Москва и обл.;29 590 328,00;31 961 071,00;-2 370 743,00;-7,42
141;6;Солидарность;554;Самарская обл.;29 541 130,00;29 086 296,00;454 834,00;1,56
142;0;БыстроБанк;1745;Удмуртия;29 492 387,00;30 201 297,00;-708 910,00;-2,35
143;2;Приморье;3001;Приморский край;29 299 317,00;29 588 546,00;-289 229,00;-0,98
144;2;Севергазбанк;2816;Вологодская обл.;29 151 385,00;29 583 356,00;-431 971,00;-1,46
145;5;АйМаниБанк;1975;Москва и обл.;28 559 705,00;28 860 958,00;-301 253,00;-1,04
146;-6;Собинбанк;1317;Москва и обл.;28 342 401,00;30 729 508,00;-2 387 107,00;-7,77
147;4;Газбанк;2316;Самарская обл.;28 247 370,00;28 197 223,00;50 147,00;0,18
148;-15;Держава;2738;Москва и обл.;27 722 448,00;34 461 855,00;-6 739 407,00;-19,56
149;-1;Москоммерцбанк;3365;Москва и обл.;27 493 996,00;28 980 713,00;-1 486 717,00;-5,13
150;4;Акибанк;2587;Татарстан;27 073 437,00;26 234 387,00;839 050,00;3,20
151;5;АктивКапитал Банк;3006;Самарская обл.;27 019 604,00;25 983 276,00;1 036 328,00;3,99
152;5;Квантмобайл Банк;1189;Москва и обл.;26 150 815,00;25 641 907,00;508 908,00;1,98
153;0;Агропромкредит;2880;Москва и обл.;26 045 379,00;26 639 622,00;-594 243,00;-2,23
154;1;Натиксис Банк;3390;Москва и обл.;25 922 022,00;26 007 012,00;-84 990,00;-0,33
155;4;Девон-Кредит;1972;Татарстан;25 470 155,00;25 192 703,00;277 452,00;1,10
156;2;Генбанк;2490;Симферополь;25 192 312,00;25 200 143,00;-7 831,00;-0,03
157;7;Алмазэргиэнбанк;2602;Саха (Якутия);25 091 981,00;24 514 118,00;577 863,00;2,36
158;4;Липецккомбанк;1242;Липецкая обл.;24 888 337,00;24 814 748,00;73 589,00;0,30
159;2;Легион;3117;Москва и обл.;24 884 115,00;25 082 696,00;-198 581,00;-0,79
160;0;Урал ФД;249;Пермская обл.;24 549 050,00;25 153 201,00;-604 151,00;-2,40
161;4;СтарБанк;548;Москва и обл.;24 295 327,00;23 858 988,00;436 339,00;1,83
162;-10;Мерседес-Бенц Банк Рус;3473;Москва и обл.;23 751 663,00;27 506 089,00;-3 754 426,00;-13,65
163;4;Ланта-Банк;1920;Москва и обл.;23 325 888,00;23 098 663,00;227 225,00;0,98
164;7;Экспо Финанс;2594;Москва и обл.;22 983 563,00;21 732 104,00;1 251 459,00;5,76
165;1;Платежный Центр;3166;Новосибирская обл.;22 914 241,00;23 518 143,00;-603 902,00;-2,57
166;-3;Морган Стэнли Банк;3456;Москва и обл.;22 557 518,00;24 665 828,00;-2 108 310,00;-8,55
167;3;Спурт Банк;2207;Татарстан;22 452 196,00;22 237 086,00;215 110,00;0,97
168;1;Аресбанк;2914;Москва и обл.;21 766 753,00;23 069 812,00;-1 303 059,00;-5,65
169;15;Энерготрансбанк;1307;Калининградская обл.;21 655 671,00;18 734 074,00;2 921 597,00;15,60
170;2;Энергобанк;67;Татарстан;21 618 189,00;21 607 747,00;10 442,00;0,05
171;2;Роскомснаббанк (бывш. Башкомснаббанк);1398;Башкортостан;20 973 118,00;21 415 427,00;-442 309,00;-2,07
172;10;БМВ Банк;3482;Москва и обл.;20 768 901,00;19 375 752,00;1 393 149,00;7,19
173;1;СЭБ Банк;3235;Санкт-Петербург и обл.;20 712 070,00;20 415 951,00;296 119,00;1,45
174;-25;Банк Кредит Свисс;2494;Москва и обл.;20 535 753,00;28 966 601,00;-8 430 848,00;-29,11
175;1;ФИА-Банк;2542;Самарская обл.;20 250 362,00;20 298 976,00;-48 614,00;-0,24
176;2;НБД-Банк;1966;Нижегородская обл.;20 228 748,00;20 121 657,00;107 091,00;0,53
177;3;Курскпромбанк;735;Курская обл.;20 015 338,00;19 537 086,00;478 252,00;2,45
178;-10;Морской Банк;77;Москва и обл.;19 951 680,00;23 080 023,00;-3 128 343,00;-13,55
179;0;Рублев;3098;Москва и обл.;19 633 997,00;20 081 792,00;-447 795,00;-2,23
180;-3;Денизбанк Москва;3330;Москва и обл.;19 118 802,00;20 289 743,00;-1 170 941,00;-5,77
181;10;Джей энд Ти Банк;3061;Москва и обл.;18 905 319,00;17 144 973,00;1 760 346,00;10,27
182;3;Данске Банк;3307;Санкт-Петербург и обл.;18 626 720,00;18 617 307,00;9 413,00;0,05
183;5;Хлынов;254;Кировская обл.;17 848 516,00;17 450 138,00;398 378,00;2,28
184;-1;Нацинвестпромбанк;3077;Москва и обл.;17 758 274,00;18 981 516,00;-1 223 242,00;-6,44
185;1;Алеф-Банк;2119;Москва и обл.;17 537 441,00;18 454 576,00;-917 135,00;-4,97
186;3;Развитие-Столица;3013;Москва и обл.;17 500 418,00;17 373 874,00;126 544,00;0,73
187;-12;Чайна Констракшн;3515;Москва и обл.;17 473 058,00;20 353 202,00;-2 880 144,00;-14,15
188;-1;Петербургский Социальный Коммерческий Банк;2551;Санкт-Петербург и обл.;17 401 393,00;17 702 067,00;-300 674,00;-1,70
189;3;Уралтрансбанк;812;Свердловская обл.;17 055 305,00;16 842 304,00;213 001,00;1,26
190;-9;Ури Банк;3479;Москва и обл.;17 046 922,00;19 391 869,00;-2 344 947,00;-12,09
191;8;Татсоцбанк;480;Татарстан;16 924 340,00;15 485 149,00;1 439 191,00;9,29
192;4;НК Банк;2755;Москва и обл.;16 581 120,00;16 145 964,00;435 156,00;2,70
193;2;Русский Ипотечный Банк;1968;Москва и обл.;16 482 400,00;16 239 246,00;243 154,00;1,50
194;-4;Расчетно-Кредитный Банк;103;Москва и обл.;16 154 316,00;17 360 872,00;-1 206 556,00;-6,95
195;2;Гранд Инвест Банк;3053;Москва и обл.;15 831 671,00;16 057 496,00;-225 825,00;-1,41
196;-2;Тройка-Д Банк;3431;Москва и обл.;15 639 812,00;16 487 539,00;-847 727,00;-5,14
197;-4;Гарант-Инвест;2576;Москва и обл.;15 624 355,00;16 620 341,00;-995 986,00;-5,99
198;2;Национальный Резервный Банк;2170;Москва и обл.;15 606 203,00;15 305 375,00;300 828,00;1,97
199;4;Инбанк;1829;Москва и обл.;15 575 125,00;15 170 710,00;404 415,00;2,67
200;4;Банк Акцепт;567;Новосибирская обл.;15 272 064,00;15 080 722,00;191 342,00;1,27
201;0;Форштадт;2208;Оренбургская обл.;15 226 846,00;15 268 564,00;-41 718,00;-0,27
202;3;Норвик Банк;902;Кировская обл.;15 002 332,00;14 868 707,00;133 625,00;0,90
203;3;Автоторгбанк;2776;Москва и обл.;14 944 850,00;14 791 272,00;153 578,00;1,04
204;-2;ТЭМБР-Банк;2764;Москва и обл.;14 808 400,00;15 246 017,00;-437 617,00;-2,87
205;2;Пойдем!;2534;Москва и обл.;14 501 941,00;14 173 322,00;328 619,00;2,32
206;-8;Темпбанк;55;Москва и обл.;14 304 511,00;15 579 658,00;-1 275 147,00;-8,18
207;7;ГПБ-Ипотека;2403;Москва и обл.;13 986 413,00;13 658 975,00;327 438,00;2,40
208;5;Ишбанк;2867;Москва и обл.;13 948 638,00;13 705 913,00;242 725,00;1,77
209;-1;РосДорБанк;1573;Москва и обл.;13 770 788,00;14 145 425,00;-374 637,00;-2,65
210;2;Финансовый Стандарт;1053;Москва и обл.;13 752 488,00;13 882 036,00;-129 548,00;-0,93
211;0;Солидарность (Москва);1555;Москва и обл.;13 593 212,00;14 038 607,00;-445 395,00;-3,17
212;-3;Нефтяной Альянс;2859;Москва и обл.;13 556 093,00;14 138 376,00;-582 283,00;-4,12
213;4;Кошелев-Банк;3300;Самарская обл.;13 528 360,00;13 256 516,00;271 844,00;2,05
214;1;БайкалБанк;2632;Бурятия;13 264 934,00;13 489 159,00;-224 225,00;-1,66
215;5;Агросоюз;1459;Москва и обл.;13 130 095,00;12 983 633,00;146 462,00;1,13
216;0;Прио-Внешторгбанк;212;Рязанская обл.;12 943 334,00;13 295 784,00;-352 450,00;-2,65
217;5;Объединенный Кредитный Банк;1118;Ярославская обл.;12 916 827,00;12 404 129,00;512 698,00;4,13
218;6;Стратегия;2801;Москва и обл.;12 744 085,00;12 176 766,00;567 319,00;4,66
219;0;Центркомбанк;2983;Москва и обл.;12 724 636,00;13 081 863,00;-357 227,00;-2,73
220;-2;Модульбанк;1927;Костромская обл.;12 048 750,00;13 252 864,00;-1 204 114,00;-9,09
221;2;Русский Торговый Банк;2842;Москва и обл.;11 845 056,00;12 233 366,00;-388 310,00;-3,17
222;4;Промтрансбанк;2638;Башкортостан;11 810 989,00;11 986 758,00;-175 769,00;-1,47
223;2;Развитие;2729;Карачаево-Черкесия;11 722 617,00;12 113 192,00;-390 575,00;-3,22
224;6;КС Банк;1752;Мордовия;11 575 078,00;11 558 835,00;16 243,00;0,14
225;4;Солид Банк;1329;Камчатская обл.;11 456 804,00;11 632 610,00;-175 806,00;-1,51
226;-5;Российская Финансовая Корпорация;3099;Москва и обл.;11 347 175,00;12 869 909,00;-1 522 734,00;-11,83
227;4;Первомайский;518;Краснодарский край;11 173 318,00;11 281 830,00;-108 512,00;-0,96
228;4;Банк Жилищного Финансирования;3138;Москва и обл.;11 054 959,00;11 122 644,00;-67 685,00;-0,61
229;14;Новопокровский;467;Краснодарский край;11 007 922,00;10 121 436,00;886 486,00;8,76
230;-2;Русьуниверсалбанк;3293;Москва и обл.;11 001 730,00;11 683 022,00;-681 292,00;-5,83
231;7;НИКО-Банк;702;Оренбургская обл.;10 856 970,00;10 679 837,00;177 133,00;1,66
232;1;ЕвроситиБанк;1869;Москва и обл.;10 777 853,00;11 053 024,00;-275 171,00;-2,49
233;6;Нижневолжский Коммерческий Банк;931;Саратовская обл.;10 683 366,00;10 635 380,00;47 986,00;0,45
234;15;Датабанк;646;Удмуртия;10 351 845,00;9 790 580,00;561 265,00;5,73
235;6;Банк Оренбург;3269;Оренбургская обл.;10 326 354,00;10 267 373,00;58 981,00;0,57
236;-1;Арксбанк;1868;Москва и обл.;10 319 956,00;10 794 542,00;-474 586,00;-4,40
237;-10;Киви Банк;2241;Москва и обл.;10 261 026,00;11 785 092,00;-1 524 066,00;-12,93
238;10;Банк Казани;708;Татарстан;10 157 361,00;9 836 152,00;321 209,00;3,27
239;11;Банк на Гончарной (бывш. Япы Креди Банк Москва);2555;Москва и обл.;9 956 875,00;9 770 781,00;186 094,00;1,90
240;35;Мир Бизнес Банк;3396;Москва и обл.;9 810 426,00;8 441 380,00;1 369 046,00;16,22
241;-7;Енисей;474;Красноярский край;9 783 099,00;10 941 937,00;-1 158 838,00;-10,59
242;0;Энергомашбанк;52;Санкт-Петербург и обл.;9 688 644,00;10 186 841,00;-498 197,00;-4,89
243;14;Снежинский;1376;Челябинская обл.;9 674 706,00;9 310 940,00;363 766,00;3,91
244;10;Ассоциация;732;Нижегородская обл.;9 650 758,00;9 521 787,00;128 971,00;1,35
245;2;Таатта;1249;Саха (Якутия);9 614 951,00;9 910 923,00;-295 972,00;-2,99
246;-1;СИАБ;3245;Санкт-Петербург и обл.;9 568 541,00;10 046 764,00;-478 223,00;-4,76
247;6;Финанс Бизнес Банк;520;Москва и обл.;9 345 640,00;9 549 734,00;-204 094,00;-2,14
248;7;Славия;2664;Москва и обл.;9 341 072,00;9 496 278,00;-155 206,00;-1,63
249;15;Вокбанк;312;Нижегородская обл.;9 181 268,00;9 039 830,00;141 438,00;1,56
250;10;Екатеринбург;3161;Свердловская обл.;9 158 744,00;9 138 614,00;20 130,00;0,22
251;0;Банк БКФ;2684;Москва и обл.;9 096 240,00;9 656 068,00;-559 828,00;-5,80
252;-6;Александровский;53;Санкт-Петербург и обл.;9 076 201,00;10 026 736,00;-950 535,00;-9,48
253;3;Национальная Факторинговая Компания;3437;Москва и обл.;9 068 110,00;9 418 514,00;-350 404,00;-3,72
254;13;Консервативный Коммерческий Банк;1087;Астраханская обл.;9 056 469,00;8 721 011,00;335 458,00;3,85
255;-11;Росавтобанк;2767;Москва и обл.;9 019 781,00;10 055 483,00;-1 035 702,00;-10,30
256;13;РусЮгбанк;2093;Волгоградская обл.;8 997 576,00;8 688 520,00;309 056,00;3,56
257;14;Верхневолжский;1084;Ярославская обл.;8 887 898,00;8 641 566,00;246 332,00;2,85
258;-6;Хованский;2145;Москва и обл.;8 887 447,00;9 646 426,00;-758 979,00;-7,87
259;-22;Гута-Банк;256;Москва и обл.;8 884 815,00;10 693 348,00;-1 808 533,00;-16,91
