Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Март, 2016, тыс. рублей;Февраль, 2016, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;23 747 964 348,00;23 777 337 001,00;-29 372 653,00;-0,12
2;0;ВТБ;1000;Санкт-Петербург и обл.;9 385 990 469,00;9 326 171 696,00;59 818 773,00;0,64
3;0;Газпромбанк;354;Москва и обл.;5 391 674 835,00;5 374 368 833,00;17 306 002,00;0,32
4;1;Банк Открытие;2209;Москва и обл.;3 071 933 344,00;3 086 456 052,00;-14 522 708,00;-0,47
5;-1;ВТБ 24;1623;Москва и обл.;3 070 918 379,00;3 094 732 569,00;-23 814 190,00;-0,77
6;0;Россельхозбанк;3349;Москва и обл.;2 759 461 717,00;2 781 002 869,00;-21 541 152,00;-0,77
7;0;Альфа-Банк;1326;Москва и обл.;2 395 876 576,00;2 384 577 561,00;11 299 015,00;0,47
8;0;Национальный Клиринговый Центр;3466;Москва и обл.;1 753 900 695,00;1 874 045 044,00;-120 144 349,00;-6,41
9;0;БМ-Банк;2748;Москва и обл.;1 702 619 249,00;1 775 486 820,00;-72 867 571,00;-4,10
10;0;ЮниКредит Банк;1;Москва и обл.;1 446 586 224,00;1 483 740 522,00;-37 154 298,00;-2,50
11;0;Московский Кредитный Банк;1978;Москва и обл.;1 413 676 648,00;1 319 232 944,00;94 443 704,00;7,16
12;0;Промсвязьбанк;3251;Москва и обл.;1 284 035 321,00;1 264 700 404,00;19 334 917,00;1,53
13;1;Райффайзенбанк;3292;Москва и обл.;910 907 362,00;881 686 335,00;29 221 027,00;3,31
14;-1;Росбанк;2272;Москва и обл.;897 416 575,00;906 572 233,00;-9 155 658,00;-1,01
15;0;Бинбанк;323;Москва и обл.;784 154 431,00;788 493 899,00;-4 339 468,00;-0,55
16;1;Россия;328;Санкт-Петербург и обл.;607 267 746,00;577 733 138,00;29 534 608,00;5,11
17;-1;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;584 346 835,00;578 064 498,00;6 282 337,00;1,09
18;0;Ханты-Мансийский банк Открытие;1971;Москва и обл.;540 267 812,00;546 307 619,00;-6 039 807,00;-1,11
19;0;Русский Стандарт;2289;Москва и обл.;529 325 509,00;529 415 300,00;-89 791,00;-0,02
20;1;Совкомбанк;963;Костромская обл.;500 744 485,00;504 834 908,00;-4 090 423,00;-0,81
21;2;Ак Барс;2590;Татарстан;480 397 293,00;470 696 482,00;9 700 811,00;2,06
22;0;Московский Областной Банк;1751;Москва и обл.;471 433 624,00;488 808 095,00;-17 374 471,00;-3,55
23;2;Банк Уралсиб;30;Москва и обл.;451 315 757,00;445 771 433,00;5 544 324,00;1,24
24;0;Рост Банк;2888;Москва и обл.;448 527 410,00;449 419 440,00;-892 030,00;-0,20
25;-5;Ситибанк;2557;Москва и обл.;438 697 609,00;516 506 704,00;-77 809 095,00;-15,06
26;0;СМП Банк;3368;Москва и обл.;388 864 037,00;415 995 302,00;-27 131 265,00;-6,52
27;1;Траст;3279;Москва и обл.;386 578 336,00;384 925 655,00;1 652 681,00;0,43
28;2;Югра;880;Москва и обл.;376 156 587,00;372 572 397,00;3 584 190,00;0,96
29;-2;Нордеа Банк;3016;Москва и обл.;374 797 699,00;395 349 922,00;-20 552 223,00;-5,20
30;-1;Связь-Банк;1470;Москва и обл.;360 143 306,00;380 850 410,00;-20 707 104,00;-5,44
31;1;МДМ Банк;2562;Москва и обл.;346 959 677,00;338 288 133,00;8 671 544,00;2,56
32;-1;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;337 177 291,00;345 571 201,00;-8 393 910,00;-2,43
33;0;ИНГ Банк;2495;Москва и обл.;333 406 105,00;328 372 889,00;5 033 216,00;1,53
34;0;Банк ДОМ.РФ;2312;Москва и обл.;295 842 964,00;296 115 167,00;-272 203,00;-0,09
35;0;Новикомбанк;2546;Москва и обл.;273 862 087,00;279 442 465,00;-5 580 378,00;-2,00
36;2;Банк Зенит;3255;Москва и обл.;272 421 369,00;271 472 827,00;948 542,00;0,35
37;0;Абсолют Банк;2306;Москва и обл.;270 439 789,00;274 976 142,00;-4 536 353,00;-1,65
38;-2;Глобэкс;1942;Москва и обл.;259 077 298,00;277 018 567,00;-17 941 269,00;-6,48
39;0;Восточный Банк;1460;Амурская обл.;242 091 233,00;248 694 246,00;-6 603 013,00;-2,66
40;3;Транскапиталбанк;2210;Москва и обл.;230 619 101,00;225 091 948,00;5 527 153,00;2,46
41;0;Московский Индустриальный Банк;912;Москва и обл.;228 733 271,00;230 348 009,00;-1 614 738,00;-0,70
42;0;Возрождение;1439;Москва и обл.;227 633 916,00;225 683 791,00;1 950 125,00;0,86
43;-3;Хоум Кредит Банк;316;Москва и обл.;225 648 207,00;245 172 289,00;-19 524 082,00;-7,96
44;0;Татфондбанк;3058;Татарстан;191 819 543,00;193 933 923,00;-2 114 380,00;-1,09
45;9;Национальный Расчетный Депозитарий;3294;Москва и обл.;186 497 328,00;153 518 485,00;32 978 843,00;21,48
46;-1;Пересвет;2110;Москва и обл.;185 045 820,00;183 177 806,00;1 868 014,00;1,02
47;1;МТС Банк;2268;Москва и обл.;172 356 557,00;168 413 279,00;3 943 278,00;2,34
48;1;РосЕвроБанк;3137;Москва и обл.;170 595 025,00;167 572 070,00;3 022 955,00;1,80
49;-2;Экспресс-Волга;3085;Костромская обл.;168 335 352,00;168 528 651,00;-193 299,00;-0,11
