Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Март, 2010, тыс. рублей;Февраль, 2010, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;7 758 845 540,00;7 539 400 755,00;219 444 785,00;2,91
2;0;ВТБ;1000;Санкт-Петербург и обл.;2 475 434 237,00;2 626 753 610,00;-151 319 373,00;-5,76
3;0;Газпромбанк;354;Москва и обл.;1 740 084 465,00;1 798 498 423,00;-58 413 958,00;-3,25
4;0;Россельхозбанк;3349;Москва и обл.;966 920 395,00;975 802 301,00;-8 881 906,00;-0,91
5;0;БМ-Банк;2748;Москва и обл.;813 539 505,00;817 397 208,00;-3 857 703,00;-0,47
6;0;ВТБ 24;1623;Москва и обл.;726 556 123,00;737 893 702,00;-11 337 579,00;-1,54
7;0;Альфа-Банк;1326;Москва и обл.;662 050 061,00;649 723 796,00;12 326 265,00;1,90
8;0;ЮниКредит Банк;1;Москва и обл.;531 541 810,00;508 504 416,00;23 037 394,00;4,53
9;0;Промсвязьбанк;3251;Москва и обл.;485 564 181,00;502 041 371,00;-16 477 190,00;-3,28
10;0;Райффайзенбанк;3292;Москва и обл.;482 386 759,00;491 349 847,00;-8 963 088,00;-1,82
11;0;Росбанк;2272;Москва и обл.;420 634 108,00;451 410 048,00;-30 775 940,00;-6,82
12;0;МДМ Банк;2562;Новосибирская обл.;418 636 164,00;437 275 500,00;-18 639 336,00;-4,26
13;0;Банк Уралсиб;30;Москва и обл.;391 535 888,00;396 678 947,00;-5 143 059,00;-1,30
14;0;Банк Открытие;2209;Москва и обл.;282 125 456,00;305 445 606,00;-23 320 150,00;-7,63
15;0;Транскредитбанк;2142;Москва и обл.;263 666 885,00;252 220 488,00;11 446 397,00;4,54
16;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;243 682 606,00;237 563 188,00;6 119 418,00;2,58
17;0;Ак Барс;2590;Татарстан;232 826 820,00;233 832 277,00;-1 005 457,00;-0,43
18;0;Ситибанк;2557;Москва и обл.;231 399 678,00;222 550 832,00;8 848 846,00;3,98
19;0;ВТБ Северо-Запад;439;Санкт-Петербург и обл.;212 049 495,00;219 490 541,00;-7 441 046,00;-3,39
20;0;Связь-Банк;1470;Москва и обл.;202 450 356,00;211 316 161,00;-8 865 805,00;-4,20
21;0;Петрокоммерц;1776;Москва и обл.;184 925 214,00;183 017 424,00;1 907 790,00;1,04
22;0;Международный Промышленный Банк;2056;Москва и обл.;182 509 011,00;175 047 856,00;7 461 155,00;4,26
23;0;Банк Зенит;3255;Москва и обл.;163 658 965,00;160 674 159,00;2 984 806,00;1,86
24;3;Возрождение;1439;Москва и обл.;155 519 465,00;149 857 158,00;5 662 307,00;3,78
25;0;Русский Стандарт;2289;Москва и обл.;154 845 988,00;152 113 742,00;2 732 246,00;1,80
26;-2;Нордеа Банк;3016;Москва и обл.;146 765 568,00;157 455 035,00;-10 689 467,00;-6,79
27;1;Банк Сосьете Женераль Восток;2295;Москва и обл.;142 693 806,00;146 108 455,00;-3 414 649,00;-2,34
28;3;Ханты-Мансийский банк Открытие;1971;Тюменская обл.;140 203 781,00;137 582 182,00;2 621 599,00;1,91
29;0;Абсолют Банк;2306;Москва и обл.;139 931 148,00;142 278 011,00;-2 346 863,00;-1,65
30;0;Национальный Клиринговый Центр;3466;Москва и обл.;133 305 224,00;138 736 547,00;-5 431 323,00;-3,91
31;2;Траст;3279;Москва и обл.;132 291 467,00;130 723 508,00;1 567 959,00;1,20
32;0;Газэнергопромбанк;3284;Москва и обл.;131 509 124,00;133 524 827,00;-2 015 703,00;-1,51
33;1;КИТ Финанс Инвестиционный Банк;1911;Санкт-Петербург и обл.;128 241 918,00;126 593 025,00;1 648 893,00;1,30
34;-8;МТС Банк;2268;Москва и обл.;127 263 113,00;151 157 406,00;-23 894 293,00;-15,81
35;1;Хоум Кредит Банк;316;Москва и обл.;110 721 949,00;112 866 514,00;-2 144 565,00;-1,90
36;2;Россия;328;Санкт-Петербург и обл.;110 193 647,00;104 513 484,00;5 680 163,00;5,43
37;2;ОТП Банк;2766;Москва и обл.;98 981 263,00;95 713 816,00;3 267 447,00;3,41
38;5;Московский Кредитный Банк;1978;Москва и обл.;95 368 063,00;88 923 429,00;6 444 634,00;7,25
39;-4;ИНГ Банк;2495;Москва и обл.;94 464 514,00;113 203 987,00;-18 739 473,00;-16,55
