Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Июль, 2017, тыс. рублей;Июнь, 2017, тыс. рублей;Изменение, тыс. рублей;Изменение, %
200;-4;Русьуниверсалбанк;3293;Москва и обл.;11 617 796,00;11 982 602,00;-364 806,00;-3,04
201;0;Банк Оренбург;3269;Оренбургская обл.;11 617 771,00;11 343 607,00;274 164,00;2,42
202;0;Ассоциация;732;Нижегородская обл.;11 422 755,00;11 220 994,00;201 761,00;1,80
203;-3;Первомайский;518;Краснодарский край;11 398 950,00;11 380 595,00;18 355,00;0,16
204;-1;Солид Банк;1329;Приморский край;11 100 871,00;11 185 781,00;-84 910,00;-0,76
205;1;Русский Торговый Банк;2842;Москва и обл.;10 924 324,00;11 006 807,00;-82 483,00;-0,75
206;21;Современный Коммерческий Инновационный Банк;3329;Костромская обл.;10 923 178,00;8 315 772,00;2 607 406,00;31,35
207;-2;Новопокровский;467;Краснодарский край;10 899 148,00;11 124 826,00;-225 678,00;-2,03
208;-4;Ури Банк;3479;Москва и обл.;10 874 261,00;11 130 114,00;-255 853,00;-2,30
209;-1;Тройка-Д Банк;3431;Москва и обл.;10 808 988,00;10 630 353,00;178 635,00;1,68
210;-3;Таатта;1249;Саха (Якутия);10 778 229,00;10 757 818,00;20 411,00;0,19
211;5;Реалист Банк;1067;Иркутская обл.;10 618 384,00;9 072 046,00;1 546 338,00;17,05
212;-3;Юг-Инвестбанк;2772;Краснодарский край;10 524 929,00;10 403 318,00;121 611,00;1,17
213;1;Екатеринбург;3161;Свердловская обл.;9 871 679,00;9 395 645,00;476 034,00;5,07
214;-2;Банк Жилищного Финансирования;3138;Москва и обл.;9 818 388,00;9 651 782,00;166 606,00;1,73
215;0;Эксперт Банк;2949;Омская обл.;9 661 405,00;9 381 089,00;280 316,00;2,99
216;-3;Снежинский;1376;Челябинская обл.;9 630 305,00;9 619 444,00;10 861,00;0,11
217;-7;КЭБ ЭйчЭнБи Банк;3525;Москва и обл.;9 356 772,00;10 215 618,00;-858 846,00;-8,41
218;-1;РусЮгбанк;2093;Волгоградская обл.;9 015 980,00;9 062 975,00;-46 995,00;-0,52
219;0;МС Банк Рус;2789;Москва и обл.;8 967 327,00;8 894 140,00;73 187,00;0,82
220;4;Воронеж;654;Воронежская обл.;8 945 064,00;8 468 674,00;476 390,00;5,63
221;-3;СИАБ;3245;Санкт-Петербург и обл.;8 933 840,00;8 935 286,00;-1 446,00;-0,02
222;0;Углеметбанк;2997;Челябинская обл.;8 570 561,00;8 574 369,00;-3 808,00;-0,04
223;34;Альба Альянс;2593;Москва и обл.;8 531 737,00;6 803 871,00;1 727 866,00;25,40
224;20;Азия-Инвест Банк;3303;Москва и обл.;8 529 449,00;7 321 348,00;1 208 101,00;16,50
225;3;Консервативный Коммерческий Банк;1087;Астраханская обл.;8 529 223,00;8 158 136,00;371 087,00;4,55
226;-1;Томскпромстройбанк;1720;Томская обл.;8 329 222,00;8 369 345,00;-40 123,00;-0,48
227;34;РЕСО Кредит;3450;Москва и обл.;8 312 485,00;6 440 728,00;1 871 757,00;29,06
228;2;Банк на Гончарной (бывш. Япы Креди Банк Москва);2555;Москва и обл.;8 302 645,00;8 094 986,00;207 659,00;2,57
229;-9;Нефтепромбанк;2156;Москва и обл.;8 281 194,00;8 784 553,00;-503 359,00;-5,73
230;3;Трансстройбанк;2807;Москва и обл.;8 141 675,00;7 955 870,00;185 805,00;2,34
231;1;Славия;2664;Москва и обл.;8 120 422,00;7 965 611,00;154 811,00;1,94
232;7;Промтрансбанк;2638;Башкортостан;8 098 754,00;7 531 810,00;566 944,00;7,53
233;2;Московский Нефтехимический Банк;1411;Москва и обл.;8 083 117,00;7 839 428,00;243 689,00;3,11
234;-13;Автоторгбанк;2776;Москва и обл.;8 025 572,00;8 715 359,00;-689 787,00;-7,91
235;-6;Вокбанк;312;Нижегородская обл.;7 989 116,00;8 111 934,00;-122 818,00;-1,51
236;-5;Энергомашбанк;52;Санкт-Петербург и обл.;7 963 561,00;7 968 093,00;-4 532,00;-0,06
237;-1;Белгородсоцбанк;760;Белгородская обл.;7 906 295,00;7 801 132,00;105 163,00;1,35
238;-1;Северный Кредит;2398;Вологодская обл.;7 878 092,00;7 732 060,00;146 032,00;1,89
239;-1;Кранбанк;2271;Ивановская обл.;7 873 484,00;7 722 987,00;150 497,00;1,95
240;-14;Мосуралбанк;2468;Москва и обл.;7 791 512,00;8 362 310,00;-570 798,00;-6,83
241;8;Нейва;1293;Свердловская обл.;7 503 091,00;7 232 860,00;270 231,00;3,74
242;-8;Морган Стэнли Банк;3456;Москва и обл.;7 471 945,00;7 948 803,00;-476 858,00;-6,00
243;-1;Кузнецкбизнесбанк;1158;Кемеровская обл.;7 451 979,00;7 452 129,00;-150,00;-0,00
244;-1;Ставропольпромстройбанк;1288;Ставропольский край;7 415 369,00;7 391 521,00;23 848,00;0,32
245;-4;Муниципальный Камчатпрофитбанк;2103;Камчатская обл.;7 379 522,00;7 473 277,00;-93 755,00;-1,25
246;0;Актив Банк;2529;Мордовия;7 320 317,00;7 306 145,00;14 172,00;0,19
247;7;Банк Раунд;2506;Москва и обл.;7 274 621,00;6 911 265,00;363 356,00;5,26
248;2;Хакасский Муниципальный Банк;1049;Хакасия;7 108 747,00;7 057 915,00;50 832,00;0,72
249;2;Уралкапиталбанк;2519;Башкортостан;7 103 129,00;7 051 019,00;52 110,00;0,74
250;-5;Северо-Восточный Альянс;2768;Москва и обл.;7 032 370,00;7 309 351,00;-276 981,00;-3,79
251;-11;Коммерческий Индо Банк;3446;Москва и обл.;6 965 665,00;7 496 505,00;-530 840,00;-7,08
252;3;Русь;704;Оренбургская обл.;6 908 778,00;6 908 571,00;207,00;0,00
253;-42;Ю Би Эс Банк;3463;Москва и обл.;6 904 261,00;9 863 178,00;-2 958 917,00;-30,00
254;5;Чувашкредитпромбанк;1280;Чувашия;6 903 066,00;6 736 086,00;166 980,00;2,48
255;16;Сити Инвест Банк;3194;Санкт-Петербург и обл.;6 902 729,00;5 815 375,00;1 087 354,00;18,70
256;0;Финам Банк;2799;Москва и обл.;6 884 991,00;6 899 921,00;-14 930,00;-0,22
257;-5;Проминвестбанк;2433;Москва и обл.;6 820 947,00;6 993 927,00;-172 980,00;-2,47
258;0;Газтрансбанк;665;Адыгея;6 802 793,00;6 797 657,00;5 136,00;0,08
259;-11;Союзный;3236;Москва и обл.;6 799 017,00;7 284 033,00;-485 016,00;-6,66
