Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Июль, 2017, тыс. рублей;Июнь, 2017, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;22 864 607 863,00;22 333 303 720,00;531 304 143,00;2,38
2;0;ВТБ;1000;Санкт-Петербург и обл.;9 137 509 418,00;9 055 525 242,00;81 984 176,00;0,91
3;0;Газпромбанк;354;Москва и обл.;5 346 357 832,00;5 346 231 019,00;126 813,00;0,00
4;0;ВТБ 24;1623;Москва и обл.;3 392 697 881,00;3 330 742 864,00;61 955 017,00;1,86
5;1;Россельхозбанк;3349;Москва и обл.;2 932 545 773,00;2 716 592 441,00;215 953 332,00;7,95
6;-1;Банк Открытие;2209;Москва и обл.;2 614 241 476,00;2 723 258 993,00;-109 017 517,00;-4,00
7;0;Альфа-Банк;1326;Москва и обл.;2 603 932 484,00;2 501 333 535,00;102 598 949,00;4,10
8;0;Национальный Клиринговый Центр;3466;Москва и обл.;2 557 943 335,00;2 472 868 136,00;85 075 199,00;3,44
9;0;Московский Кредитный Банк;1978;Москва и обл.;1 470 137 084,00;1 390 722 020,00;79 415 064,00;5,71
10;0;Промсвязьбанк;3251;Москва и обл.;1 306 018 440,00;1 298 248 958,00;7 769 482,00;0,60
11;1;ЮниКредит Банк;1;Москва и обл.;1 209 607 773,00;1 165 828 466,00;43 779 307,00;3,76
12;-1;Бинбанк;323;Москва и обл.;1 197 550 553,00;1 208 234 998,00;-10 684 445,00;-0,88
13;1;Росбанк;2272;Москва и обл.;857 107 827,00;822 540 005,00;34 567 822,00;4,20
14;-1;Райффайзенбанк;3292;Москва и обл.;838 966 292,00;828 607 144,00;10 359 148,00;1,25
15;0;Россия;328;Санкт-Петербург и обл.;781 047 547,00;781 862 296,00;-814 749,00;-0,10
16;0;Рост Банк;2888;Москва и обл.;666 230 757,00;655 846 869,00;10 383 888,00;1,58
17;0;БМ-Банк;2748;Москва и обл.;621 796 365,00;621 907 963,00;-111 598,00;-0,02
18;0;Совкомбанк;963;Костромская обл.;608 577 040,00;602 403 923,00;6 173 117,00;1,02
19;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;601 029 785,00;602 297 353,00;-1 267 568,00;-0,21
20;1;Банк Уралсиб;30;Москва и обл.;522 077 774,00;496 126 171,00;25 951 603,00;5,23
21;-1;Московский Областной Банк;1751;Москва и обл.;513 370 474,00;511 444 001,00;1 926 473,00;0,38
22;0;Ситибанк;2557;Москва и обл.;494 593 414,00;461 024 772,00;33 568 642,00;7,28
23;0;Ак Барс;2590;Татарстан;465 318 704,00;450 091 760,00;15 226 944,00;3,38
24;0;Траст;3279;Москва и обл.;443 285 694,00;407 625 875,00;35 659 819,00;8,75
25;1;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;409 704 051,00;383 844 325,00;25 859 726,00;6,74
26;-1;Русский Стандарт;2289;Москва и обл.;398 978 560,00;395 285 199,00;3 693 361,00;0,93
27;0;Банк ДОМ.РФ;2312;Москва и обл.;381 692 500,00;373 526 872,00;8 165 628,00;2,19
28;0;Всероссийский Банк Развития Регионов;3287;Москва и обл.;343 585 963,00;331 449 040,00;12 136 923,00;3,66
29;1;Югра;880;Москва и обл.;334 703 095,00;322 324 948,00;12 378 147,00;3,84
30;-1;СМП Банк;3368;Москва и обл.;328 444 032,00;325 716 076,00;2 727 956,00;0,84
31;0;Восточный Банк;1460;Амурская обл.;285 421 087,00;274 180 111,00;11 240 976,00;4,10
32;1;Абсолют Банк;2306;Москва и обл.;276 286 196,00;267 964 982,00;8 321 214,00;3,11
33;1;Московский Индустриальный Банк;912;Москва и обл.;271 012 639,00;266 543 054,00;4 469 585,00;1,68
34;2;Возрождение;1439;Москва и обл.;260 040 984,00;252 391 110,00;7 649 874,00;3,03
35;0;Банк Зенит;3255;Москва и обл.;256 792 850,00;258 442 385,00;-1 649 535,00;-0,64
36;-4;Связь-Банк;1470;Москва и обл.;253 530 637,00;272 700 438,00;-19 169 801,00;-7,03
37;0;Новикомбанк;2546;Москва и обл.;247 394 673,00;243 892 758,00;3 501 915,00;1,44
38;2;Тинькофф Банк;2673;Москва и обл.;238 482 384,00;211 067 159,00;27 415 225,00;12,99
39;5;ИНГ Банк;2495;Москва и обл.;229 062 515,00;182 649 939,00;46 412 576,00;25,41
40;;Пересвет;2110;Москва и обл.;225 217 106,00;-;-;
41;-2;Хоум Кредит Банк;316;Москва и обл.;217 959 468,00;219 353 797,00;-1 394 329,00;-0,64
42;-4;Нордеа Банк;3016;Москва и обл.;216 850 921,00;224 638 321,00;-7 787 400,00;-3,47
43;-1;Сургутнефтегазбанк;588;Ханты-Мансийский АО — Югра;204 390 429,00;199 084 064,00;5 306 365,00;2,67
44;-3;Транскапиталбанк;2210;Москва и обл.;199 639 775,00;203 866 601,00;-4 226 826,00;-2,07
45;2;Почта Банк;650;Москва и обл.;194 046 339,00;172 373 390,00;21 672 949,00;12,57
46;4;Экспресс-Волга;3085;Костромская обл.;187 036 140,00;160 907 270,00;26 128 870,00;16,24
47;-2;РосЕвроБанк;3137;Москва и обл.;184 973 040,00;178 878 341,00;6 094 699,00;3,41
48;1;ДельтаКредит;3338;Москва и обл.;170 284 611,00;165 078 585,00;5 206 026,00;3,15
49;2;МТС Банк;2268;Москва и обл.;165 334 866,00;153 504 082,00;11 830 784,00;7,71
50;-7;Глобэкс;1942;Москва и обл.;155 600 293,00;197 573 087,00;-41 972 794,00;-21,24
51;2;Авангард;2879;Москва и обл.;142 594 133,00;142 089 330,00;504 803,00;0,36
52;-6;Банк Сберегательно-Кредитного Сервиса;3224;Москва и обл.;138 902 082,00;172 517 709,00;-33 615 627,00;-19,49
53;-1;РГС Банк;3073;Москва и обл.;132 485 379,00;151 994 759,00;-19 509 380,00;-12,84
54;3;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;131 507 616,00;130 808 810,00;698 806,00;0,53
55;1;Инвестторгбанк;2763;Москва и обл.;131 364 930,00;131 168 037,00;196 893,00;0,15
56;-1;ОТП Банк;2766;Москва и обл.;129 180 505,00;131 925 916,00;-2 745 411,00;-2,08
57;2;Кредит Европа Банк;3311;Москва и обл.;128 324 124,00;119 420 899,00;8 903 225,00;7,46
58;0;СКБ-Банк;705;Свердловская обл.;126 013 103,00;125 328 556,00;684 547,00;0,55
59;-5;Аверс;415;Татарстан;120 632 317,00;133 093 704,00;-12 461 387,00;-9,36
60;-12;Национальный Расчетный Депозитарий;3294;Москва и обл.;120 052 068,00;171 963 971,00;-51 911 903,00;-30,19
61;-1;МСП Банк;3340;Москва и обл.;117 325 860,00;118 740 425,00;-1 414 565,00;-1,19
62;0;Сетелем Банк;2168;Москва и обл.;114 945 740,00;113 346 843,00;1 598 897,00;1,41
63;-2;Запсибкомбанк;918;Тюменская обл.;114 726 061,00;114 051 864,00;674 197,00;0,59
64;-1;Ренессанс Кредит;3354;Москва и обл.;112 910 676,00;110 829 070,00;2 081 606,00;1,88
65;0;Роскосмосбанк;2989;Москва и обл.;107 525 388,00;102 166 359,00;5 359 029,00;5,25
66;-2;Русфинанс Банк;1792;Самарская обл.;106 865 715,00;104 327 022,00;2 538 693,00;2,43
67;-1;Банк Финсервис;3388;Москва и обл.;102 520 422,00;101 941 219,00;579 203,00;0,57
68;0;Таврический Банк;2304;Санкт-Петербург и обл.;101 065 702,00;90 368 718,00;10 696 984,00;11,84
69;-2;Центр-инвест;2225;Ростовская обл.;98 915 621,00;96 003 129,00;2 912 492,00;3,03
70;-1;РНКБ;1354;Симферополь;92 029 657,00;88 275 861,00;3 753 796,00;4,25
71;0;Балтинвестбанк;3176;Санкт-Петербург и обл.;83 927 937,00;78 740 574,00;5 187 363,00;6,59
72;2;Союз;2307;Москва и обл.;79 693 624,00;75 510 474,00;4 183 150,00;5,54
73;3;Эйч-Эс-Би-Си Банк (HSBC);3290;Москва и обл.;79 142 986,00;73 321 003,00;5 821 983,00;7,94
74;-2;Кубань Кредит;2518;Краснодарский край;79 041 668,00;78 681 936,00;359 732,00;0,46
75;-2;Локо-Банк;2707;Москва и обл.;78 141 818,00;76 767 023,00;1 374 795,00;1,79
76;-6;ЦентроКредит;121;Москва и обл.;76 101 665,00;79 810 010,00;-3 708 345,00;-4,65
77;-2;Росэксимбанк;2790;Москва и обл.;73 918 817,00;75 053 637,00;-1 134 820,00;-1,51
78;-1;ВУЗ-Банк;1557;Свердловская обл.;73 762 163,00;71 199 316,00;2 562 847,00;3,60
79;-1;РН Банк;170;Москва и обл.;72 517 720,00;71 043 576,00;1 474 144,00;2,07
80;-1;Меткомбанк (Каменск-Уральский);2443;Свердловская обл.;70 951 834,00;68 803 115,00;2 148 719,00;3,12
81;-1;Металлинвестбанк;2440;Москва и обл.;69 511 101,00;66 135 710,00;3 375 391,00;5,10
82;-1;Экспобанк;2998;Москва и обл.;67 569 243,00;64 866 856,00;2 702 387,00;4,17
83;2;Дойче Банк;3328;Москва и обл.;67 200 156,00;60 131 442,00;7 068 714,00;11,76
84;3;ОФК Банк;2270;Москва и обл.;60 792 199,00;58 112 721,00;2 679 478,00;4,61
85;-2;Балтийский Банк;128;Санкт-Петербург и обл.;60 165 348,00;61 402 817,00;-1 237 469,00;-2,02
86;0;Банк Интеза;2216;Москва и обл.;59 631 052,00;58 675 635,00;955 417,00;1,63
87;1;Креди Агриколь КИБ;1680;Санкт-Петербург и обл.;58 528 752,00;57 144 378,00;1 384 374,00;2,42
88;-4;БНП Париба Банк;3407;Москва и обл.;57 032 987,00;60 541 466,00;-3 508 479,00;-5,80
89;0;СДМ-Банк;1637;Москва и обл.;55 827 025,00;55 661 667,00;165 358,00;0,30
90;0;Тойота Банк;3470;Москва и обл.;55 288 396,00;53 860 462,00;1 427 934,00;2,65
91;0;Крайинвестбанк;3360;Краснодарский край;54 546 675,00;53 738 591,00;808 084,00;1,50
92;0;Социнвестбанк;1132;Башкортостан;52 865 822,00;52 116 769,00;749 053,00;1,44
93;1;Международный Финансовый Клуб;2618;Москва и обл.;52 742 416,00;50 030 941,00;2 711 475,00;5,42
94;-1;ББР Банк;2929;Москва и обл.;52 405 350,00;50 447 666,00;1 957 684,00;3,88
95;6;АйСиБиСи Банк;3475;Москва и обл.;51 200 316,00;46 451 979,00;4 748 337,00;10,22
96;-1;Челябинвестбанк;493;Челябинская обл.;49 455 188,00;48 799 165,00;656 023,00;1,34
97;0;Газэнергобанк;3252;Калужская обл.;48 707 366,00;48 442 032,00;265 334,00;0,55
98;0;Примсоцбанк;2733;Приморский край;48 406 734,00;48 281 193,00;125 541,00;0,26
99;0;Левобережный;1343;Новосибирская обл.;48 364 698,00;47 173 469,00;1 191 229,00;2,53
100;0;Челиндбанк;485;Челябинская обл.;47 286 087,00;46 549 848,00;736 239,00;1,58
101;1;Международный Банк Санкт-Петербурга (МБСП);197;Санкт-Петербург и обл.;46 314 968,00;45 406 783,00;908 185,00;2,00
102;4;Севергазбанк;2816;Вологодская обл.;45 558 250,00;43 469 447,00;2 088 803,00;4,81
103;0;Сумитомо Мицуи Рус Банк;3494;Москва и обл.;44 261 933,00;43 956 529,00;305 404,00;0,69
104;1;Интерпрогрессбанк;600;Москва и обл.;43 777 632,00;43 562 933,00;214 699,00;0,49
105;-1;Фора-Банк;1885;Москва и обл.;43 668 375,00;43 794 932,00;-126 557,00;-0,29
106;-10;Коммерцбанк (Евразия);3333;Москва и обл.;42 693 957,00;48 551 363,00;-5 857 406,00;-12,06
107;1;Саровбизнесбанк;2048;Нижегородская обл.;41 837 889,00;42 130 748,00;-292 859,00;-0,70
108;2;Еврофинанс Моснарбанк;2402;Москва и обл.;40 103 230,00;36 212 055,00;3 891 175,00;10,75
109;-2;Межтопэнергобанк;2956;Москва и обл.;37 891 024,00;43 319 515,00;-5 428 491,00;-12,53
110;16;Финанс Бизнес Банк;520;Москва и обл.;37 464 981,00;29 350 562,00;8 114 419,00;27,65
111;-2;Квантмобайл Банк;1189;Москва и обл.;37 143 242,00;37 182 205,00;-38 963,00;-0,10
112;-1;БыстроБанк;1745;Удмуртия;36 392 815,00;35 631 367,00;761 448,00;2,14
113;5;Объединенный Капитал;2611;Санкт-Петербург и обл.;35 820 177,00;32 269 102,00;3 551 075,00;11,00
114;-32;БКС Банк;101;Новосибирская обл.;35 676 208,00;63 987 642,00;-28 311 434,00;-44,25
115;-1;НС Банк;3124;Москва и обл.;33 390 941,00;32 732 869,00;658 072,00;2,01
116;0;Национальный Стандарт;3421;Москва и обл.;33 381 332,00;32 544 932,00;836 400,00;2,57
117;-5;Мир Бизнес Банк;3396;Москва и обл.;33 131 836,00;34 109 354,00;-977 518,00;-2,87
118;-3;Кольцо Урала;65;Свердловская обл.;32 837 177,00;32 579 356,00;257 821,00;0,79
119;-2;Бинбанк Диджитал;2827;Москва и обл.;32 544 148,00;32 316 427,00;227 721,00;0,70
120;9;Платежный Центр;3166;Новосибирская обл.;32 085 970,00;28 177 448,00;3 908 522,00;13,87
121;-8;Генбанк;2490;Симферополь;31 832 092,00;32 866 454,00;-1 034 362,00;-3,15
122;-2;АктивКапитал Банк;3006;Самарская обл.;31 345 198,00;31 444 500,00;-99 302,00;-0,32
123;-4;Фольксваген Банк Рус;3500;Москва и обл.;31 340 803,00;32 099 286,00;-758 483,00;-2,36
124;-3;Дальневосточный Банк;843;Приморский край;31 301 691,00;31 417 988,00;-116 297,00;-0,37
125;-2;Алмазэргиэнбанк;2602;Саха (Якутия);31 270 984,00;30 637 480,00;633 504,00;2,07
126;2;Кредит Урал Банк;2584;Челябинская обл.;30 796 290,00;28 999 617,00;1 796 673,00;6,20
127;-2;Приморье;3001;Приморский край;30 768 697,00;30 229 081,00;539 616,00;1,79
128;-6;Солидарность;554;Самарская обл.;30 665 441,00;30 656 510,00;8 931,00;0,03
129;6;Аресбанк;2914;Москва и обл.;30 271 190,00;26 835 097,00;3 436 093,00;12,80
130;0;Бэнк оф Чайна;2309;Москва и обл.;29 967 031,00;27 564 042,00;2 402 989,00;8,72
131;-4;Газбанк;2316;Самарская обл.;29 771 679,00;29 335 311,00;436 368,00;1,49
132;-1;СЭБ Банк;3235;Санкт-Петербург и обл.;28 530 392,00;27 541 240,00;989 152,00;3,59
133;-1;Интерпромбанк;3266;Москва и обл.;28 208 006,00;27 540 150,00;667 856,00;2,43
134;-1;БМВ Банк;3482;Москва и обл.;27 975 664,00;27 335 524,00;640 140,00;2,34
135;5;Липецккомбанк;1242;Липецкая обл.;26 172 996,00;24 348 228,00;1 824 768,00;7,49
136;0;Девон-Кредит;1972;Татарстан;26 074 457,00;25 851 522,00;222 935,00;0,86
137;7;Энерготрансбанк;1307;Калининградская обл.;25 688 348,00;22 334 774,00;3 353 574,00;15,02
138;-4;Татсоцбанк;480;Татарстан;25 625 349,00;27 026 519,00;-1 401 170,00;-5,18
139;0;Ланта-Банк;1920;Москва и обл.;25 428 639,00;24 727 228,00;701 411,00;2,84
140;-16;Чайна Констракшн;3515;Москва и обл.;25 263 518,00;30 506 270,00;-5 242 752,00;-17,19
141;-4;Акибанк;2587;Татарстан;25 068 567,00;25 219 278,00;-150 711,00;-0,60
142;6;Данске Банк;3307;Санкт-Петербург и обл.;24 648 074,00;21 471 050,00;3 177 024,00;14,80
143;-2;Русский Международный Банк;3123;Москва и обл.;24 524 587,00;23 823 011,00;701 576,00;2,94
144;-6;Московское Ипотечное Агентство;3344;Москва и обл.;24 038 436,00;25 136 004,00;-1 097 568,00;-4,37
145;1;Агропромкредит;2880;Москва и обл.;22 876 852,00;22 068 223,00;808 629,00;3,66
146;-3;Энергобанк;67;Татарстан;22 806 957,00;22 664 187,00;142 770,00;0,63
147;-5;Урал ФД;249;Пермская обл.;22 799 192,00;22 674 570,00;124 622,00;0,55
148;-3;Курскпромбанк;735;Курская обл.;22 450 706,00;22 233 405,00;217 301,00;0,98
149;-2;МБА-Москва;3395;Москва и обл.;22 137 527,00;21 869 454,00;268 073,00;1,23
150;-1;Мерседес-Бенц Банк Рус;3473;Москва и обл.;21 340 074,00;21 224 636,00;115 438,00;0,54
151;24;Натиксис Банк;3390;Москва и обл.;21 171 590,00;15 353 431,00;5 818 159,00;37,89
152;7;Петербургский Социальный Коммерческий Банк;2551;Санкт-Петербург и обл.;20 980 156,00;18 151 718,00;2 828 438,00;15,58
153;-3;Хлынов;254;Кировская обл.;20 859 028,00;20 567 321,00;291 707,00;1,42
154;-2;Кошелев-Банк;3300;Самарская обл.;20 394 383,00;20 159 163,00;235 220,00;1,17
155;0;Москоммерцбанк;3365;Москва и обл.;20 126 181,00;19 473 758,00;652 423,00;3,35
156;-5;Роскомснаббанк (бывш. Башкомснаббанк);1398;Башкортостан;19 876 336,00;20 341 573,00;-465 237,00;-2,29
157;-4;НБД-Банк;1966;Нижегородская обл.;19 597 156,00;19 812 112,00;-214 956,00;-1,08
158;-1;Тольяттихимбанк;2507;Самарская обл.;19 084 611,00;18 658 069,00;426 542,00;2,29
159;1;Держава;2738;Москва и обл.;18 434 536,00;17 748 649,00;685 887,00;3,86
160;-4;Банк Кредит Свисс;2494;Москва и обл.;18 361 589,00;19 172 486,00;-810 897,00;-4,23
161;-3;Джей энд Ти Банк;3061;Москва и обл.;18 118 262,00;18 170 843,00;-52 581,00;-0,29
162;7;Денизбанк Москва;3330;Москва и обл.;17 584 786,00;16 157 065,00;1 427 721,00;8,84
163;-1;Алеф-Банк;2119;Москва и обл.;17 459 038,00;17 366 200,00;92 838,00;0,53
164;-3;Рублев;3098;Москва и обл.;17 371 305,00;17 378 304,00;-6 999,00;-0,04
165;0;Александровский;53;Санкт-Петербург и обл.;17 233 446,00;16 576 414,00;657 032,00;3,96
166;2;Темпбанк;55;Москва и обл.;16 996 924,00;16 180 117,00;816 807,00;5,05
167;-1;Развитие-Столица;3013;Москва и обл.;16 959 246,00;16 417 324,00;541 922,00;3,30
168;-14;Легион;3117;Москва и обл.;16 797 962,00;19 709 636,00;-2 911 674,00;-14,77
169;-2;Пойдем!;2534;Москва и обл.;16 727 897,00;16 390 933,00;336 964,00;2,06
170;-6;Банк Акцепт;567;Новосибирская обл.;16 415 200,00;16 655 897,00;-240 697,00;-1,45
171;2;Инбанк;1829;Москва и обл.;15 806 981,00;15 428 139,00;378 842,00;2,46
172;0;Норвик Банк;902;Кировская обл.;15 789 261,00;15 452 908,00;336 353,00;2,18
173;-10;Собинбанк;1317;Москва и обл.;15 757 282,00;17 325 707,00;-1 568 425,00;-9,05
174;-3;Объединенный Кредитный Банк;1118;Ярославская обл.;15 703 906,00;15 515 535,00;188 371,00;1,21
175;-1;Гарант-Инвест;2576;Москва и обл.;15 573 704,00;15 376 081,00;197 623,00;1,29
176;5;Морской Банк;77;Москва и обл.;15 522 507,00;14 651 053,00;871 454,00;5,95
177;-7;Расчетно-Кредитный Банк;103;Москва и обл.;15 103 128,00;15 987 227,00;-884 099,00;-5,53
178;0;Нацинвестпромбанк;3077;Москва и обл.;15 076 428,00;14 749 826,00;326 602,00;2,21
179;3;НК Банк;2755;Москва и обл.;15 054 062,00;14 414 348,00;639 714,00;4,44
180;-3;Киви Банк;2241;Москва и обл.;14 998 044,00;14 842 843,00;155 201,00;1,05
181;-2;Прио-Внешторгбанк;212;Рязанская обл.;14 902 066,00;14 735 651,00;166 415,00;1,13
182;1;Банк ВВБ;1093;Севастополь;14 466 894,00;14 310 778,00;156 116,00;1,09
183;-3;Солидарность (Москва);1555;Москва и обл.;14 271 228,00;14 664 346,00;-393 118,00;-2,68
184;4;Форштадт;2208;Оренбургская обл.;14 239 039,00;13 593 348,00;645 691,00;4,75
185;-1;Банк Казани;708;Татарстан;14 235 857,00;14 138 291,00;97 566,00;0,69
186;0;РосДорБанк;1573;Москва и обл.;14 195 354,00;13 869 894,00;325 460,00;2,35
187;2;Национальная Факторинговая Компания;3437;Москва и обл.;14 162 911,00;13 230 399,00;932 512,00;7,05
188;-12;Уралтрансбанк;812;Свердловская обл.;13 960 417,00;14 855 446,00;-895 029,00;-6,02
189;-2;Национальный Резервный Банк;2170;Москва и обл.;13 835 974,00;13 846 107,00;-10 133,00;-0,07
190;2;Ишбанк;2867;Москва и обл.;13 559 207,00;12 833 048,00;726 159,00;5,66
191;-6;Русский Ипотечный Банк;1968;Москва и обл.;13 088 291,00;13 928 081,00;-839 790,00;-6,03
192;-1;КС Банк;1752;Мордовия;13 068 024,00;12 835 994,00;232 030,00;1,81
193;-3;Нижневолжский Коммерческий Банк;931;Саратовская обл.;13 042 352,00;12 998 332,00;44 020,00;0,34
194;-1;Модульбанк;1927;Костромская обл.;12 284 941,00;12 517 421,00;-232 480,00;-1,86
195;-1;ТЭМБР-Банк;2764;Москва и обл.;12 196 511,00;12 169 350,00;27 161,00;0,22
196;1;Датабанк;646;Удмуртия;12 168 594,00;11 956 863,00;211 731,00;1,77
197;1;Агросоюз;1459;Москва и обл.;12 013 352,00;11 755 828,00;257 524,00;2,19
198;1;НИКО-Банк;702;Оренбургская обл.;11 991 734,00;11 505 088,00;486 646,00;4,23
199;-4;Гранд Инвест Банк;3053;Москва и обл.;11 772 445,00;12 006 106,00;-233 661,00;-1,95
