Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Сентябрь, 2014, тыс. рублей;Август, 2014, тыс. рублей;Изменение, тыс. рублей;Изменение, %
118;3;Челиндбанк;485;Челябинская обл.;37 812 114,00;37 264 916,00;547 198,00;1,47
119;-4;Русский Международный Банк;3123;Москва и обл.;37 290 656,00;37 993 130,00;-702 474,00;-1,85
120;2;МБА-Москва;3395;Москва и обл.;37 108 080,00;37 038 983,00;69 097,00;0,19
121;-4;Челябинвестбанк;493;Челябинская обл.;37 070 355,00;37 836 786,00;-766 431,00;-2,03
122;3;Фольксваген Банк Рус;3500;Москва и обл.;37 048 832,00;36 430 637,00;618 195,00;1,70
123;-10;Аверс;415;Татарстан;36 982 269,00;38 841 654,00;-1 859 385,00;-4,79
124;0;Саровбизнесбанк;2048;Нижегородская обл.;36 742 722,00;36 634 212,00;108 510,00;0,30
125;6;Интерпрогрессбанк;600;Москва и обл.;36 716 906,00;34 936 488,00;1 780 418,00;5,10
126;0;СДМ-Банк;1637;Москва и обл.;36 450 201,00;36 206 786,00;243 415,00;0,67
127;-4;Кольцо Урала;65;Свердловская обл.;36 259 345,00;36 685 174,00;-425 829,00;-1,16
128;1;БыстроБанк;1745;Удмуртия;35 486 081,00;35 581 492,00;-95 411,00;-0,27
129;1;Банк «Советский»;558;Санкт-Петербург и обл.;35 147 170,00;35 171 266,00;-24 096,00;-0,07
130;5;НС Банк;3124;Москва и обл.;34 831 757,00;33 008 984,00;1 822 773,00;5,52
131;-4;Банк РСБ 24 (Русславбанк);1073;Москва и обл.;34 684 452,00;35 817 135,00;-1 132 683,00;-3,16
132;2;Росэнергобанк;2211;Москва и обл.;34 600 951,00;33 891 223,00;709 728,00;2,09
133;-1;Левобережный;1343;Новосибирская обл.;34 225 324,00;34 618 419,00;-393 095,00;-1,14
134;-6;Севергазбанк;2816;Вологодская обл.;33 852 527,00;35 632 343,00;-1 779 816,00;-4,99
135;-2;Образование;1521;Москва и обл.;33 807 058,00;34 166 328,00;-359 270,00;-1,05
136;1;ББР Банк;2929;Москва и обл.;32 346 827,00;31 940 847,00;405 980,00;1,27
137;10;Экспо Финанс;2594;Москва и обл.;32 153 897,00;26 772 138,00;5 381 759,00;20,10
138;-2;Газбанк;2316;Самарская обл.;30 937 402,00;32 412 908,00;-1 475 506,00;-4,55
139;0;Банк АВБ;23;Самарская обл.;30 634 262,00;30 452 851,00;181 411,00;0,60
140;-2;Сумитомо Мицуи Рус Банк;3494;Москва и обл.;30 630 865,00;30 897 454,00;-266 589,00;-0,86
141;-1;Агропромкредит;2880;Москва и обл.;30 039 818,00;30 387 494,00;-347 676,00;-1,14
142;0;Русстройбанк;3205;Москва и обл.;29 999 212,00;29 569 233,00;429 979,00;1,45
143;0;М2М Прайвет Банк;1414;Москва и обл.;29 544 989,00;28 608 933,00;936 056,00;3,27
144;20;Банк Кредит Свисс;2494;Москва и обл.;29 354 703,00;22 111 857,00;7 242 846,00;32,76
145;0;Транспортный;3174;Москва и обл.;29 136 880,00;28 151 424,00;985 456,00;3,50
146;6;Липецккомбанк;1242;Липецкая обл.;28 342 049,00;25 613 214,00;2 728 835,00;10,65
147;-1;Кедр;1574;Красноярский край;28 044 871,00;27 613 392,00;431 479,00;1,56
148;-7;АМБ Банк;3036;Москва и обл.;27 704 157,00;29 570 345,00;-1 866 188,00;-6,31
149;0;Дальневосточный Банк;843;Приморский край;27 622 393,00;26 421 666,00;1 200 727,00;4,54
150;0;Приморье;3001;Приморский край;26 663 894,00;26 074 834,00;589 060,00;2,26
151;-7;Бэнк оф Чайна;2309;Москва и обл.;26 474 785,00;28 374 197,00;-1 899 412,00;-6,69
152;-1;ПЧРБ Банк;3291;Москва и обл.;26 132 346,00;25 619 293,00;513 053,00;2,00
153;4;Модульбанк;1927;Костромская обл.;25 782 441,00;24 940 614,00;841 827,00;3,38
154;0;Мерседес-Бенц Банк Рус;3473;Москва и обл.;25 750 574,00;25 509 645,00;240 929,00;0,94
155;10;Балтика;967;Санкт-Петербург и обл.;25 738 396,00;22 024 461,00;3 713 935,00;16,86
156;-3;Эллипс Банк;1950;Нижегородская обл.;25 510 087,00;25 547 617,00;-37 530,00;-0,15
157;-1;Акибанк;2587;Татарстан;25 431 671,00;25 073 278,00;358 393,00;1,43
158;1;Урал ФД;249;Пермская обл.;24 340 928,00;24 267 665,00;73 263,00;0,30
159;1;Интехбанк;2705;Татарстан;24 261 497,00;23 959 071,00;302 426,00;1,26
160;-5;Девон-Кредит;1972;Татарстан;24 105 595,00;25 270 831,00;-1 165 236,00;-4,61
161;-13;Кредит Урал Банк;2584;Челябинская обл.;23 628 008,00;26 430 620,00;-2 802 612,00;-10,60
162;0;РНКБ;1354;Москва и обл.;23 261 944,00;22 536 120,00;725 824,00;3,22
163;16;Натиксис Банк;3390;Москва и обл.;23 095 808,00;19 742 495,00;3 353 313,00;16,99
164;-6;БКС Банк;101;Новосибирская обл.;22 809 786,00;24 673 289,00;-1 863 503,00;-7,55
165;-2;Альта-Банк;2269;Москва и обл.;22 668 440,00;22 285 111,00;383 329,00;1,72
166;-5;Тимер Банк;1581;Татарстан;22 525 706,00;22 707 924,00;-182 218,00;-0,80
167;-1;АктивКапитал Банк;3006;Самарская обл.;22 488 674,00;21 999 037,00;489 637,00;2,23
168;1;Легион;3117;Москва и обл.;22 299 313,00;21 608 821,00;690 492,00;3,20
169;-2;БМВ Банк;3482;Москва и обл.;21 620 969,00;21 981 824,00;-360 855,00;-1,64
170;3;АйМаниБанк;1975;Москва и обл.;21 246 195,00;20 617 243,00;628 952,00;3,05
171;-3;Москоммерцбанк;3365;Москва и обл.;21 206 532,00;21 781 778,00;-575 246,00;-2,64
172;14;Платежный Центр;3166;Новосибирская обл.;20 869 660,00;17 731 315,00;3 138 345,00;17,70
173;-3;Солидарность;554;Самарская обл.;20 858 009,00;21 140 776,00;-282 767,00;-1,34
174;-3;Морской Банк;77;Москва и обл.;20 757 326,00;20 824 758,00;-67 432,00;-0,32
175;2;Тольяттихимбанк;2507;Самарская обл.;20 741 457,00;19 939 280,00;802 177,00;4,02
176;7;Ланта-Банк;1920;Москва и обл.;20 712 718,00;18 739 213,00;1 973 505,00;10,53
177;-3;Спурт Банк;2207;Татарстан;20 425 353,00;20 448 963,00;-23 610,00;-0,12
178;-3;ФИА-Банк;2542;Самарская обл.;20 148 070,00;20 308 884,00;-160 814,00;-0,79
179;2;Алмазэргиэнбанк;2602;Саха (Якутия);19 631 224,00;19 248 965,00;382 259,00;1,99
180;-4;Энергобанк;67;Татарстан;19 622 406,00;20 065 226,00;-442 820,00;-2,21
181;1;Московское Ипотечное Агентство;3344;Москва и обл.;19 377 600,00;19 212 548,00;165 052,00;0,86
182;5;Энерготрансбанк;1307;Калининградская обл.;18 709 615,00;17 685 825,00;1 023 790,00;5,79
183;1;Транснациональный Банк;2108;Москва и обл.;18 346 461,00;18 096 427,00;250 034,00;1,38
184;-4;Объединенный Капитал;2611;Санкт-Петербург и обл.;18 289 785,00;19 272 354,00;-982 569,00;-5,10
185;-7;Алеф-Банк;2119;Москва и обл.;18 077 858,00;19 907 192,00;-1 829 334,00;-9,19
186;4;Газэнергобанк;3252;Калужская обл.;18 000 501,00;17 563 098,00;437 403,00;2,49
187;-2;Норвик Банк;902;Кировская обл.;17 732 696,00;17 753 912,00;-21 216,00;-0,12
188;1;Курскпромбанк;735;Курская обл.;17 636 119,00;17 598 034,00;38 085,00;0,22
189;4;ОФК Банк;2270;Москва и обл.;17 633 595,00;17 047 698,00;585 897,00;3,44
190;1;НБД-Банк;1966;Нижегородская обл.;17 516 445,00;17 541 629,00;-25 184,00;-0,14
191;1;Уралтрансбанк;812;Свердловская обл.;17 387 491,00;17 466 678,00;-79 187,00;-0,45
192;2;Форштадт;2208;Оренбургская обл.;17 325 003,00;17 021 352,00;303 651,00;1,78
193;4;МАСТ-Банк;3267;Москва и обл.;17 317 913,00;16 688 025,00;629 888,00;3,77
194;-6;Держава;2738;Москва и обл.;16 912 305,00;17 653 665,00;-741 360,00;-4,20
195;1;Национальный Резервный Банк;2170;Москва и обл.;16 685 055,00;16 707 250,00;-22 195,00;-0,13
196;13;РН Банк;170;Москва и обл.;16 648 806,00;15 239 069,00;1 409 737,00;9,25
197;-2;ГПБ-Ипотека;2403;Москва и обл.;16 477 788,00;16 779 402,00;-301 614,00;-1,80
198;-26;Морган Стэнли Банк;3456;Москва и обл.;16 455 705,00;20 713 256,00;-4 257 551,00;-20,55
199;0;Нацинвестпромбанк;3077;Москва и обл.;16 424 899,00;16 419 763,00;5 136,00;0,03
200;0;Инвесткапиталбанк;2377;Башкортостан;16 390 958,00;16 317 231,00;73 727,00;0,45
201;2;Квантмобайл Банк;1189;Москва и обл.;15 986 985,00;15 843 451,00;143 534,00;0,91
202;10;Расчетно-Кредитный Банк;103;Москва и обл.;15 911 821,00;14 896 076,00;1 015 745,00;6,82
203;2;Анталбанк;3115;Москва и обл.;15 763 267,00;15 620 715,00;142 552,00;0,91
204;-2;Современный Коммерческий Банк (бывш. ДжиИ Мани Банк);3316;Костромская обл.;15 694 498,00;15 918 252,00;-223 754,00;-1,41
205;-1;Пойдем!;2534;Москва и обл.;15 619 161,00;15 704 062,00;-84 901,00;-0,54
206;4;Хлынов;254;Кировская обл.;15 532 538,00;15 184 789,00;347 749,00;2,29
207;-9;Гаранти Банк — Москва;3275;Москва и обл.;15 436 224,00;16 580 786,00;-1 144 562,00;-6,90
208;-7;Банк Город;2644;Москва и обл.;15 265 529,00;16 083 231,00;-817 702,00;-5,08
209;-2;Гранд Инвест Банк;3053;Москва и обл.;15 235 234,00;15 327 966,00;-92 732,00;-0,60
210;1;Развитие-Столица;3013;Москва и обл.;15 182 051,00;14 928 045,00;254 006,00;1,70
211;-5;Рублев;3098;Москва и обл.;15 092 575,00;15 430 318,00;-337 743,00;-2,19
212;1;СтарБанк;548;Москва и обл.;14 976 335,00;14 869 322,00;107 013,00;0,72
213;7;Денизбанк Москва;3330;Москва и обл.;14 940 037,00;14 139 981,00;800 056,00;5,66
214;9;Автоторгбанк;2776;Москва и обл.;14 787 216,00;13 721 643,00;1 065 573,00;7,77
215;2;БайкалБанк;2632;Бурятия;14 766 376,00;14 663 941,00;102 435,00;0,70
216;2;Тусар;2712;Москва и обл.;14 745 292,00;14 365 560,00;379 732,00;2,64
217;10;Аресбанк;2914;Москва и обл.;14 694 637,00;13 340 666,00;1 353 971,00;10,15
218;-10;Национальная Факторинговая Компания;3437;Москва и обл.;14 685 656,00;15 285 412,00;-599 756,00;-3,92
219;-3;РосДорБанк;1573;Москва и обл.;14 682 324,00;14 664 069,00;18 255,00;0,12
220;-1;Петербургский Социальный Коммерческий Банк;2551;Санкт-Петербург и обл.;14 285 082,00;14 282 833,00;2 249,00;0,02
221;-6;Данске Банк;3307;Санкт-Петербург и обл.;14 252 278,00;14 678 082,00;-425 804,00;-2,90
222;0;Клиентский;2324;Москва и обл.;13 972 914,00;13 769 962,00;202 952,00;1,47
223;2;СЭБ Банк;3235;Санкт-Петербург и обл.;13 764 883,00;13 467 969,00;296 914,00;2,20
224;13;Чайна Констракшн;3515;Москва и обл.;13 742 151,00;12 326 364,00;1 415 787,00;11,49
225;5;Росавтобанк;2767;Москва и обл.;13 349 850,00;12 822 293,00;527 557,00;4,11
226;7;Банк Акцепт;567;Новосибирская обл.;13 272 470,00;12 671 604,00;600 866,00;4,74
227;1;НК Банк;2755;Москва и обл.;13 005 916,00;13 274 594,00;-268 678,00;-2,02
228;1;Первомайский;518;Краснодарский край;12 984 908,00;12 888 850,00;96 058,00;0,75
229;3;ВУЗ-Банк;1557;Свердловская обл.;12 805 845,00;12 674 904,00;130 941,00;1,03
230;-6;Социнвестбанк;1132;Башкортостан;12 781 690,00;13 628 709,00;-847 019,00;-6,21
231;-5;Метробанк;2548;Москва и обл.;12 725 364,00;13 348 411,00;-623 047,00;-4,67
232;2;Росэксимбанк;2790;Москва и обл.;12 688 858,00;12 531 830,00;157 028,00;1,25
233;-2;Центркомбанк;2983;Москва и обл.;12 621 763,00;12 768 224,00;-146 461,00;-1,15
234;1;ТЭМБР-Банк;2764;Москва и обл.;12 585 421,00;12 460 198,00;125 223,00;1,00
235;3;Гута-Банк;256;Москва и обл.;12 478 367,00;12 314 946,00;163 421,00;1,33
236;4;Стратегия;2801;Москва и обл.;12 356 519,00;11 935 130,00;421 389,00;3,53
237;-16;Тройка-Д Банк;3431;Москва и обл.;12 319 093,00;13 865 313,00;-1 546 220,00;-11,15
238;12;Генбанк;2490;Москва и обл.;12 176 074,00;10 966 565,00;1 209 509,00;11,03
239;-3;Экономбанк;1319;Саратовская обл.;12 103 161,00;12 407 990,00;-304 829,00;-2,46
240;4;Александровский;53;Санкт-Петербург и обл.;12 042 626,00;11 285 801,00;756 825,00;6,71
241;-2;Гарант-Инвест;2576;Москва и обл.;11 809 331,00;12 295 191,00;-485 860,00;-3,95
242;-28;Интрастбанк;3144;Москва и обл.;11 694 018,00;14 834 179,00;-3 140 161,00;-21,17
243;4;Роскомснаббанк (бывш. Башкомснаббанк);1398;Башкортостан;11 611 848,00;11 033 476,00;578 372,00;5,24
244;-3;Русский Ипотечный Банк;1968;Москва и обл.;11 609 812,00;11 830 914,00;-221 102,00;-1,87
245;4;Киви Банк;2241;Москва и обл.;11 372 876,00;10 991 797,00;381 079,00;3,47
246;2;Дил-Банк;3384;Москва и обл.;11 366 951,00;11 018 351,00;348 600,00;3,16
247;-2;ЕвроситиБанк;1869;Москва и обл.;11 191 097,00;11 181 596,00;9 501,00;0,08
248;4;Ишбанк;2867;Москва и обл.;11 144 883,00;10 833 581,00;311 302,00;2,87
249;-6;Солидарность (Москва);1555;Москва и обл.;10 918 899,00;11 324 710,00;-405 811,00;-3,58
250;23;Мир Бизнес Банк;3396;Москва и обл.;10 914 061,00;9 628 441,00;1 285 620,00;13,35
251;15;Нефтяной Альянс;2859;Москва и обл.;10 903 815,00;10 056 561,00;847 254,00;8,42
252;5;ОПМ-Банк;2734;Москва и обл.;10 899 272,00;10 573 466,00;325 806,00;3,08
253;0;Прио-Внешторгбанк;212;Рязанская обл.;10 837 662,00;10 754 235,00;83 427,00;0,78
254;-8;Унифин;2654;Москва и обл.;10 734 638,00;11 164 900,00;-430 262,00;-3,85
255;19;2Т Банк;625;Москва и обл.;10 583 727,00;9 252 964,00;1 330 763,00;14,38
256;-2;Кредит-Москва;5;Москва и обл.;10 491 508,00;10 745 483,00;-253 975,00;-2,36
257;2;Русьуниверсалбанк;3293;Москва и обл.;10 480 854,00;10 486 848,00;-5 994,00;-0,06
258;-16;Солид Банк;1329;Камчатская обл.;10 462 442,00;11 514 812,00;-1 052 370,00;-9,14
259;3;СИАБ;3245;Санкт-Петербург и обл.;10 445 379,00;10 340 357,00;105 022,00;1,02
260;1;Международный Акционерный Банк;1987;Москва и обл.;10 420 365,00;10 373 841,00;46 524,00;0,45
