Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Сентябрь, 2014, тыс. рублей;Август, 2014, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;18 035 447 117,00;17 926 554 964,00;108 892 153,00;0,61
2;0;ВТБ;1000;Санкт-Петербург и обл.;6 444 694 629,00;6 349 827 944,00;94 866 685,00;1,49
3;0;Газпромбанк;354;Москва и обл.;3 898 434 943,00;3 907 238 791,00;-8 803 848,00;-0,23
4;0;ВТБ 24;1623;Москва и обл.;2 393 005 182,00;2 366 240 264,00;26 764 918,00;1,13
5;0;БМ-Банк;2748;Москва и обл.;2 004 951 177,00;2 057 829 322,00;-52 878 145,00;-2,57
6;0;Россельхозбанк;3349;Москва и обл.;1 915 294 890,00;1 910 643 507,00;4 651 383,00;0,24
7;0;Альфа-Банк;1326;Москва и обл.;1 722 260 563,00;1 664 295 986,00;57 964 577,00;3,48
8;0;Банк Открытие;2209;Москва и обл.;1 128 980 858,00;1 094 235 945,00;34 744 913,00;3,18
9;1;ЮниКредит Банк;1;Москва и обл.;957 930 314,00;916 955 977,00;40 974 337,00;4,47
10;-1;Национальный Клиринговый Центр;3466;Москва и обл.;929 683 565,00;993 073 066,00;-63 389 501,00;-6,38
11;0;Промсвязьбанк;3251;Москва и обл.;880 566 215,00;848 337 915,00;32 228 300,00;3,80
12;1;Росбанк;2272;Москва и обл.;761 823 065,00;788 367 326,00;-26 544 261,00;-3,37
13;-1;Райффайзенбанк;3292;Москва и обл.;746 438 658,00;793 826 393,00;-47 387 735,00;-5,97
14;0;Московский Кредитный Банк;1978;Москва и обл.;492 679 186,00;506 335 930,00;-13 656 744,00;-2,70
15;1;Россия;328;Санкт-Петербург и обл.;464 291 099,00;450 684 276,00;13 606 823,00;3,02
16;-1;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;454 758 268,00;459 535 555,00;-4 777 287,00;-1,04
17;0;Русский Стандарт;2289;Москва и обл.;444 769 382,00;431 466 206,00;13 303 176,00;3,08
18;0;Ак Барс;2590;Татарстан;408 351 477,00;403 434 910,00;4 916 567,00;1,22
19;0;Банк Уралсиб;30;Москва и обл.;389 874 693,00;380 385 661,00;9 489 032,00;2,49
20;3;МДМ Банк;2562;Новосибирская обл.;360 414 704,00;345 961 394,00;14 453 310,00;4,18
21;-1;Ханты-Мансийский банк Открытие;1971;Тюменская обл.;356 096 121,00;364 343 799,00;-8 247 678,00;-2,26
22;2;Нордеа Банк;3016;Москва и обл.;347 649 804,00;329 175 193,00;18 474 611,00;5,61
23;-1;Хоум Кредит Банк;316;Москва и обл.;346 312 219,00;346 582 346,00;-270 127,00;-0,08
24;1;Связь-Банк;1470;Москва и обл.;344 579 346,00;327 533 801,00;17 045 545,00;5,20
25;-4;Ситибанк;2557;Москва и обл.;324 516 179,00;354 053 049,00;-29 536 870,00;-8,34
26;1;Банк Зенит;3255;Москва и обл.;270 895 192,00;265 726 069,00;5 169 123,00;1,95
27;-1;Петрокоммерц;1776;Москва и обл.;265 192 105,00;274 038 871,00;-8 846 766,00;-3,23
28;1;Траст;3279;Москва и обл.;261 418 689,00;256 444 751,00;4 973 938,00;1,94
29;1;Бинбанк;323;Москва и обл.;258 911 584,00;253 941 463,00;4 970 121,00;1,96
30;-2;Глобэкс;1942;Москва и обл.;257 171 166,00;264 651 353,00;-7 480 187,00;-2,83
31;0;Восточный Банк;1460;Амурская обл.;249 544 482,00;253 668 936,00;-4 124 454,00;-1,63
32;1;Московский Областной Банк;1751;Москва и обл.;231 901 006,00;226 774 842,00;5 126 164,00;2,26
33;-1;Возрождение;1439;Москва и обл.;228 583 476,00;229 946 656,00;-1 363 180,00;-0,59
34;6;СМП Банк;3368;Москва и обл.;226 137 769,00;195 156 392,00;30 981 377,00;15,88
35;-1;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;226 061 682,00;224 476 854,00;1 584 828,00;0,71
36;-1;Банк «Открытие»;2179;Москва и обл.;225 354 294,00;222 094 742,00;3 259 552,00;1,47
37;-1;ИНГ Банк;2495;Москва и обл.;203 445 173,00;216 872 300,00;-13 427 127,00;-6,19
38;-1;МТС Банк;2268;Москва и обл.;201 252 856,00;213 117 998,00;-11 865 142,00;-5,57
39;0;Московский Индустриальный Банк;912;Москва и обл.;201 110 710,00;200 306 412,00;804 298,00;0,40
40;1;Новикомбанк;2546;Москва и обл.;198 508 736,00;194 016 473,00;4 492 263,00;2,32
41;-3;Абсолют Банк;2306;Москва и обл.;198 371 434,00;201 653 206,00;-3 281 772,00;-1,63
42;2;Внешпромбанк;3261;Москва и обл.;197 274 345,00;179 327 387,00;17 946 958,00;10,01
43;0;Совкомбанк;963;Костромская обл.;180 452 883,00;180 331 296,00;121 587,00;0,07
44;1;ОТП Банк;2766;Москва и обл.;173 506 429,00;167 219 393,00;6 287 036,00;3,76
45;4;Татфондбанк;3058;Татарстан;152 396 140,00;142 388 319,00;10 007 821,00;7,03
46;2;Транскапиталбанк;2210;Москва и обл.;152 242 176,00;143 840 958,00;8 401 218,00;5,84
47;-1;Кредит Европа Банк;3311;Москва и обл.;151 547 689,00;148 999 669,00;2 548 020,00;1,71
48;-1;РосЕвроБанк;3137;Москва и обл.;138 437 591,00;145 980 485,00;-7 542 894,00;-5,17
49;2;Банк ДОМ.РФ;2312;Москва и обл.;132 682 948,00;131 772 463,00;910 485,00;0,69
50;0;МСП Банк;3340;Москва и обл.;129 680 600,00;131 948 489,00;-2 267 889,00;-1,72
51;7;Российский Кредит;324;Москва и обл.;128 322 862,00;119 492 814,00;8 830 048,00;7,39
52;1;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;127 654 789,00;125 119 809,00;2 534 980,00;2,03
53;2;ДельтаКредит;3338;Москва и обл.;123 666 031,00;122 810 811,00;855 220,00;0,70
54;0;Ренессанс Кредит;3354;Москва и обл.;122 874 358,00;124 328 814,00;-1 454 456,00;-1,17
55;1;СКБ-Банк;705;Свердловская обл.;122 581 283,00;122 265 443,00;315 840,00;0,26
56;1;Инвестторгбанк;2763;Москва и обл.;119 698 944,00;121 456 124,00;-1 757 180,00;-1,45
57;2;Тинькофф Банк;2673;Москва и обл.;119 463 992,00;118 196 777,00;1 267 215,00;1,07
58;3;Русфинанс Банк;1792;Самарская обл.;118 451 927,00;115 471 732,00;2 980 195,00;2,58
59;1;РГС Банк;3073;Москва и обл.;117 101 187,00;116 731 801,00;369 386,00;0,32
60;2;Авангард;2879;Москва и обл.;116 704 162,00;114 418 528,00;2 285 634,00;2,00
61;2;Пересвет;2110;Москва и обл.;108 786 676,00;106 827 982,00;1 958 694,00;1,83
62;2;Пробизнесбанк;2412;Москва и обл.;104 335 486,00;105 897 075,00;-1 561 589,00;-1,47
63;2;Запсибкомбанк;918;Тюменская обл.;100 230 975,00;99 180 283,00;1 050 692,00;1,06
64;-22;Национальный Расчетный Депозитарий;3294;Москва и обл.;97 990 406,00;190 685 752,00;-92 695 346,00;-48,61
65;4;ЦентроКредит;121;Москва и обл.;97 330 113,00;90 239 472,00;7 090 641,00;7,86
66;0;Рост Банк;2888;Москва и обл.;94 646 697,00;93 685 109,00;961 588,00;1,03
67;0;Банк БФА;3038;Санкт-Петербург и обл.;92 599 067,00;91 801 837,00;797 230,00;0,87
68;0;Всероссийский Банк Развития Регионов;3287;Москва и обл.;89 556 779,00;90 524 228,00;-967 449,00;-1,07
69;1;Сетелем Банк;2168;Москва и обл.;89 455 745,00;86 953 575,00;2 502 170,00;2,88
70;-18;Дойче Банк;3328;Москва и обл.;89 207 341,00;127 356 130,00;-38 148 789,00;-29,95
71;3;Локо-Банк;2707;Москва и обл.;88 412 844,00;83 442 029,00;4 970 815,00;5,96
72;0;Центр-инвест;2225;Ростовская обл.;84 460 930,00;84 103 555,00;357 375,00;0,42
73;2;Нота-Банк;2913;Москва и обл.;82 773 847,00;83 189 241,00;-415 394,00;-0,50
74;-1;Союз;2307;Москва и обл.;82 346 681,00;83 789 666,00;-1 442 985,00;-1,72
75;1;Югра;880;Тюменская обл.;80 477 872,00;77 916 603,00;2 561 269,00;3,29
76;3;Сургутнефтегазбанк;588;Тюменская обл.;76 123 803,00;74 150 418,00;1 973 385,00;2,66
77;0;Банк Интеза;2216;Москва и обл.;75 507 733,00;76 503 480,00;-995 747,00;-1,30
78;2;СБ Банк (Судостроительный банк);2999;Москва и обл.;74 138 596,00;72 928 931,00;1 209 665,00;1,66
79;2;Связной Банк;1961;Москва и обл.;73 961 079,00;72 829 675,00;1 131 404,00;1,55
80;-2;Роскосмосбанк;2989;Москва и обл.;73 136 753,00;75 345 006,00;-2 208 253,00;-2,93
81;1;Балтинвестбанк;3176;Санкт-Петербург и обл.;73 011 172,00;71 918 391,00;1 092 781,00;1,52
82;-11;БНП Париба Банк;3407;Москва и обл.;71 599 503,00;84 635 114,00;-13 035 611,00;-15,40
83;0;Металлинвестбанк;2440;Москва и обл.;70 910 366,00;70 281 009,00;629 357,00;0,90
84;1;Юниаструм Банк;2771;Москва и обл.;67 455 735,00;67 462 359,00;-6 624,00;-0,01
85;1;Международный Финансовый Клуб;2618;Москва и обл.;66 954 228,00;67 175 829,00;-221 601,00;-0,33
86;1;Балтийский Банк;128;Москва и обл.;66 762 413,00;63 700 433,00;3 061 980,00;4,81
87;1;Интеркоммерц Банк;1657;Москва и обл.;66 035 366,00;62 922 236,00;3 113 130,00;4,95
88;1;Первобанк;3461;Самарская обл.;63 076 551,00;62 797 092,00;279 459,00;0,45
89;-5;Эйч-Эс-Би-Си Банк (HSBC);3290;Москва и обл.;62 497 059,00;69 678 976,00;-7 181 917,00;-10,31
90;0;РосинтерБанк;226;Москва и обл.;59 920 013,00;56 911 995,00;3 008 018,00;5,29
91;0;Тойота Банк;3470;Москва и обл.;56 999 755,00;56 418 321,00;581 434,00;1,03
92;1;Кубань Кредит;2518;Краснодарский край;54 194 801,00;52 887 378,00;1 307 423,00;2,47
93;6;Экспобанк;2998;Москва и обл.;53 229 876,00;47 758 639,00;5 471 237,00;11,46
94;9;Еврофинанс Моснарбанк;2402;Москва и обл.;52 241 150,00;42 939 390,00;9 301 760,00;21,66
95;-3;Таврический Банк;2304;Санкт-Петербург и обл.;51 386 174,00;52 917 153,00;-1 530 979,00;-2,89
96;0;Бинбанк Диджитал;2827;Москва и обл.;50 767 645,00;49 340 490,00;1 427 155,00;2,89
97;-3;Собинбанк;1317;Москва и обл.;50 431 765,00;52 870 897,00;-2 439 132,00;-4,61
98;12;Коммерцбанк (Евразия);3333;Москва и обл.;49 945 400,00;39 652 196,00;10 293 204,00;25,96
99;-2;Национальный Стандарт;3421;Москва и обл.;47 652 605,00;48 263 755,00;-611 150,00;-1,27
100;1;Почта Банк;650;Москва и обл.;47 128 558,00;43 644 242,00;3 484 316,00;7,98
101;5;Креди Агриколь КИБ;1680;Санкт-Петербург и обл.;46 405 158,00;42 601 174,00;3 803 984,00;8,93
102;-4;Международный Банк Санкт-Петербурга (МБСП);197;Санкт-Петербург и обл.;45 627 127,00;47 989 987,00;-2 362 860,00;-4,92
103;-3;Банк Финсервис;3388;Москва и обл.;45 467 494,00;44 044 423,00;1 423 071,00;3,23
104;1;Меткомбанк (Каменск-Уральский);2443;Свердловская обл.;44 830 527,00;42 601 955,00;2 228 572,00;5,23
105;-3;Межтопэнергобанк;2956;Москва и обл.;43 543 396,00;43 499 092,00;44 304,00;0,10
106;-2;Экспресс-Волга;3085;Саратовская обл.;43 086 241,00;42 654 263,00;431 978,00;1,01
107;1;БФГ-Кредит;3068;Москва и обл.;42 076 733,00;41 231 076,00;845 657,00;2,05
108;-1;Фора-Банк;1885;Москва и обл.;40 902 683,00;41 320 885,00;-418 202,00;-1,01
109;11;АйСиБиСи Банк;3475;Москва и обл.;40 652 646,00;37 302 510,00;3 350 136,00;8,98
110;-1;Народный Кредит;2401;Москва и обл.;39 629 644,00;40 825 938,00;-1 196 294,00;-2,93
111;7;Военно-Промышленный Банк;3065;Москва и обл.;39 341 297,00;37 794 065,00;1 547 232,00;4,09
112;2;Крайинвестбанк;3360;Краснодарский край;39 317 302,00;38 808 739,00;508 563,00;1,31
113;-2;Меткомбанк (Череповец);901;Вологодская обл.;39 167 686,00;39 598 593,00;-430 907,00;-1,09
114;-2;Интерпромбанк;3266;Москва и обл.;39 025 483,00;39 037 859,00;-12 376,00;-0,03
115;-20;Финпромбанк (ФПБ Банк);2157;Москва и обл.;38 966 385,00;50 260 479,00;-11 294 094,00;-22,47
116;3;Примсоцбанк;2733;Приморский край;38 475 511,00;37 651 804,00;823 707,00;2,19
117;-1;Мосстройэкономбанк (М Банк);948;Москва и обл.;38 364 659,00;37 838 040,00;526 619,00;1,39
