Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Май, 2014, тыс. рублей;Апрель, 2014, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;17 827 517 758,00;17 535 835 336,00;291 682 422,00;1,66
2;0;ВТБ;1000;Санкт-Петербург и обл.;6 247 881 358,00;5 821 991 612,00;425 889 746,00;7,32
3;0;Газпромбанк;354;Москва и обл.;3 909 019 619,00;3 919 777 134,00;-10 757 515,00;-0,27
4;0;ВТБ 24;1623;Москва и обл.;2 317 913 731,00;2 202 098 771,00;115 814 960,00;5,26
5;0;Россельхозбанк;3349;Москва и обл.;1 890 877 557,00;1 904 990 239,00;-14 112 682,00;-0,74
6;0;БМ-Банк;2748;Москва и обл.;1 858 973 464,00;1 831 807 068,00;27 166 396,00;1,48
7;0;Альфа-Банк;1326;Москва и обл.;1 533 393 746,00;1 510 922 789,00;22 470 957,00;1,49
8;0;Банк Открытие;2209;Москва и обл.;971 142 215,00;1 021 784 663,00;-50 642 448,00;-4,96
9;0;ЮниКредит Банк;1;Москва и обл.;878 466 897,00;893 189 352,00;-14 722 455,00;-1,65
10;1;Росбанк;2272;Москва и обл.;819 550 494,00;767 044 428,00;52 506 066,00;6,85
11;-1;Промсвязьбанк;3251;Москва и обл.;814 557 673,00;786 819 155,00;27 738 518,00;3,53
12;0;Райффайзенбанк;3292;Москва и обл.;769 776 741,00;739 987 421,00;29 789 320,00;4,03
13;0;Национальный Клиринговый Центр;3466;Москва и обл.;756 168 468,00;639 089 971,00;117 078 497,00;18,32
14;1;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;456 830 369,00;462 240 315,00;-5 409 946,00;-1,17
15;-1;Московский Кредитный Банк;1978;Москва и обл.;456 516 791,00;472 573 153,00;-16 056 362,00;-3,40
16;0;Россия;328;Санкт-Петербург и обл.;414 558 912,00;421 140 273,00;-6 581 361,00;-1,56
17;0;Русский Стандарт;2289;Москва и обл.;403 458 615,00;395 118 630,00;8 339 985,00;2,11
18;1;Ак Барс;2590;Татарстан;392 105 809,00;384 221 930,00;7 883 879,00;2,05
19;1;Банк Уралсиб;30;Москва и обл.;379 912 372,00;378 440 345,00;1 472 027,00;0,39
20;1;Хоум Кредит Банк;316;Москва и обл.;352 804 771,00;351 141 005,00;1 663 766,00;0,47
21;-3;Ханты-Мансийский банк Открытие;1971;Тюменская обл.;345 896 850,00;387 861 672,00;-41 964 822,00;-10,82
22;2;МДМ Банк;2562;Новосибирская обл.;343 656 280,00;325 694 696,00;17 961 584,00;5,51
23;2;Нордеа Банк;3016;Москва и обл.;329 942 770,00;308 767 387,00;21 175 383,00;6,86
24;-2;Связь-Банк;1470;Москва и обл.;318 889 982,00;328 352 396,00;-9 462 414,00;-2,88
25;-2;Ситибанк;2557;Москва и обл.;318 186 552,00;326 676 067,00;-8 489 515,00;-2,60
26;4;Восточный Банк;1460;Амурская обл.;265 993 359,00;251 995 833,00;13 997 526,00;5,55
27;-1;Петрокоммерц;1776;Москва и обл.;260 002 852,00;272 222 932,00;-12 220 080,00;-4,49
28;-1;Банк Зенит;3255;Москва и обл.;259 773 798,00;258 196 861,00;1 576 937,00;0,61
29;0;Глобэкс;1942;Москва и обл.;247 124 051,00;252 371 462,00;-5 247 411,00;-2,08
30;1;Траст;3279;Москва и обл.;245 045 668,00;248 856 357,00;-3 810 689,00;-1,53
31;3;Бинбанк;323;Москва и обл.;236 072 791,00;220 667 971,00;15 404 820,00;6,98
32;-4;ИНГ Банк;2495;Москва и обл.;227 516 509,00;252 537 920,00;-25 021 411,00;-9,91
33;0;Возрождение;1439;Москва и обл.;224 619 306,00;225 626 421,00;-1 007 115,00;-0,45
34;1;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;215 549 340,00;215 887 057,00;-337 717,00;-0,16
35;-3;Банк «Открытие»;2179;Москва и обл.;206 733 638,00;226 622 559,00;-19 888 921,00;-8,78
36;12;Абсолют Банк;2306;Москва и обл.;198 810 207,00;131 962 083,00;66 848 124,00;50,66
37;-1;СМП Банк;3368;Москва и обл.;196 120 265,00;209 951 872,00;-13 831 607,00;-6,59
38;-1;Московский Индустриальный Банк;912;Москва и обл.;195 810 885,00;195 488 324,00;322 561,00;0,17
39;-1;МТС Банк;2268;Москва и обл.;186 422 521,00;192 921 941,00;-6 499 420,00;-3,37
40;-1;Новикомбанк;2546;Москва и обл.;176 643 611,00;186 175 863,00;-9 532 252,00;-5,12
41;-1;Внешпромбанк;3261;Москва и обл.;172 900 127,00;170 357 447,00;2 542 680,00;1,49
42;1;Совкомбанк;963;Костромская обл.;162 988 400,00;151 454 877,00;11 533 523,00;7,62
43;-1;ОТП Банк;2766;Москва и обл.;158 167 584,00;159 071 267,00;-903 683,00;-0,57
44;-3;Кредит Европа Банк;3311;Москва и обл.;156 692 016,00;161 563 021,00;-4 871 005,00;-3,01
45;-1;Транскапиталбанк;2210;Москва и обл.;148 157 790,00;146 860 866,00;1 296 924,00;0,88
