Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Февраль, 2010, тыс. рублей;Январь, 2010, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;7 539 400 755,00;7 652 716 628,00;-113 315 873,00;-1,48
2;0;ВТБ;1000;Санкт-Петербург и обл.;2 626 753 610,00;2 713 933 520,00;-87 179 910,00;-3,21
3;0;Газпромбанк;354;Москва и обл.;1 798 498 423,00;1 746 405 614,00;52 092 809,00;2,98
4;0;Россельхозбанк;3349;Москва и обл.;975 802 301,00;973 893 355,00;1 908 946,00;0,20
5;0;БМ-Банк;2748;Москва и обл.;817 397 208,00;824 459 229,00;-7 062 021,00;-0,86
6;0;ВТБ 24;1623;Москва и обл.;737 893 702,00;738 023 462,00;-129 760,00;-0,02
7;0;Альфа-Банк;1326;Москва и обл.;649 723 796,00;659 185 403,00;-9 461 607,00;-1,44
8;0;ЮниКредит Банк;1;Москва и обл.;508 504 416,00;521 475 279,00;-12 970 863,00;-2,49
9;1;Промсвязьбанк;3251;Москва и обл.;502 041 371,00;491 605 030,00;10 436 341,00;2,12
10;-1;Райффайзенбанк;3292;Москва и обл.;491 349 847,00;501 444 409,00;-10 094 562,00;-2,01
11;0;Росбанк;2272;Москва и обл.;451 410 048,00;474 345 698,00;-22 935 650,00;-4,84
12;0;МДМ Банк;2562;Новосибирская обл.;437 275 500,00;439 918 786,00;-2 643 286,00;-0,60
13;0;Банк Уралсиб;30;Москва и обл.;396 678 947,00;401 680 905,00;-5 001 958,00;-1,25
14;0;Банк Открытие;2209;Москва и обл.;305 445 606,00;292 154 773,00;13 290 833,00;4,55
15;1;Транскредитбанк;2142;Москва и обл.;252 220 488,00;251 718 030,00;502 458,00;0,20
16;1;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;237 563 188,00;247 383 445,00;-9 820 257,00;-3,97
17;1;Ак Барс;2590;Татарстан;233 832 277,00;230 117 850,00;3 714 427,00;1,61
18;1;Ситибанк;2557;Москва и обл.;222 550 832,00;194 199 797,00;28 351 035,00;14,60
19;-4;ВТБ Северо-Запад;439;Санкт-Петербург и обл.;219 490 541,00;264 123 109,00;-44 632 568,00;-16,90
20;;Связь-Банк;1470;Москва и обл.;211 316 161,00;-;-;
21;0;Петрокоммерц;1776;Москва и обл.;183 017 424,00;171 384 817,00;11 632 607,00;6,79
22;-2;Международный Промышленный Банк;2056;Москва и обл.;175 047 856,00;179 618 661,00;-4 570 805,00;-2,54
23;0;Банк Зенит;3255;Москва и обл.;160 674 159,00;155 850 060,00;4 824 099,00;3,10
24;-2;Нордеа Банк;3016;Москва и обл.;157 455 035,00;158 642 079,00;-1 187 044,00;-0,75
25;0;Русский Стандарт;2289;Москва и обл.;152 113 742,00;153 414 165,00;-1 300 423,00;-0,85
26;1;МТС Банк;2268;Москва и обл.;151 157 406,00;146 201 315,00;4 956 091,00;3,39
27;-3;Возрождение;1439;Москва и обл.;149 857 158,00;153 449 817,00;-3 592 659,00;-2,34
28;-2;Банк Сосьете Женераль Восток;2295;Москва и обл.;146 108 455,00;150 301 579,00;-4 193 124,00;-2,79
29;-1;Абсолют Банк;2306;Москва и обл.;142 278 011,00;143 003 903,00;-725 892,00;-0,51
30;-1;Национальный Клиринговый Центр;3466;Москва и обл.;138 736 547,00;141 483 944,00;-2 747 397,00;-1,94
31;-1;Ханты-Мансийский банк Открытие;1971;Тюменская обл.;137 582 182,00;136 886 539,00;695 643,00;0,51
32;1;Газэнергопромбанк;3284;Москва и обл.;133 524 827,00;124 204 639,00;9 320 188,00;7,50
33;-2;Траст;3279;Москва и обл.;130 723 508,00;135 718 087,00;-4 994 579,00;-3,68
34;-2;КИТ Финанс Инвестиционный Банк;1911;Санкт-Петербург и обл.;126 593 025,00;125 463 438,00;1 129 587,00;0,90
35;7;ИНГ Банк;2495;Москва и обл.;113 203 987,00;86 135 283,00;27 068 704,00;31,43
36;-2;Хоум Кредит Банк;316;Москва и обл.;112 866 514,00;117 556 406,00;-4 689 892,00;-3,99
37;1;ЦентроКредит;121;Москва и обл.;112 626 507,00;96 338 380,00;16 288 127,00;16,91
38;-3;Россия;328;Санкт-Петербург и обл.;104 513 484,00;113 085 211,00;-8 571 727,00;-7,58
39;0;ОТП Банк;2766;Москва и обл.;95 713 816,00;95 465 101,00;248 715,00;0,26
40;-4;РГС Банк;3073;Москва и обл.;94 725 808,00;104 442 887,00;-9 717 079,00;-9,30
41;4;Дойче Банк;3328;Москва и обл.;90 723 520,00;76 710 624,00;14 012 896,00;18,27
42;-2;Московский Индустриальный Банк;912;Москва и обл.;89 249 688,00;90 756 241,00;-1 506 553,00;-1,66
43;-2;Московский Кредитный Банк;1978;Москва и обл.;88 923 429,00;89 535 792,00;-612 363,00;-0,68
44;-1;Русфинанс Банк;1792;Самарская обл.;87 452 437,00;86 117 296,00;1 335 141,00;1,55
45;-1;Бинбанк;323;Москва и обл.;79 658 834,00;78 270 934,00;1 387 900,00;1,77
46;0;Союз;2307;Москва и обл.;75 599 449,00;75 026 633,00;572 816,00;0,76
47;4;Банк Интеза;2216;Москва и обл.;73 448 668,00;64 448 250,00;9 000 418,00;13,97
48;2;Пробизнесбанк;2412;Москва и обл.;70 325 502,00;66 377 264,00;3 948 238,00;5,95
49;5;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;69 229 673,00;62 601 589,00;6 628 084,00;10,59
50;-2;Юниаструм Банк;2771;Москва и обл.;67 799 780,00;71 363 073,00;-3 563 293,00;-4,99
51;-2;Глобэкс;1942;Москва и обл.;67 477 634,00;70 790 776,00;-3 313 142,00;-4,68
52;-5;Кредит Европа Банк;3311;Москва и обл.;66 713 863,00;74 806 006,00;-8 092 143,00;-10,82
53;3;Транскапиталбанк;2210;Москва и обл.;64 759 224,00;62 204 838,00;2 554 386,00;4,11
54;-1;МСП Банк;3340;Москва и обл.;63 187 059,00;63 852 603,00;-665 544,00;-1,04
55;-3;Балтийский Банк;128;Москва и обл.;62 917 096,00;64 049 761,00;-1 132 665,00;-1,77
56;1;Сведбанк;3064;Москва и обл.;60 436 728,00;59 392 156,00;1 044 572,00;1,76
57;17;Всероссийский Банк Развития Регионов;3287;Москва и обл.;59 671 697,00;42 516 122,00;17 155 575,00;40,35
58;2;Татфондбанк;3058;Татарстан;57 405 140,00;55 623 443,00;1 781 697,00;3,20
59;2;Восточный Банк;1460;Амурская обл.;57 063 211,00;54 415 197,00;2 648 014,00;4,87
60;-1;Национальный Резервный Банк;2170;Москва и обл.;55 309 070,00;57 021 054,00;-1 711 984,00;-3,00
61;-3;РосЕвроБанк;3137;Москва и обл.;55 255 538,00;58 614 031,00;-3 358 493,00;-5,73
62;-7;СКБ-Банк;705;Свердловская обл.;54 968 312,00;62 274 403,00;-7 306 091,00;-11,73
63;-1;Мастер-Банк;2176;Москва и обл.;54 673 821,00;54 395 272,00;278 549,00;0,51
64;1;Собинбанк;1317;Москва и обл.;51 707 634,00;52 060 448,00;-352 814,00;-0,68
65;-1;Запсибкомбанк;918;Тюменская обл.;51 340 980,00;52 155 287,00;-814 307,00;-1,56
66;-29;Петровский;729;Санкт-Петербург и обл.;49 988 586,00;101 255 545,00;-51 266 959,00;-50,63
67;1;Инвестторгбанк;2763;Москва и обл.;49 161 416,00;49 423 339,00;-261 923,00;-0,53
68;-5;Сургутнефтегазбанк;588;Тюменская обл.;46 742 186,00;53 017 735,00;-6 275 549,00;-11,84
69;3;Банк «Открытие»;2179;Москва и обл.;46 531 481,00;45 901 448,00;630 033,00;1,37
70;1;АМТ Банк;2820;Москва и обл.;45 532 654,00;45 914 356,00;-381 702,00;-0,83
71;8;Еврофинанс Моснарбанк;2402;Москва и обл.;44 993 011,00;38 616 772,00;6 376 239,00;16,51
72;-6;Ренессанс Кредит;3354;Москва и обл.;44 291 601,00;50 865 308,00;-6 573 707,00;-12,92
73;-3;Внешпромбанк;3261;Москва и обл.;42 131 063,00;46 567 643,00;-4 436 580,00;-9,53
74;-7;Авангард;2879;Москва и обл.;42 072 738,00;50 509 841,00;-8 437 103,00;-16,70
