Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Май, 2020, тыс. рублей;Апрель, 2020, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;31 081 925 636,00;30 996 090 960,00;85 834 676,00;0,28
2;0;ВТБ;1000;Санкт-Петербург и обл.;15 311 636 223,00;15 449 915 604,00;-138 279 381,00;-0,90
3;0;Газпромбанк;354;Москва и обл.;7 040 497 326,00;7 222 616 558,00;-182 119 232,00;-2,52
4;0;Национальный Клиринговый Центр;3466;Москва и обл.;4 425 164 004,00;4 581 142 681,00;-155 978 677,00;-3,40
5;0;Альфа-Банк;1326;Москва и обл.;4 062 135 485,00;4 341 514 901,00;-279 379 416,00;-6,44
6;0;Россельхозбанк;3349;Москва и обл.;3 662 500 285,00;3 863 162 782,00;-200 662 497,00;-5,19
7;1;Банк Открытие;2209;Москва и обл.;2 723 185 052,00;2 718 916 985,00;4 268 067,00;0,16
8;-1;Московский Кредитный Банк;1978;Москва и обл.;2 705 369 187,00;2 893 610 487,00;-188 241 300,00;-6,51
9;0;ЮниКредит Банк;1;Москва и обл.;1 567 902 620,00;1 569 864 314,00;-1 961 694,00;-0,12
10;1;Совкомбанк;963;Костромская обл.;1 390 084 402,00;1 423 047 410,00;-32 963 008,00;-2,32
11;-1;Райффайзенбанк;3292;Москва и обл.;1 371 919 514,00;1 476 539 869,00;-104 620 355,00;-7,09
12;0;Росбанк;2272;Москва и обл.;1 353 430 069,00;1 388 529 692,00;-35 099 623,00;-2,53
13;0;Траст;3279;Москва и обл.;1 322 532 703,00;1 335 937 983,00;-13 405 280,00;-1,00
14;0;Россия;328;Санкт-Петербург и обл.;1 027 787 190,00;1 023 350 274,00;4 436 916,00;0,43
15;0;Всероссийский Банк Развития Регионов;3287;Москва и обл.;892 244 335,00;869 353 697,00;22 890 638,00;2,63
16;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;681 823 327,00;704 374 119,00;-22 550 792,00;-3,20
17;1;Тинькофф Банк;2673;Москва и обл.;672 123 711,00;643 304 098,00;28 819 613,00;4,48
18;5;БМ-Банк;2748;Москва и обл.;661 495 021,00;529 669 691,00;131 825 330,00;24,89
19;0;Ак Барс;2590;Татарстан;616 704 247,00;633 169 104,00;-16 464 857,00;-2,60
20;-3;Ситибанк;2557;Москва и обл.;608 170 639,00;644 693 575,00;-36 522 936,00;-5,67
21;0;Новикомбанк;2546;Москва и обл.;547 760 110,00;552 624 359,00;-4 864 249,00;-0,88
22;-2;СМП Банк;3368;Москва и обл.;534 066 830,00;573 371 810,00;-39 304 980,00;-6,86
23;-1;Банк Уралсиб;30;Москва и обл.;515 411 254,00;545 978 713,00;-30 567 459,00;-5,60
24;0;Почта Банк;650;Москва и обл.;512 713 111,00;521 601 454,00;-8 888 343,00;-1,70
25;0;Московский Областной Банк;1751;Москва и обл.;440 608 689,00;490 625 194,00;-50 016 505,00;-10,19
26;0;Московский Индустриальный Банк;912;Москва и обл.;436 480 349,00;441 948 302,00;-5 467 953,00;-1,24
27;0;Банк ДОМ.РФ;2312;Москва и обл.;365 540 349,00;385 392 400,00;-19 852 051,00;-5,15
28;0;Пересвет;2110;Москва и обл.;349 035 763,00;349 470 856,00;-435 093,00;-0,12
29;0;Русский Стандарт;2289;Москва и обл.;325 810 761,00;334 483 789,00;-8 673 028,00;-2,59
30;1;Сургутнефтегазбанк;588;Ханты-Мансийский АО — Югра;291 481 271,00;285 825 206,00;5 656 065,00;1,98
31;-1;ИНГ Банк;2495;Москва и обл.;288 962 777,00;327 639 387,00;-38 676 610,00;-11,80
32;0;Абсолют Банк;2306;Москва и обл.;286 870 554,00;285 362 863,00;1 507 691,00;0,53
33;0;Возрождение;1439;Москва и обл.;271 837 572,00;282 439 204,00;-10 601 632,00;-3,75
34;0;Хоум Кредит Банк;316;Москва и обл.;268 826 799,00;276 601 122,00;-7 774 323,00;-2,81
35;2;РНКБ;1354;Симферополь;261 219 936,00;261 255 006,00;-35 070,00;-0,01
36;4;Восточный Банк;1460;Амурская обл.;242 200 467,00;238 388 080,00;3 812 387,00;1,60
37;2;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;242 041 431,00;248 327 944,00;-6 286 513,00;-2,53
38;-3;Связь-Банк;1470;Москва и обл.;239 584 361,00;275 643 109,00;-36 058 748,00;-13,08
39;-3;Банк Зенит;3255;Москва и обл.;237 502 230,00;273 436 706,00;-35 934 476,00;-13,14
40;-2;Национальный Расчетный Депозитарий;3294;Москва и обл.;233 828 980,00;255 800 385,00;-21 971 405,00;-8,59
41;0;МТС Банк;2268;Москва и обл.;210 705 365,00;216 147 003,00;-5 441 638,00;-2,52
42;0;Инвестторгбанк;2763;Москва и обл.;201 795 917,00;202 908 897,00;-1 112 980,00;-0,55
43;2;Транскапиталбанк;2210;Москва и обл.;173 306 410,00;174 258 265,00;-951 855,00;-0,55
44;-1;ОТП Банк;2766;Москва и обл.;173 174 800,00;179 650 909,00;-6 476 109,00;-3,60
45;-1;Ренессанс Кредит;3354;Москва и обл.;170 897 707,00;177 184 962,00;-6 287 255,00;-3,55
46;0;Экспресс-Волга;3085;Костромская обл.;166 884 732,00;171 304 319,00;-4 419 587,00;-2,58
47;3;Росэксимбанк;2790;Москва и обл.;155 683 353,00;151 049 981,00;4 633 372,00;3,07
48;-1;Русфинанс Банк;1792;Самарская обл.;152 731 684,00;158 498 790,00;-5 767 106,00;-3,64
49;-1;Сетелем Банк;2168;Москва и обл.;150 647 411,00;154 755 479,00;-4 108 068,00;-2,65
50;2;Запсибкомбанк;918;Тюменская обл.;146 808 053,00;145 646 126,00;1 161 927,00;0,80
51;-2;Таврический Банк;2304;Санкт-Петербург и обл.;146 477 382,00;152 440 924,00;-5 963 542,00;-3,91
52;-1;Кредит Европа Банк;3311;Москва и обл.;143 410 617,00;149 868 310,00;-6 457 693,00;-4,31
53;1;Роскосмосбанк;2989;Москва и обл.;133 685 839,00;131 734 067,00;1 951 772,00;1,48
54;1;МСП Банк;3340;Москва и обл.;133 362 162,00;127 717 173,00;5 644 989,00;4,42
55;-2;Авангард;2879;Москва и обл.;130 463 380,00;138 523 243,00;-8 059 863,00;-5,82
56;6;Аверс;415;Татарстан;121 728 149,00;113 144 533,00;8 583 616,00;7,59
57;-1;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;119 964 648,00;122 099 487,00;-2 134 839,00;-1,75
58;-1;Центр-инвест;2225;Ростовская обл.;119 866 114,00;121 655 464,00;-1 789 350,00;-1,47
59;1;Дойче Банк;3328;Москва и обл.;117 260 721,00;115 327 816,00;1 932 905,00;1,68
60;-1;РН Банк;170;Москва и обл.;114 279 635,00;116 551 528,00;-2 271 893,00;-1,95
61;2;Металлинвестбанк;2440;Москва и обл.;113 265 091,00;112 569 153,00;695 938,00;0,62
62;-4;ЦентроКредит;121;Москва и обл.;111 961 294,00;121 256 341,00;-9 295 047,00;-7,67
63;1;Банк Финсервис;3388;Москва и обл.;111 505 736,00;112 317 319,00;-811 583,00;-0,72
64;-3;Кубань Кредит;2518;Краснодарский край;110 825 143,00;113 456 356,00;-2 631 213,00;-2,32
65;0;ВУЗ-Банк;1557;Свердловская обл.;104 905 871,00;108 330 446,00;-3 424 575,00;-3,16
66;0;Экспобанк;2998;Москва и обл.;101 766 474,00;103 609 737,00;-1 843 263,00;-1,78
67;5;ББР Банк;2929;Москва и обл.;98 474 226,00;89 962 935,00;8 511 291,00;9,46
68;3;Союз;2307;Москва и обл.;98 292 684,00;94 146 399,00;4 146 285,00;4,40
69;1;СКБ-Банк;705;Свердловская обл.;94 304 957,00;96 424 149,00;-2 119 192,00;-2,20
70;3;Локо-Банк;2707;Москва и обл.;93 849 713,00;89 559 416,00;4 290 297,00;4,79
71;-3;Мидзухо Банк;3337;Москва и обл.;87 663 353,00;100 531 111,00;-12 867 758,00;-12,80
72;5;Эм-Ю-Эф-Джи Банк (Евразия);3465;Москва и обл.;81 844 837,00;80 333 952,00;1 510 885,00;1,88
73;3;Сумитомо Мицуи Рус Банк;3494;Москва и обл.;81 114 494,00;80 338 269,00;776 225,00;0,97
74;1;Тойота Банк;3470;Москва и обл.;77 335 495,00;80 664 163,00;-3 328 668,00;-4,13
75;3;Коммерцбанк (Евразия);3333;Москва и обл.;76 566 203,00;79 905 489,00;-3 339 286,00;-4,18
76;10;АйСиБиСи Банк;3475;Москва и обл.;75 834 913,00;69 391 139,00;6 443 774,00;9,29
77;2;Балтинвестбанк;3176;Санкт-Петербург и обл.;74 605 367,00;76 165 451,00;-1 560 084,00;-2,05
78;2;Меткомбанк (Каменск-Уральский);2443;Свердловская обл.;71 783 976,00;73 524 917,00;-1 740 941,00;-2,37
79;3;СДМ-Банк;1637;Москва и обл.;71 071 586,00;71 018 580,00;53 006,00;0,07
80;1;Банк Интеза;2216;Москва и обл.;70 091 670,00;72 948 400,00;-2 856 730,00;-3,92
81;4;БКС Банк;101;Москва и обл.;70 081 129,00;69 541 731,00;539 398,00;0,78
82;5;Примсоцбанк;2733;Приморский край;69 809 064,00;68 894 029,00;915 035,00;1,33
83;1;Левобережный;1343;Новосибирская обл.;68 676 228,00;69 676 124,00;-999 896,00;-1,44
84;-15;Эйч-Эс-Би-Си Банк (HSBC);3290;Москва и обл.;66 329 411,00;98 449 594,00;-32 120 183,00;-32,63
85;-18;Нордеа Банк;3016;Москва и обл.;66 201 883,00;100 904 531,00;-34 702 648,00;-34,39
86;12;Газэнергобанк;3252;Калужская обл.;64 740 401,00;52 955 933,00;11 784 468,00;22,25
87;2;РГС Банк;3073;Москва и обл.;59 717 775,00;61 889 292,00;-2 171 517,00;-3,51
88;4;Севергазбанк;2816;Вологодская обл.;58 134 238,00;56 507 597,00;1 626 641,00;2,88
89;1;Фора-Банк;1885;Москва и обл.;58 058 042,00;59 007 005,00;-948 963,00;-1,61
90;-16;Креди Агриколь КИБ;1680;Санкт-Петербург и обл.;57 808 488,00;85 400 515,00;-27 592 027,00;-32,31
91;25;Банк Кредит Свисс;2494;Москва и обл.;57 171 682,00;35 471 611,00;21 700 071,00;61,18
92;2;Челябинвестбанк;493;Челябинская обл.;56 426 421,00;55 786 342,00;640 079,00;1,15
93;-2;Челиндбанк;485;Челябинская обл.;56 249 095,00;57 189 859,00;-940 764,00;-1,64
94;-6;Международный Финансовый Клуб;2618;Москва и обл.;55 099 110,00;65 561 047,00;-10 461 937,00;-15,96
95;1;Объединенный Капитал;2611;Санкт-Петербург и обл.;54 808 834,00;55 350 304,00;-541 470,00;-0,98
96;-1;Генбанк;2490;Симферополь;53 522 614,00;55 483 476,00;-1 960 862,00;-3,53
97;2;Мир Бизнес Банк;3396;Москва и обл.;50 127 606,00;52 524 341,00;-2 396 735,00;-4,56
98;3;Платежный Центр;3166;Новосибирская обл.;49 767 223,00;51 711 230,00;-1 944 007,00;-3,76
99;1;БМВ Банк;3482;Москва и обл.;49 536 974,00;51 829 750,00;-2 292 776,00;-4,42
100;-3;Дж. П. Морган Банк;2629;Москва и обл.;49 333 598,00;55 348 981,00;-6 015 383,00;-10,87
101;2;Киви Банк;2241;Москва и обл.;47 216 894,00;48 098 782,00;-881 888,00;-1,83
102;-9;БНП Париба Банк;3407;Москва и обл.;46 516 542,00;56 435 922,00;-9 919 380,00;-17,58
103;1;Саровбизнесбанк;2048;Нижегородская обл.;46 461 593,00;47 424 967,00;-963 374,00;-2,03
104;2;Солидарность;554;Самарская обл.;45 481 452,00;45 237 958,00;243 494,00;0,54
105;51;Московское Ипотечное Агентство;3344;Москва и обл.;45 142 422,00;17 277 137,00;27 865 285,00;161,28
106;-4;Бэнк оф Чайна;2309;Москва и обл.;44 855 856,00;51 383 945,00;-6 528 089,00;-12,70
107;-2;Фольксваген Банк Рус;3500;Москва и обл.;44 557 936,00;45 478 249,00;-920 313,00;-2,02
108;-25;СЭБ Банк;3235;Санкт-Петербург и обл.;43 849 518,00;70 443 882,00;-26 594 364,00;-37,75
109;-2;Энерготрансбанк;1307;Калининградская обл.;43 045 196,00;42 406 015,00;639 181,00;1,51
110;-2;Аресбанк;2914;Москва и обл.;42 322 369,00;42 380 368,00;-57 999,00;-0,14
111;-1;Интерпрогрессбанк;600;Москва и обл.;41 808 908,00;41 926 896,00;-117 988,00;-0,28
112;-3;Голдман Сакс Банк;3490;Москва и обл.;38 902 006,00;42 310 196,00;-3 408 190,00;-8,06
113;1;Дальневосточный Банк;843;Приморский край;38 411 780,00;37 329 313,00;1 082 467,00;2,90
114;5;Кредит Урал Банк;2584;Челябинская обл.;37 545 133,00;34 511 382,00;3 033 751,00;8,79
115;-3;Кольцо Урала;65;Свердловская обл.;37 542 241,00;39 189 715,00;-1 647 474,00;-4,20
116;-3;Приморье;3001;Приморский край;36 893 490,00;37 469 321,00;-575 831,00;-1,54
117;-6;БыстроБанк;1745;Удмуртия;36 704 448,00;39 566 548,00;-2 862 100,00;-7,23
118;0;Квантмобайл Банк;1189;Москва и обл.;34 511 205,00;34 904 526,00;-393 321,00;-1,13
119;-2;Национальный Стандарт;3421;Москва и обл.;34 143 420,00;35 317 475,00;-1 174 055,00;-3,32
120;1;Алмазэргиэнбанк;2602;Саха (Якутия);32 576 880,00;31 855 312,00;721 568,00;2,27
121;-6;Держава;2738;Москва и обл.;32 449 592,00;35 579 179,00;-3 129 587,00;-8,80
122;0;Чайна Констракшн;3515;Москва и обл.;32 413 769,00;31 339 659,00;1 074 110,00;3,43
123;-3;МС Банк Рус;2789;Москва и обл.;32 033 608,00;32 531 948,00;-498 340,00;-1,53
124;0;НС Банк;3124;Москва и обл.;30 254 872,00;31 122 302,00;-867 430,00;-2,79
125;-2;Петербургский Социальный Коммерческий Банк;2551;Санкт-Петербург и обл.;29 471 059,00;31 260 212,00;-1 789 153,00;-5,72
126;0;Ланта-Банк;1920;Москва и обл.;29 272 521,00;28 219 911,00;1 052 610,00;3,73
127;4;Интерпромбанк;3266;Москва и обл.;27 419 583,00;26 406 494,00;1 013 089,00;3,84
128;0;Экономбанк;1319;Саратовская обл.;26 894 217,00;27 433 870,00;-539 653,00;-1,97
129;0;Мерседес-Бенц Банк Рус;3473;Москва и обл.;26 353 610,00;27 372 460,00;-1 018 850,00;-3,72
130;-3;Натиксис Банк;3390;Москва и обл.;25 899 411,00;27 476 984,00;-1 577 573,00;-5,74
131;1;Хлынов;254;Кировская обл.;25 514 796,00;25 475 595,00;39 201,00;0,15
