Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Март, 2015, тыс. рублей;Февраль, 2015, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;21 945 667 293,00;22 959 838 198,00;-1 014 170 905,00;-4,42
2;0;ВТБ;1000;Санкт-Петербург и обл.;8 306 272 544,00;8 749 580 896,00;-443 308 352,00;-5,07
3;0;Газпромбанк;354;Москва и обл.;4 758 183 487,00;5 250 784 878,00;-492 601 391,00;-9,38
4;1;ВТБ 24;1623;Москва и обл.;2 686 210 481,00;2 809 179 315,00;-122 968 834,00;-4,38
5;-1;Банк Открытие;2209;Москва и обл.;2 609 120 665,00;2 845 534 630,00;-236 413 965,00;-8,31
6;0;Альфа-Банк;1326;Москва и обл.;2 311 577 951,00;2 530 590 926,00;-219 012 975,00;-8,65
7;0;Россельхозбанк;3349;Москва и обл.;2 223 244 775,00;2 302 945 523,00;-79 700 748,00;-3,46
8;0;БМ-Банк;2748;Москва и обл.;1 981 280 704,00;2 043 595 986,00;-62 315 282,00;-3,05
9;0;Национальный Клиринговый Центр;3466;Москва и обл.;1 482 339 947,00;1 760 087 157,00;-277 747 210,00;-15,78
10;0;ЮниКредит Банк;1;Москва и обл.;1 371 787 308,00;1 546 867 270,00;-175 079 962,00;-11,32
11;0;Промсвязьбанк;3251;Москва и обл.;1 138 548 471,00;1 165 545 125,00;-26 996 654,00;-2,32
12;0;Росбанк;2272;Москва и обл.;995 966 350,00;1 125 095 733,00;-129 129 383,00;-11,48
13;0;Райффайзенбанк;3292;Москва и обл.;914 016 676,00;1 007 033 675,00;-93 016 999,00;-9,24
14;0;Ханты-Мансийский банк Открытие;1971;Москва и обл.;739 031 626,00;777 177 742,00;-38 146 116,00;-4,91
15;0;Московский Кредитный Банк;1978;Москва и обл.;596 355 245,00;611 968 333,00;-15 613 088,00;-2,55
16;1;Россия;328;Санкт-Петербург и обл.;555 380 045,00;520 250 984,00;35 129 061,00;6,75
17;-1;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;518 887 192,00;562 038 291,00;-43 151 099,00;-7,68
18;0;Ак Барс;2590;Татарстан;463 448 427,00;480 267 458,00;-16 819 031,00;-3,50
19;3;Бинбанк;323;Москва и обл.;450 841 463,00;420 904 889,00;29 936 574,00;7,11
20;-1;Русский Стандарт;2289;Москва и обл.;447 355 396,00;473 547 238,00;-26 191 842,00;-5,53
21;0;Нордеа Банк;3016;Москва и обл.;404 729 392,00;443 794 592,00;-39 065 200,00;-8,80
22;3;МДМ Банк;2562;Москва и обл.;392 858 376,00;409 195 678,00;-16 337 302,00;-3,99
23;-3;Ситибанк;2557;Москва и обл.;388 397 012,00;449 658 989,00;-61 261 977,00;-13,62
24;-1;Банк Уралсиб;30;Москва и обл.;385 075 668,00;419 423 860,00;-34 348 192,00;-8,19
25;-1;Связь-Банк;1470;Москва и обл.;384 789 107,00;413 327 541,00;-28 538 434,00;-6,90
26;2;Хоум Кредит Банк;316;Москва и обл.;343 143 163,00;350 292 364,00;-7 149 201,00;-2,04
27;-1;Траст;3279;Москва и обл.;342 450 081,00;401 237 677,00;-58 787 596,00;-14,65
28;-1;ИНГ Банк;2495;Москва и обл.;332 628 828,00;371 204 279,00;-38 575 451,00;-10,39
29;1;Глобэкс;1942;Москва и обл.;294 299 357,00;299 649 161,00;-5 349 804,00;-1,79
30;-1;Банк Зенит;3255;Москва и обл.;294 001 824,00;320 593 272,00;-26 591 448,00;-8,29
31;1;Московский Областной Банк;1751;Москва и обл.;290 835 565,00;297 217 529,00;-6 381 964,00;-2,15
32;-1;Петрокоммерц;1776;Москва и обл.;269 231 852,00;299 314 620,00;-30 082 768,00;-10,05
33;0;СМП Банк;3368;Москва и обл.;266 718 282,00;290 346 469,00;-23 628 187,00;-8,14
34;1;Совкомбанк;963;Костромская обл.;263 690 703,00;258 005 081,00;5 685 622,00;2,20
35;-1;Новикомбанк;2546;Москва и обл.;261 284 161,00;269 092 769,00;-7 808 608,00;-2,90
36;0;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;256 781 492,00;256 035 541,00;745 951,00;0,29
37;9;Национальный Расчетный Депозитарий;3294;Москва и обл.;251 819 655,00;196 664 648,00;55 155 007,00;28,05
38;-1;Внешпромбанк;3261;Москва и обл.;245 320 725,00;254 166 097,00;-8 845 372,00;-3,48
39;-1;Восточный Банк;1460;Амурская обл.;243 878 196,00;249 329 768,00;-5 451 572,00;-2,19
40;-1;Возрождение;1439;Москва и обл.;236 984 766,00;242 286 296,00;-5 301 530,00;-2,19
41;-1;Абсолют Банк;2306;Москва и обл.;226 244 966,00;231 398 972,00;-5 154 006,00;-2,23
42;-1;Московский Индустриальный Банк;912;Москва и обл.;218 916 797,00;223 890 878,00;-4 974 081,00;-2,22
43;2;Югра;880;Ханты-Мансийский АО — Югра;204 046 856,00;202 596 915,00;1 449 941,00;0,72
44;-2;ОТП Банк;2766;Москва и обл.;202 570 334,00;218 726 858,00;-16 156 524,00;-7,39
45;-1;МТС Банк;2268;Москва и обл.;200 704 293,00;203 857 761,00;-3 153 468,00;-1,55
46;-3;Банк ДОМ.РФ;2312;Москва и обл.;196 885 377,00;207 529 395,00;-10 644 018,00;-5,13
47;0;Транскапиталбанк;2210;Москва и обл.;170 536 347,00;184 291 258,00;-13 754 911,00;-7,46
48;1;Татфондбанк;3058;Татарстан;163 573 852,00;166 307 326,00;-2 733 474,00;-1,64
49;-1;Кредит Европа Банк;3311;Москва и обл.;162 731 225,00;179 112 282,00;-16 381 057,00;-9,15
50;1;Российский Кредит;324;Москва и обл.;151 759 495,00;163 521 716,00;-11 762 221,00;-7,19
51;2;Ренессанс Кредит;3354;Москва и обл.;149 556 437,00;156 657 542,00;-7 101 105,00;-4,53
52;2;Пробизнесбанк;2412;Москва и обл.;146 280 479,00;150 350 934,00;-4 070 455,00;-2,71
53;-1;РосЕвроБанк;3137;Москва и обл.;142 591 317,00;156 803 107,00;-14 211 790,00;-9,06
54;2;ДельтаКредит;3338;Москва и обл.;141 730 715,00;140 701 467,00;1 029 248,00;0,73
55;0;Тинькофф Банк;2673;Москва и обл.;140 891 695,00;143 211 998,00;-2 320 303,00;-1,62
56;1;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;138 875 257,00;140 522 489,00;-1 647 232,00;-1,17
57;5;Рост Банк;2888;Москва и обл.;136 111 911,00;124 735 188,00;11 376 723,00;9,12
58;0;МСП Банк;3340;Москва и обл.;133 396 277,00;138 381 187,00;-4 984 910,00;-3,60
59;1;Инвестторгбанк;2763;Москва и обл.;128 418 066,00;129 298 930,00;-880 864,00;-0,68
60;3;РГС Банк;3073;Москва и обл.;127 754 242,00;122 557 783,00;5 196 459,00;4,24
