Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Январь, 2018, тыс. рублей;Декабрь, 2017, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;24 192 989 275,00;23 633 271 356,00;559 717 919,00;2,37
2;0;ВТБ;1000;Санкт-Петербург и обл.;9 676 406 129,00;9 353 664 727,00;322 741 402,00;3,45
3;0;Газпромбанк;354;Москва и обл.;5 642 446 401,00;5 613 397 081,00;29 049 320,00;0,52
4;0;ВТБ 24;1623;Москва и обл.;3 773 561 028,00;3 719 460 785,00;54 100 243,00;1,45
5;1;Россельхозбанк;3349;Москва и обл.;3 193 288 674,00;3 117 836 187,00;75 452 487,00;2,42
6;-1;Национальный Клиринговый Центр;3466;Москва и обл.;2 900 363 873,00;3 213 300 548,00;-312 936 675,00;-9,74
7;0;Альфа-Банк;1326;Москва и обл.;2 673 421 083,00;2 699 694 089,00;-26 273 006,00;-0,97
8;0;Банк Открытие;2209;Москва и обл.;2 313 083 060,00;2 159 564 309,00;153 518 751,00;7,11
9;0;Московский Кредитный Банк;1978;Москва и обл.;1 915 685 094,00;1 884 617 801,00;31 067 293,00;1,65
10;0;Промсвязьбанк;3251;Москва и обл.;1 278 732 760,00;1 326 171 969,00;-47 439 209,00;-3,58
11;1;ЮниКредит Банк;1;Москва и обл.;1 229 716 815,00;1 172 446 752,00;57 270 063,00;4,88
12;-1;Бинбанк;323;Москва и обл.;1 214 820 778,00;1 280 020 734,00;-65 199 956,00;-5,09
13;0;Росбанк;2272;Москва и обл.;947 533 421,00;928 934 469,00;18 598 952,00;2,00
14;1;Россия;328;Санкт-Петербург и обл.;924 215 199,00;805 820 426,00;118 394 773,00;14,69
15;-1;Райффайзенбанк;3292;Москва и обл.;871 506 461,00;870 017 477,00;1 488 984,00;0,17
16;0;Рост Банк;2888;Москва и обл.;796 007 440,00;805 179 357,00;-9 171 917,00;-1,14
17;0;Совкомбанк;963;Костромская обл.;696 374 373,00;697 561 010,00;-1 186 637,00;-0,17
18;2;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;641 112 167,00;591 946 236,00;49 165 931,00;8,31
19;-1;Траст;3279;Москва и обл.;624 902 088,00;643 465 927,00;-18 563 839,00;-2,88
20;-1;БМ-Банк;2748;Москва и обл.;618 740 246,00;612 422 850,00;6 317 396,00;1,03
21;0;Банк Уралсиб;30;Москва и обл.;564 492 059,00;550 536 496,00;13 955 563,00;2,53
22;0;Московский Областной Банк;1751;Москва и обл.;549 115 830,00;529 443 223,00;19 672 607,00;3,72
23;2;Всероссийский Банк Развития Регионов;3287;Москва и обл.;512 563 333,00;431 027 296,00;81 536 037,00;18,92
24;-1;Ситибанк;2557;Москва и обл.;472 038 351,00;498 253 026,00;-26 214 675,00;-5,26
25;-1;Ак Барс;2590;Татарстан;466 319 267,00;444 969 319,00;21 349 948,00;4,80
26;0;Русский Стандарт;2289;Москва и обл.;390 756 101,00;390 879 491,00;-123 390,00;-0,03
