Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Июнь, 2017, тыс. рублей;Май, 2017, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;22 333 303 720,00;22 317 151 661,00;16 152 059,00;0,07
2;0;ВТБ;1000;Санкт-Петербург и обл.;9 055 525 242,00;9 393 512 797,00;-337 987 555,00;-3,60
3;0;Газпромбанк;354;Москва и обл.;5 346 231 019,00;5 416 844 455,00;-70 613 436,00;-1,30
4;0;ВТБ 24;1623;Москва и обл.;3 330 742 864,00;3 198 838 700,00;131 904 164,00;4,12
5;1;Банк Открытие;2209;Москва и обл.;2 723 258 993,00;2 722 761 074,00;497 919,00;0,02
6;-1;Россельхозбанк;3349;Москва и обл.;2 716 592 441,00;2 755 031 289,00;-38 438 848,00;-1,40
7;0;Альфа-Банк;1326;Москва и обл.;2 501 333 535,00;2 472 744 597,00;28 588 938,00;1,16
8;0;Национальный Клиринговый Центр;3466;Москва и обл.;2 472 868 136,00;2 464 362 281,00;8 505 855,00;0,35
9;0;Московский Кредитный Банк;1978;Москва и обл.;1 390 722 020,00;1 330 018 139,00;60 703 881,00;4,56
10;0;Промсвязьбанк;3251;Москва и обл.;1 298 248 958,00;1 283 197 247,00;15 051 711,00;1,17
11;1;Бинбанк;323;Москва и обл.;1 208 234 998,00;1 178 974 006,00;29 260 992,00;2,48
12;-1;ЮниКредит Банк;1;Москва и обл.;1 165 828 466,00;1 183 841 970,00;-18 013 504,00;-1,52
13;0;Райффайзенбанк;3292;Москва и обл.;828 607 144,00;805 851 182,00;22 755 962,00;2,82
14;0;Росбанк;2272;Москва и обл.;822 540 005,00;786 235 336,00;36 304 669,00;4,62
15;0;Россия;328;Санкт-Петербург и обл.;781 862 296,00;780 231 463,00;1 630 833,00;0,21
16;0;Рост Банк;2888;Москва и обл.;655 846 869,00;636 980 612,00;18 866 257,00;2,96
17;0;БМ-Банк;2748;Москва и обл.;621 907 963,00;619 807 540,00;2 100 423,00;0,34
18;1;Совкомбанк;963;Костромская обл.;602 403 923,00;581 771 116,00;20 632 807,00;3,55
19;-1;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;602 297 353,00;591 397 431,00;10 899 922,00;1,84
20;0;Московский Областной Банк;1751;Москва и обл.;511 444 001,00;509 698 621,00;1 745 380,00;0,34
21;2;Банк Уралсиб;30;Москва и обл.;496 126 171,00;457 018 803,00;39 107 368,00;8,56
22;0;Ситибанк;2557;Москва и обл.;461 024 772,00;459 839 026,00;1 185 746,00;0,26
23;-2;Ак Барс;2590;Татарстан;450 091 760,00;464 206 520,00;-14 114 760,00;-3,04
24;1;Траст;3279;Москва и обл.;407 625 875,00;393 653 854,00;13 972 021,00;3,55
25;-1;Русский Стандарт;2289;Москва и обл.;395 285 199,00;397 123 696,00;-1 838 497,00;-0,46
26;0;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;383 844 325,00;381 881 348,00;1 962 977,00;0,51
27;0;Банк ДОМ.РФ;2312;Москва и обл.;373 526 872,00;357 748 152,00;15 778 720,00;4,41
28;2;Всероссийский Банк Развития Регионов;3287;Москва и обл.;331 449 040,00;308 401 770,00;23 047 270,00;7,47
29;0;СМП Банк;3368;Москва и обл.;325 716 076,00;313 713 115,00;12 002 961,00;3,83
30;-2;Югра;880;Москва и обл.;322 324 948,00;323 362 609,00;-1 037 661,00;-0,32
31;0;Восточный Банк;1460;Амурская обл.;274 180 111,00;276 959 290,00;-2 779 179,00;-1,00
32;0;Связь-Банк;1470;Москва и обл.;272 700 438,00;275 039 403,00;-2 338 965,00;-0,85
33;0;Абсолют Банк;2306;Москва и обл.;267 964 982,00;273 634 228,00;-5 669 246,00;-2,07
34;0;Московский Индустриальный Банк;912;Москва и обл.;266 543 054,00;267 238 057,00;-695 003,00;-0,26
35;1;Банк Зенит;3255;Москва и обл.;258 442 385,00;253 129 654,00;5 312 731,00;2,10
36;-1;Возрождение;1439;Москва и обл.;252 391 110,00;254 948 088,00;-2 556 978,00;-1,00
37;0;Новикомбанк;2546;Москва и обл.;243 892 758,00;244 988 869,00;-1 096 111,00;-0,45
38;1;Нордеа Банк;3016;Москва и обл.;224 638 321,00;215 604 686,00;9 033 635,00;4,19
39;-1;Хоум Кредит Банк;316;Москва и обл.;219 353 797,00;220 594 049,00;-1 240 252,00;-0,56
40;2;Тинькофф Банк;2673;Москва и обл.;211 067 159,00;203 086 801,00;7 980 358,00;3,93
41;0;Транскапиталбанк;2210;Москва и обл.;203 866 601,00;204 628 714,00;-762 113,00;-0,37
42;3;Сургутнефтегазбанк;588;Ханты-Мансийский АО — Югра;199 084 064,00;193 699 001,00;5 385 063,00;2,78
43;0;Глобэкс;1942;Москва и обл.;197 573 087,00;196 799 991,00;773 096,00;0,39
44;0;ИНГ Банк;2495;Москва и обл.;182 649 939,00;196 210 145,00;-13 560 206,00;-6,91
45;1;РосЕвроБанк;3137;Москва и обл.;178 878 341,00;176 870 908,00;2 007 433,00;1,13
46;-6;Банк Сберегательно-Кредитного Сервиса;3224;Москва и обл.;172 517 709,00;208 936 171,00;-36 418 462,00;-17,43
47;2;Почта Банк;650;Москва и обл.;172 373 390,00;160 436 196,00;11 937 194,00;7,44
48;4;Национальный Расчетный Депозитарий;3294;Москва и обл.;171 963 971,00;146 853 650,00;25 110 321,00;17,10
49;1;ДельтаКредит;3338;Москва и обл.;165 078 585,00;157 934 624,00;7 143 961,00;4,52
50;-2;Экспресс-Волга;3085;Костромская обл.;160 907 270,00;161 357 905,00;-450 635,00;-0,28
51;-4;МТС Банк;2268;Москва и обл.;153 504 082,00;164 107 109,00;-10 603 027,00;-6,46
52;-1;РГС Банк;3073;Москва и обл.;151 994 759,00;152 565 562,00;-570 803,00;-0,37
53;0;Авангард;2879;Москва и обл.;142 089 330,00;140 417 344,00;1 671 986,00;1,19
54;3;Аверс;415;Татарстан;133 093 704,00;130 493 389,00;2 600 315,00;1,99
55;0;ОТП Банк;2766;Москва и обл.;131 925 916,00;131 109 262,00;816 654,00;0,62
56;0;Инвестторгбанк;2763;Москва и обл.;131 168 037,00;130 511 368,00;656 669,00;0,50
57;-3;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;130 808 810,00;133 085 333,00;-2 276 523,00;-1,71
58;0;СКБ-Банк;705;Свердловская обл.;125 328 556,00;124 958 162,00;370 394,00;0,30
59;1;Кредит Европа Банк;3311;Москва и обл.;119 420 899,00;119 258 036,00;162 863,00;0,14
60;-1;МСП Банк;3340;Москва и обл.;118 740 425,00;122 634 670,00;-3 894 245,00;-3,18
61;1;Запсибкомбанк;918;Тюменская обл.;114 051 864,00;113 159 073,00;892 791,00;0,79
62;-1;Сетелем Банк;2168;Москва и обл.;113 346 843,00;113 882 542,00;-535 699,00;-0,47
63;0;Ренессанс Кредит;3354;Москва и обл.;110 829 070,00;108 349 366,00;2 479 704,00;2,29
64;1;Русфинанс Банк;1792;Самарская обл.;104 327 022,00;105 312 655,00;-985 633,00;-0,94
65;-1;Роскосмосбанк;2989;Москва и обл.;102 166 359,00;107 309 579,00;-5 143 220,00;-4,79
66;0;Банк Финсервис;3388;Москва и обл.;101 941 219,00;100 348 892,00;1 592 327,00;1,59
67;0;Центр-инвест;2225;Ростовская обл.;96 003 129,00;96 522 784,00;-519 655,00;-0,54
68;0;Таврический Банк;2304;Санкт-Петербург и обл.;90 368 718,00;88 892 541,00;1 476 177,00;1,66
69;0;РНКБ;1354;Симферополь;88 275 861,00;87 269 914,00;1 005 947,00;1,15
70;1;ЦентроКредит;121;Москва и обл.;79 810 010,00;81 592 515,00;-1 782 505,00;-2,18
71;-1;Балтинвестбанк;3176;Санкт-Петербург и обл.;78 740 574,00;82 775 473,00;-4 034 899,00;-4,87
72;1;Кубань Кредит;2518;Краснодарский край;78 681 936,00;78 810 378,00;-128 442,00;-0,16
73;1;Локо-Банк;2707;Москва и обл.;76 767 023,00;77 571 687,00;-804 664,00;-1,04
74;-2;Союз;2307;Москва и обл.;75 510 474,00;79 209 567,00;-3 699 093,00;-4,67
75;1;Росэксимбанк;2790;Москва и обл.;75 053 637,00;71 291 557,00;3 762 080,00;5,28
76;3;Эйч-Эс-Би-Си Банк (HSBC);3290;Москва и обл.;73 321 003,00;67 763 835,00;5 557 168,00;8,20
77;-2;ВУЗ-Банк;1557;Свердловская обл.;71 199 316,00;72 329 792,00;-1 130 476,00;-1,56
78;-1;РН Банк;170;Москва и обл.;71 043 576,00;70 456 940,00;586 636,00;0,83
79;-1;Меткомбанк (Каменск-Уральский);2443;Свердловская обл.;68 803 115,00;68 127 650,00;675 465,00;0,99
80;2;Металлинвестбанк;2440;Москва и обл.;66 135 710,00;63 438 484,00;2 697 226,00;4,25
81;-1;Экспобанк;2998;Москва и обл.;64 866 856,00;67 506 703,00;-2 639 847,00;-3,91
82;7;БКС Банк;101;Новосибирская обл.;63 987 642,00;53 653 916,00;10 333 726,00;19,26
83;0;Балтийский Банк;128;Санкт-Петербург и обл.;61 402 817,00;63 034 724,00;-1 631 907,00;-2,59
84;0;БНП Париба Банк;3407;Москва и обл.;60 541 466,00;61 907 175,00;-1 365 709,00;-2,21
85;2;Дойче Банк;3328;Москва и обл.;60 131 442,00;60 576 921,00;-445 479,00;-0,74
86;-1;Банк Интеза;2216;Москва и обл.;58 675 635,00;61 077 844,00;-2 402 209,00;-3,93
87;-1;ОФК Банк;2270;Москва и обл.;58 112 721,00;60 714 417,00;-2 601 696,00;-4,29
88;-7;Креди Агриколь КИБ;1680;Санкт-Петербург и обл.;57 144 378,00;66 271 546,00;-9 127 168,00;-13,77
89;-1;СДМ-Банк;1637;Москва и обл.;55 661 667,00;55 341 122,00;320 545,00;0,58
90;1;Тойота Банк;3470;Москва и обл.;53 860 462,00;52 339 685,00;1 520 777,00;2,91
91;-1;Крайинвестбанк;3360;Краснодарский край;53 738 591,00;53 517 568,00;221 023,00;0,41
92;0;Социнвестбанк;1132;Башкортостан;52 116 769,00;51 818 745,00;298 024,00;0,58
93;1;ББР Банк;2929;Москва и обл.;50 447 666,00;50 225 697,00;221 969,00;0,44
94;-1;Международный Финансовый Клуб;2618;Москва и обл.;50 030 941,00;50 489 582,00;-458 641,00;-0,91
95;1;Челябинвестбанк;493;Челябинская обл.;48 799 165,00;48 177 795,00;621 370,00;1,29
96;14;Коммерцбанк (Евразия);3333;Москва и обл.;48 551 363,00;39 590 929,00;8 960 434,00;22,63
97;-2;Газэнергобанк;3252;Калужская обл.;48 442 032,00;48 321 917,00;120 115,00;0,25
98;0;Примсоцбанк;2733;Приморский край;48 281 193,00;47 273 615,00;1 007 578,00;2,13
99;0;Левобережный;1343;Новосибирская обл.;47 173 469,00;47 212 820,00;-39 351,00;-0,08
100;0;Челиндбанк;485;Челябинская обл.;46 549 848,00;46 518 899,00;30 949,00;0,07
101;1;АйСиБиСи Банк;3475;Москва и обл.;46 451 979,00;44 667 772,00;1 784 207,00;3,99
102;-1;Международный Банк Санкт-Петербурга (МБСП);197;Санкт-Петербург и обл.;45 406 783,00;45 592 589,00;-185 806,00;-0,41
103;3;Сумитомо Мицуи Рус Банк;3494;Москва и обл.;43 956 529,00;43 193 019,00;763 510,00;1,77
104;-1;Фора-Банк;1885;Москва и обл.;43 794 932,00;44 617 884,00;-822 952,00;-1,84
105;0;Интерпрогрессбанк;600;Москва и обл.;43 562 933,00;43 872 932,00;-309 999,00;-0,71
106;1;Севергазбанк;2816;Вологодская обл.;43 469 447,00;42 562 004,00;907 443,00;2,13
107;-3;Межтопэнергобанк;2956;Москва и обл.;43 319 515,00;43 891 656,00;-572 141,00;-1,30
108;1;Саровбизнесбанк;2048;Нижегородская обл.;42 130 748,00;41 814 361,00;316 387,00;0,76
109;2;Квантмобайл Банк;1189;Москва и обл.;37 182 205,00;36 837 185,00;345 020,00;0,94
110;-2;Еврофинанс Моснарбанк;2402;Москва и обл.;36 212 055,00;41 960 688,00;-5 748 633,00;-13,70
111;4;БыстроБанк;1745;Удмуртия;35 631 367,00;34 867 710,00;763 657,00;2,19
112;-15;Мир Бизнес Банк;3396;Москва и обл.;34 109 354,00;47 895 377,00;-13 786 023,00;-28,78
113;7;Генбанк;2490;Симферополь;32 866 454,00;32 003 034,00;863 420,00;2,70
114;4;НС Банк;3124;Москва и обл.;32 732 869,00;32 652 531,00;80 338,00;0,25
115;4;Кольцо Урала;65;Свердловская обл.;32 579 356,00;32 336 948,00;242 408,00;0,75
116;5;Национальный Стандарт;3421;Москва и обл.;32 544 932,00;31 884 212,00;660 720,00;2,07
117;-3;Бинбанк Диджитал;2827;Москва и обл.;32 316 427,00;35 231 689,00;-2 915 262,00;-8,27
118;-6;Объединенный Капитал;2611;Санкт-Петербург и обл.;32 269 102,00;36 495 802,00;-4 226 700,00;-11,58
119;-3;Фольксваген Банк Рус;3500;Москва и обл.;32 099 286,00;33 813 173,00;-1 713 887,00;-5,07
120;2;АктивКапитал Банк;3006;Самарская обл.;31 444 500,00;31 328 844,00;115 656,00;0,37
121;5;Дальневосточный Банк;843;Приморский край;31 417 988,00;29 801 016,00;1 616 972,00;5,43
122;2;Солидарность;554;Самарская обл.;30 656 510,00;30 113 861,00;542 649,00;1,80
123;0;Алмазэргиэнбанк;2602;Саха (Якутия);30 637 480,00;30 324 479,00;313 001,00;1,03
124;3;Чайна Констракшн;3515;Москва и обл.;30 506 270,00;29 685 489,00;820 781,00;2,76
125;6;Приморье;3001;Приморский край;30 229 081,00;28 253 426,00;1 975 655,00;6,99
126;4;Финанс Бизнес Банк;520;Москва и обл.;29 350 562,00;28 530 149,00;820 413,00;2,88
127;1;Газбанк;2316;Самарская обл.;29 335 311,00;28 837 288,00;498 023,00;1,73
128;1;Кредит Урал Банк;2584;Челябинская обл.;28 999 617,00;28 592 263,00;407 354,00;1,42
129;-4;Платежный Центр;3166;Новосибирская обл.;28 177 448,00;29 928 203,00;-1 750 755,00;-5,85
130;-13;Бэнк оф Чайна;2309;Москва и обл.;27 564 042,00;33 348 392,00;-5 784 350,00;-17,35
131;14;СЭБ Банк;3235;Санкт-Петербург и обл.;27 541 240,00;22 261 148,00;5 280 092,00;23,72
132;0;Интерпромбанк;3266;Москва и обл.;27 540 150,00;27 695 115,00;-154 965,00;-0,56
133;1;БМВ Банк;3482;Москва и обл.;27 335 524,00;25 936 313,00;1 399 211,00;5,39
134;-1;Татсоцбанк;480;Татарстан;27 026 519,00;26 374 931,00;651 588,00;2,47
135;3;Аресбанк;2914;Москва и обл.;26 835 097,00;25 130 343,00;1 704 754,00;6,78
136;1;Девон-Кредит;1972;Татарстан;25 851 522,00;25 219 903,00;631 619,00;2,50
137;-2;Акибанк;2587;Татарстан;25 219 278,00;25 261 386,00;-42 108,00;-0,17
138;-2;Московское Ипотечное Агентство;3344;Москва и обл.;25 136 004,00;25 225 002,00;-88 998,00;-0,35
139;0;Ланта-Банк;1920;Москва и обл.;24 727 228,00;24 663 069,00;64 159,00;0,26
140;1;Липецккомбанк;1242;Липецкая обл.;24 348 228,00;23 968 293,00;379 935,00;1,59
141;-1;Русский Международный Банк;3123;Москва и обл.;23 823 011,00;24 539 568,00;-716 557,00;-2,92
142;2;Урал ФД;249;Пермская обл.;22 674 570,00;22 519 565,00;155 005,00;0,69
143;3;Энергобанк;67;Татарстан;22 664 187,00;22 110 175,00;554 012,00;2,51
144;5;Энерготрансбанк;1307;Калининградская обл.;22 334 774,00;20 577 206,00;1 757 568,00;8,54
145;2;Курскпромбанк;735;Курская обл.;22 233 405,00;21 572 749,00;660 656,00;3,06
146;-4;Агропромкредит;2880;Москва и обл.;22 068 223,00;23 496 246,00;-1 428 023,00;-6,08
147;-4;МБА-Москва;3395;Москва и обл.;21 869 454,00;22 992 169,00;-1 122 715,00;-4,88
148;5;Данске Банк;3307;Санкт-Петербург и обл.;21 471 050,00;19 990 125,00;1 480 925,00;7,41
149;-1;Мерседес-Бенц Банк Рус;3473;Москва и обл.;21 224 636,00;20 882 278,00;342 358,00;1,64
150;1;Хлынов;254;Кировская обл.;20 567 321,00;20 235 367,00;331 954,00;1,64
151;-1;Роскомснаббанк (бывш. Башкомснаббанк);1398;Башкортостан;20 341 573,00;20 261 517,00;80 056,00;0,40
152;3;Кошелев-Банк;3300;Самарская обл.;20 159 163,00;19 710 586,00;448 577,00;2,28
153;3;НБД-Банк;1966;Нижегородская обл.;19 812 112,00;19 506 809,00;305 303,00;1,57
154;-2;Легион;3117;Москва и обл.;19 709 636,00;20 190 122,00;-480 486,00;-2,38
155;3;Москоммерцбанк;3365;Москва и обл.;19 473 758,00;19 396 213,00;77 545,00;0,40
156;1;Банк Кредит Свисс;2494;Москва и обл.;19 172 486,00;19 447 654,00;-275 168,00;-1,41
157;-3;Тольяттихимбанк;2507;Самарская обл.;18 658 069,00;19 898 980,00;-1 240 911,00;-6,24
158;5;Джей энд Ти Банк;3061;Москва и обл.;18 170 843,00;17 101 494,00;1 069 349,00;6,25
159;0;Петербургский Социальный Коммерческий Банк;2551;Санкт-Петербург и обл.;18 151 718,00;18 153 652,00;-1 934,00;-0,01
160;2;Держава;2738;Москва и обл.;17 748 649,00;17 334 939,00;413 710,00;2,39
161;0;Рублев;3098;Москва и обл.;17 378 304,00;17 335 092,00;43 212,00;0,25
