Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Январь, 2015, тыс. рублей;Декабрь, 2014, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;22 330 238 836,00;20 451 148 750,00;1 879 090 086,00;9,19
2;0;ВТБ;1000;Санкт-Петербург и обл.;8 363 248 420,00;7 718 404 263,00;644 844 157,00;8,35
3;0;Газпромбанк;354;Москва и обл.;4 722 887 700,00;4 527 651 988,00;195 235 712,00;4,31
4;0;ВТБ 24;1623;Москва и обл.;2 879 597 990,00;2 767 994 716,00;111 603 274,00;4,03
5;3;Банк Открытие;2209;Москва и обл.;2 735 566 373,00;1 511 339 105,00;1 224 227 268,00;81,00
6;-1;БМ-Банк;2748;Москва и обл.;2 419 161 370,00;2 429 501 449,00;-10 340 079,00;-0,43
7;-1;Альфа-Банк;1326;Москва и обл.;2 312 738 407,00;2 123 947 035,00;188 791 372,00;8,89
8;-1;Россельхозбанк;3349;Москва и обл.;2 165 034 716,00;2 114 023 345,00;51 011 371,00;2,41
9;1;Национальный Клиринговый Центр;3466;Москва и обл.;1 489 477 939,00;1 138 395 443,00;351 082 496,00;30,84
10;-1;ЮниКредит Банк;1;Москва и обл.;1 384 673 921,00;1 201 919 285,00;182 754 636,00;15,21
11;0;Промсвязьбанк;3251;Москва и обл.;1 088 395 533,00;1 004 937 750,00;83 457 783,00;8,30
12;1;Росбанк;2272;Москва и обл.;983 627 067,00;890 749 519,00;92 877 548,00;10,43
13;-1;Райффайзенбанк;3292;Москва и обл.;890 907 411,00;905 911 611,00;-15 004 200,00;-1,66
14;0;Ханты-Мансийский банк Открытие;1971;Москва и обл.;793 819 868,00;624 586 166,00;169 233 702,00;27,10
15;0;Московский Кредитный Банк;1978;Москва и обл.;597 479 579,00;557 249 006,00;40 230 573,00;7,22
16;1;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;561 074 163,00;514 129 079,00;46 945 084,00;9,13
17;-1;Россия;328;Санкт-Петербург и обл.;514 792 432,00;527 636 913,00;-12 844 481,00;-2,43
18;1;Ак Барс;2590;Татарстан;462 615 334,00;426 179 814,00;36 435 520,00;8,55
19;-1;Русский Стандарт;2289;Москва и обл.;461 568 053,00;445 677 000,00;15 891 053,00;3,57
20;7;Бинбанк;323;Москва и обл.;413 254 302,00;316 826 257,00;96 428 045,00;30,44
21;1;Нордеа Банк;3016;Москва и обл.;411 135 893,00;381 172 184,00;29 963 709,00;7,86
22;6;Траст;3279;Москва и обл.;407 647 186,00;291 254 821,00;116 392 365,00;39,96
