Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Февраль, 2015, тыс. рублей;Январь, 2015, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;22 959 838 198,00;22 330 238 836,00;629 599 362,00;2,82
2;0;ВТБ;1000;Санкт-Петербург и обл.;8 749 580 896,00;8 363 248 420,00;386 332 476,00;4,62
3;0;Газпромбанк;354;Москва и обл.;5 250 784 878,00;4 722 887 700,00;527 897 178,00;11,18
4;1;Банк Открытие;2209;Москва и обл.;2 845 534 630,00;2 735 566 373,00;109 968 257,00;4,02
5;-1;ВТБ 24;1623;Москва и обл.;2 809 179 315,00;2 879 597 990,00;-70 418 675,00;-2,45
6;1;Альфа-Банк;1326;Москва и обл.;2 530 590 926,00;2 312 738 407,00;217 852 519,00;9,42
7;1;Россельхозбанк;3349;Москва и обл.;2 302 945 523,00;2 165 034 716,00;137 910 807,00;6,37
8;-2;БМ-Банк;2748;Москва и обл.;2 043 595 986,00;2 419 161 370,00;-375 565 384,00;-15,52
9;0;Национальный Клиринговый Центр;3466;Москва и обл.;1 760 087 157,00;1 489 477 939,00;270 609 218,00;18,17
10;0;ЮниКредит Банк;1;Москва и обл.;1 546 867 270,00;1 384 673 921,00;162 193 349,00;11,71
11;0;Промсвязьбанк;3251;Москва и обл.;1 165 545 125,00;1 088 395 533,00;77 149 592,00;7,09
12;0;Росбанк;2272;Москва и обл.;1 125 095 733,00;983 627 067,00;141 468 666,00;14,38
13;0;Райффайзенбанк;3292;Москва и обл.;1 007 033 675,00;890 907 411,00;116 126 264,00;13,03
14;0;Ханты-Мансийский банк Открытие;1971;Москва и обл.;777 177 742,00;793 819 868,00;-16 642 126,00;-2,10
15;0;Московский Кредитный Банк;1978;Москва и обл.;611 968 333,00;597 479 579,00;14 488 754,00;2,42
16;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;562 038 291,00;561 074 163,00;964 128,00;0,17
17;0;Россия;328;Санкт-Петербург и обл.;520 250 984,00;514 792 432,00;5 458 552,00;1,06
18;0;Ак Барс;2590;Татарстан;480 267 458,00;462 615 334,00;17 652 124,00;3,82
19;0;Русский Стандарт;2289;Москва и обл.;473 547 238,00;461 568 053,00;11 979 185,00;2,60
20;4;Ситибанк;2557;Москва и обл.;449 658 989,00;400 472 851,00;49 186 138,00;12,28
21;0;Нордеа Банк;3016;Москва и обл.;443 794 592,00;411 135 893,00;32 658 699,00;7,94
22;-2;Бинбанк;323;Москва и обл.;420 904 889,00;413 254 302,00;7 650 587,00;1,85
