Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Сентябрь, 2012, тыс. рублей;Август, 2012, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;12 857 655 153,00;12 658 401 177,00;199 253 976,00;1,57
2;0;ВТБ;1000;Санкт-Петербург и обл.;4 190 856 013,00;4 053 566 557,00;137 289 456,00;3,39
3;0;Газпромбанк;354;Москва и обл.;2 716 103 619,00;2 770 399 442,00;-54 295 823,00;-1,96
4;0;Россельхозбанк;3349;Москва и обл.;1 613 247 616,00;1 551 875 753,00;61 371 863,00;3,95
5;0;БМ-Банк;2748;Москва и обл.;1 434 899 443,00;1 369 820 688,00;65 078 755,00;4,75
6;0;ВТБ 24;1623;Москва и обл.;1 356 547 003,00;1 325 691 103,00;30 855 900,00;2,33
7;0;Альфа-Банк;1326;Москва и обл.;1 112 864 811,00;1 115 692 488,00;-2 827 677,00;-0,25
8;0;ЮниКредит Банк;1;Москва и обл.;871 395 359,00;867 797 048,00;3 598 311,00;0,41
9;0;Росбанк;2272;Москва и обл.;671 727 677,00;659 186 528,00;12 541 149,00;1,90
10;1;Промсвязьбанк;3251;Москва и обл.;625 386 493,00;621 329 032,00;4 057 461,00;0,65
11;-1;Райффайзенбанк;3292;Москва и обл.;599 714 028,00;647 242 817,00;-47 528 789,00;-7,34
12;0;Банк Открытие;2209;Москва и обл.;548 094 374,00;509 451 678,00;38 642 696,00;7,59
13;0;Транскредитбанк;2142;Москва и обл.;510 636 032,00;495 476 838,00;15 159 194,00;3,06
14;0;Банк Уралсиб;30;Москва и обл.;432 607 115,00;428 676 823,00;3 930 292,00;0,92
15;0;МДМ Банк;2562;Новосибирская обл.;357 671 603,00;358 087 923,00;-416 320,00;-0,12
16;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;335 959 943,00;340 958 629,00;-4 998 686,00;-1,47
17;1;Ак Барс;2590;Татарстан;334 664 928,00;338 589 891,00;-3 924 963,00;-1,16
18;1;Россия;328;Санкт-Петербург и обл.;303 251 210,00;337 999 722,00;-34 748 512,00;-10,28
19;-2;Ситибанк;2557;Москва и обл.;302 787 381,00;339 960 373,00;-37 172 992,00;-10,93
20;2;Нордеа Банк;3016;Москва и обл.;289 842 460,00;252 049 332,00;37 793 128,00;14,99
21;-1;Московский Кредитный Банк;1978;Москва и обл.;279 325 294,00;277 085 158,00;2 240 136,00;0,81
22;3;Русский Стандарт;2289;Москва и обл.;250 768 841,00;244 131 859,00;6 636 982,00;2,72
23;0;Ханты-Мансийский банк Открытие;1971;Тюменская обл.;248 992 513,00;249 940 355,00;-947 842,00;-0,38
