Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Август, 2012, тыс. рублей;Июль, 2012, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;12 658 401 177,00;12 336 754 673,00;321 646 504,00;2,61
2;0;ВТБ;1000;Санкт-Петербург и обл.;4 053 566 557,00;4 027 309 402,00;26 257 155,00;0,65
3;0;Газпромбанк;354;Москва и обл.;2 770 399 442,00;2 613 739 316,00;156 660 126,00;5,99
4;0;Россельхозбанк;3349;Москва и обл.;1 551 875 753,00;1 546 462 578,00;5 413 175,00;0,35
5;0;БМ-Банк;2748;Москва и обл.;1 369 820 688,00;1 358 240 247,00;11 580 441,00;0,85
6;0;ВТБ 24;1623;Москва и обл.;1 325 691 103,00;1 291 193 317,00;34 497 786,00;2,67
7;0;Альфа-Банк;1326;Москва и обл.;1 115 692 488,00;1 068 479 618,00;47 212 870,00;4,42
8;0;ЮниКредит Банк;1;Москва и обл.;867 797 048,00;856 769 057,00;11 027 991,00;1,29
9;1;Росбанк;2272;Москва и обл.;659 186 528,00;682 668 043,00;-23 481 515,00;-3,44
10;-1;Райффайзенбанк;3292;Москва и обл.;647 242 817,00;714 542 829,00;-67 300 012,00;-9,42
11;0;Промсвязьбанк;3251;Москва и обл.;621 329 032,00;632 897 765,00;-11 568 733,00;-1,83
12;1;Банк Открытие;2209;Москва и обл.;509 451 678,00;493 061 449,00;16 390 229,00;3,32
13;-1;Транскредитбанк;2142;Москва и обл.;495 476 838,00;500 964 181,00;-5 487 343,00;-1,10
14;0;Банк Уралсиб;30;Москва и обл.;428 676 823,00;432 569 458,00;-3 892 635,00;-0,90
15;0;МДМ Банк;2562;Новосибирская обл.;358 087 923,00;363 605 231,00;-5 517 308,00;-1,52
16;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;340 958 629,00;359 582 253,00;-18 623 624,00;-5,18
17;0;Ситибанк;2557;Москва и обл.;339 960 373,00;333 098 758,00;6 861 615,00;2,06
18;0;Ак Барс;2590;Татарстан;338 589 891,00;320 502 064,00;18 087 827,00;5,64
19;0;Россия;328;Санкт-Петербург и обл.;337 999 722,00;310 723 340,00;27 276 382,00;8,78
20;1;Московский Кредитный Банк;1978;Москва и обл.;277 085 158,00;267 632 058,00;9 453 100,00;3,53
21;2;Связь-Банк;1470;Москва и обл.;257 840 737,00;250 352 484,00;7 488 253,00;2,99
22;-2;Нордеа Банк;3016;Москва и обл.;252 049 332,00;271 371 473,00;-19 322 141,00;-7,12
23;1;Ханты-Мансийский банк Открытие;1971;Тюменская обл.;249 940 355,00;249 182 525,00;757 830,00;0,30
24;-2;ИНГ Банк;2495;Москва и обл.;246 794 903,00;251 069 981,00;-4 275 078,00;-1,70
25;1;Русский Стандарт;2289;Москва и обл.;244 131 859,00;228 301 040,00;15 830 819,00;6,93
26;29;Национальный Расчетный Депозитарий;3294;Москва и обл.;242 937 957,00;93 894 196,00;149 043 761,00;158,74
27;-2;Петрокоммерц;1776;Москва и обл.;240 342 129,00;247 746 992,00;-7 404 863,00;-2,99
28;-1;Банк Зенит;3255;Москва и обл.;216 782 174,00;221 631 207,00;-4 849 033,00;-2,19
