Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Февраль, 2011, тыс. рублей;Январь, 2011, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;8 937 642 403,00;9 145 192 910,00;-207 550 507,00;-2,27
2;0;ВТБ;1000;Санкт-Петербург и обл.;2 863 855 034,00;2 822 169 844,00;41 685 190,00;1,48
3;0;Газпромбанк;354;Москва и обл.;1 830 963 269,00;1 874 115 343,00;-43 152 074,00;-2,30
4;0;Россельхозбанк;3349;Москва и обл.;1 066 019 750,00;1 080 160 552,00;-14 140 802,00;-1,31
5;1;ВТБ 24;1623;Москва и обл.;939 049 117,00;937 768 778,00;1 280 339,00;0,14
6;-1;БМ-Банк;2748;Москва и обл.;904 026 776,00;954 232 472,00;-50 205 696,00;-5,26
7;0;Альфа-Банк;1326;Москва и обл.;842 252 339,00;880 202 924,00;-37 950 585,00;-4,31
8;0;ЮниКредит Банк;1;Москва и обл.;635 986 911,00;684 030 299,00;-48 043 388,00;-7,02
9;1;Промсвязьбанк;3251;Москва и обл.;495 262 905,00;504 501 914,00;-9 239 009,00;-1,83
10;-1;Райффайзенбанк;3292;Москва и обл.;492 883 475,00;509 652 091,00;-16 768 616,00;-3,29
11;0;Росбанк;2272;Москва и обл.;472 389 582,00;472 042 022,00;347 560,00;0,07
12;0;Банк Уралсиб;30;Москва и обл.;423 131 474,00;434 868 594,00;-11 737 120,00;-2,70
13;0;МДМ Банк;2562;Новосибирская обл.;390 191 469,00;413 077 739,00;-22 886 270,00;-5,54
14;1;Банк Открытие;2209;Москва и обл.;381 247 940,00;382 433 139,00;-1 185 199,00;-0,31
15;-1;Транскредитбанк;2142;Москва и обл.;340 689 662,00;389 314 178,00;-48 624 516,00;-12,49
16;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;278 996 537,00;284 066 227,00;-5 069 690,00;-1,78
17;0;ВТБ Северо-Запад;439;Санкт-Петербург и обл.;256 699 499,00;262 931 870,00;-6 232 371,00;-2,37
18;0;Россия;328;Санкт-Петербург и обл.;254 160 403,00;261 075 088,00;-6 914 685,00;-2,65
19;0;Ситибанк;2557;Москва и обл.;246 298 210,00;253 826 123,00;-7 527 913,00;-2,97
20;0;Ак Барс;2590;Татарстан;245 393 907,00;247 173 561,00;-1 779 654,00;-0,72
21;0;Нордеа Банк;3016;Москва и обл.;197 812 666,00;193 454 562,00;4 358 104,00;2,25
22;1;Петрокоммерц;1776;Москва и обл.;188 664 891,00;183 950 520,00;4 714 371,00;2,56
23;2;Ханты-Мансийский банк Открытие;1971;Тюменская обл.;175 375 494,00;170 270 566,00;5 104 928,00;3,00
24;0;Возрождение;1439;Москва и обл.;171 308 539,00;175 459 419,00;-4 150 880,00;-2,37
25;2;Банк Зенит;3255;Москва и обл.;171 151 884,00;165 994 490,00;5 157 394,00;3,11
26;2;Траст;3279;Москва и обл.;161 111 259,00;163 242 584,00;-2 131 325,00;-1,31
27;-5;Связь-Банк;1470;Москва и обл.;158 935 473,00;184 396 769,00;-25 461 296,00;-13,81
28;1;МТС Банк;2268;Москва и обл.;158 572 495,00;162 350 505,00;-3 778 010,00;-2,33
29;-3;Московский Кредитный Банк;1978;Москва и обл.;157 171 906,00;168 402 759,00;-11 230 853,00;-6,67
30;0;Русский Стандарт;2289;Москва и обл.;150 546 723,00;146 956 376,00;3 590 347,00;2,44
31;0;Банк Сосьете Женераль Восток;2295;Москва и обл.;140 468 416,00;144 872 563,00;-4 404 147,00;-3,04
32;0;Банк «Открытие»;2179;Москва и обл.;135 597 307,00;137 479 910,00;-1 882 603,00;-1,37
33;3;КИТ Финанс Инвестиционный Банк;1911;Санкт-Петербург и обл.;119 468 688,00;120 190 459,00;-721 771,00;-0,60
34;1;Абсолют Банк;2306;Москва и обл.;119 260 494,00;120 917 242,00;-1 656 748,00;-1,37
35;2;Хоум Кредит Банк;316;Москва и обл.;115 843 099,00;119 704 304,00;-3 861 205,00;-3,23
36;-2;ИНГ Банк;2495;Москва и обл.;115 603 274,00;122 812 094,00;-7 208 820,00;-5,87
37;2;Московский Индустриальный Банк;912;Москва и обл.;111 367 060,00;108 812 344,00;2 554 716,00;2,35
38;-5;Национальный Клиринговый Центр;3466;Москва и обл.;109 238 033,00;124 948 174,00;-15 710 141,00;-12,57
39;-1;Глобэкс;1942;Москва и обл.;109 000 715,00;112 012 705,00;-3 011 990,00;-2,69
40;0;ОТП Банк;2766;Москва и обл.;108 046 516,00;106 094 519,00;1 951 997,00;1,84
41;0;Восточный Банк;1460;Амурская обл.;104 580 241,00;99 900 786,00;4 679 455,00;4,68
42;13;Национальный Расчетный Депозитарий;3294;Москва и обл.;104 560 440,00;75 494 059,00;29 066 381,00;38,50
43;0;Бинбанк;323;Москва и обл.;97 680 190,00;98 185 640,00;-505 450,00;-0,51
44;-2;РГС Банк;3073;Москва и обл.;95 756 094,00;98 649 321,00;-2 893 227,00;-2,93
45;-1;Русфинанс Банк;1792;Самарская обл.;92 500 354,00;93 919 356,00;-1 419 002,00;-1,51
46;2;Банк Интеза;2216;Москва и обл.;86 703 099,00;86 681 068,00;22 031,00;0,03
47;2;Юниаструм Банк;2771;Москва и обл.;84 388 091,00;84 919 775,00;-531 684,00;-0,63
48;-3;МСП Банк;3340;Москва и обл.;82 824 979,00;90 501 334,00;-7 676 355,00;-8,48
49;3;Транскапиталбанк;2210;Москва и обл.;79 722 123,00;78 928 045,00;794 078,00;1,01
50;-3;СКБ-Банк;705;Свердловская обл.;79 283 853,00;87 676 982,00;-8 393 129,00;-9,57
51;-5;Кредит Европа Банк;3311;Москва и обл.;79 260 609,00;89 337 320,00;-10 076 711,00;-11,28
52;-2;ЦентроКредит;121;Москва и обл.;78 385 893,00;82 662 448,00;-4 276 555,00;-5,17
53;-2;Пробизнесбанк;2412;Москва и обл.;77 894 545,00;81 735 214,00;-3 840 669,00;-4,70
54;-1;Союз;2307;Москва и обл.;73 333 660,00;75 981 011,00;-2 647 351,00;-3,48
55;-1;РосЕвроБанк;3137;Москва и обл.;72 918 958,00;75 522 018,00;-2 603 060,00;-3,45
56;1;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;72 724 043,00;72 963 477,00;-239 434,00;-0,33
57;-1;Балтийский Банк;128;Москва и обл.;72 612 103,00;74 223 760,00;-1 611 657,00;-2,17
58;0;Мастер-Банк;2176;Москва и обл.;71 346 623,00;72 291 248,00;-944 625,00;-1,31
59;0;СМП Банк;3368;Москва и обл.;70 535 117,00;71 555 041,00;-1 019 924,00;-1,43
60;2;Внешпромбанк;3261;Москва и обл.;68 631 374,00;69 080 449,00;-449 075,00;-0,65
61;2;Инвестторгбанк;2763;Москва и обл.;68 424 636,00;65 734 309,00;2 690 327,00;4,09
62;-2;Собинбанк;1317;Москва и обл.;67 486 749,00;69 721 374,00;-2 234 625,00;-3,21
63;4;БНП Париба Банк;3407;Москва и обл.;66 119 616,00;62 008 853,00;4 110 763,00;6,63
64;2;Татфондбанк;3058;Татарстан;62 894 279,00;64 280 168,00;-1 385 889,00;-2,16
65;-1;Запсибкомбанк;918;Тюменская обл.;61 953 237,00;65 347 358,00;-3 394 121,00;-5,19
66;-5;Дойче Банк;3328;Москва и обл.;61 463 755,00;69 629 157,00;-8 165 402,00;-11,73
67;1;Национальный Резервный Банк;2170;Москва и обл.;61 155 010,00;61 987 684,00;-832 674,00;-1,34
68;-3;Новикомбанк;2546;Москва и обл.;59 751 892,00;65 275 597,00;-5 523 705,00;-8,46
69;1;Авангард;2879;Москва и обл.;56 760 043,00;60 283 261,00;-3 523 218,00;-5,84
70;-1;Всероссийский Банк Развития Регионов;3287;Москва и обл.;53 165 407,00;60 928 895,00;-7 763 488,00;-12,74
71;0;Экспо Финанс;2594;Москва и обл.;52 390 619,00;53 399 149,00;-1 008 530,00;-1,89
72;12;Сургутнефтегазбанк;588;Тюменская обл.;52 122 273,00;42 727 933,00;9 394 340,00;21,99
73;3;Роскосмосбанк;2989;Москва и обл.;51 744 357,00;50 694 888,00;1 049 469,00;2,07
