Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Сентябрь, 2020, тыс. рублей;Август, 2020, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;32 520 553 846,00;32 038 692 505,00;481 861 341,00;1,50
2;0;ВТБ;1000;Санкт-Петербург и обл.;15 885 733 519,00;15 812 570 376,00;73 163 143,00;0,46
3;0;Газпромбанк;354;Москва и обл.;7 304 301 217,00;7 464 298 277,00;-159 997 060,00;-2,14
4;0;Национальный Клиринговый Центр;3466;Москва и обл.;4 876 541 776,00;4 758 431 795,00;118 109 981,00;2,48
5;0;Альфа-Банк;1326;Москва и обл.;4 175 964 790,00;4 045 250 732,00;130 714 058,00;3,23
6;0;Россельхозбанк;3349;Москва и обл.;3 667 162 990,00;3 669 968 288,00;-2 805 298,00;-0,08
7;0;Московский Кредитный Банк;1978;Москва и обл.;2 900 072 045,00;2 897 123 280,00;2 948 765,00;0,10
8;0;Банк Открытие;2209;Москва и обл.;2 763 361 104,00;2 860 035 302,00;-96 674 198,00;-3,38
9;0;Совкомбанк;963;Костромская обл.;1 602 061 927,00;1 592 289 496,00;9 772 431,00;0,61
10;0;Росбанк;2272;Москва и обл.;1 401 851 051,00;1 432 371 007,00;-30 519 956,00;-2,13
11;0;Райффайзенбанк;3292;Москва и обл.;1 392 049 011,00;1 354 125 872,00;37 923 139,00;2,80
12;1;Траст;3279;Москва и обл.;1 368 311 725,00;1 307 468 754,00;60 842 971,00;4,65
13;-1;ЮниКредит Банк;1;Москва и обл.;1 335 123 371,00;1 340 365 233,00;-5 241 862,00;-0,39
14;0;Россия;328;Санкт-Петербург и обл.;1 043 628 221,00;1 084 897 145,00;-41 268 924,00;-3,80
15;0;Всероссийский Банк Развития Регионов;3287;Москва и обл.;895 898 972,00;815 164 724,00;80 734 248,00;9,90
16;0;Тинькофф Банк;2673;Москва и обл.;749 454 875,00;753 369 086,00;-3 914 211,00;-0,52
17;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;724 561 251,00;720 452 698,00;4 108 553,00;0,57
18;2;Ситибанк;2557;Москва и обл.;707 779 294,00;644 298 472,00;63 480 822,00;9,85
19;0;Ак Барс;2590;Татарстан;643 290 092,00;647 789 158,00;-4 499 066,00;-0,69
20;-2;БМ-Банк;2748;Москва и обл.;571 723 065,00;661 244 392,00;-89 521 327,00;-13,54
21;1;Новикомбанк;2546;Москва и обл.;562 678 067,00;538 125 586,00;24 552 481,00;4,56
22;-1;Банк Уралсиб;30;Москва и обл.;538 397 091,00;544 550 218,00;-6 153 127,00;-1,13
23;0;Почта Банк;650;Москва и обл.;522 895 281,00;520 070 292,00;2 824 989,00;0,54
24;0;СМП Банк;3368;Москва и обл.;515 579 902,00;508 299 782,00;7 280 120,00;1,43
25;1;Банк ДОМ.РФ;2312;Москва и обл.;462 231 437,00;420 922 785,00;41 308 652,00;9,81
26;1;Московский Областной Банк;1751;Москва и обл.;421 000 363,00;406 214 171,00;14 786 192,00;3,64
27;-2;Московский Индустриальный Банк;912;Москва и обл.;414 671 650,00;431 471 160,00;-16 799 510,00;-3,89
28;0;Пересвет;2110;Москва и обл.;345 175 338,00;348 816 052,00;-3 640 714,00;-1,04
29;0;Русский Стандарт;2289;Москва и обл.;327 277 085,00;328 498 923,00;-1 221 838,00;-0,37
30;0;Абсолют Банк;2306;Москва и обл.;285 936 716,00;280 768 044,00;5 168 672,00;1,84
31;0;РНКБ;1354;Симферополь;277 184 338,00;271 368 516,00;5 815 822,00;2,14
32;1;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;264 894 418,00;263 940 723,00;953 695,00;0,36
33;-1;Возрождение;1439;Москва и обл.;259 627 374,00;266 534 002,00;-6 906 628,00;-2,59
34;4;Национальный Расчетный Депозитарий;3294;Москва и обл.;255 740 062,00;210 045 601,00;45 694 461,00;21,75
35;-1;Хоум Кредит Банк;316;Москва и обл.;250 884 003,00;254 437 383,00;-3 553 380,00;-1,40
36;-1;Восточный Банк;1460;Амурская обл.;240 522 027,00;240 870 393,00;-348 366,00;-0,14
37;2;ИНГ Банк;2495;Москва и обл.;236 134 993,00;207 248 384,00;28 886 609,00;13,94
38;-2;Банк Зенит;3255;Москва и обл.;231 416 519,00;238 819 729,00;-7 403 210,00;-3,10
39;-2;МТС Банк;2268;Москва и обл.;227 931 373,00;228 496 040,00;-564 667,00;-0,25
40;0;Инвестторгбанк;2763;Москва и обл.;196 735 172,00;198 433 858,00;-1 698 686,00;-0,86
41;1;Транскапиталбанк;2210;Москва и обл.;184 420 408,00;177 319 238,00;7 101 170,00;4,00
42;-1;Росэксимбанк;2790;Москва и обл.;182 684 654,00;178 489 211,00;4 195 443,00;2,35
43;1;ОТП Банк;2766;Москва и обл.;162 289 258,00;162 250 078,00;39 180,00;0,02
44;1;Сетелем Банк;2168;Москва и обл.;159 883 144,00;156 426 786,00;3 456 358,00;2,21
45;-2;Ренессанс Кредит;3354;Москва и обл.;157 990 190,00;162 696 976,00;-4 706 786,00;-2,89
46;2;МСП Банк;3340;Москва и обл.;148 887 822,00;145 008 136,00;3 879 686,00;2,68
47;-1;Русфинанс Банк;1792;Самарская обл.;148 381 015,00;147 490 035,00;890 980,00;0,60
48;4;Дойче Банк;3328;Москва и обл.;141 575 715,00;137 277 812,00;4 297 903,00;3,13
49;0;Кредит Европа Банк;3311;Москва и обл.;140 238 104,00;144 923 545,00;-4 685 441,00;-3,23
50;1;Авангард;2879;Москва и обл.;137 781 747,00;137 315 519,00;466 228,00;0,34
51;3;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;133 677 154,00;124 872 429,00;8 804 725,00;7,05
52;-5;Запсибкомбанк;918;Тюменская обл.;133 554 516,00;145 437 062,00;-11 882 546,00;-8,17
53;0;Роскосмосбанк;2989;Москва и обл.;129 870 879,00;128 332 679,00;1 538 200,00;1,20
54;-4;Таврический Банк;2304;Санкт-Петербург и обл.;126 657 790,00;141 463 450,00;-14 805 660,00;-10,47
55;1;Центр-инвест;2225;Ростовская обл.;122 879 559,00;121 527 316,00;1 352 243,00;1,11
56;-1;ВУЗ-Банк;1557;Свердловская обл.;119 747 338,00;122 885 971,00;-3 138 633,00;-2,55
57;0;Сургутнефтегазбанк;588;Ханты-Мансийский АО — Югра;118 801 601,00;118 548 763,00;252 838,00;0,21
58;1;Кубань Кредит;2518;Краснодарский край;117 353 728,00;114 878 261,00;2 475 467,00;2,15
59;-1;Аверс;415;Татарстан;115 303 182,00;117 287 205,00;-1 984 023,00;-1,69
60;0;Банк Финсервис;3388;Москва и обл.;114 145 220,00;113 910 005,00;235 215,00;0,21
61;0;ЦентроКредит;121;Москва и обл.;114 094 483,00;112 526 657,00;1 567 826,00;1,39
62;0;Металлинвестбанк;2440;Москва и обл.;106 620 618,00;106 913 478,00;-292 860,00;-0,27
63;0;ББР Банк;2929;Москва и обл.;106 436 227,00;103 883 169,00;2 553 058,00;2,46
64;0;РН Банк;170;Москва и обл.;101 539 984,00;99 115 391,00;2 424 593,00;2,45
65;0;Экспобанк;2998;Москва и обл.;98 694 972,00;98 143 617,00;551 355,00;0,56
66;2;Мидзухо Банк;3337;Москва и обл.;98 058 256,00;86 645 778,00;11 412 478,00;13,17
67;3;СКБ-Банк;705;Свердловская обл.;97 621 189,00;84 507 870,00;13 113 319,00;15,52
68;-2;Локо-Банк;2707;Москва и обл.;96 748 817,00;93 407 745,00;3 341 072,00;3,58
69;4;СЭБ Банк;3235;Санкт-Петербург и обл.;93 469 845,00;76 987 750,00;16 482 095,00;21,41
70;-3;Союз;2307;Москва и обл.;91 295 736,00;90 376 020,00;919 716,00;1,02
71;-2;Сумитомо Мицуи Рус Банк;3494;Москва и обл.;90 444 453,00;85 631 720,00;4 812 733,00;5,62
72;2;Эйч-Эс-Би-Си Банк (HSBC);3290;Москва и обл.;84 280 835,00;74 383 217,00;9 897 618,00;13,31
73;2;АйСиБиСи Банк;3475;Москва и обл.;83 938 750,00;74 147 200,00;9 791 550,00;13,21
74;-3;Эм-Ю-Эф-Джи Банк (Евразия);3465;Москва и обл.;80 906 554,00;80 849 992,00;56 562,00;0,07
75;6;Коммерцбанк (Евразия);3333;Москва и обл.;80 082 239,00;71 242 772,00;8 839 467,00;12,41
76;-4;Тойота Банк;3470;Москва и обл.;76 493 178,00;77 192 837,00;-699 659,00;-0,91
77;3;Банк Интеза;2216;Москва и обл.;75 703 047,00;71 381 957,00;4 321 090,00;6,05
78;-1;СДМ-Банк;1637;Москва и обл.;75 184 822,00;73 523 910,00;1 660 912,00;2,26
79;-3;Левобережный;1343;Новосибирская обл.;74 923 954,00;74 069 185,00;854 769,00;1,15
80;2;Примсоцбанк;2733;Приморский край;72 825 782,00;70 895 976,00;1 929 806,00;2,72
81;-3;Балтинвестбанк;3176;Санкт-Петербург и обл.;71 775 988,00;72 297 489,00;-521 501,00;-0,72
82;-3;БКС Банк;101;Москва и обл.;70 346 131,00;71 555 642,00;-1 209 511,00;-1,69
83;0;Меткомбанк (Каменск-Уральский);2443;Свердловская обл.;69 886 159,00;68 150 752,00;1 735 407,00;2,55
84;2;БНП Париба Банк;3407;Москва и обл.;66 189 384,00;65 716 972,00;472 412,00;0,72
85;2;РГС Банк;3073;Москва и обл.;65 942 033,00;61 498 903,00;4 443 130,00;7,22
86;-1;Газэнергобанк;3252;Калужская обл.;65 177 514,00;66 569 521,00;-1 392 007,00;-2,09
87;3;Севергазбанк;2816;Вологодская обл.;63 588 916,00;58 424 543,00;5 164 373,00;8,84
88;0;Фора-Банк;1885;Москва и обл.;63 365 695,00;60 254 278,00;3 111 417,00;5,16
89;15;Солидарность;554;Самарская обл.;63 215 221,00;46 808 868,00;16 406 353,00;35,05
90;-1;Челябинвестбанк;493;Челябинская обл.;59 964 794,00;59 116 455,00;848 339,00;1,44
