Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Август, 2011, тыс. рублей;Июль, 2011, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;9 558 937 487,00;9 525 245 879,00;33 691 608,00;0,35
2;0;ВТБ;1000;Санкт-Петербург и обл.;3 350 858 406,00;3 307 648 455,00;43 209 951,00;1,31
3;0;Газпромбанк;354;Москва и обл.;1 847 071 750,00;1 904 872 651,00;-57 800 901,00;-3,03
4;0;Россельхозбанк;3349;Москва и обл.;1 277 273 847,00;1 243 104 070,00;34 169 777,00;2,75
5;0;ВТБ 24;1623;Москва и обл.;1 054 490 504,00;1 031 419 173,00;23 071 331,00;2,24
6;0;Альфа-Банк;1326;Москва и обл.;879 561 576,00;892 755 370,00;-13 193 794,00;-1,48
7;0;БМ-Банк;2748;Москва и обл.;868 728 062,00;882 136 893,00;-13 408 831,00;-1,52
8;0;ЮниКредит Банк;1;Москва и обл.;743 554 063,00;684 967 857,00;58 586 206,00;8,55
9;2;Росбанк;2272;Москва и обл.;598 355 549,00;444 272 170,00;154 083 379,00;34,68
10;-1;Райффайзенбанк;3292;Москва и обл.;524 684 146,00;548 929 585,00;-24 245 439,00;-4,42
11;-1;Промсвязьбанк;3251;Москва и обл.;499 525 017,00;512 401 283,00;-12 876 266,00;-2,51
12;1;Транскредитбанк;2142;Москва и обл.;438 249 505,00;429 352 771,00;8 896 734,00;2,07
13;-1;Банк Уралсиб;30;Москва и обл.;435 408 455,00;441 196 083,00;-5 787 628,00;-1,31
14;0;Банк Открытие;2209;Москва и обл.;428 390 580,00;406 568 131,00;21 822 449,00;5,37
15;0;МДМ Банк;2562;Новосибирская обл.;378 786 115,00;380 647 701,00;-1 861 586,00;-0,49
16;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;306 480 031,00;302 480 649,00;3 999 382,00;1,32
17;2;Ситибанк;2557;Москва и обл.;288 192 474,00;233 237 123,00;54 955 351,00;23,56
18;-1;Ак Барс;2590;Татарстан;278 515 275,00;275 708 675,00;2 806 600,00;1,02
19;-1;Россия;328;Санкт-Петербург и обл.;269 307 292,00;267 105 231,00;2 202 061,00;0,82
20;0;Московский Кредитный Банк;1978;Москва и обл.;219 557 498,00;207 674 271,00;11 883 227,00;5,72
21;1;Петрокоммерц;1776;Москва и обл.;215 651 211,00;205 213 833,00;10 437 378,00;5,09
22;1;Нордеа Банк;3016;Москва и обл.;209 315 610,00;200 924 914,00;8 390 696,00;4,18
23;-2;Ханты-Мансийский банк Открытие;1971;Тюменская обл.;207 856 293,00;207 444 945,00;411 348,00;0,20
24;2;Связь-Банк;1470;Москва и обл.;200 699 639,00;175 019 640,00;25 679 999,00;14,67
25;-1;Банк Зенит;3255;Москва и обл.;198 152 789,00;199 732 729,00;-1 579 940,00;-0,79
26;-1;Возрождение;1439;Москва и обл.;183 207 376,00;185 392 145,00;-2 184 769,00;-1,18
