Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Июль, 2016, тыс. рублей;Июнь, 2016, тыс. рублей;Изменение, тыс. рублей;Изменение, %
51;-2;Всероссийский Банк Развития Регионов;3287;Москва и обл.;148 222 950,00;160 652 684,00;-12 429 734,00;-7,74
52;0;ОТП Банк;2766;Москва и обл.;147 616 409,00;150 148 531,00;-2 532 122,00;-1,69
53;0;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;144 371 471,00;141 170 045,00;3 201 426,00;2,27
54;1;РГС Банк;3073;Москва и обл.;142 846 211,00;137 011 492,00;5 834 719,00;4,26
55;1;Авангард;2879;Москва и обл.;135 816 604,00;134 604 399,00;1 212 205,00;0,90
56;2;МСП Банк;3340;Москва и обл.;132 745 493,00;132 588 472,00;157 021,00;0,12
57;0;Кредит Европа Банк;3311;Москва и обл.;132 148 731,00;132 908 046,00;-759 315,00;-0,57
58;2;СКБ-Банк;705;Свердловская обл.;129 088 144,00;122 657 901,00;6 430 243,00;5,24
59;0;Аверс;415;Татарстан;125 021 066,00;124 947 269,00;73 797,00;0,06
60;1;Инвестторгбанк;2763;Москва и обл.;120 990 635,00;120 675 223,00;315 412,00;0,26
61;-7;Национальный Расчетный Депозитарий;3294;Москва и обл.;116 702 694,00;137 798 396,00;-21 095 702,00;-15,31
62;0;Запсибкомбанк;918;Тюменская обл.;110 447 905,00;110 916 090,00;-468 185,00;-0,42
63;2;Сетелем Банк;2168;Москва и обл.;103 247 282,00;102 497 130,00;750 152,00;0,73
64;12;Сургутнефтегазбанк;588;Ханты-Мансийский АО — Югра;103 202 293,00;85 732 199,00;17 470 094,00;20,38
65;-1;Роскосмосбанк;2989;Москва и обл.;101 711 968,00;102 539 483,00;-827 515,00;-0,81
66;-3;Ренессанс Кредит;3354;Москва и обл.;101 367 323,00;104 710 998,00;-3 343 675,00;-3,19
67;0;Юниаструм Банк;2771;Москва и обл.;98 286 759,00;96 840 359,00;1 446 400,00;1,49
68;0;РосинтерБанк;226;Москва и обл.;96 055 835,00;94 561 994,00;1 493 841,00;1,58
69;-3;Русфинанс Банк;1792;Самарская обл.;94 901 966,00;98 143 616,00;-3 241 650,00;-3,30
70;0;Центр-инвест;2225;Ростовская обл.;94 368 032,00;92 689 002,00;1 679 030,00;1,81
71;6;Почта Банк;650;Москва и обл.;91 274 199,00;85 148 340,00;6 125 859,00;7,19
72;0;ЦентроКредит;121;Москва и обл.;91 121 153,00;88 502 031,00;2 619 122,00;2,96
73;-4;Локо-Банк;2707;Москва и обл.;89 623 005,00;92 978 475,00;-3 355 470,00;-3,61
74;-3;Таврический Банк;2304;Санкт-Петербург и обл.;89 131 237,00;88 639 052,00;492 185,00;0,56
75;14;Дойче Банк;3328;Москва и обл.;88 036 520,00;66 927 082,00;21 109 438,00;31,54
76;-3;Балтийский Банк;128;Санкт-Петербург и обл.;86 225 161,00;87 542 161,00;-1 317 000,00;-1,50
77;-2;Союз;2307;Москва и обл.;83 424 006,00;86 673 343,00;-3 249 337,00;-3,75
78;0;БНП Париба Банк;3407;Москва и обл.;80 113 793,00;83 126 060,00;-3 012 267,00;-3,62
79;-5;Банк БФА;3038;Санкт-Петербург и обл.;78 899 136,00;87 073 009,00;-8 173 873,00;-9,39
80;-1;Банк Финсервис;3388;Москва и обл.;78 035 302,00;76 590 068,00;1 445 234,00;1,89
81;0;Эйч-Эс-Би-Си Банк (HSBC);3290;Москва и обл.;76 051 331,00;74 170 238,00;1 881 093,00;2,54
82;1;Балтинвестбанк;3176;Санкт-Петербург и обл.;74 679 341,00;73 536 925,00;1 142 416,00;1,55
83;-3;Международный Финансовый Клуб;2618;Москва и обл.;74 132 249,00;74 239 434,00;-107 185,00;-0,14
84;4;РНКБ;1354;Симферополь;73 147 512,00;69 381 136,00;3 766 376,00;5,43
85;1;Экспобанк;2998;Москва и обл.;72 798 267,00;71 094 691,00;1 703 576,00;2,40
86;-2;Банк Интеза;2216;Москва и обл.;72 200 038,00;71 353 880,00;846 158,00;1,19
87;0;Кубань Кредит;2518;Краснодарский край;71 473 545,00;69 693 076,00;1 780 469,00;2,55
88;2;Металлинвестбанк;2440;Москва и обл.;67 241 937,00;66 332 391,00;909 546,00;1,37
89;-7;Бинбанк Диджитал;2827;Москва и обл.;64 513 572,00;74 151 332,00;-9 637 760,00;-13,00
90;14;Меткомбанк (Каменск-Уральский);2443;Свердловская обл.;63 225 521,00;48 085 413,00;15 140 108,00;31,49
91;0;Образование;1521;Москва и обл.;62 648 306,00;62 663 198,00;-14 892,00;-0,02
92;0;Креди Агриколь КИБ;1680;Санкт-Петербург и обл.;62 283 335,00;60 811 060,00;1 472 275,00;2,42
93;-8;Военно-Промышленный Банк;3065;Москва и обл.;62 033 270,00;71 277 240,00;-9 243 970,00;-12,97
94;3;РН Банк;170;Москва и обл.;61 850 999,00;56 070 955,00;5 780 044,00;10,31
95;-2;БКС Банк;101;Новосибирская обл.;61 827 113,00;60 479 560,00;1 347 553,00;2,23
96;-2;Росэнергобанк;2211;Москва и обл.;58 563 081,00;58 536 591,00;26 490,00;0,05
97;-2;БФГ-Кредит;3068;Москва и обл.;58 456 288,00;58 363 280,00;93 008,00;0,16
98;0;Финпромбанк (ФПБ Банк);2157;Москва и обл.;57 540 537,00;54 131 281,00;3 409 256,00;6,30
99;-3;Международный Банк Санкт-Петербурга (МБСП);197;Санкт-Петербург и обл.;54 478 523,00;57 325 222,00;-2 846 699,00;-4,97
100;-1;АйСиБиСи Банк;3475;Москва и обл.;52 723 165,00;53 538 704,00;-815 539,00;-1,52
101;1;Крайинвестбанк;3360;Краснодарский край;49 932 613,00;49 997 242,00;-64 629,00;-0,13
102;-1;ББР Банк;2929;Москва и обл.;49 681 602,00;50 448 590,00;-766 988,00;-1,52
103;-3;Росэксимбанк;2790;Москва и обл.;48 358 880,00;50 491 849,00;-2 132 969,00;-4,22
104;-1;Тойота Банк;3470;Москва и обл.;48 230 290,00;48 729 986,00;-499 696,00;-1,03
105;0;Межтопэнергобанк;2956;Москва и обл.;48 179 625,00;47 954 511,00;225 114,00;0,47
106;0;СДМ-Банк;1637;Москва и обл.;48 011 890,00;47 361 822,00;650 068,00;1,37
107;0;Банк «Советский»;558;Санкт-Петербург и обл.;47 773 517,00;47 147 479,00;626 038,00;1,33
108;0;Социнвестбанк;1132;Башкортостан;47 619 396,00;46 643 894,00;975 502,00;2,09
109;1;Челябинвестбанк;493;Челябинская обл.;45 882 066,00;44 735 640,00;1 146 426,00;2,56
110;1;Челиндбанк;485;Челябинская обл.;45 501 509,00;44 710 966,00;790 543,00;1,77
111;3;Примсоцбанк;2733;Приморский край;44 486 823,00;43 459 148,00;1 027 675,00;2,36
112;-3;Фора-Банк;1885;Москва и обл.;44 258 328,00;45 051 912,00;-793 584,00;-1,76
113;-1;Сумитомо Мицуи Рус Банк;3494;Москва и обл.;44 166 037,00;43 937 365,00;228 672,00;0,52
114;-1;Газэнергобанк;3252;Калужская обл.;43 689 633,00;43 784 183,00;-94 550,00;-0,22
115;0;Левобережный;1343;Новосибирская обл.;43 209 215,00;43 199 299,00;9 916,00;0,02
116;1;Интерпрогрессбанк;600;Москва и обл.;39 515 047,00;39 805 253,00;-290 206,00;-0,73
117;16;ВУЗ-Банк;1557;Свердловская обл.;39 453 068,00;30 595 998,00;8 857 070,00;28,95
118;2;Саровбизнесбанк;2048;Нижегородская обл.;38 642 327,00;38 286 318,00;356 009,00;0,93
119;2;Меткомбанк (Череповец);901;Вологодская обл.;36 367 011,00;37 214 073,00;-847 062,00;-2,28
120;2;ОФК Банк;2270;Москва и обл.;35 323 286,00;35 458 055,00;-134 769,00;-0,38
121;4;Национальный Стандарт;3421;Москва и обл.;34 938 740,00;33 666 411,00;1 272 329,00;3,78
122;-4;Бэнк оф Чайна;2309;Москва и обл.;34 848 060,00;39 272 174,00;-4 424 114,00;-11,27
123;0;ПЧРБ Банк;3291;Москва и обл.;34 524 387,00;34 558 528,00;-34 141,00;-0,10
124;6;НС Банк;3124;Москва и обл.;33 911 936,00;31 245 599,00;2 666 337,00;8,53
125;-6;Коммерцбанк (Евразия);3333;Москва и обл.;33 770 988,00;39 209 190,00;-5 438 202,00;-13,87
126;6;Кредит Урал Банк;2584;Челябинская обл.;33 350 699,00;30 656 431,00;2 694 268,00;8,79
127;-1;Кольцо Урала;65;Свердловская обл.;33 099 757,00;33 405 740,00;-305 983,00;-0,92
128;-1;Еврофинанс Моснарбанк;2402;Москва и обл.;31 446 053,00;32 358 183,00;-912 130,00;-2,82
129;0;Русский Международный Банк;3123;Москва и обл.;31 417 215,00;31 867 449,00;-450 234,00;-1,41
130;8;Севергазбанк;2816;Вологодская обл.;30 612 506,00;28 951 485,00;1 661 021,00;5,74
131;3;Дальневосточный Банк;843;Приморский край;30 452 076,00;29 937 508,00;514 568,00;1,72
132;-1;Интерпромбанк;3266;Москва и обл.;29 749 745,00;30 727 467,00;-977 722,00;-3,18
133;2;Солидарность;554;Самарская обл.;29 730 037,00;29 607 272,00;122 765,00;0,41
134;2;БыстроБанк;1745;Удмуртия;29 637 172,00;29 537 049,00;100 123,00;0,34
135;2;Интехбанк;2705;Татарстан;29 432 835,00;29 158 241,00;274 594,00;0,94
136;-12;Фольксваген Банк Рус;3500;Москва и обл.;28 620 101,00;33 913 871,00;-5 293 770,00;-15,61
137;3;Объединенный Капитал;2611;Санкт-Петербург и обл.;28 093 563,00;28 463 980,00;-370 417,00;-1,30
138;5;Алмазэргиэнбанк;2602;Саха (Якутия);27 863 864,00;27 488 939,00;374 925,00;1,36
139;5;Приморье;3001;Приморский край;27 802 698,00;27 313 886,00;488 812,00;1,79
140;10;Генбанк;2490;Симферополь;27 512 949,00;26 153 610,00;1 359 339,00;5,20
141;-2;МБА-Москва;3395;Москва и обл.;27 263 248,00;28 748 991,00;-1 485 743,00;-5,17
142;-1;Акибанк;2587;Татарстан;27 087 346,00;28 154 933,00;-1 067 587,00;-3,79
143;-1;Газбанк;2316;Самарская обл.;26 775 565,00;27 549 305,00;-773 740,00;-2,81
144;4;АктивКапитал Банк;3006;Самарская обл.;26 650 773,00;26 348 358,00;302 415,00;1,15
145;4;Квантмобайл Банк;1189;Москва и обл.;26 516 083,00;26 304 240,00;211 843,00;0,81
146;-1;АйМаниБанк;1975;Москва и обл.;26 305 604,00;27 232 271,00;-926 667,00;-3,40
147;7;Платежный Центр;3166;Новосибирская обл.;25 442 564,00;24 611 465,00;831 099,00;3,38
148;-2;Московское Ипотечное Агентство;3344;Москва и обл.;25 018 373,00;26 776 028,00;-1 757 655,00;-6,56
149;3;Девон-Кредит;1972;Татарстан;24 868 653,00;24 957 535,00;-88 882,00;-0,36
150;-3;Москоммерцбанк;3365;Москва и обл.;24 609 693,00;26 364 856,00;-1 755 163,00;-6,66
151;0;Липецккомбанк;1242;Липецкая обл.;24 256 510,00;25 262 766,00;-1 006 256,00;-3,98
152;3;Агропромкредит;2880;Москва и обл.;24 153 978,00;24 418 465,00;-264 487,00;-1,08
153;52;Финанс Бизнес Банк;520;Москва и обл.;23 916 257,00;13 889 815,00;10 026 442,00;72,19
154;3;Урал ФД;249;Пермская обл.;23 719 668,00;23 752 348,00;-32 680,00;-0,14
155;1;Собинбанк;1317;Москва и обл.;23 486 237,00;24 363 426,00;-877 189,00;-3,60
156;2;Легион;3117;Москва и обл.;22 879 551,00;23 081 990,00;-202 439,00;-0,88
157;4;Спурт Банк;2207;Татарстан;22 747 458,00;22 685 680,00;61 778,00;0,27
158;5;Энергобанк;67;Татарстан;22 255 108,00;22 202 972,00;52 136,00;0,23
159;7;Татсоцбанк;480;Татарстан;22 209 853,00;21 866 802,00;343 051,00;1,57
160;-1;М2М Прайвет Банк;1414;Москва и обл.;22 104 913,00;22 781 082,00;-676 169,00;-2,97
161;1;Ланта-Банк;1920;Москва и обл.;21 986 158,00;22 348 793,00;-362 635,00;-1,62
162;3;Роскомснаббанк (бывш. Башкомснаббанк);1398;Башкортостан;21 827 549,00;21 978 410,00;-150 861,00;-0,69
163;1;Натиксис Банк;3390;Москва и обл.;21 555 385,00;22 192 082,00;-636 697,00;-2,87
164;-4;СЭБ Банк;3235;Санкт-Петербург и обл.;20 907 963,00;22 723 557,00;-1 815 594,00;-7,99
165;3;Курскпромбанк;735;Курская обл.;20 819 567,00;20 611 392,00;208 175,00;1,01
166;6;Мир Бизнес Банк;3396;Москва и обл.;20 140 174,00;19 805 694,00;334 480,00;1,69
167;7;Морган Стэнли Банк;3456;Москва и обл.;20 122 949,00;19 576 252,00;546 697,00;2,79
168;5;БМВ Банк;3482;Москва и обл.;19 884 733,00;19 709 213,00;175 520,00;0,89
169;0;НБД-Банк;1966;Нижегородская обл.;19 834 731,00;20 386 026,00;-551 295,00;-2,70
170;16;Энерготрансбанк;1307;Калининградская обл.;19 701 187,00;16 827 086,00;2 874 101,00;17,08
171;-1;Данске Банк;3307;Санкт-Петербург и обл.;19 407 243,00;20 211 314,00;-804 071,00;-3,98
172;-1;Мерседес-Бенц Банк Рус;3473;Москва и обл.;18 687 706,00;19 858 348,00;-1 170 642,00;-5,89
173;3;Хлынов;254;Кировская обл.;18 551 243,00;18 238 029,00;313 214,00;1,72
174;-7;Тольяттихимбанк;2507;Самарская обл.;18 491 226,00;21 642 089,00;-3 150 863,00;-14,56
175;0;Рублев;3098;Москва и обл.;18 233 612,00;18 417 685,00;-184 073,00;-1,00
176;3;Алеф-Банк;2119;Москва и обл.;18 078 734,00;17 379 061,00;699 673,00;4,03
177;10;Петербургский Социальный Коммерческий Банк;2551;Санкт-Петербург и обл.;17 907 589,00;16 779 925,00;1 127 664,00;6,72
178;-1;Джей энд Ти Банк;3061;Москва и обл.;17 550 457,00;17 682 360,00;-131 903,00;-0,75
179;2;Развитие-Столица;3013;Москва и обл.;17 470 497,00;17 241 991,00;228 506,00;1,33
180;-2;Банк Кредит Свисс;2494;Москва и обл.;17 228 634,00;17 628 414,00;-399 780,00;-2,27
181;2;Аресбанк;2914;Москва и обл.;17 185 374,00;17 040 117,00;145 257,00;0,85
182;11;Экспо Финанс;2594;Москва и обл.;16 723 859,00;15 584 630,00;1 139 229,00;7,31
183;-3;Держава;2738;Москва и обл.;16 579 182,00;17 335 507,00;-756 325,00;-4,36
184;1;Уралтрансбанк;812;Свердловская обл.;16 570 961,00;16 904 200,00;-333 239,00;-1,97
185;3;Денизбанк Москва;3330;Москва и обл.;16 541 529,00;16 596 772,00;-55 243,00;-0,33
186;-4;НК Банк;2755;Москва и обл.;16 514 143,00;17 133 338,00;-619 195,00;-3,61
187;8;Темпбанк;55;Москва и обл.;16 482 411,00;15 526 235,00;956 176,00;6,16
188;-4;Чайна Констракшн;3515;Москва и обл.;16 012 611,00;16 975 278,00;-962 667,00;-5,67
189;1;Расчетно-Кредитный Банк;103;Москва и обл.;15 974 712,00;16 066 792,00;-92 080,00;-0,57
190;-1;Нацинвестпромбанк;3077;Москва и обл.;15 763 540,00;16 184 794,00;-421 254,00;-2,60
191;5;Морской Банк;77;Москва и обл.;15 587 506,00;15 430 741,00;156 765,00;1,02
192;-1;Форштадт;2208;Оренбургская обл.;15 540 606,00;15 778 444,00;-237 838,00;-1,51
193;5;Пойдем!;2534;Москва и обл.;15 420 945,00;15 231 895,00;189 050,00;1,24
194;0;Банк Акцепт;567;Новосибирская обл.;15 346 613,00;15 551 574,00;-204 961,00;-1,32
195;5;Норвик Банк;902;Кировская обл.;15 137 279,00;14 781 711,00;355 568,00;2,41
196;5;Гарант-Инвест;2576;Москва и обл.;14 997 138,00;14 720 756,00;276 382,00;1,88
197;5;Национальный Резервный Банк;2170;Москва и обл.;14 963 664,00;14 665 041,00;298 623,00;2,04
198;-1;Гранд Инвест Банк;3053;Москва и обл.;14 828 273,00;15 380 314,00;-552 041,00;-3,59
199;0;Русский Ипотечный Банк;1968;Москва и обл.;14 558 301,00;15 017 099,00;-458 798,00;-3,06
200;6;РосДорБанк;1573;Москва и обл.;14 526 219,00;13 807 847,00;718 372,00;5,20
201;3;Солидарность (Москва);1555;Москва и обл.;14 296 905,00;14 215 694,00;81 211,00;0,57
202;1;Кошелев-Банк;3300;Самарская обл.;14 126 957,00;14 498 828,00;-371 871,00;-2,56
203;5;Ури Банк;3479;Москва и обл.;13 983 456,00;13 712 161,00;271 295,00;1,98
204;3;ТЭМБР-Банк;2764;Москва и обл.;13 860 232,00;13 791 300,00;68 932,00;0,50
205;10;Стратегия;2801;Москва и обл.;13 842 095,00;12 291 156,00;1 550 939,00;12,62
206;3;Объединенный Кредитный Банк;1118;Ярославская обл.;13 308 485,00;13 512 800,00;-204 315,00;-1,51
207;3;Агросоюз;1459;Москва и обл.;12 878 313,00;13 312 301,00;-433 988,00;-3,26
208;3;Тройка-Д Банк;3431;Москва и обл.;12 872 172,00;12 884 249,00;-12 077,00;-0,09
209;-56;Российская Финансовая Корпорация;3099;Москва и обл.;12 833 260,00;24 937 421,00;-12 104 161,00;-48,54
210;2;Прио-Внешторгбанк;212;Рязанская обл.;12 832 589,00;12 823 497,00;9 092,00;0,07
211;2;Промтрансбанк;2638;Башкортостан;12 824 865,00;12 437 419,00;387 446,00;3,12
212;18;Банк на Гончарной (бывш. Япы Креди Банк Москва);2555;Москва и обл.;12 699 800,00;10 563 222,00;2 136 578,00;20,23
213;-21;Инбанк;1829;Москва и обл.;12 419 831,00;15 629 709,00;-3 209 878,00;-20,54
214;3;КС Банк;1752;Мордовия;12 190 278,00;11 944 818,00;245 460,00;2,05
215;1;Русьуниверсалбанк;3293;Москва и обл.;12 085 241,00;12 016 781,00;68 460,00;0,57
216;8;Нефтяной Альянс;2859;Москва и обл.;11 769 820,00;11 191 787,00;578 033,00;5,16
217;10;Ишбанк;2867;Москва и обл.;11 724 554,00;10 672 134,00;1 052 420,00;9,86
218;1;Нижневолжский Коммерческий Банк;931;Саратовская обл.;11 592 019,00;11 903 488,00;-311 469,00;-2,62
219;3;Банк ВВБ;1093;Севастополь;11 462 346,00;11 226 713,00;235 633,00;2,10
220;1;Банк Жилищного Финансирования;3138;Москва и обл.;11 403 135,00;11 332 652,00;70 483,00;0,62
221;-1;Русский Торговый Банк;2842;Москва и обл.;11 178 865,00;11 356 575,00;-177 710,00;-1,56
222;3;Первомайский;518;Краснодарский край;11 116 628,00;11 053 845,00;62 783,00;0,57
223;6;Новопокровский;467;Краснодарский край;11 056 044,00;10 654 861,00;401 183,00;3,77
224;21;Национальная Факторинговая Компания;3437;Москва и обл.;10 983 964,00;9 207 553,00;1 776 411,00;19,29
225;-2;Солид Банк;1329;Камчатская обл.;10 928 450,00;11 197 388,00;-268 938,00;-2,40
226;5;Банк Казани;708;Татарстан;10 881 310,00;10 475 324,00;405 986,00;3,88
227;1;НИКО-Банк;702;Оренбургская обл.;10 824 791,00;10 663 777,00;161 014,00;1,51
228;9;Александровский;53;Санкт-Петербург и обл.;10 666 126,00;9 887 702,00;778 424,00;7,87
229;-3;Датабанк;646;Удмуртия;10 435 268,00;10 681 809,00;-246 541,00;-2,31
230;2;Банк Оренбург;3269;Оренбургская обл.;10 419 872,00;10 378 997,00;40 875,00;0,39
231;2;Центркомбанк;2983;Москва и обл.;10 158 124,00;10 308 590,00;-150 466,00;-1,46
232;2;Развитие;2729;Карачаево-Черкесия;10 010 249,00;10 271 527,00;-261 278,00;-2,54
233;10;Екатеринбург;3161;Свердловская обл.;9 823 886,00;9 290 159,00;533 727,00;5,75
234;6;Енисей;474;Красноярский край;9 615 007,00;9 507 170,00;107 837,00;1,13
235;4;ЕвроситиБанк;1869;Москва и обл.;9 584 950,00;9 584 950,00;0,00;0
236;-18;Гута-Банк;256;Москва и обл.;9 538 919,00;11 942 152,00;-2 403 233,00;-20,12
237;4;Таатта;1249;Саха (Якутия);9 331 047,00;9 374 368,00;-43 321,00;-0,46
238;6;Ассоциация;732;Нижегородская обл.;9 303 463,00;9 245 556,00;57 907,00;0,63
239;-3;БайкалБанк;2632;Бурятия;9 252 287,00;9 994 489,00;-742 202,00;-7,43
240;-2;СИАБ;3245;Санкт-Петербург и обл.;9 183 019,00;9 830 943,00;-647 924,00;-6,59
241;1;Снежинский;1376;Челябинская обл.;9 165 339,00;9 364 521,00;-199 182,00;-2,13
242;6;Нефтепромбанк;2156;Москва и обл.;9 161 035,00;8 953 199,00;207 836,00;2,32
243;11;Торговый Городской Банк;3180;Москва и обл.;9 075 893,00;8 759 587,00;316 306,00;3,61
244;3;Вокбанк;312;Нижегородская обл.;9 009 175,00;9 091 587,00;-82 412,00;-0,91
245;12;Юг-Инвестбанк;2772;Краснодарский край;8 997 648,00;8 705 846,00;291 802,00;3,35
246;0;Энергомашбанк;52;Санкт-Петербург и обл.;8 882 820,00;9 145 540,00;-262 720,00;-2,87
247;5;Славия;2664;Москва и обл.;8 798 138,00;8 782 499,00;15 639,00;0,18
248;2;РусЮгбанк;2093;Волгоградская обл.;8 745 596,00;8 853 602,00;-108 006,00;-1,22
249;11;Анкор Банк;889;Татарстан;8 693 423,00;8 318 165,00;375 258,00;4,51
250;-15;ГПБ-Ипотека;2403;Москва и обл.;8 685 381,00;10 118 629,00;-1 433 248,00;-14,16
251;0;Автоторгбанк;2776;Москва и обл.;8 665 099,00;8 852 639,00;-187 540,00;-2,12
252;4;Модульбанк;1927;Костромская обл.;8 572 459,00;8 710 084,00;-137 625,00;-1,58
253;-4;Киви Банк;2241;Москва и обл.;8 538 956,00;8 927 410,00;-388 454,00;-4,35
254;14;Бинбанк Мурманск;1276;Мурманская обл.;8 281 859,00;7 908 138,00;373 721,00;4,73
255;25;Риабанк;3434;Москва и обл.;8 187 838,00;7 364 966,00;822 872,00;11,17
256;8;Бинбанк Тверь;777;Тверская обл.;8 172 056,00;8 080 478,00;91 578,00;1,13
257;9;Союзный;3236;Москва и обл.;8 114 994,00;7 930 055,00;184 939,00;2,33
258;13;Ставропольпромстройбанк;1288;Ставропольский край;8 071 906,00;7 882 997,00;188 909,00;2,40
259;8;Северо-Восточный Альянс;2768;Москва и обл.;8 057 371,00;7 922 584,00;134 787,00;1,70
