Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Июль, 2016, тыс. рублей;Июнь, 2016, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;22 880 959 930,00;23 005 589 888,00;-124 629 958,00;-0,54
2;0;ВТБ;1000;Санкт-Петербург и обл.;9 555 556 892,00;9 634 020 082,00;-78 463 190,00;-0,81
3;0;Газпромбанк;354;Москва и обл.;5 203 796 037,00;5 318 860 129,00;-115 064 092,00;-2,16
4;0;ВТБ 24;1623;Москва и обл.;3 058 208 222,00;3 040 704 865,00;17 503 357,00;0,58
5;0;Банк Открытие;2209;Москва и обл.;2 854 490 790,00;2 947 627 164,00;-93 136 374,00;-3,16
6;0;Россельхозбанк;3349;Москва и обл.;2 726 262 108,00;2 690 654 760,00;35 607 348,00;1,32
7;0;Альфа-Банк;1326;Москва и обл.;2 216 336 105,00;2 219 987 981,00;-3 651 876,00;-0,16
8;0;Национальный Клиринговый Центр;3466;Москва и обл.;1 863 920 574,00;1 921 957 032,00;-58 036 458,00;-3,02
9;0;ЮниКредит Банк;1;Москва и обл.;1 299 388 249,00;1 377 936 432,00;-78 548 183,00;-5,70
10;1;Промсвязьбанк;3251;Москва и обл.;1 280 684 427,00;1 224 676 601,00;56 007 826,00;4,57
11;-1;Московский Кредитный Банк;1978;Москва и обл.;1 256 585 231,00;1 256 975 566,00;-390 335,00;-0,03
12;0;Райффайзенбанк;3292;Москва и обл.;816 015 622,00;849 482 374,00;-33 466 752,00;-3,94
13;0;Росбанк;2272;Москва и обл.;788 152 495,00;815 215 164,00;-27 062 669,00;-3,32
14;0;Бинбанк;323;Москва и обл.;761 784 820,00;751 125 138,00;10 659 682,00;1,42
15;0;БМ-Банк;2748;Москва и обл.;701 889 923,00;722 338 104,00;-20 448 181,00;-2,83
16;0;Россия;328;Санкт-Петербург и обл.;623 334 960,00;591 832 266,00;31 502 694,00;5,32
17;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;605 541 137,00;572 176 689,00;33 364 448,00;5,83
18;0;Совкомбанк;963;Костромская обл.;536 013 458,00;503 896 028,00;32 117 430,00;6,37
19;1;Рост Банк;2888;Москва и обл.;528 481 969,00;498 204 689,00;30 277 280,00;6,08
20;-1;Ханты-Мансийский банк Открытие;1971;Москва и обл.;514 336 775,00;502 166 268,00;12 170 507,00;2,42
21;1;Московский Областной Банк;1751;Москва и обл.;481 578 822,00;476 682 287,00;4 896 535,00;1,03
22;-1;Русский Стандарт;2289;Москва и обл.;476 896 876,00;492 699 900,00;-15 803 024,00;-3,21
23;2;Ситибанк;2557;Москва и обл.;458 601 865,00;449 640 106,00;8 961 759,00;1,99
24;0;Банк Уралсиб;30;Москва и обл.;451 403 401,00;455 551 112,00;-4 147 711,00;-0,91
25;-2;Ак Барс;2590;Татарстан;444 992 701,00;462 244 738,00;-17 252 037,00;-3,73
26;0;Траст;3279;Москва и обл.;372 552 216,00;395 615 338,00;-23 063 122,00;-5,83
27;0;Связь-Банк;1470;Москва и обл.;339 392 054,00;353 181 005,00;-13 788 951,00;-3,90
28;0;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;337 928 725,00;345 466 594,00;-7 537 869,00;-2,18
29;0;СМП Банк;3368;Москва и обл.;335 955 146,00;327 726 828,00;8 228 318,00;2,51
30;0;МДМ Банк;2562;Москва и обл.;328 702 358,00;327 049 730,00;1 652 628,00;0,51
31;0;Югра;880;Москва и обл.;324 472 587,00;322 110 027,00;2 362 560,00;0,73
32;0;Нордеа Банк;3016;Москва и обл.;323 936 620,00;318 441 001,00;5 495 619,00;1,73
33;0;ИНГ Банк;2495;Москва и обл.;303 906 764,00;289 087 404,00;14 819 360,00;5,13
34;0;Банк ДОМ.РФ;2312;Москва и обл.;291 299 827,00;282 692 725,00;8 607 102,00;3,04
35;1;Абсолют Банк;2306;Москва и обл.;273 297 492,00;259 766 272,00;13 531 220,00;5,21
36;-1;Банк Зенит;3255;Москва и обл.;266 483 155,00;262 722 895,00;3 760 260,00;1,43
37;0;Московский Индустриальный Банк;912;Москва и обл.;255 670 975,00;258 357 823,00;-2 686 848,00;-1,04
38;1;Возрождение;1439;Москва и обл.;236 923 388,00;233 953 820,00;2 969 568,00;1,27
39;-1;Новикомбанк;2546;Москва и обл.;233 416 524,00;251 465 453,00;-18 048 929,00;-7,18
40;2;Хоум Кредит Банк;316;Москва и обл.;227 805 431,00;223 862 195,00;3 943 236,00;1,76
41;-1;Восточный Банк;1460;Амурская обл.;226 639 516,00;228 511 426,00;-1 871 910,00;-0,82
42;-1;Глобэкс;1942;Москва и обл.;221 797 677,00;227 022 661,00;-5 224 984,00;-2,30
43;0;Транскапиталбанк;2210;Москва и обл.;216 804 548,00;221 061 567,00;-4 257 019,00;-1,93
44;1;Пересвет;2110;Москва и обл.;201 542 256,00;190 932 733,00;10 609 523,00;5,56
45;-1;Татфондбанк;3058;Татарстан;199 659 369,00;194 638 260,00;5 021 109,00;2,58
46;4;Экспресс-Волга;3085;Костромская обл.;182 405 664,00;158 290 801,00;24 114 863,00;15,23
47;-1;РосЕвроБанк;3137;Москва и обл.;179 579 434,00;176 031 469,00;3 547 965,00;2,02
48;-1;МТС Банк;2268;Москва и обл.;174 982 530,00;174 154 511,00;828 019,00;0,48
49;-1;Тинькофф Банк;2673;Москва и обл.;170 264 328,00;167 078 551,00;3 185 777,00;1,91
50;1;ДельтаКредит;3338;Москва и обл.;154 875 459,00;157 094 198,00;-2 218 739,00;-1,41
