Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Октябрь, 2013, тыс. рублей;Сентябрь, 2013, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;15 275 194 094,00;15 164 065 734,00;111 128 360,00;0,73
2;0;ВТБ;1000;Санкт-Петербург и обл.;5 095 384 036,00;5 027 665 104,00;67 718 932,00;1,35
3;0;Газпромбанк;354;Москва и обл.;3 388 825 207,00;3 237 321 087,00;151 504 120,00;4,68
4;0;ВТБ 24;1623;Москва и обл.;1 806 898 301,00;1 803 043 255,00;3 855 046,00;0,21
5;0;Россельхозбанк;3349;Москва и обл.;1 779 431 692,00;1 782 423 623,00;-2 991 931,00;-0,17
6;0;БМ-Банк;2748;Москва и обл.;1 706 551 775,00;1 696 351 502,00;10 200 273,00;0,60
7;0;Альфа-Банк;1326;Москва и обл.;1 480 478 749,00;1 413 332 745,00;67 146 004,00;4,75
8;0;ЮниКредит Банк;1;Москва и обл.;813 566 227,00;811 946 579,00;1 619 648,00;0,20
9;0;Банк Открытие;2209;Москва и обл.;784 995 635,00;801 514 403,00;-16 518 768,00;-2,06
10;0;Росбанк;2272;Москва и обл.;755 192 482,00;770 990 716,00;-15 798 234,00;-2,05
11;1;Промсвязьбанк;3251;Москва и обл.;744 182 170,00;723 942 384,00;20 239 786,00;2,80
12;-1;Райффайзенбанк;3292;Москва и обл.;699 991 428,00;750 960 658,00;-50 969 230,00;-6,79
13;1;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;435 613 626,00;405 113 389,00;30 500 237,00;7,53
14;-1;Банк Уралсиб;30;Москва и обл.;433 847 068,00;439 160 364,00;-5 313 296,00;-1,21
15;0;Московский Кредитный Банк;1978;Москва и обл.;413 962 791,00;395 111 573,00;18 851 218,00;4,77
16;2;Россия;328;Санкт-Петербург и обл.;406 212 059,00;384 271 380,00;21 940 679,00;5,71
17;-1;Хоум Кредит Банк;316;Москва и обл.;385 017 257,00;392 131 322,00;-7 114 065,00;-1,81
18;-1;Русский Стандарт;2289;Москва и обл.;380 241 749,00;387 129 678,00;-6 887 929,00;-1,78
19;3;Ситибанк;2557;Москва и обл.;376 846 451,00;333 306 442,00;43 540 009,00;13,06
20;-1;Ак Барс;2590;Татарстан;373 433 559,00;375 167 551,00;-1 733 992,00;-0,46
21;2;Национальный Клиринговый Центр;3466;Москва и обл.;339 026 475,00;291 361 270,00;47 665 205,00;16,36
22;-2;МДМ Банк;2562;Новосибирская обл.;336 521 858,00;342 274 680,00;-5 752 822,00;-1,68
23;-2;Ханты-Мансийский банк Открытие;1971;Тюменская обл.;320 467 932,00;339 893 220,00;-19 425 288,00;-5,72
24;0;Связь-Банк;1470;Москва и обл.;291 589 032,00;272 960 471,00;18 628 561,00;6,82
25;1;Глобэкс;1942;Москва и обл.;267 598 977,00;265 636 725,00;1 962 252,00;0,74
26;-1;Нордеа Банк;3016;Москва и обл.;259 737 142,00;265 872 746,00;-6 135 604,00;-2,31
27;1;Восточный Банк;1460;Амурская обл.;258 419 440,00;253 626 839,00;4 792 601,00;1,89
28;1;Петрокоммерц;1776;Москва и обл.;250 788 674,00;248 420 579,00;2 368 095,00;0,95
29;1;Банк Зенит;3255;Москва и обл.;247 640 014,00;243 019 578,00;4 620 436,00;1,90
30;-3;ИНГ Банк;2495;Москва и обл.;242 251 030,00;259 527 394,00;-17 276 364,00;-6,66
31;1;Возрождение;1439;Москва и обл.;232 668 371,00;231 016 271,00;1 652 100,00;0,72
32;-1;Транскредитбанк;2142;Москва и обл.;218 979 068,00;238 569 703,00;-19 590 635,00;-8,21
33;0;Траст;3279;Москва и обл.;217 706 334,00;214 566 036,00;3 140 298,00;1,46
34;1;Бинбанк;323;Москва и обл.;204 392 163,00;202 075 776,00;2 316 387,00;1,15
35;-1;Банк «Открытие»;2179;Москва и обл.;201 673 935,00;205 098 553,00;-3 424 618,00;-1,67
36;0;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;192 496 494,00;192 247 428,00;249 066,00;0,13
37;0;Московский Индустриальный Банк;912;Москва и обл.;190 543 246,00;187 944 776,00;2 598 470,00;1,38
38;0;МТС Банк;2268;Москва и обл.;188 550 645,00;179 717 917,00;8 832 728,00;4,91
39;1;ОТП Банк;2766;Москва и обл.;176 266 561,00;176 765 460,00;-498 899,00;-0,28
40;2;Новикомбанк;2546;Москва и обл.;153 840 685,00;148 316 876,00;5 523 809,00;3,72
41;0;Кредит Европа Банк;3311;Москва и обл.;152 027 274,00;150 091 687,00;1 935 587,00;1,29
42;1;Внешпромбанк;3261;Москва и обл.;145 948 015,00;147 050 998,00;-1 102 983,00;-0,75
43;2;Транскапиталбанк;2210;Москва и обл.;140 363 526,00;137 582 050,00;2 781 476,00;2,02
44;0;СМП Банк;3368;Москва и обл.;140 057 948,00;140 006 180,00;51 768,00;0,04
45;1;СКБ-Банк;705;Свердловская обл.;138 142 126,00;134 651 117,00;3 491 009,00;2,59
46;1;МСП Банк;3340;Москва и обл.;131 469 524,00;132 131 646,00;-662 122,00;-0,50
47;1;Авангард;2879;Москва и обл.;123 563 034,00;125 082 390,00;-1 519 356,00;-1,21
48;2;Татфондбанк;3058;Татарстан;123 523 617,00;120 045 520,00;3 478 097,00;2,90
49;0;Инвестторгбанк;2763;Москва и обл.;122 051 708,00;120 061 981,00;1 989 727,00;1,66
50;-11;Дойче Банк;3328;Москва и обл.;121 712 658,00;177 623 384,00;-55 910 726,00;-31,48
51;0;Совкомбанк;963;Костромская обл.;120 806 759,00;117 822 646,00;2 984 113,00;2,53
52;1;РосЕвроБанк;3137;Москва и обл.;120 345 180,00;116 454 392,00;3 890 788,00;3,34
53;2;РГС Банк;3073;Москва и обл.;120 309 344,00;114 749 328,00;5 560 016,00;4,85
54;-2;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;118 065 306,00;116 460 253,00;1 605 053,00;1,38
55;2;Ренессанс Кредит;3354;Москва и обл.;112 427 046,00;113 865 859,00;-1 438 813,00;-1,26
56;-2;Русфинанс Банк;1792;Самарская обл.;111 317 991,00;115 301 319,00;-3 983 328,00;-3,45
57;-1;Пробизнесбанк;2412;Москва и обл.;111 023 396,00;114 192 344,00;-3 168 948,00;-2,78
58;0;Банк ДОМ.РФ;2312;Москва и обл.;108 487 463,00;110 269 440,00;-1 781 977,00;-1,62
59;2;Тинькофф Банк;2673;Москва и обл.;104 154 020,00;100 479 568,00;3 674 452,00;3,66
60;-1;Абсолют Банк;2306;Москва и обл.;103 203 653,00;104 956 895,00;-1 753 242,00;-1,67
61;5;ЦентроКредит;121;Москва и обл.;101 944 589,00;88 264 585,00;13 680 004,00;15,50
62;0;Пересвет;2110;Москва и обл.;98 700 236,00;93 734 918,00;4 965 318,00;5,30
63;8;Нота-Банк;2913;Москва и обл.;93 209 538,00;81 136 174,00;12 073 364,00;14,88
64;0;ДельтаКредит;3338;Москва и обл.;92 969 869,00;90 227 716,00;2 742 153,00;3,04
65;2;Запсибкомбанк;918;Тюменская обл.;89 795 205,00;87 600 318,00;2 194 887,00;2,51
66;-3;КИТ Финанс Инвестиционный Банк;1911;Санкт-Петербург и обл.;87 059 212,00;91 893 550,00;-4 834 338,00;-5,26
67;-7;БНП Париба Банк;3407;Москва и обл.;86 205 401,00;103 478 071,00;-17 272 670,00;-16,69
68;0;Балтийский Банк;128;Москва и обл.;85 617 062,00;86 761 091,00;-1 144 029,00;-1,32
69;0;Банк Интеза;2216;Москва и обл.;83 968 849,00;84 145 616,00;-176 767,00;-0,21
70;8;Всероссийский Банк Развития Регионов;3287;Москва и обл.;83 676 303,00;72 650 819,00;11 025 484,00;15,18
71;1;Связной Банк;1961;Москва и обл.;82 774 081,00;80 617 950,00;2 156 131,00;2,67
72;-2;Мастер-Банк;2176;Москва и обл.;82 199 756,00;82 420 559,00;-220 803,00;-0,27
73;0;Союз;2307;Москва и обл.;81 880 983,00;80 238 307,00;1 642 676,00;2,05
74;-9;Национальный Расчетный Депозитарий;3294;Москва и обл.;81 814 408,00;89 254 770,00;-7 440 362,00;-8,34
75;-1;Локо-Банк;2707;Москва и обл.;80 631 123,00;79 338 860,00;1 292 263,00;1,63
76;-1;Центр-инвест;2225;Ростовская обл.;77 882 117,00;77 461 650,00;420 467,00;0,54
77;-1;Юниаструм Банк;2771;Москва и обл.;76 223 960,00;75 981 567,00;242 393,00;0,32
78;1;Банк БФА;3038;Санкт-Петербург и обл.;75 701 137,00;71 130 989,00;4 570 148,00;6,42
79;-2;Роскосмосбанк;2989;Москва и обл.;74 942 632,00;73 581 635,00;1 360 997,00;1,85
80;1;Металлинвестбанк;2440;Москва и обл.;66 396 090,00;64 696 575,00;1 699 515,00;2,63
81;2;СБ Банк (Судостроительный банк);2999;Москва и обл.;66 365 849,00;63 757 544,00;2 608 305,00;4,09
82;-2;Балтинвестбанк;3176;Санкт-Петербург и обл.;66 202 713,00;65 270 888,00;931 825,00;1,43
83;2;Собинбанк;1317;Москва и обл.;66 050 323,00;62 106 680,00;3 943 643,00;6,35
84;-2;Инвестбанк;107;Москва и обл.;65 599 790,00;63 767 526,00;1 832 264,00;2,87
85;1;Первобанк;3461;Самарская обл.;61 743 211,00;62 042 620,00;-299 409,00;-0,48
86;6;Российский Кредит;324;Москва и обл.;61 321 144,00;55 839 824,00;5 481 320,00;9,82
87;3;Рост Банк;2888;Москва и обл.;60 991 056,00;57 690 641,00;3 300 415,00;5,72
88;1;Бинбанк Диджитал;2827;Москва и обл.;59 167 371,00;58 676 909,00;490 462,00;0,84
89;2;Международный Финансовый Клуб;2618;Москва и обл.;58 391 240,00;57 476 422,00;914 818,00;1,59
90;-3;Сургутнефтегазбанк;588;Тюменская обл.;58 130 482,00;59 288 737,00;-1 158 255,00;-1,95
91;-3;Московский Областной Банк;1751;Москва и обл.;57 634 562,00;59 272 742,00;-1 638 180,00;-2,76
92;1;Эйч-Эс-Би-Си Банк (HSBC);3290;Москва и обл.;55 167 399,00;55 550 975,00;-383 576,00;-0,69
93;5;Таврический Банк;2304;Санкт-Петербург и обл.;52 768 632,00;47 731 811,00;5 036 821,00;10,55
94;0;Международный Банк Санкт-Петербурга (МБСП);197;Санкт-Петербург и обл.;51 986 381,00;55 263 327,00;-3 276 946,00;-5,93
95;0;Интеркоммерц Банк;1657;Москва и обл.;51 187 060,00;50 451 619,00;735 441,00;1,46
96;1;Национальный Стандарт;3421;Москва и обл.;50 825 334,00;47 736 714,00;3 088 620,00;6,47
97;-1;Тойота Банк;3470;Москва и обл.;50 625 570,00;50 426 246,00;199 324,00;0,40
98;1;Кубань Кредит;2518;Краснодарский край;48 012 587,00;47 357 992,00;654 595,00;1,38
99;-15;Креди Агриколь КИБ;1680;Санкт-Петербург и обл.;47 384 249,00;63 684 151,00;-16 299 902,00;-25,59
100;6;Меткомбанк (Каменск-Уральский);2443;Свердловская обл.;46 858 857,00;42 365 894,00;4 492 963,00;10,61
101;4;Сетелем Банк;2168;Москва и обл.;46 481 570,00;42 721 518,00;3 760 052,00;8,80
102;-2;Экспресс-Волга;3085;Саратовская обл.;46 088 425,00;46 556 409,00;-467 984,00;-1,01
103;0;Межтопэнергобанк;2956;Москва и обл.;45 430 463,00;44 404 996,00;1 025 467,00;2,31
104;0;Народный Кредит;2401;Москва и обл.;43 771 937,00;43 392 111,00;379 826,00;0,88
105;2;Экспобанк;2998;Москва и обл.;42 950 925,00;40 491 696,00;2 459 229,00;6,07
106;8;Югра;880;Тюменская обл.;42 820 017,00;37 742 626,00;5 077 391,00;13,45
107;4;Смоленский Банк;2029;Смоленская обл.;41 489 849,00;38 955 862,00;2 533 987,00;6,50
108;-7;Экспо Финанс;2594;Москва и обл.;40 957 279,00;46 545 164,00;-5 587 885,00;-12,01
109;-7;Еврофинанс Моснарбанк;2402;Москва и обл.;40 859 813,00;44 481 603,00;-3 621 790,00;-8,14
110;-1;Примсоцбанк;2733;Приморский край;39 864 800,00;39 727 298,00;137 502,00;0,35
111;-3;НС Банк;3124;Москва и обл.;39 701 846,00;40 194 783,00;-492 937,00;-1,23
112;0;Челябинвестбанк;493;Челябинская обл.;39 006 792,00;38 855 490,00;151 302,00;0,39
113;2;Левобережный;1343;Новосибирская обл.;38 217 323,00;37 533 098,00;684 225,00;1,82
114;7;Крайинвестбанк;3360;Краснодарский край;37 721 860,00;36 402 016,00;1 319 844,00;3,63
115;1;Фора-Банк;1885;Москва и обл.;37 393 697,00;37 447 515,00;-53 818,00;-0,14
116;4;Челиндбанк;485;Челябинская обл.;37 313 148,00;36 443 794,00;869 354,00;2,39
117;1;Первый Республиканский Банк;1730;Москва и обл.;37 263 755,00;36 858 290,00;405 465,00;1,10
118;1;Меткомбанк (Череповец);901;Вологодская обл.;37 141 999,00;36 839 117,00;302 882,00;0,82
119;-2;СДМ-Банк;1637;Москва и обл.;36 928 917,00;37 090 984,00;-162 067,00;-0,44
120;6;РосинтерБанк;226;Москва и обл.;36 881 302,00;34 877 143,00;2 004 159,00;5,75
121;-11;Коммерцбанк (Евразия);3333;Москва и обл.;36 066 085,00;39 469 907,00;-3 403 822,00;-8,62
122;2;Кольцо Урала;65;Свердловская обл.;35 889 273,00;35 232 389,00;656 884,00;1,86
123;-10;БФГ-Кредит;3068;Москва и обл.;35 401 407,00;37 815 504,00;-2 414 097,00;-6,38
124;-2;Интерпромбанк;3266;Москва и обл.;35 369 267,00;36 065 588,00;-696 321,00;-1,93
125;2;Банк Кредит Свисс;2494;Москва и обл.;35 340 361,00;34 637 454,00;702 907,00;2,03
126;-3;Банк «Советский»;558;Санкт-Петербург и обл.;35 132 795,00;35 490 516,00;-357 721,00;-1,01
127;-2;Саровбизнесбанк;2048;Нижегородская обл.;34 186 116,00;34 986 700,00;-800 584,00;-2,29
128;0;АМБ Банк;3036;Москва и обл.;33 975 890,00;34 145 081,00;-169 191,00;-0,50
129;0;Русский Международный Банк;3123;Москва и обл.;33 895 187,00;32 738 929,00;1 156 258,00;3,53
130;12;Аверс;415;Татарстан;33 522 782,00;28 846 872,00;4 675 910,00;16,21
131;-1;Банк РСБ 24 (Русславбанк);1073;Москва и обл.;32 972 114,00;32 063 874,00;908 240,00;2,83
132;-1;Росэнергобанк;2211;Москва и обл.;32 788 492,00;31 760 706,00;1 027 786,00;3,24
133;0;Интерпрогрессбанк;600;Москва и обл.;32 567 982,00;31 203 751,00;1 364 231,00;4,37
134;0;Банк Проектного Финансирования;1677;Москва и обл.;31 945 555,00;30 887 969,00;1 057 586,00;3,42
135;2;Газбанк;2316;Самарская обл.;31 544 344,00;30 433 946,00;1 110 398,00;3,65
136;-1;Кедр;1574;Красноярский край;31 353 780,00;30 675 667,00;678 113,00;2,21
137;1;Банк АВБ;23;Самарская обл.;31 067 260,00;30 227 275,00;839 985,00;2,78
138;12;Мосстройэкономбанк (М Банк);948;Москва и обл.;30 939 014,00;26 241 000,00;4 698 014,00;17,90
139;-7;Современный Коммерческий Банк (бывш. ДжиИ Мани Банк);3316;Москва и обл.;30 934 533,00;31 399 640,00;-465 107,00;-1,48
140;4;БыстроБанк;1745;Удмуртия;30 075 041,00;28 682 076,00;1 392 965,00;4,86
141;-2;Дальневосточный Банк;843;Приморский край;29 984 870,00;29 526 872,00;457 998,00;1,55
142;3;Образование;1521;Москва и обл.;29 703 860,00;27 949 890,00;1 753 970,00;6,28
143;-3;Агропромкредит;2880;Москва и обл.;29 480 003,00;29 426 559,00;53 444,00;0,18
144;5;Финпромбанк (ФПБ Банк);2157;Москва и обл.;29 300 008,00;26 605 097,00;2 694 911,00;10,13
145;-2;Севергазбанк;2816;Вологодская обл.;29 066 501,00;28 768 454,00;298 047,00;1,04
146;-5;МБА-Москва;3395;Москва и обл.;28 902 021,00;28 994 275,00;-92 254,00;-0,32
147;5;Западный;2598;Москва и обл.;27 934 808,00;25 770 751,00;2 164 057,00;8,40
148;0;Липецккомбанк;1242;Липецкая обл.;27 632 270,00;27 167 410,00;464 860,00;1,71
149;5;Национальный Резервный Банк;2170;Москва и обл.;26 980 929,00;25 129 197,00;1 851 732,00;7,37
150;-3;Акибанк;2587;Татарстан;26 672 762,00;27 207 700,00;-534 938,00;-1,97
151;13;Кредит Урал Банк;2584;Челябинская обл.;26 261 111,00;23 063 392,00;3 197 719,00;13,86
152;4;ББР Банк;2929;Москва и обл.;26 168 391,00;24 800 014,00;1 368 377,00;5,52
153;0;Русстройбанк;3205;Москва и обл.;26 078 271,00;25 395 777,00;682 494,00;2,69
154;1;Девон-Кредит;1972;Татарстан;25 955 530,00;24 844 220,00;1 111 310,00;4,47
155;-4;М2М Прайвет Банк;1414;Москва и обл.;25 394 165,00;25 935 185,00;-541 020,00;-2,09
156;10;Приморье;3001;Приморский край;24 983 606,00;22 984 514,00;1 999 092,00;8,70
157;1;Солидарность;554;Самарская обл.;24 693 019,00;24 444 529,00;248 490,00;1,02
158;5;Стройкредит;18;Москва и обл.;24 648 430,00;23 364 015,00;1 284 415,00;5,50
159;3;Европейский Трастовый Банк;2968;Москва и обл.;24 595 177,00;23 409 365,00;1 185 812,00;5,07
160;-3;ПЧРБ Банк;3291;Москва и обл.;24 106 975,00;24 567 568,00;-460 593,00;-1,87
161;-2;БМВ Банк;3482;Москва и обл.;24 011 821,00;24 397 674,00;-385 853,00;-1,58
162;-1;Модульбанк;1927;Костромская обл.;23 701 566,00;23 485 236,00;216 330,00;0,92
163;-3;Сумитомо Мицуи Рус Банк;3494;Москва и обл.;23 480 806,00;23 713 451,00;-232 645,00;-0,98
164;-18;Мой Банк;2939;Москва и обл.;23 161 597,00;27 461 787,00;-4 300 190,00;-15,66
165;7;Фольксваген Банк Рус;3500;Москва и обл.;23 097 135,00;21 482 960,00;1 614 175,00;7,51
166;-1;Урал ФД;249;Пермская обл.;22 993 871,00;23 050 193,00;-56 322,00;-0,24
167;1;Военно-Промышленный Банк;3065;Москва и обл.;22 901 397,00;21 941 918,00;959 479,00;4,37
168;-1;Москоммерцбанк;3365;Москва и обл.;22 484 743,00;22 070 445,00;414 298,00;1,88
169;0;Балтика;967;Санкт-Петербург и обл.;22 147 786,00;21 768 661,00;379 125,00;1,74
170;31;Банк Финсервис;3388;Москва и обл.;21 899 688,00;17 272 684,00;4 627 004,00;26,79
171;6;Тимер Банк;1581;Татарстан;21 863 255,00;20 947 751,00;915 504,00;4,37
172;-1;ФИА-Банк;2542;Самарская обл.;21 819 119,00;21 489 177,00;329 942,00;1,54
173;2;Альта-Банк;2269;Москва и обл.;21 774 775,00;21 087 499,00;687 276,00;3,26
174;-1;С банк;2581;Москва и обл.;21 246 504,00;21 194 825,00;51 679,00;0,24
175;-1;Спурт Банк;2207;Татарстан;21 193 613,00;21 155 871,00;37 742,00;0,18
176;2;Огни Москвы;2328;Москва и обл.;20 913 199,00;20 717 757,00;195 442,00;0,94
177;-1;ГПБ-Ипотека;2403;Москва и обл.;20 824 909,00;20 958 020,00;-133 111,00;-0,64
178;5;Транспортный;3174;Москва и обл.;20 781 438,00;19 624 079,00;1 157 359,00;5,90
179;3;Мерседес-Бенц Банк Рус;3473;Москва и обл.;20 774 533,00;19 840 777,00;933 756,00;4,71
180;-1;Пойдем!;2534;Москва и обл.;20 580 675,00;20 464 204,00;116 471,00;0,57
181;0;Интехбанк;2705;Татарстан;20 434 731,00;19 930 984,00;503 747,00;2,53
182;6;Алеф-Банк;2119;Москва и обл.;20 335 902,00;18 753 044,00;1 582 858,00;8,44
183;-3;Легион;3117;Москва и обл.;20 293 504,00;19 942 482,00;351 022,00;1,76
184;15;Почта Банк;650;Москва и обл.;20 252 688,00;17 462 104,00;2 790 584,00;15,98
185;-15;Натиксис Банк;3390;Москва и обл.;19 579 700,00;21 510 909,00;-1 931 209,00;-8,98
186;-1;Фининвест;671;Санкт-Петербург и обл.;19 479 980,00;19 173 785,00;306 195,00;1,60
187;-3;АктивКапитал Банк;3006;Самарская обл.;19 460 418,00;19 178 815,00;281 603,00;1,47
188;-1;Уралтрансбанк;812;Свердловская обл.;19 409 145,00;18 835 404,00;573 741,00;3,05
189;-3;Эллипс Банк;1950;Нижегородская обл.;18 849 479,00;19 151 904,00;-302 425,00;-1,58
190;7;Энерготрансбанк;1307;Калининградская обл.;18 828 502,00;17 633 484,00;1 195 018,00;6,78
191;-2;Норвик Банк;902;Кировская обл.;18 674 755,00;18 581 241,00;93 514,00;0,50
192;8;Петербургский Социальный Коммерческий Банк;2551;Санкт-Петербург и обл.;18 625 689,00;17 442 944,00;1 182 745,00;6,78
193;-3;Ланта-Банк;1920;Москва и обл.;18 619 333,00;18 385 368,00;233 965,00;1,27
194;-3;Алмазэргиэнбанк;2602;Саха (Якутия);18 512 555,00;18 345 710,00;166 845,00;0,91
195;0;Энергобанк;67;Татарстан;18 167 316,00;17 824 073,00;343 243,00;1,93
196;-2;Морской Банк;77;Москва и обл.;17 986 454,00;17 895 478,00;90 976,00;0,51
197;7;БКС Банк;101;Новосибирская обл.;17 874 294,00;16 749 366,00;1 124 928,00;6,72
198;-5;Первомайский;518;Краснодарский край;17 872 543,00;18 013 181,00;-140 638,00;-0,78
199;-1;Инвесткапиталбанк;2377;Башкортостан;17 799 218,00;17 623 916,00;175 302,00;0,99
200;9;Гута-Банк;256;Москва и обл.;17 755 980,00;16 014 016,00;1 741 964,00;10,88
201;-5;Газэнергобанк;3252;Калужская обл.;17 284 394,00;17 709 630,00;-425 236,00;-2,40
202;0;Развитие-Столица;3013;Москва и обл.;17 207 951,00;17 194 595,00;13 356,00;0,08
203;0;НБД-Банк;1966;Нижегородская обл.;17 132 207,00;16 837 683,00;294 524,00;1,75
204;-12;Платежный Центр;3166;Новосибирская обл.;16 976 003,00;18 199 884,00;-1 223 881,00;-6,72
205;2;Курскпромбанк;735;Курская обл.;16 947 772,00;16 313 962,00;633 810,00;3,89
206;0;Форштадт;2208;Оренбургская обл.;16 935 477,00;16 424 633,00;510 844,00;3,11
207;5;Транснациональный Банк;2108;Москва и обл.;16 744 196,00;15 955 640,00;788 556,00;4,94
208;0;АйСиБиСи Банк;3475;Москва и обл.;16 721 023,00;16 072 575,00;648 448,00;4,03
209;2;СтарБанк;548;Москва и обл.;16 636 296,00;15 971 853,00;664 443,00;4,16
210;-5;Тольяттихимбанк;2507;Самарская обл.;16 414 787,00;16 441 955,00;-27 168,00;-0,17
211;-1;МАСТ-Банк;3267;Москва и обл.;16 285 950,00;15 991 691,00;294 259,00;1,84
212;3;Московское Ипотечное Агентство;3344;Москва и обл.;16 189 974,00;15 700 064,00;489 910,00;3,12
