Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Май, 2010, тыс. рублей;Апрель, 2010, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;8 029 353 701,00;7 812 031 575,00;217 322 126,00;2,78
2;0;ВТБ;1000;Санкт-Петербург и обл.;2 449 250 524,00;2 469 858 847,00;-20 608 323,00;-0,83
3;0;Газпромбанк;354;Москва и обл.;1 692 181 751,00;1 680 920 204,00;11 261 547,00;0,67
4;0;Россельхозбанк;3349;Москва и обл.;961 347 084,00;964 387 374,00;-3 040 290,00;-0,32
5;0;БМ-Банк;2748;Москва и обл.;863 204 104,00;853 109 263,00;10 094 841,00;1,18
6;0;ВТБ 24;1623;Москва и обл.;736 895 077,00;728 859 774,00;8 035 303,00;1,10
7;0;Альфа-Банк;1326;Москва и обл.;646 215 960,00;675 828 474,00;-29 612 514,00;-4,38
8;0;ЮниКредит Банк;1;Москва и обл.;538 400 953,00;543 702 382,00;-5 301 429,00;-0,98
9;0;Райффайзенбанк;3292;Москва и обл.;503 387 657,00;498 696 872,00;4 690 785,00;0,94
10;0;Промсвязьбанк;3251;Москва и обл.;468 744 485,00;497 390 219,00;-28 645 734,00;-5,76
11;0;МДМ Банк;2562;Новосибирская обл.;413 180 281,00;417 731 491,00;-4 551 210,00;-1,09
12;1;Банк Уралсиб;30;Москва и обл.;399 311 461,00;392 888 531,00;6 422 930,00;1,63
13;-1;Росбанк;2272;Москва и обл.;396 251 000,00;397 627 765,00;-1 376 765,00;-0,35
14;0;Транскредитбанк;2142;Москва и обл.;348 976 192,00;296 718 160,00;52 258 032,00;17,61
15;0;Банк Открытие;2209;Москва и обл.;291 411 669,00;279 868 838,00;11 542 831,00;4,12
16;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;250 546 935,00;246 675 297,00;3 871 638,00;1,57
17;1;Ак Барс;2590;Татарстан;243 456 004,00;232 274 578,00;11 181 426,00;4,81
18;-1;Ситибанк;2557;Москва и обл.;238 306 884,00;243 316 926,00;-5 010 042,00;-2,06
19;0;ВТБ Северо-Запад;439;Санкт-Петербург и обл.;217 053 075,00;217 374 212,00;-321 137,00;-0,15
20;0;Связь-Банк;1470;Москва и обл.;200 765 942,00;206 255 253,00;-5 489 311,00;-2,66
21;0;Петрокоммерц;1776;Москва и обл.;182 175 400,00;177 495 568,00;4 679 832,00;2,64
22;0;Международный Промышленный Банк;2056;Москва и обл.;170 881 586,00;174 715 477,00;-3 833 891,00;-2,19
23;3;Ханты-Мансийский банк Открытие;1971;Тюменская обл.;159 323 071,00;150 842 489,00;8 480 582,00;5,62
24;1;Банк Зенит;3255;Москва и обл.;159 054 873,00;150 975 994,00;8 078 879,00;5,35
25;-2;Возрождение;1439;Москва и обл.;152 054 029,00;156 386 825,00;-4 332 796,00;-2,77
26;1;Нордеа Банк;3016;Москва и обл.;147 641 533,00;142 630 846,00;5 010 687,00;3,51
27;-3;Русский Стандарт;2289;Москва и обл.;145 322 410,00;153 124 443,00;-7 802 033,00;-5,10
28;1;Траст;3279;Москва и обл.;140 773 118,00;140 484 391,00;288 727,00;0,21
29;1;Банк Сосьете Женераль Восток;2295;Москва и обл.;139 477 273,00;136 553 705,00;2 923 568,00;2,14
30;2;МТС Банк;2268;Москва и обл.;135 480 336,00;130 886 505,00;4 593 831,00;3,51
31;0;Абсолют Банк;2306;Москва и обл.;130 379 554,00;133 901 188,00;-3 521 634,00;-2,63
32;2;КИТ Финанс Инвестиционный Банк;1911;Санкт-Петербург и обл.;124 082 560,00;124 471 372,00;-388 812,00;-0,31
33;-5;Газэнергопромбанк;3284;Москва и обл.;121 867 466,00;141 603 383,00;-19 735 917,00;-13,94
34;-1;Национальный Клиринговый Центр;3466;Москва и обл.;118 347 401,00;129 946 352,00;-11 598 951,00;-8,93
35;0;Хоум Кредит Банк;316;Москва и обл.;108 020 019,00;108 508 452,00;-488 433,00;-0,45
36;0;ЦентроКредит;121;Москва и обл.;104 232 044,00;106 989 786,00;-2 757 742,00;-2,58
37;4;РГС Банк;3073;Москва и обл.;101 512 005,00;92 316 558,00;9 195 447,00;9,96
38;0;ИНГ Банк;2495;Москва и обл.;99 006 402,00;100 285 594,00;-1 279 192,00;-1,28
39;1;Московский Кредитный Банк;1978;Москва и обл.;98 600 053,00;97 956 118,00;643 935,00;0,66
40;-1;ОТП Банк;2766;Москва и обл.;98 441 327,00;98 532 641,00;-91 314,00;-0,09
41;-4;Россия;328;Санкт-Петербург и обл.;96 977 238,00;105 900 449,00;-8 923 211,00;-8,43
42;0;Московский Индустриальный Банк;912;Москва и обл.;94 202 570,00;89 929 112,00;4 273 458,00;4,75
43;0;Русфинанс Банк;1792;Самарская обл.;84 024 273,00;83 685 929,00;338 344,00;0,40
44;0;Бинбанк;323;Москва и обл.;83 696 494,00;83 082 595,00;613 899,00;0,74
45;1;Глобэкс;1942;Москва и обл.;75 645 407,00;78 882 264,00;-3 236 857,00;-4,10
46;1;Союз;2307;Москва и обл.;74 459 884,00;75 128 562,00;-668 678,00;-0,89
47;1;Банк Интеза;2216;Москва и обл.;73 405 601,00;72 426 965,00;978 636,00;1,35
48;-3;Дойче Банк;3328;Москва и обл.;72 359 714,00;80 033 892,00;-7 674 178,00;-9,59
49;1;Юниаструм Банк;2771;Москва и обл.;71 828 880,00;69 044 658,00;2 784 222,00;4,03
50;1;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;69 172 983,00;67 447 692,00;1 725 291,00;2,56
51;2;Кредит Европа Банк;3311;Москва и обл.;68 056 414,00;64 250 167,00;3 806 247,00;5,92
52;-3;Национальный Резервный Банк;2170;Москва и обл.;65 456 729,00;70 346 754,00;-4 890 025,00;-6,95
53;3;Балтийский Банк;128;Москва и обл.;63 550 497,00;62 559 507,00;990 990,00;1,58
54;1;Транскапиталбанк;2210;Москва и обл.;63 300 837,00;62 613 058,00;687 779,00;1,10
55;-1;МСП Банк;3340;Москва и обл.;62 888 311,00;63 126 343,00;-238 032,00;-0,38
56;3;Мастер-Банк;2176;Москва и обл.;61 570 325,00;59 023 253,00;2 547 072,00;4,32
57;1;Восточный Банк;1460;Амурская обл.;61 477 304,00;59 319 274,00;2 158 030,00;3,64
58;3;СКБ-Банк;705;Свердловская обл.;60 340 848,00;57 706 174,00;2 634 674,00;4,57
59;-7;Пробизнесбанк;2412;Москва и обл.;59 776 059,00;66 009 350,00;-6 233 291,00;-9,44
60;2;Экспо Финанс;2594;Москва и обл.;58 316 402,00;56 270 023,00;2 046 379,00;3,64
61;-4;Татфондбанк;3058;Татарстан;57 887 989,00;60 763 459,00;-2 875 470,00;-4,73
62;1;РосЕвроБанк;3137;Москва и обл.;55 538 655,00;53 083 466,00;2 455 189,00;4,63
63;-3;Сведбанк;3064;Москва и обл.;55 070 229,00;57 818 000,00;-2 747 771,00;-4,75
64;0;Петровский;729;Санкт-Петербург и обл.;52 798 554,00;51 563 422,00;1 235 132,00;2,40
65;3;Всероссийский Банк Развития Регионов;3287;Москва и обл.;52 660 975,00;49 445 737,00;3 215 238,00;6,50
66;0;Запсибкомбанк;918;Тюменская обл.;52 489 721,00;50 105 364,00;2 384 357,00;4,76
67;0;Инвестторгбанк;2763;Москва и обл.;52 030 625,00;49 466 612,00;2 564 013,00;5,18
68;2;Собинбанк;1317;Москва и обл.;50 895 871,00;48 516 544,00;2 379 327,00;4,90
69;0;СМП Банк;3368;Москва и обл.;47 168 437,00;49 259 915,00;-2 091 478,00;-4,25
70;4;Внешпромбанк;3261;Москва и обл.;46 828 459,00;43 269 823,00;3 558 636,00;8,22
71;5;Международный Банк Санкт-Петербурга (МБСП);197;Санкт-Петербург и обл.;46 139 698,00;42 820 554,00;3 319 144,00;7,75
72;-1;АМТ Банк;2820;Москва и обл.;45 423 351,00;45 374 385,00;48 966,00;0,11
73;-1;Новикомбанк;2546;Москва и обл.;45 290 371,00;44 523 129,00;767 242,00;1,72
74;-1;Авангард;2879;Москва и обл.;45 002 346,00;44 479 271,00;523 075,00;1,18
75;3;Ренессанс Кредит;3354;Москва и обл.;44 916 892,00;42 101 232,00;2 815 660,00;6,69
76;3;Банк «Открытие»;2179;Москва и обл.;43 064 908,00;40 394 041,00;2 670 867,00;6,61
77;0;Центр-инвест;2225;Ростовская обл.;42 387 734,00;42 320 342,00;67 392,00;0,16
78;2;Роскосмосбанк;2989;Москва и обл.;42 377 849,00;39 986 692,00;2 391 157,00;5,98
79;2;Меткомбанк (Каменск-Уральский);2443;Свердловская обл.;41 920 123,00;38 071 066,00;3 849 057,00;10,11
80;-15;Сургутнефтегазбанк;588;Тюменская обл.;41 547 340,00;50 731 445,00;-9 184 105,00;-18,10
81;2;Балтинвестбанк;3176;Санкт-Петербург и обл.;41 508 706,00;37 108 654,00;4 400 052,00;11,86
82;2;БНП Париба Банк;3407;Москва и обл.;39 058 844,00;36 809 214,00;2 249 630,00;6,11
83;-1;Локо-Банк;2707;Москва и обл.;38 482 524,00;37 892 973,00;589 551,00;1,56
84;1;Совкомбанк;963;Костромская обл.;37 630 876,00;36 785 608,00;845 268,00;2,30
85;-10;Металлинвестбанк;2440;Москва и обл.;37 510 760,00;43 036 814,00;-5 526 054,00;-12,84
86;2;Еврофинанс Моснарбанк;2402;Москва и обл.;36 345 853,00;33 742 984,00;2 602 869,00;7,71
87;3;Первобанк;3461;Самарская обл.;35 705 204,00;33 416 386,00;2 288 818,00;6,85
88;-1;СБ Банк (Судостроительный банк);2999;Москва и обл.;34 553 979,00;33 855 904,00;698 075,00;2,06
89;-3;Пересвет;2110;Москва и обл.;34 359 422,00;34 243 876,00;115 546,00;0,34
90;-1;Инвестбанк;107;Калининградская обл.;32 855 266,00;33 585 509,00;-730 243,00;-2,17
91;1;Креди Агриколь КИБ;1680;Санкт-Петербург и обл.;32 568 358,00;32 312 797,00;255 561,00;0,79
92;1;Коммерцбанк (Евразия);3333;Москва и обл.;29 991 791,00;29 137 745,00;854 046,00;2,93
93;3;Национальный Торговый Банк;3087;Самарская обл.;28 889 844,00;27 904 013,00;985 831,00;3,53
94;1;Уралсиб-Юг Банк;457;Краснодарский край;28 657 985,00;28 880 788,00;-222 803,00;-0,77
95;-1;Экспобанк;2998;Москва и обл.;27 530 502,00;29 034 853,00;-1 504 351,00;-5,18
96;1;Москоммерцбанк;3365;Москва и обл.;27 346 262,00;26 941 139,00;405 123,00;1,50
97;1;Челиндбанк;485;Челябинская обл.;26 037 014,00;25 786 970,00;250 044,00;0,97
98;2;Национальный Стандарт;3421;Москва и обл.;25 969 524,00;24 725 874,00;1 243 650,00;5,03
99;4;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;25 858 756,00;23 777 947,00;2 080 809,00;8,75
100;1;Современный Коммерческий Банк (бывш. ДжиИ Мани Банк);3316;Москва и обл.;25 584 675,00;24 542 790,00;1 041 885,00;4,25
101;3;Банк ДОМ.РФ;2312;Москва и обл.;25 104 548,00;23 772 779,00;1 331 769,00;5,60
102;-11;Эйч-Эс-Би-Си Банк (HSBC);3290;Москва и обл.;24 771 253,00;32 556 296,00;-7 785 043,00;-23,91
103;;Банк Сберегательно-Кредитного Сервиса;3224;Москва и обл.;24 678 221,00;-;-;
104;-2;Дальневосточный Банк;843;Приморский край;24 491 075,00;24 230 714,00;260 361,00;1,07
105;2;Бинбанк Диджитал;2827;Москва и обл.;24 380 978,00;22 806 555,00;1 574 423,00;6,90
106;15;Саровбизнесбанк;2048;Нижегородская обл.;24 374 657,00;18 632 100,00;5 742 557,00;30,82
107;-1;Кедр;1574;Москва и обл.;23 683 202,00;23 427 832,00;255 370,00;1,09
108;-3;Газбанк;2316;Самарская обл.;22 984 710,00;23 625 887,00;-641 177,00;-2,71
109;2;Меткомбанк (Череповец);901;Вологодская обл.;22 798 544,00;20 983 447,00;1 815 097,00;8,65
110;-2;Челябинвестбанк;493;Челябинская обл.;22 636 899,00;22 218 970,00;417 929,00;1,88
111;5;Интерпромбанк;3266;Москва и обл.;21 480 904,00;20 263 968,00;1 216 936,00;6,01
112;-13;Расчетная Палата РТС;3335;Москва и обл.;21 417 548,00;25 220 560,00;-3 803 012,00;-15,08
113;-3;Таврический Банк;2304;Санкт-Петербург и обл.;20 865 468,00;21 744 844,00;-879 376,00;-4,04
114;1;Далькомбанк;84;Хабаровский край;20 729 105,00;20 388 976,00;340 129,00;1,67
115;-6;Акибанк;2587;Татарстан;20 721 097,00;22 174 566,00;-1 453 469,00;-6,55
