Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Август, 2015, тыс. рублей;Июль, 2015, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;21 261 487 348,00;20 759 308 286,00;502 179 062,00;2,42
2;0;ВТБ;1000;Санкт-Петербург и обл.;8 286 085 180,00;7 722 473 003,00;563 612 177,00;7,30
3;0;Газпромбанк;354;Москва и обл.;4 719 186 301,00;4 575 776 889,00;143 409 412,00;3,13
4;1;ВТБ 24;1623;Москва и обл.;2 743 620 141,00;2 702 666 294,00;40 953 847,00;1,52
5;-1;Банк Открытие;2209;Москва и обл.;2 722 533 502,00;2 708 335 259,00;14 198 243,00;0,52
6;0;Россельхозбанк;3349;Москва и обл.;2 318 868 034,00;2 292 961 194,00;25 906 840,00;1,13
7;0;Альфа-Банк;1326;Москва и обл.;2 074 947 658,00;1 985 454 168,00;89 493 490,00;4,51
8;0;БМ-Банк;2748;Москва и обл.;1 861 902 005,00;1 836 320 636,00;25 581 369,00;1,39
9;1;ЮниКредит Банк;1;Москва и обл.;1 279 916 246,00;1 252 141 844,00;27 774 402,00;2,22
10;-1;Национальный Клиринговый Центр;3466;Москва и обл.;1 260 650 241,00;1 430 001 049,00;-169 350 808,00;-11,84
11;0;Промсвязьбанк;3251;Москва и обл.;1 086 073 259,00;1 060 544 229,00;25 529 030,00;2,41
12;0;Райффайзенбанк;3292;Москва и обл.;864 609 263,00;843 909 009,00;20 700 254,00;2,45
13;0;Росбанк;2272;Москва и обл.;863 592 781,00;837 837 331,00;25 755 450,00;3,07
14;0;Московский Кредитный Банк;1978;Москва и обл.;831 587 256,00;795 010 598,00;36 576 658,00;4,60
15;0;Ханты-Мансийский банк Открытие;1971;Москва и обл.;649 499 859,00;656 525 713,00;-7 025 854,00;-1,07
16;0;Бинбанк;323;Москва и обл.;597 993 933,00;581 206 463,00;16 787 470,00;2,89
17;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;548 954 104,00;543 970 293,00;4 983 811,00;0,92
18;0;Россия;328;Санкт-Петербург и обл.;520 912 113,00;536 714 352,00;-15 802 239,00;-2,94
19;0;Ак Барс;2590;Татарстан;494 308 935,00;476 475 476,00;17 833 459,00;3,74
20;0;Русский Стандарт;2289;Москва и обл.;458 098 373,00;458 045 948,00;52 425,00;0,01
21;4;Московский Областной Банк;1751;Москва и обл.;412 887 289,00;336 559 223,00;76 328 066,00;22,68
22;-1;Ситибанк;2557;Москва и обл.;406 683 730,00;386 074 553,00;20 609 177,00;5,34
23;-1;Связь-Банк;1470;Москва и обл.;383 475 552,00;378 651 241,00;4 824 311,00;1,27
24;-1;МДМ Банк;2562;Москва и обл.;359 616 761,00;367 202 372,00;-7 585 611,00;-2,07
25;-1;Банк Уралсиб;30;Москва и обл.;354 471 685,00;362 730 781,00;-8 259 096,00;-2,28
26;0;Траст;3279;Москва и обл.;338 124 070,00;331 479 422,00;6 644 648,00;2,00
27;1;Нордеа Банк;3016;Москва и обл.;334 959 502,00;326 940 510,00;8 018 992,00;2,45
28;-1;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;333 396 955,00;328 807 184,00;4 589 771,00;1,40
29;1;Совкомбанк;963;Костромская обл.;324 610 497,00;302 148 877,00;22 461 620,00;7,43
30;-1;ИНГ Банк;2495;Москва и обл.;294 491 219,00;323 610 073,00;-29 118 854,00;-9,00
31;0;Глобэкс;1942;Москва и обл.;293 017 721,00;293 181 570,00;-163 849,00;-0,06
32;6;СМП Банк;3368;Москва и обл.;283 350 320,00;251 642 980,00;31 707 340,00;12,60
33;2;Югра;880;Ханты-Мансийский АО — Югра;279 233 272,00;267 518 109,00;11 715 163,00;4,38
34;2;Новикомбанк;2546;Москва и обл.;278 100 357,00;262 631 170,00;15 469 187,00;5,89
35;-2;Хоум Кредит Банк;316;Москва и обл.;273 176 892,00;281 817 997,00;-8 641 105,00;-3,07
36;-2;Банк Зенит;3255;Москва и обл.;271 354 499,00;268 659 974,00;2 694 525,00;1,00
37;-5;Рост Банк;2888;Москва и обл.;267 966 335,00;282 910 983,00;-14 944 648,00;-5,28
38;-1;Внешпромбанк;3261;Москва и обл.;265 156 934,00;257 815 605,00;7 341 329,00;2,85
39;2;Абсолют Банк;2306;Москва и обл.;243 294 392,00;229 205 349,00;14 089 043,00;6,15
40;-1;Восточный Банк;1460;Амурская обл.;239 524 824,00;241 868 425,00;-2 343 601,00;-0,97
41;-1;Возрождение;1439;Москва и обл.;228 722 547,00;232 484 249,00;-3 761 702,00;-1,62
42;0;Банк ДОМ.РФ;2312;Москва и обл.;210 884 003,00;215 261 903,00;-4 377 900,00;-2,03
43;0;Московский Индустриальный Банк;912;Москва и обл.;210 575 085,00;212 917 853,00;-2 342 768,00;-1,10
44;0;Татфондбанк;3058;Татарстан;191 132 919,00;184 153 277,00;6 979 642,00;3,79
45;1;Транскапиталбанк;2210;Москва и обл.;174 797 295,00;171 974 349,00;2 822 946,00;1,64
46;2;МТС Банк;2268;Москва и обл.;168 158 254,00;164 716 748,00;3 441 506,00;2,09
47;0;ОТП Банк;2766;Москва и обл.;167 195 938,00;166 432 138,00;763 800,00;0,46
48;2;Кредит Европа Банк;3311;Москва и обл.;159 165 826,00;157 172 715,00;1 993 111,00;1,27
49;2;Тинькофф Банк;2673;Москва и обл.;156 728 978,00;150 042 711,00;6 686 267,00;4,46
50;2;РосЕвроБанк;3137;Москва и обл.;151 802 940,00;149 874 486,00;1 928 454,00;1,29
51;5;Пересвет;2110;Москва и обл.;145 719 991,00;134 224 636,00;11 495 355,00;8,56
52;6;Пробизнесбанк;2412;Москва и обл.;144 904 903,00;133 675 108,00;11 229 795,00;8,40
53;1;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;140 425 707,00;139 156 097,00;1 269 610,00;0,91
54;3;ДельтаКредит;3338;Москва и обл.;140 165 845,00;133 910 910,00;6 254 935,00;4,67
55;-2;МСП Банк;3340;Москва и обл.;139 957 760,00;140 379 401,00;-421 641,00;-0,30
56;-1;Ренессанс Кредит;3354;Москва и обл.;139 696 295,00;137 386 077,00;2 310 218,00;1,68
57;2;Авангард;2879;Москва и обл.;138 306 505,00;131 768 873,00;6 537 632,00;4,96
58;2;РГС Банк;3073;Москва и обл.;129 204 436,00;129 488 844,00;-284 408,00;-0,22
59;-10;Национальный Расчетный Депозитарий;3294;Москва и обл.;128 903 023,00;160 485 061,00;-31 582 038,00;-19,68
60;2;СКБ-Банк;705;Свердловская обл.;125 917 097,00;119 470 905,00;6 446 192,00;5,40
