Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Декабрь, 2011, тыс. рублей;Ноябрь, 2011, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;10 414 994 686,00;10 027 617 333,00;387 377 353,00;3,86
2;0;ВТБ;1000;Санкт-Петербург и обл.;3 980 335 738,00;3 906 701 600,00;73 634 138,00;1,88
3;0;Газпромбанк;354;Москва и обл.;2 359 784 575,00;1 989 762 591,00;370 021 984,00;18,60
4;0;Россельхозбанк;3349;Москва и обл.;1 385 434 005,00;1 393 021 858,00;-7 587 853,00;-0,54
5;0;ВТБ 24;1623;Москва и обл.;1 249 690 887,00;1 208 823 628,00;40 867 259,00;3,38
6;0;БМ-Банк;2748;Москва и обл.;1 222 865 312,00;1 136 763 319,00;86 101 993,00;7,57
7;0;Альфа-Банк;1326;Москва и обл.;964 457 258,00;965 344 469,00;-887 211,00;-0,09
8;0;ЮниКредит Банк;1;Москва и обл.;844 319 437,00;848 862 439,00;-4 543 002,00;-0,54
9;0;Росбанк;2272;Москва и обл.;648 554 614,00;653 656 532,00;-5 101 918,00;-0,78
10;0;Райффайзенбанк;3292;Москва и обл.;611 390 089,00;609 409 098,00;1 980 991,00;0,33
11;0;Промсвязьбанк;3251;Москва и обл.;555 508 092,00;544 076 037,00;11 432 055,00;2,10
12;0;Банк Открытие;2209;Москва и обл.;482 388 866,00;483 190 524,00;-801 658,00;-0,17
13;0;Транскредитбанк;2142;Москва и обл.;477 166 819,00;460 329 431,00;16 837 388,00;3,66
14;0;Банк Уралсиб;30;Москва и обл.;450 314 106,00;436 209 290,00;14 104 816,00;3,23
15;0;МДМ Банк;2562;Новосибирская обл.;380 696 204,00;376 572 730,00;4 123 474,00;1,10
16;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;330 922 241,00;334 502 447,00;-3 580 206,00;-1,07
17;1;Ак Барс;2590;Татарстан;297 806 733,00;289 506 020,00;8 300 713,00;2,87
18;-1;Россия;328;Санкт-Петербург и обл.;292 750 873,00;289 583 464,00;3 167 409,00;1,09
19;0;Ситибанк;2557;Москва и обл.;284 517 825,00;280 869 429,00;3 648 396,00;1,30
20;0;Нордеа Банк;3016;Москва и обл.;253 436 909,00;246 331 316,00;7 105 593,00;2,88
21;6;ИНГ Банк;2495;Москва и обл.;230 226 362,00;179 254 370,00;50 971 992,00;28,44
22;-1;Московский Кредитный Банк;1978;Москва и обл.;228 051 882,00;223 186 405,00;4 865 477,00;2,18
23;1;Банк Зенит;3255;Москва и обл.;219 457 967,00;212 508 918,00;6 949 049,00;3,27
24;-2;Ханты-Мансийский банк Открытие;1971;Тюменская обл.;217 083 159,00;212 955 047,00;4 128 112,00;1,94
25;-2;Петрокоммерц;1776;Москва и обл.;214 253 293,00;212 699 136,00;1 554 157,00;0,73
26;-1;Связь-Банк;1470;Москва и обл.;210 291 267,00;204 479 391,00;5 811 876,00;2,84
27;-1;Возрождение;1439;Москва и обл.;187 772 455,00;185 086 973,00;2 685 482,00;1,45
28;1;Русский Стандарт;2289;Москва и обл.;178 085 397,00;168 154 065,00;9 931 332,00;5,91
29;-1;Банк «Открытие»;2179;Москва и обл.;173 553 413,00;168 771 070,00;4 782 343,00;2,83
30;1;Траст;3279;Москва и обл.;166 718 413,00;164 145 491,00;2 572 922,00;1,57
31;-1;Глобэкс;1942;Москва и обл.;163 423 372,00;164 431 455,00;-1 008 083,00;-0,61
32;0;Хоум Кредит Банк;316;Москва и обл.;153 330 348,00;140 708 235,00;12 622 113,00;8,97
33;0;МТС Банк;2268;Москва и обл.;142 744 674,00;130 729 482,00;12 015 192,00;9,19
34;3;Национальный Расчетный Депозитарий;3294;Москва и обл.;141 205 447,00;117 544 382,00;23 661 065,00;20,13
35;0;Восточный Банк;1460;Амурская обл.;130 306 102,00;127 636 668,00;2 669 434,00;2,09
36;0;Дойче Банк;3328;Москва и обл.;129 964 744,00;120 330 739,00;9 634 005,00;8,01
37;-3;Московский Индустриальный Банк;912;Москва и обл.;128 639 609,00;130 704 195,00;-2 064 586,00;-1,58
38;1;ОТП Банк;2766;Москва и обл.;122 014 462,00;116 698 279,00;5 316 183,00;4,56
39;1;Абсолют Банк;2306;Москва и обл.;118 468 517,00;113 326 453,00;5 142 064,00;4,54
40;-2;Бинбанк;323;Москва и обл.;116 042 846,00;117 497 615,00;-1 454 769,00;-1,24
41;0;Национальный Клиринговый Центр;3466;Москва и обл.;114 248 177,00;112 294 933,00;1 953 244,00;1,74
42;1;Транскапиталбанк;2210;Москва и обл.;108 439 036,00;103 239 218,00;5 199 818,00;5,04
