Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Июль, 2020, тыс. рублей;Июнь, 2020, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;31 415 098 095,00;30 759 269 658,00;655 828 437,00;2,13
2;0;ВТБ;1000;Санкт-Петербург и обл.;15 269 639 853,00;15 029 152 247,00;240 487 606,00;1,60
3;0;Газпромбанк;354;Москва и обл.;7 031 457 276,00;7 092 861 002,00;-61 403 726,00;-0,87
4;0;Национальный Клиринговый Центр;3466;Москва и обл.;4 487 642 224,00;4 279 004 841,00;208 637 383,00;4,88
5;0;Альфа-Банк;1326;Москва и обл.;3 937 290 975,00;3 908 179 939,00;29 111 036,00;0,74
6;0;Россельхозбанк;3349;Москва и обл.;3 619 545 036,00;3 506 105 175,00;113 439 861,00;3,24
7;1;Московский Кредитный Банк;1978;Москва и обл.;2 841 108 461,00;2 710 108 949,00;130 999 512,00;4,83
8;-1;Банк Открытие;2209;Москва и обл.;2 834 457 224,00;2 733 425 636,00;101 031 588,00;3,70
9;0;Совкомбанк;963;Костромская обл.;1 574 405 911,00;1 504 044 466,00;70 361 445,00;4,68
10;0;ЮниКредит Банк;1;Москва и обл.;1 447 538 742,00;1 473 088 658,00;-25 549 916,00;-1,73
11;0;Росбанк;2272;Москва и обл.;1 392 055 244,00;1 355 292 312,00;36 762 932,00;2,71
12;1;Райффайзенбанк;3292;Москва и обл.;1 328 782 624,00;1 302 470 979,00;26 311 645,00;2,02
13;-1;Траст;3279;Москва и обл.;1 296 257 848,00;1 307 595 844,00;-11 337 996,00;-0,87
14;0;Россия;328;Санкт-Петербург и обл.;1 077 139 159,00;1 081 891 658,00;-4 752 499,00;-0,44
15;0;Всероссийский Банк Развития Регионов;3287;Москва и обл.;820 701 631,00;791 289 461,00;29 412 170,00;3,72
16;1;Тинькофф Банк;2673;Москва и обл.;710 608 163,00;692 503 246,00;18 104 917,00;2,61
17;-1;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;709 066 567,00;695 870 216,00;13 196 351,00;1,90
18;3;БМ-Банк;2748;Москва и обл.;670 040 063,00;512 871 803,00;157 168 260,00;30,64
19;-1;Ак Барс;2590;Татарстан;630 984 053,00;630 480 875,00;503 178,00;0,08
20;-1;Ситибанк;2557;Москва и обл.;620 062 723,00;580 468 556,00;39 594 167,00;6,82
21;-1;Новикомбанк;2546;Москва и обл.;537 671 079,00;545 644 459,00;-7 973 380,00;-1,46
22;1;Банк Уралсиб;30;Москва и обл.;521 639 281,00;511 714 871,00;9 924 410,00;1,94
23;-1;Почта Банк;650;Москва и обл.;517 152 553,00;511 788 106,00;5 364 447,00;1,05
24;0;СМП Банк;3368;Москва и обл.;484 851 977,00;507 838 419,00;-22 986 442,00;-4,53
25;0;Московский Индустриальный Банк;912;Москва и обл.;422 763 903,00;427 967 163,00;-5 203 260,00;-1,22
26;1;Банк ДОМ.РФ;2312;Москва и обл.;396 157 419,00;386 434 613,00;9 722 806,00;2,52
27;-1;Московский Областной Банк;1751;Москва и обл.;395 753 975,00;412 080 401,00;-16 326 426,00;-3,96
28;0;Пересвет;2110;Москва и обл.;336 370 237,00;335 473 337,00;896 900,00;0,27
29;0;Русский Стандарт;2289;Москва и обл.;327 412 353,00;325 940 687,00;1 471 666,00;0,45
30;0;Сургутнефтегазбанк;588;Ханты-Мансийский АО — Югра;289 832 125,00;293 070 098,00;-3 237 973,00;-1,10
31;0;Возрождение;1439;Москва и обл.;276 317 249,00;290 633 707,00;-14 316 458,00;-4,93
32;0;Абсолют Банк;2306;Москва и обл.;274 742 082,00;275 259 623,00;-517 541,00;-0,19
33;1;РНКБ;1354;Симферополь;264 257 497,00;260 455 133,00;3 802 364,00;1,46
34;-1;Хоум Кредит Банк;316;Москва и обл.;259 344 959,00;262 827 620,00;-3 482 661,00;-1,33
35;2;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;247 331 972,00;244 292 047,00;3 039 925,00;1,24
36;0;Восточный Банк;1460;Амурская обл.;243 027 773,00;246 060 073,00;-3 032 300,00;-1,23
37;3;МТС Банк;2268;Москва и обл.;234 875 523,00;210 216 577,00;24 658 946,00;11,73
38;0;Банк Зенит;3255;Москва и обл.;230 312 450,00;232 765 734,00;-2 453 284,00;-1,05
39;0;Национальный Расчетный Депозитарий;3294;Москва и обл.;228 048 705,00;217 715 212,00;10 333 493,00;4,75
40;1;Инвестторгбанк;2763;Москва и обл.;201 063 993,00;200 125 677,00;938 316,00;0,47
41;-6;ИНГ Банк;2495;Москва и обл.;200 462 851,00;249 839 354,00;-49 376 503,00;-19,76
42;0;Транскапиталбанк;2210;Москва и обл.;174 318 354,00;171 832 654,00;2 485 700,00;1,45
43;3;Росэксимбанк;2790;Москва и обл.;173 923 774,00;161 186 496,00;12 737 278,00;7,90
44;1;Ренессанс Кредит;3354;Москва и обл.;164 244 160,00;165 742 033,00;-1 497 873,00;-0,90
45;-1;ОТП Банк;2766;Москва и обл.;160 700 607,00;167 679 440,00;-6 978 833,00;-4,16
46;1;Сетелем Банк;2168;Москва и обл.;152 802 826,00;151 989 196,00;813 630,00;0,54
