Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Август, 2018, тыс. рублей;Июль, 2018, тыс. рублей;Изменение, тыс. рублей;Изменение, %
73;-2;Аверс;415;Татарстан;94 540 960,00;95 876 495,00;-1 335 535,00;-1,39
74;0;ВУЗ-Банк;1557;Свердловская обл.;94 529 619,00;92 073 106,00;2 456 513,00;2,67
75;-2;Балтинвестбанк;3176;Санкт-Петербург и обл.;89 847 657,00;94 431 655,00;-4 583 998,00;-4,85
76;0;РН Банк;170;Москва и обл.;89 250 459,00;86 842 917,00;2 407 542,00;2,77
77;4;Эйч-Эс-Би-Си Банк (HSBC);3290;Москва и обл.;79 112 022,00;69 118 511,00;9 993 511,00;14,46
78;0;Сумитомо Мицуи Рус Банк;3494;Москва и обл.;74 178 906,00;75 024 180,00;-845 274,00;-1,13
79;13;Банк Интеза;2216;Москва и обл.;70 802 186,00;56 486 845,00;14 315 341,00;25,34
80;-1;Мидзухо Банк;3337;Москва и обл.;69 927 498,00;73 614 005,00;-3 686 507,00;-5,01
81;84;Банк Кредит Свисс;2494;Москва и обл.;66 726 738,00;19 148 919,00;47 577 819,00;248,46
82;2;Меткомбанк (Каменск-Уральский);2443;Свердловская обл.;65 806 894,00;62 701 441,00;3 105 453,00;4,95
83;-1;Экспобанк;2998;Москва и обл.;65 360 068,00;66 968 229,00;-1 608 161,00;-2,40
84;-4;Дойче Банк;3328;Москва и обл.;65 239 956,00;73 210 083,00;-7 970 127,00;-10,89
85;72;Аресбанк;2914;Москва и обл.;63 403 231,00;20 137 167,00;43 266 064,00;214,86
86;0;Тойота Банк;3470;Москва и обл.;62 479 838,00;60 463 274,00;2 016 564,00;3,34
87;-2;Тимер Банк;1581;Татарстан;60 810 738,00;60 949 885,00;-139 147,00;-0,23
88;-1;Эм-Ю-Эф-Джи Банк (Евразия);3465;Москва и обл.;60 413 008,00;58 939 734,00;1 473 274,00;2,50
89;-6;БКС Банк;101;Новосибирская обл.;60 122 333,00;62 760 162,00;-2 637 829,00;-4,20
90;-2;СДМ-Банк;1637;Москва и обл.;59 428 219,00;58 437 847,00;990 372,00;1,69
91;-1;Балтийский Банк;128;Санкт-Петербург и обл.;57 842 421,00;57 655 734,00;186 687,00;0,32
92;-1;Крайинвестбанк;3360;Краснодарский край;57 503 181,00;56 952 354,00;550 827,00;0,97
93;0;Примсоцбанк;2733;Приморский край;57 143 708,00;56 255 331,00;888 377,00;1,58
94;6;Коммерцбанк (Евразия);3333;Москва и обл.;56 901 754,00;52 686 369,00;4 215 385,00;8,00
95;0;ББР Банк;2929;Москва и обл.;55 352 368,00;55 362 789,00;-10 421,00;-0,02
96;-2;Международный Финансовый Клуб;2618;Москва и обл.;55 109 257,00;55 458 609,00;-349 352,00;-0,63
97;0;Левобережный;1343;Новосибирская обл.;54 916 665,00;54 825 106,00;91 559,00;0,17
98;-9;АйСиБиСи Банк;3475;Москва и обл.;54 472 489,00;57 726 742,00;-3 254 253,00;-5,64
99;5;Еврофинанс Моснарбанк;2402;Москва и обл.;53 931 961,00;51 079 286,00;2 852 675,00;5,58
100;5;БНП Париба Банк;3407;Москва и обл.;53 794 615,00;50 679 745,00;3 114 870,00;6,15
101;-5;Севергазбанк;2816;Вологодская обл.;52 757 329,00;55 218 483,00;-2 461 154,00;-4,46
102;-1;Челябинвестбанк;493;Челябинская обл.;52 591 560,00;52 216 202,00;375 358,00;0,72
103;-4;Социнвестбанк;1132;Башкортостан;52 155 702,00;52 709 840,00;-554 138,00;-1,05
104;-1;Челиндбанк;485;Челябинская обл.;51 940 487,00;51 528 983,00;411 504,00;0,80
105;1;СЭБ Банк;3235;Санкт-Петербург и обл.;51 606 233,00;48 579 306,00;3 026 927,00;6,23
106;-8;Фора-Банк;1885;Москва и обл.;51 077 845,00;53 506 650,00;-2 428 805,00;-4,54
107;4;Мир Бизнес Банк;3396;Москва и обл.;49 840 172,00;45 240 729,00;4 599 443,00;10,17
108;8;Креди Агриколь КИБ;1680;Санкт-Петербург и обл.;49 642 512,00;41 071 348,00;8 571 164,00;20,87
109;-1;Генбанк;2490;Симферополь;49 569 478,00;47 446 845,00;2 122 633,00;4,47
110;-3;Газэнергобанк;3252;Калужская обл.;47 965 231,00;47 831 693,00;133 538,00;0,28
111;-9;Данске Банк;3307;Санкт-Петербург и обл.;46 713 552,00;52 179 879,00;-5 466 327,00;-10,48
112;2;Энерготрансбанк;1307;Калининградская обл.;45 866 057,00;43 323 912,00;2 542 145,00;5,87
113;-3;Саровбизнесбанк;2048;Нижегородская обл.;45 013 279,00;45 761 630,00;-748 351,00;-1,64
114;-2;Объединенный Капитал;2611;Санкт-Петербург и обл.;41 603 530,00;44 607 865,00;-3 004 335,00;-6,73
115;0;Интерпрогрессбанк;600;Москва и обл.;41 339 371,00;41 603 444,00;-264 073,00;-0,63
116;1;Международный Банк Санкт-Петербурга (МБСП);197;Санкт-Петербург и обл.;40 763 148,00;40 458 829,00;304 319,00;0,75
117;2;Финанс Бизнес Банк;520;Москва и обл.;40 525 780,00;39 280 038,00;1 245 742,00;3,17
118;5;Дж. П. Морган Банк;2629;Москва и обл.;39 958 176,00;35 263 632,00;4 694 544,00;13,31
119;1;БыстроБанк;1745;Удмуртия;38 470 167,00;38 565 178,00;-95 011,00;-0,25
120;1;Кольцо Урала;65;Свердловская обл.;37 772 830,00;37 374 314,00;398 516,00;1,07
121;-3;Платежный Центр;3166;Новосибирская обл.;37 470 949,00;40 055 450,00;-2 584 501,00;-6,45
122;12;Алмазэргиэнбанк;2602;Саха (Якутия);36 398 880,00;28 340 448,00;8 058 432,00;28,43
123;-10;Бэнк оф Чайна;2309;Москва и обл.;35 854 943,00;44 050 936,00;-8 195 993,00;-18,61
124;-2;Дальневосточный Банк;843;Приморский край;35 646 178,00;35 433 004,00;213 174,00;0,60
125;0;Солидарность;554;Самарская обл.;35 109 319,00;33 987 360,00;1 121 959,00;3,30
126;0;БМВ Банк;3482;Москва и обл.;35 046 515,00;33 784 064,00;1 262 451,00;3,74
127;-3;Фольксваген Банк Рус;3500;Москва и обл.;34 882 723,00;34 758 781,00;123 942,00;0,36
128;0;Квантмобайл Банк;1189;Москва и обл.;33 133 013,00;32 391 299,00;741 714,00;2,29
129;0;Национальный Стандарт;3421;Москва и обл.;32 488 598,00;32 239 192,00;249 406,00;0,77
130;-3;Кредит Урал Банк;2584;Челябинская обл.;32 032 929,00;32 609 360,00;-576 431,00;-1,77
131;-1;НС Банк;3124;Москва и обл.;31 981 862,00;31 987 436,00;-5 574,00;-0,02
132;-1;Приморье;3001;Приморский край;31 417 598,00;31 157 420,00;260 178,00;0,84
133;28;ЦМРБанк;3531;Москва и обл.;30 133 344,00;19 745 030,00;10 388 314,00;52,61
134;-1;Интерпромбанк;3266;Москва и обл.;29 170 763,00;28 528 190,00;642 573,00;2,25
135;0;Ланта-Банк;1920;Москва и обл.;28 825 813,00;28 316 826,00;508 987,00;1,80
136;-4;Девон-Кредит;1972;Татарстан;28 635 484,00;29 501 521,00;-866 037,00;-2,94
137;5;Мерседес-Бенц Банк Рус;3473;Москва и обл.;26 024 810,00;24 953 430,00;1 071 380,00;4,29
138;-2;Бинбанк Диджитал;2827;Москва и обл.;25 568 453,00;25 593 471,00;-25 018,00;-0,10
139;-1;Киви Банк;2241;Москва и обл.;25 340 665,00;25 431 368,00;-90 703,00;-0,36
140;-3;Татсоцбанк;480;Татарстан;25 115 476,00;25 562 217,00;-446 741,00;-1,75
141;2;Курскпромбанк;735;Курская обл.;24 948 373,00;24 762 123,00;186 250,00;0,75
142;-1;Урал ФД;249;Пермская обл.;24 356 163,00;25 168 205,00;-812 042,00;-3,23
143;3;Акибанк;2587;Татарстан;24 240 142,00;23 763 302,00;476 840,00;2,01
144;3;Хлынов;254;Кировская обл.;23 504 093,00;23 585 567,00;-81 474,00;-0,35
145;-1;Петербургский Социальный Коммерческий Банк;2551;Санкт-Петербург и обл.;23 421 623,00;24 449 838,00;-1 028 215,00;-4,21
146;5;Экономбанк;1319;Саратовская обл.;22 989 766,00;22 685 117,00;304 649,00;1,34
147;1;Энергобанк;67;Татарстан;22 954 588,00;23 562 627,00;-608 039,00;-2,58
148;-3;Чайна Констракшн;3515;Москва и обл.;22 473 993,00;24 020 456,00;-1 546 463,00;-6,44
149;3;Агропромкредит;2880;Москва и обл.;22 433 006,00;22 425 007,00;7 999,00;0,04
150;0;Собинбанк;1317;Москва и обл.;22 421 176,00;22 886 943,00;-465 767,00;-2,04
151;-2;Инбанк;1829;Москва и обл.;22 373 713,00;23 188 370,00;-814 657,00;-3,51
152;1;Роскомснаббанк (бывш. Башкомснаббанк);1398;Башкортостан;21 441 161,00;21 251 433,00;189 728,00;0,89
153;-13;Москоммерцбанк;3365;Москва и обл.;21 312 358,00;25 173 208,00;-3 860 850,00;-15,34
154;9;Тольяттихимбанк;2507;Самарская обл.;20 954 770,00;19 337 474,00;1 617 296,00;8,36
155;9;Держава;2738;Москва и обл.;20 591 279,00;19 184 748,00;1 406 531,00;7,33
156;3;Александровский;53;Санкт-Петербург и обл.;20 516 852,00;20 068 814,00;448 038,00;2,23
157;-1;НБД-Банк;1966;Нижегородская обл.;20 512 075,00;20 489 407,00;22 668,00;0,11
158;-3;Московское Ипотечное Агентство;3344;Москва и обл.;20 083 499,00;20 631 380,00;-547 881,00;-2,66
159;-5;Липецккомбанк;1242;Липецкая обл.;20 010 770,00;21 088 318,00;-1 077 548,00;-5,11
160;-2;Кошелев-Банк;3300;Самарская обл.;19 938 442,00;20 132 743,00;-194 301,00;-0,97
161;-1;Денизбанк Москва;3330;Москва и обл.;19 146 918,00;19 939 055,00;-792 137,00;-3,97
162;7;Банк Акцепт;567;Новосибирская обл.;18 987 494,00;18 574 548,00;412 946,00;2,22
163;-1;Джей энд Ти Банк;3061;Москва и обл.;18 811 457,00;19 593 893,00;-782 436,00;-3,99
164;7;МС Банк Рус;2789;Москва и обл.;18 752 776,00;16 995 871,00;1 756 905,00;10,34
165;5;Пойдем!;2534;Москва и обл.;18 173 400,00;18 103 617,00;69 783,00;0,39
166;0;Алеф-Банк;2119;Москва и обл.;17 910 424,00;18 844 103,00;-933 679,00;-4,95
167;1;Натиксис Банк;3390;Москва и обл.;17 528 521,00;18 635 334,00;-1 106 813,00;-5,94
168;15;НК Банк;2755;Москва и обл.;17 012 777,00;14 610 710,00;2 402 067,00;16,44
169;6;Ури Банк;3479;Москва и обл.;16 827 517,00;15 542 467,00;1 285 050,00;8,27
170;2;Прио-Внешторгбанк;212;Рязанская обл.;16 602 135,00;16 592 697,00;9 438,00;0,06
171;2;Гарант-Инвест;2576;Москва и обл.;15 998 050,00;16 407 852,00;-409 802,00;-2,50
172;4;Нацинвестпромбанк;3077;Москва и обл.;15 695 678,00;15 461 764,00;233 914,00;1,51
173;1;Модульбанк;1927;Костромская обл.;15 669 397,00;16 090 439,00;-421 042,00;-2,62
174;10;РосДорБанк;1573;Москва и обл.;15 111 188,00;14 483 216,00;627 972,00;4,34
175;2;Форштадт;2208;Оренбургская обл.;15 098 266,00;15 024 466,00;73 800,00;0,49
176;3;Норвик Банк;902;Кировская обл.;15 069 689,00;14 730 763,00;338 926,00;2,30
177;4;Развитие-Столица;3013;Москва и обл.;14 880 629,00;14 637 733,00;242 896,00;1,66
178;0;Национальный Резервный Банк;2170;Москва и обл.;14 808 913,00;14 821 661,00;-12 748,00;-0,09
179;7;Банк Казани;708;Татарстан;14 804 138,00;14 273 301,00;530 837,00;3,72
180;0;Национальная Факторинговая Компания;3437;Москва и обл.;14 667 038,00;14 650 617,00;16 421,00;0,11
181;6;Российская Финансовая Корпорация;3099;Москва и обл.;14 076 350,00;13 988 281,00;88 069,00;0,63
182;7;Морской Банк;77;Москва и обл.;13 836 622,00;13 682 187,00;154 435,00;1,13
183;2;Ишбанк;2867;Москва и обл.;13 771 138,00;14 291 951,00;-520 813,00;-3,64
184;4;Ассоциация;732;Нижегородская обл.;13 656 240,00;13 745 395,00;-89 155,00;-0,65
185;5;Консервативный Коммерческий Банк;1087;Астраханская обл.;13 595 643,00;13 452 662,00;142 981,00;1,06
186;6;Нижневолжский Коммерческий Банк;931;Саратовская обл.;13 153 840,00;13 197 989,00;-44 149,00;-0,33
187;-5;Руснарбанк;3403;Москва и обл.;13 148 100,00;14 615 636,00;-1 467 536,00;-10,04
188;3;КС Банк;1752;Мордовия;13 104 338,00;13 330 095,00;-225 757,00;-1,69
189;4;МБА-Москва;3395;Москва и обл.;12 805 251,00;13 059 326,00;-254 075,00;-1,95
190;5;Русский Ипотечный Банк;1968;Москва и обл.;12 774 111,00;12 867 556,00;-93 445,00;-0,73
191;7;Уралтрансбанк;812;Свердловская обл.;12 502 711,00;12 568 351,00;-65 640,00;-0,52
192;2;НИКО-Банк;702;Оренбургская обл.;12 404 593,00;12 914 660,00;-510 067,00;-3,95
193;3;Современный Коммерческий Инновационный Банк;3329;Костромская обл.;12 330 714,00;12 864 021,00;-533 307,00;-4,15
194;12;Реалист Банк;1067;Иркутская обл.;11 857 082,00;11 029 518,00;827 564,00;7,50
195;6;ТЭМБР-Банк;2764;Москва и обл.;11 816 519,00;11 788 563,00;27 956,00;0,24
196;3;Первомайский;518;Краснодарский край;11 758 142,00;12 100 944,00;-342 802,00;-2,83
197;3;Банк Оренбург;3269;Оренбургская обл.;11 633 620,00;11 803 558,00;-169 938,00;-1,44
198;5;Агросоюз;1459;Москва и обл.;11 624 384,00;11 357 129,00;267 255,00;2,35
199;8;Юг-Инвестбанк;2772;Краснодарский край;11 077 723,00;10 842 429,00;235 294,00;2,17
200;-3;КЭБ ЭйчЭнБи Банк;3525;Москва и обл.;10 994 655,00;12 748 636,00;-1 753 981,00;-13,76
201;3;Датабанк;646;Удмуртия;10 958 001,00;11 328 295,00;-370 294,00;-3,27
202;0;Тройка-Д Банк;3431;Москва и обл.;10 842 225,00;11 492 056,00;-649 831,00;-5,65
203;2;Солид Банк;1329;Приморский край;10 796 694,00;11 113 987,00;-317 293,00;-2,85
204;4;Снежинский;1376;Челябинская обл.;10 707 802,00;10 544 481,00;163 321,00;1,55
205;14;Промтрансбанк;2638;Башкортостан;10 634 698,00;8 781 367,00;1 853 331,00;21,11
206;5;Банк Раунд;2506;Москва и обл.;10 111 063,00;10 174 840,00;-63 777,00;-0,63
207;2;Екатеринбург;3161;Свердловская обл.;10 010 405,00;10 515 347,00;-504 942,00;-4,80
208;2;Русьуниверсалбанк;3293;Москва и обл.;10 008 654,00;10 230 756,00;-222 102,00;-2,17
209;11;Углеметбанк;2997;Челябинская обл.;9 975 451,00;8 758 549,00;1 216 902,00;13,89
210;3;Банк Жилищного Финансирования;3138;Москва и обл.;9 773 414,00;9 625 111,00;148 303,00;1,54
211;-44;Морган Стэнли Банк;3456;Москва и обл.;9 701 122,00;18 699 456,00;-8 998 334,00;-48,12
212;3;РЕСО Кредит;3450;Москва и обл.;9 462 244,00;9 111 998,00;350 246,00;3,84
213;-1;ЮMoney;3510;Россия;8 841 914,00;9 673 612,00;-831 698,00;-8,60
214;0;Автоторгбанк;2776;Москва и обл.;8 821 157,00;9 533 369,00;-712 212,00;-7,47
215;2;Ю Би Эс Банк;3463;Москва и обл.;8 763 668,00;8 808 201,00;-44 533,00;-0,51
216;8;ФорБанк;2063;Москва и обл.;8 406 492,00;8 283 224,00;123 268,00;1,49
217;6;Кранбанк;2271;Ивановская обл.;8 218 251,00;8 337 864,00;-119 613,00;-1,43
218;7;Кузнецкбизнесбанк;1158;Кемеровская обл.;8 202 793,00;8 243 712,00;-40 919,00;-0,50
219;7;Томскпромстройбанк;1720;Томская обл.;8 181 932,00;8 218 587,00;-36 655,00;-0,45
220;-2;Московский Нефтехимический Банк;1411;Москва и обл.;8 165 244,00;8 790 029,00;-624 785,00;-7,11
221;7;Энергомашбанк;52;Санкт-Петербург и обл.;8 148 816,00;8 122 424,00;26 392,00;0,32
222;7;Белгородсоцбанк;760;Белгородская обл.;8 114 495,00;7 984 422,00;130 073,00;1,63
223;8;Хакасский Муниципальный Банк;1049;Хакасия;7 967 791,00;7 889 615,00;78 176,00;0,99
224;3;Эксперт Банк;2949;Омская обл.;7 953 804,00;8 174 263,00;-220 459,00;-2,70
225;5;Актив Банк;2529;Мордовия;7 765 640,00;7 919 909,00;-154 269,00;-1,95
226;20;Зираат Банк;2559;Москва и обл.;7 751 464,00;6 699 505,00;1 051 959,00;15,70
227;9;Финам Банк;2799;Москва и обл.;7 726 218,00;7 473 345,00;252 873,00;3,38
228;9;Нейва;1293;Свердловская обл.;7 685 460,00;7 460 758,00;224 702,00;3,01
229;6;Трансстройбанк;2807;Москва и обл.;7 583 058,00;7 593 439,00;-10 381,00;-0,14
230;4;Эс-Би-Ай Банк;3185;Москва и обл.;7 553 960,00;7 601 976,00;-48 016,00;-0,63
231;2;СИАБ;3245;Санкт-Петербург и обл.;7 532 980,00;7 665 791,00;-132 811,00;-1,73
232;10;Азия-Инвест Банк;3303;Москва и обл.;7 355 331,00;7 214 354,00;140 977,00;1,95
233;-1;Славия;2664;Москва и обл.;7 318 401,00;7 861 504,00;-543 103,00;-6,91
234;4;Ставропольпромстройбанк;1288;Ставропольский край;7 286 653,00;7 424 792,00;-138 139,00;-1,86
235;6;Ростфинанс;481;Ростовская обл.;7 257 961,00;7 255 842,00;2 119,00;0,03
236;4;Сибсоцбанк;2015;Алтайский край;7 084 764,00;7 314 674,00;-229 910,00;-3,14
237;10;Нефтепромбанк;2156;Москва и обл.;7 023 591,00;6 689 353,00;334 238,00;5,00
238;6;Новобанк;1352;Новгородская обл.;6 993 620,00;6 785 296,00;208 324,00;3,07
239;4;Северный Народный Банк;2721;Коми;6 976 475,00;7 154 540,00;-178 065,00;-2,49
240;8;Банк Сберегательно-Кредитного Сервиса;3224;Москва и обл.;6 969 296,00;6 611 498,00;357 798,00;5,41
241;-2;Банк БКФ;2684;Москва и обл.;6 897 183,00;7 392 616,00;-495 433,00;-6,70
242;15;Чайнасельхозбанк;3529;Москва и обл.;6 828 109,00;6 251 413,00;576 696,00;9,23
243;8;Проминвестбанк;2433;Москва и обл.;6 614 286,00;6 499 127,00;115 159,00;1,77
244;12;Союзный;3236;Москва и обл.;6 571 177,00;6 310 945,00;260 232,00;4,12
245;4;Сити Инвест Банк;3194;Санкт-Петербург и обл.;6 524 100,00;6 553 377,00;-29 277,00;-0,45
246;4;Муниципальный Камчатпрофитбанк;2103;Камчатская обл.;6 467 493,00;6 519 494,00;-52 001,00;-0,80
247;11;Земский Банк;2900;Самарская обл.;6 415 304,00;6 209 565,00;205 739,00;3,31
248;13;Автоградбанк;1455;Татарстан;6 364 005,00;6 190 292,00;173 713,00;2,81
249;4;Русь;704;Оренбургская обл.;6 352 823,00;6 454 024,00;-101 201,00;-1,57
250;-5;Коммерческий Индо Банк;3446;Москва и обл.;6 331 129,00;6 707 756,00;-376 627,00;-5,61
251;1;Вокбанк;312;Нижегородская обл.;6 328 706,00;6 484 385,00;-155 679,00;-2,40
252;15;Гута-Банк;256;Москва и обл.;6 305 653,00;5 604 851,00;700 802,00;12,50
253;11;Агророс;2860;Саратовская обл.;6 189 627,00;6 015 176,00;174 451,00;2,90
254;5;Газтрансбанк;665;Краснодарский край;6 134 309,00;6 194 579,00;-60 270,00;-0,97
255;8;Чувашкредитпромбанк;1280;Чувашия;6 053 882,00;6 092 656,00;-38 774,00;-0,64
256;6;Славянский Кредит;2960;Москва и обл.;6 052 353,00;6 155 564,00;-103 211,00;-1,68
257;-36;Альба Альянс;2593;Москва и обл.;5 992 017,00;8 464 790,00;-2 472 773,00;-29,21
258;7;Банк Оранжевый;1659;Санкт-Петербург и обл.;5 972 281,00;5 942 649,00;29 632,00;0,50
