Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Август, 2018, тыс. рублей;Июль, 2018, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;25 846 339 867,00;25 708 685 619,00;137 654 248,00;0,54
2;0;ВТБ;1000;Санкт-Петербург и обл.;12 412 911 832,00;12 645 470 815,00;-232 558 983,00;-1,84
3;0;Газпромбанк;354;Москва и обл.;5 864 116 130,00;6 086 342 996,00;-222 226 866,00;-3,65
4;0;Россельхозбанк;3349;Москва и обл.;3 157 184 032,00;3 337 713 696,00;-180 529 664,00;-5,41
5;0;Национальный Клиринговый Центр;3466;Москва и обл.;3 081 082 563,00;3 021 058 559,00;60 024 004,00;1,99
6;0;Альфа-Банк;1326;Москва и обл.;3 021 745 435,00;2 935 566 418,00;86 179 017,00;2,94
7;0;Московский Кредитный Банк;1978;Москва и обл.;1 939 789 966,00;2 004 734 411,00;-64 944 445,00;-3,24
8;0;Банк Открытие;2209;Москва и обл.;1 736 310 137,00;1 768 198 567,00;-31 888 430,00;-1,80
9;10;Траст;3279;Москва и обл.;1 413 980 390,00;583 452 304,00;830 528 086,00;142,35
10;-1;Промсвязьбанк;3251;Москва и обл.;1 412 102 968,00;1 354 984 959,00;57 118 009,00;4,22
11;-1;ЮниКредит Банк;1;Москва и обл.;1 291 840 259,00;1 263 398 982,00;28 441 277,00;2,25
12;-1;Райффайзенбанк;3292;Москва и обл.;995 596 382,00;965 052 621,00;30 543 761,00;3,16
13;-1;Россия;328;Санкт-Петербург и обл.;959 176 404,00;962 631 595,00;-3 455 191,00;-0,36
14;-1;Росбанк;2272;Москва и обл.;916 918 018,00;932 094 158,00;-15 176 140,00;-1,63
15;-1;Бинбанк;323;Москва и обл.;782 141 324,00;861 155 800,00;-79 014 476,00;-9,18
16;0;Совкомбанк;963;Костромская обл.;758 852 345,00;742 410 055,00;16 442 290,00;2,21
17;1;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;631 574 806,00;645 162 770,00;-13 587 964,00;-2,11
18;-1;БМ-Банк;2748;Москва и обл.;630 983 353,00;645 717 199,00;-14 733 846,00;-2,28
19;2;Всероссийский Банк Развития Регионов;3287;Москва и обл.;622 076 898,00;563 438 400,00;58 638 498,00;10,41
20;4;Ситибанк;2557;Москва и обл.;590 941 010,00;495 240 845,00;95 700 165,00;19,32
21;-1;Московский Областной Банк;1751;Москва и обл.;577 767 855,00;576 626 760,00;1 141 095,00;0,20
22;0;Банк Уралсиб;30;Москва и обл.;532 989 127,00;535 955 414,00;-2 966 287,00;-0,55
23;0;Ак Барс;2590;Татарстан;509 074 081,00;499 284 815,00;9 789 266,00;1,96
24;1;СМП Банк;3368;Москва и обл.;407 963 684,00;413 035 576,00;-5 071 892,00;-1,23
25;1;Русский Стандарт;2289;Москва и обл.;360 692 913,00;365 348 319,00;-4 655 406,00;-1,27
26;1;Банк АВБ;23;Самарская обл.;358 094 304,00;357 114 540,00;979 764,00;0,27
27;1;Новикомбанк;2546;Москва и обл.;333 264 273,00;353 704 367,00;-20 440 094,00;-5,78
28;1;Тинькофф Банк;2673;Москва и обл.;329 711 831,00;315 874 444,00;13 837 387,00;4,38
29;4;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;313 612 364,00;296 495 355,00;17 117 009,00;5,77
30;0;Почта Банк;650;Москва и обл.;306 993 016,00;299 338 434,00;7 654 582,00;2,56
31;4;Пересвет;2110;Москва и обл.;303 948 736,00;293 624 359,00;10 324 377,00;3,52
32;0;Связь-Банк;1470;Москва и обл.;297 301 438,00;297 711 731,00;-410 293,00;-0,14
33;3;Восточный Банк;1460;Амурская обл.;291 686 091,00;292 381 240,00;-695 149,00;-0,24
34;0;Банк ДОМ.РФ;2312;Москва и обл.;280 575 196,00;295 165 183,00;-14 589 987,00;-4,94
35;2;Московский Индустриальный Банк;912;Москва и обл.;273 074 255,00;275 163 893,00;-2 089 638,00;-0,76
36;2;Хоум Кредит Банк;316;Москва и обл.;262 312 548,00;259 873 659,00;2 438 889,00;0,94
37;-6;Абсолют Банк;2306;Москва и обл.;258 142 726,00;297 844 434,00;-39 701 708,00;-13,33
38;1;Возрождение;1439;Москва и обл.;253 789 417,00;254 900 020,00;-1 110 603,00;-0,44
39;1;Сургутнефтегазбанк;588;Ханты-Мансийский АО — Югра;242 120 876,00;241 211 271,00;909 605,00;0,38
40;1;Банк Зенит;3255;Москва и обл.;228 456 703,00;229 947 559,00;-1 490 856,00;-0,65
41;7;ИНГ Банк;2495;Москва и обл.;222 815 556,00;164 905 265,00;57 910 291,00;35,12
42;0;РосЕвроБанк;3137;Москва и обл.;196 791 484,00;197 509 182,00;-717 698,00;-0,36
43;0;Экспресс-Волга;3085;Костромская обл.;191 958 381,00;196 400 415,00;-4 442 034,00;-2,26
44;0;ДельтаКредит;3338;Москва и обл.;187 947 534,00;187 710 801,00;236 733,00;0,13
45;0;МТС Банк;2268;Москва и обл.;176 352 439,00;175 760 653,00;591 786,00;0,34
46;4;РНКБ;1354;Симферополь;164 765 978,00;153 549 743,00;11 216 235,00;7,30
47;0;Инвестторгбанк;2763;Москва и обл.;163 381 284,00;166 631 304,00;-3 250 020,00;-1,95
48;1;Нордеа Банк;3016;Москва и обл.;162 114 765,00;160 695 032,00;1 419 733,00;0,88
49;-3;Транскапиталбанк;2210;Москва и обл.;157 140 308,00;175 609 349,00;-18 469 041,00;-10,52
50;1;Ренессанс Кредит;3354;Москва и обл.;151 302 997,00;148 590 793,00;2 712 204,00;1,83
51;1;ОТП Банк;2766;Москва и обл.;145 332 361,00;142 400 169,00;2 932 192,00;2,06
52;8;Национальный Расчетный Депозитарий;3294;Москва и обл.;134 867 046,00;121 788 633,00;13 078 413,00;10,74
53;2;Кредит Европа Банк;3311;Москва и обл.;133 590 970,00;131 107 666,00;2 483 304,00;1,89
54;-1;Сетелем Банк;2168;Москва и обл.;133 264 588,00;133 585 391,00;-320 803,00;-0,24
55;-1;Авангард;2879;Москва и обл.;131 439 887,00;131 938 325,00;-498 438,00;-0,38
56;0;Глобэкс;1942;Москва и обл.;125 692 139,00;129 327 464,00;-3 635 325,00;-2,81
57;2;Русфинанс Банк;1792;Самарская обл.;125 162 416,00;122 996 354,00;2 166 062,00;1,76
58;-1;Запсибкомбанк;918;Тюменская обл.;124 177 154,00;125 844 246,00;-1 667 092,00;-1,32
59;-1;Банк Финсервис;3388;Москва и обл.;123 643 405,00;123 050 530,00;592 875,00;0,48
60;6;Росэксимбанк;2790;Москва и обл.;117 660 720,00;107 808 485,00;9 852 235,00;9,14
61;0;Таврический Банк;2304;Санкт-Петербург и обл.;116 254 199,00;114 119 704,00;2 134 495,00;1,87
62;2;МСП Банк;3340;Москва и обл.;115 459 023,00;110 800 628,00;4 658 395,00;4,20
63;0;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;114 174 241,00;112 067 273,00;2 106 968,00;1,88
64;1;Центр-инвест;2225;Ростовская обл.;112 587 449,00;109 804 220,00;2 783 229,00;2,53
65;-3;СКБ-Банк;705;Свердловская обл.;109 184 929,00;112 392 958,00;-3 208 029,00;-2,85
66;1;Роскосмосбанк;2989;Москва и обл.;108 588 619,00;107 206 187,00;1 382 432,00;1,29
67;3;ЦентроКредит;121;Москва и обл.;108 211 804,00;96 902 113,00;11 309 691,00;11,67
68;1;Металлинвестбанк;2440;Москва и обл.;103 164 358,00;98 253 459,00;4 910 899,00;5,00
69;-1;РГС Банк;3073;Москва и обл.;102 443 218,00;105 827 558,00;-3 384 340,00;-3,20
70;2;Союз;2307;Москва и обл.;97 654 677,00;95 623 702,00;2 030 975,00;2,12
71;6;Локо-Банк;2707;Москва и обл.;95 675 952,00;82 177 961,00;13 497 991,00;16,43
72;3;Кубань Кредит;2518;Краснодарский край;94 788 652,00;91 541 061,00;3 247 591,00;3,55
