Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Апрель, 2017, тыс. рублей;Март, 2017, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;22 131 462 127,00;22 294 839 422,00;-163 377 295,00;-0,73
2;0;ВТБ;1000;Санкт-Петербург и обл.;9 354 825 908,00;9 443 604 343,00;-88 778 435,00;-0,94
3;0;Газпромбанк;354;Москва и обл.;5 504 454 162,00;5 231 513 736,00;272 940 426,00;5,22
4;0;ВТБ 24;1623;Москва и обл.;3 202 417 637,00;3 190 189 077,00;12 228 560,00;0,38
5;0;Россельхозбанк;3349;Москва и обл.;2 771 622 992,00;2 914 690 683,00;-143 067 691,00;-4,91
6;0;Банк Открытие;2209;Москва и обл.;2 744 626 085,00;2 780 142 800,00;-35 516 715,00;-1,28
7;1;Национальный Клиринговый Центр;3466;Москва и обл.;2 677 945 551,00;2 259 608 820,00;418 336 731,00;18,51
8;-1;Альфа-Банк;1326;Москва и обл.;2 376 707 015,00;2 359 043 883,00;17 663 132,00;0,75
9;1;Московский Кредитный Банк;1978;Москва и обл.;1 336 606 866,00;1 296 654 265,00;39 952 601,00;3,08
10;-1;Промсвязьбанк;3251;Москва и обл.;1 308 222 354,00;1 304 488 782,00;3 733 572,00;0,29
11;0;ЮниКредит Банк;1;Москва и обл.;1 217 439 339,00;1 165 514 753,00;51 924 586,00;4,46
12;0;Бинбанк;323;Москва и обл.;1 174 279 987,00;1 138 676 233,00;35 603 754,00;3,13
13;0;Райффайзенбанк;3292;Москва и обл.;809 435 992,00;825 822 195,00;-16 386 203,00;-1,98
14;1;Россия;328;Санкт-Петербург и обл.;771 495 451,00;797 651 475,00;-26 156 024,00;-3,28
15;-1;Росбанк;2272;Москва и обл.;770 013 563,00;807 844 879,00;-37 831 316,00;-4,68
16;1;Рост Банк;2888;Москва и обл.;631 930 358,00;608 564 889,00;23 365 469,00;3,84
17;-1;БМ-Банк;2748;Москва и обл.;621 381 313,00;641 448 305,00;-20 066 992,00;-3,13
18;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;588 366 447,00;571 537 995,00;16 828 452,00;2,94
19;0;Совкомбанк;963;Костромская обл.;580 773 351,00;556 323 483,00;24 449 868,00;4,39
20;0;Московский Областной Банк;1751;Москва и обл.;509 073 268,00;464 684 510,00;44 388 758,00;9,55
21;0;Ситибанк;2557;Москва и обл.;462 260 594,00;455 929 816,00;6 330 778,00;1,39
22;0;Банк Уралсиб;30;Москва и обл.;461 434 263,00;455 640 520,00;5 793 743,00;1,27
23;0;Ак Барс;2590;Татарстан;456 490 580,00;452 967 823,00;3 522 757,00;0,78
24;0;Русский Стандарт;2289;Москва и обл.;399 684 321,00;404 508 452,00;-4 824 131,00;-1,19
25;0;Траст;3279;Москва и обл.;391 262 262,00;402 812 652,00;-11 550 390,00;-2,87
26;0;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;376 605 749,00;385 853 287,00;-9 247 538,00;-2,40
27;1;Банк ДОМ.РФ;2312;Москва и обл.;341 616 473,00;338 711 854,00;2 904 619,00;0,86
28;-1;Всероссийский Банк Развития Регионов;3287;Москва и обл.;339 685 156,00;362 592 705,00;-22 907 549,00;-6,32
29;0;СМП Банк;3368;Москва и обл.;336 617 593,00;337 267 127,00;-649 534,00;-0,19
30;0;Югра;880;Москва и обл.;319 781 403,00;318 376 875,00;1 404 528,00;0,44
31;0;Связь-Банк;1470;Москва и обл.;279 789 312,00;283 594 048,00;-3 804 736,00;-1,34
32;1;Абсолют Банк;2306;Москва и обл.;279 615 329,00;273 448 140,00;6 167 189,00;2,26
