Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Сентябрь, 2019, тыс. рублей;Август, 2019, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;29 159 254 509,00;28 829 391 091,00;329 863 418,00;1,14
2;0;ВТБ;1000;Санкт-Петербург и обл.;14 912 469 140,00;14 362 664 764,00;549 804 376,00;3,83
3;0;Газпромбанк;354;Москва и обл.;6 283 513 740,00;6 280 851 891,00;2 661 849,00;0,04
4;2;Альфа-Банк;1326;Москва и обл.;3 552 802 408,00;3 352 124 069,00;200 678 339,00;5,99
5;0;Россельхозбанк;3349;Москва и обл.;3 373 482 887,00;3 409 211 256,00;-35 728 369,00;-1,05
6;-2;Национальный Клиринговый Центр;3466;Москва и обл.;3 353 360 321,00;3 477 018 146,00;-123 657 825,00;-3,56
7;0;Банк Открытие;2209;Москва и обл.;2 359 378 518,00;2 251 015 939,00;108 362 579,00;4,81
8;0;Московский Кредитный Банк;1978;Москва и обл.;2 287 455 299,00;2 167 278 996,00;120 176 303,00;5,55
9;1;ЮниКредит Банк;1;Москва и обл.;1 393 214 334,00;1 405 750 371,00;-12 536 037,00;-0,89
10;1;Траст;3279;Москва и обл.;1 320 943 447,00;1 323 123 516,00;-2 180 069,00;-0,16
11;2;Росбанк;2272;Москва и обл.;1 226 955 867,00;1 217 502 469,00;9 453 398,00;0,78
12;0;Райффайзенбанк;3292;Москва и обл.;1 220 338 722,00;1 316 106 603,00;-95 767 881,00;-7,28
13;1;Совкомбанк;963;Костромская обл.;1 113 932 857,00;1 055 460 722,00;58 472 135,00;5,54
14;1;Россия;328;Санкт-Петербург и обл.;1 032 717 289,00;1 004 630 172,00;28 087 117,00;2,80
15;1;Всероссийский Банк Развития Регионов;3287;Москва и обл.;689 688 729,00;708 574 036,00;-18 885 307,00;-2,67
