Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Ноябрь, 2015, тыс. рублей;Октябрь, 2015, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;22 189 600 795,00;22 582 271 547,00;-392 670 752,00;-1,74
2;0;ВТБ;1000;Санкт-Петербург и обл.;8 572 733 683,00;8 635 881 358,00;-63 147 675,00;-0,73
3;0;Газпромбанк;354;Москва и обл.;4 860 970 498,00;4 903 223 702,00;-42 253 204,00;-0,86
4;1;ВТБ 24;1623;Москва и обл.;2 834 974 534,00;2 824 182 986,00;10 791 548,00;0,38
5;-1;Банк Открытие;2209;Москва и обл.;2 801 532 806,00;2 971 672 984,00;-170 140 178,00;-5,73
6;0;Россельхозбанк;3349;Москва и обл.;2 490 424 470,00;2 452 473 590,00;37 950 880,00;1,55
7;0;Альфа-Банк;1326;Москва и обл.;2 151 792 462,00;2 189 943 079,00;-38 150 617,00;-1,74
8;0;БМ-Банк;2748;Москва и обл.;1 813 968 348,00;1 832 625 047,00;-18 656 699,00;-1,02
9;0;Национальный Клиринговый Центр;3466;Москва и обл.;1 332 390 848,00;1 571 338 143,00;-238 947 295,00;-15,21
10;0;ЮниКредит Банк;1;Москва и обл.;1 295 703 826,00;1 383 425 064,00;-87 721 238,00;-6,34
11;0;Промсвязьбанк;3251;Москва и обл.;1 269 314 451,00;1 237 033 623,00;32 280 828,00;2,61
12;0;Московский Кредитный Банк;1978;Москва и обл.;1 156 093 977,00;1 033 392 084,00;122 701 893,00;11,87
13;1;Райффайзенбанк;3292;Москва и обл.;883 096 631,00;890 757 447,00;-7 660 816,00;-0,86
14;-1;Росбанк;2272;Москва и обл.;874 932 269,00;901 581 883,00;-26 649 614,00;-2,96
15;0;Бинбанк;323;Москва и обл.;729 086 158,00;701 265 591,00;27 820 567,00;3,97
16;0;Ханты-Мансийский банк Открытие;1971;Москва и обл.;553 627 055,00;622 828 733,00;-69 201 678,00;-11,11
17;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;548 218 801,00;552 125 308,00;-3 906 507,00;-0,71
18;0;Россия;328;Санкт-Петербург и обл.;541 553 435,00;529 951 922,00;11 601 513,00;2,19
19;0;Ак Барс;2590;Татарстан;518 845 814,00;525 728 825,00;-6 883 011,00;-1,31
20;3;Совкомбанк;963;Костромская обл.;497 610 457,00;452 425 279,00;45 185 178,00;9,99
21;0;Русский Стандарт;2289;Москва и обл.;469 638 618,00;490 682 377,00;-21 043 759,00;-4,29
22;0;Московский Областной Банк;1751;Москва и обл.;448 273 620,00;453 205 648,00;-4 932 028,00;-1,09
23;1;ИНГ Банк;2495;Москва и обл.;410 282 854,00;388 884 127,00;21 398 727,00;5,50
24;-4;Ситибанк;2557;Москва и обл.;396 369 886,00;497 338 587,00;-100 968 701,00;-20,30
25;6;Рост Банк;2888;Москва и обл.;365 876 098,00;342 543 106,00;23 332 992,00;6,81
26;-1;Связь-Банк;1470;Москва и обл.;362 608 900,00;383 348 193,00;-20 739 293,00;-5,41
27;-1;Нордеа Банк;3016;Москва и обл.;359 712 036,00;373 030 816,00;-13 318 780,00;-3,57
28;-1;Банк Уралсиб;30;Москва и обл.;348 289 662,00;356 812 048,00;-8 522 386,00;-2,39
29;0;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;347 293 689,00;350 182 655,00;-2 888 966,00;-0,82
30;0;Траст;3279;Москва и обл.;344 945 480,00;344 015 667,00;929 813,00;0,27
