Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Июнь, 2013, тыс. рублей;Май, 2013, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;14 610 447 162,00;14 351 466 658,00;258 980 504,00;1,80
2;0;ВТБ;1000;Санкт-Петербург и обл.;4 795 499 256,00;4 617 318 651,00;178 180 605,00;3,86
3;0;Газпромбанк;354;Москва и обл.;3 187 566 403,00;3 125 702 201,00;61 864 202,00;1,98
4;1;ВТБ 24;1623;Москва и обл.;1 690 789 318,00;1 678 071 989,00;12 717 329,00;0,76
5;-1;Россельхозбанк;3349;Москва и обл.;1 689 380 568,00;1 691 877 709,00;-2 497 141,00;-0,15
6;0;БМ-Банк;2748;Москва и обл.;1 590 347 060,00;1 596 422 337,00;-6 075 277,00;-0,38
7;0;Альфа-Банк;1326;Москва и обл.;1 324 025 889,00;1 310 536 246,00;13 489 643,00;1,03
8;0;ЮниКредит Банк;1;Москва и обл.;812 419 179,00;814 184 970,00;-1 765 791,00;-0,22
9;1;Райффайзенбанк;3292;Москва и обл.;712 484 288,00;700 535 764,00;11 948 524,00;1,71
10;-1;Росбанк;2272;Москва и обл.;695 265 860,00;759 948 972,00;-64 683 112,00;-8,51
11;0;Банк Открытие;2209;Москва и обл.;687 676 957,00;678 476 379,00;9 200 578,00;1,36
12;0;Промсвязьбанк;3251;Москва и обл.;676 932 931,00;669 217 665,00;7 715 266,00;1,15
13;0;Банк Уралсиб;30;Москва и обл.;440 299 195,00;430 077 540,00;10 221 655,00;2,38
14;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;394 715 032,00;408 065 895,00;-13 350 863,00;-3,27
15;1;Хоум Кредит Банк;316;Москва и обл.;379 035 705,00;360 465 213,00;18 570 492,00;5,15
16;2;Русский Стандарт;2289;Москва и обл.;366 191 454,00;358 577 508,00;7 613 946,00;2,12
17;0;Ак Барс;2590;Татарстан;362 723 987,00;359 595 440,00;3 128 547,00;0,87
18;2;Московский Кредитный Банк;1978;Москва и обл.;362 088 157,00;341 503 329,00;20 584 828,00;6,03
19;3;Россия;328;Санкт-Петербург и обл.;356 267 534,00;319 297 776,00;36 969 758,00;11,58
20;1;Ситибанк;2557;Москва и обл.;351 588 938,00;327 505 390,00;24 083 548,00;7,35
21;-2;МДМ Банк;2562;Новосибирская обл.;349 447 340,00;348 610 780,00;836 560,00;0,24
22;-7;Транскредитбанк;2142;Москва и обл.;323 404 096,00;375 515 116,00;-52 111 020,00;-13,88
23;0;Ханты-Мансийский банк Открытие;1971;Тюменская обл.;303 443 353,00;296 624 140,00;6 819 213,00;2,30
24;0;Связь-Банк;1470;Москва и обл.;269 633 594,00;278 821 535,00;-9 187 941,00;-3,30
25;2;Петрокоммерц;1776;Москва и обл.;251 610 301,00;235 663 337,00;15 946 964,00;6,77
26;-1;Восточный Банк;1460;Амурская обл.;249 216 203,00;243 931 613,00;5 284 590,00;2,17
27;4;Нордеа Банк;3016;Москва и обл.;247 251 718,00;217 603 402,00;29 648 316,00;13,62
28;0;Банк Зенит;3255;Москва и обл.;233 980 062,00;234 816 996,00;-836 934,00;-0,36
29;3;ИНГ Банк;2495;Москва и обл.;233 436 994,00;214 961 306,00;18 475 688,00;8,59
30;-4;Глобэкс;1942;Москва и обл.;232 809 119,00;237 160 518,00;-4 351 399,00;-1,83
31;-1;Возрождение;1439;Москва и обл.;227 019 616,00;223 600 754,00;3 418 862,00;1,53
32;1;Банк «Открытие»;2179;Москва и обл.;209 743 988,00;204 268 172,00;5 475 816,00;2,68
33;-4;Национальный Клиринговый Центр;3466;Москва и обл.;206 342 954,00;225 450 006,00;-19 107 052,00;-8,48
34;0;Траст;3279;Москва и обл.;198 061 663,00;193 717 775,00;4 343 888,00;2,24
35;1;МТС Банк;2268;Москва и обл.;196 707 464,00;174 030 582,00;22 676 882,00;13,03
36;-1;Московский Индустриальный Банк;912;Москва и обл.;177 566 109,00;176 469 268,00;1 096 841,00;0,62
37;2;Дойче Банк;3328;Москва и обл.;176 091 373,00;167 669 384,00;8 421 989,00;5,02
38;0;ОТП Банк;2766;Москва и обл.;172 951 018,00;171 069 077,00;1 881 941,00;1,10
39;-2;Бинбанк;323;Москва и обл.;171 957 364,00;171 597 858,00;359 506,00;0,21
40;0;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;167 523 123,00;163 180 862,00;4 342 261,00;2,66
41;1;Кредит Европа Банк;3311;Москва и обл.;148 290 009,00;141 498 866,00;6 791 143,00;4,80
42;1;Национальный Расчетный Депозитарий;3294;Москва и обл.;147 809 186,00;141 484 620,00;6 324 566,00;4,47
