Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Апрель, 2014, тыс. рублей;Март, 2014, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;17 535 835 336,00;17 308 935 043,00;226 900 293,00;1,31
2;0;ВТБ;1000;Санкт-Петербург и обл.;5 821 991 612,00;5 818 555 489,00;3 436 123,00;0,06
3;0;Газпромбанк;354;Москва и обл.;3 919 777 134,00;3 905 878 925,00;13 898 209,00;0,36
4;0;ВТБ 24;1623;Москва и обл.;2 202 098 771,00;2 202 101 644,00;-2 873,00;-0,00
5;0;Россельхозбанк;3349;Москва и обл.;1 904 990 239,00;1 864 238 034,00;40 752 205,00;2,19
6;0;БМ-Банк;2748;Москва и обл.;1 831 807 068,00;1 755 314 592,00;76 492 476,00;4,36
7;0;Альфа-Банк;1326;Москва и обл.;1 510 922 789,00;1 514 216 523,00;-3 293 734,00;-0,22
8;0;Банк Открытие;2209;Москва и обл.;1 021 784 663,00;985 682 014,00;36 102 649,00;3,66
9;0;ЮниКредит Банк;1;Москва и обл.;893 189 352,00;883 166 179,00;10 023 173,00;1,13
10;1;Промсвязьбанк;3251;Москва и обл.;786 819 155,00;774 630 701,00;12 188 454,00;1,57
11;-1;Росбанк;2272;Москва и обл.;767 044 428,00;785 118 189,00;-18 073 761,00;-2,30
12;0;Райффайзенбанк;3292;Москва и обл.;739 987 421,00;764 394 149,00;-24 406 728,00;-3,19
13;0;Национальный Клиринговый Центр;3466;Москва и обл.;639 089 971,00;497 058 806,00;142 031 165,00;28,57
14;2;Московский Кредитный Банк;1978;Москва и обл.;472 573 153,00;451 526 611,00;21 046 542,00;4,66
15;-1;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;462 240 315,00;473 812 878,00;-11 572 563,00;-2,44
16;-1;Россия;328;Санкт-Петербург и обл.;421 140 273,00;454 687 074,00;-33 546 801,00;-7,38
17;0;Русский Стандарт;2289;Москва и обл.;395 118 630,00;401 602 939,00;-6 484 309,00;-1,61
18;1;Ханты-Мансийский банк Открытие;1971;Тюменская обл.;387 861 672,00;379 365 129,00;8 496 543,00;2,24
19;2;Ак Барс;2590;Татарстан;384 221 930,00;372 947 048,00;11 274 882,00;3,02
20;-2;Банк Уралсиб;30;Москва и обл.;378 440 345,00;385 419 198,00;-6 978 853,00;-1,81
21;-1;Хоум Кредит Банк;316;Москва и обл.;351 141 005,00;375 325 073,00;-24 184 068,00;-6,44
22;2;Связь-Банк;1470;Москва и обл.;328 352 396,00;318 427 179,00;9 925 217,00;3,12
