Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Октябрь, 2017, тыс. рублей;Сентябрь, 2017, тыс. рублей;Изменение, тыс. рублей;Изменение, %
36;-1;Абсолют Банк;2306;Москва и обл.;254 901 111,00;249 499 735,00;5 401 376,00;2,16
37;-1;Хоум Кредит Банк;316;Москва и обл.;251 109 393,00;241 470 101,00;9 639 292,00;3,99
38;-1;Банк Зенит;3255;Москва и обл.;244 502 366,00;239 697 093,00;4 805 273,00;2,00
39;-1;Пересвет;2110;Москва и обл.;244 019 126,00;229 923 619,00;14 095 507,00;6,13
40;-1;ИНГ Банк;2495;Москва и обл.;226 423 873,00;227 583 758,00;-1 159 885,00;-0,51
41;-1;Сургутнефтегазбанк;588;Ханты-Мансийский АО — Югра;225 377 785,00;227 333 862,00;-1 956 077,00;-0,86
42;0;Транскапиталбанк;2210;Москва и обл.;209 695 340,00;206 054 979,00;3 640 361,00;1,77
43;-2;Почта Банк;650;Москва и обл.;209 546 870,00;218 303 972,00;-8 757 102,00;-4,01
44;;Банк АВБ;23;Самарская обл.;201 252 629,00;-;-;
45;-1;Экспресс-Волга;3085;Костромская обл.;198 068 870,00;191 391 422,00;6 677 448,00;3,49
46;-3;Нордеа Банк;3016;Москва и обл.;187 934 205,00;199 786 068,00;-11 851 863,00;-5,93
47;-2;РосЕвроБанк;3137;Москва и обл.;183 543 775,00;184 265 544,00;-721 769,00;-0,39
48;-2;ДельтаКредит;3338;Москва и обл.;176 836 932,00;169 909 412,00;6 927 520,00;4,08
49;-2;МТС Банк;2268;Москва и обл.;158 829 592,00;165 085 814,00;-6 256 222,00;-3,79
50;-2;РГС Банк;3073;Москва и обл.;154 924 425,00;155 658 503,00;-734 078,00;-0,47
51;-2;Глобэкс;1942;Москва и обл.;138 561 868,00;140 797 815,00;-2 235 947,00;-1,59
52;0;ОТП Банк;2766;Москва и обл.;138 058 945,00;137 728 601,00;330 344,00;0,24
53;0;Инвестторгбанк;2763;Москва и обл.;137 799 378,00;131 344 853,00;6 454 525,00;4,91
54;-3;Авангард;2879;Москва и обл.;137 061 606,00;139 523 199,00;-2 461 593,00;-1,76
55;0;Аверс;415;Татарстан;130 274 978,00;130 624 337,00;-349 359,00;-0,27
56;-2;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;127 372 173,00;130 660 554,00;-3 288 381,00;-2,52
57;0;Кредит Европа Банк;3311;Москва и обл.;123 828 788,00;123 643 477,00;185 311,00;0,15
58;-2;Сетелем Банк;2168;Москва и обл.;123 364 479,00;124 571 207,00;-1 206 728,00;-0,97
59;0;Ренессанс Кредит;3354;Москва и обл.;121 340 237,00;119 663 052,00;1 677 185,00;1,40
60;-2;СКБ-Банк;705;Свердловская обл.;120 656 281,00;119 671 986,00;984 295,00;0,82
61;1;РНКБ;1354;Симферополь;117 855 935,00;112 039 131,00;5 816 804,00;5,19
62;-2;Запсибкомбанк;918;Тюменская обл.;116 383 933,00;114 648 016,00;1 735 917,00;1,51
63;0;Русфинанс Банк;1792;Самарская обл.;114 449 204,00;111 898 788,00;2 550 416,00;2,28
64;-3;МСП Банк;3340;Москва и обл.;114 232 717,00;114 356 930,00;-124 213,00;-0,11
65;0;Роскосмосбанк;2989;Москва и обл.;110 514 968,00;104 167 746,00;6 347 222,00;6,09
66;-2;Банк Финсервис;3388;Москва и обл.;106 138 005,00;104 923 215,00;1 214 790,00;1,16
67;-1;Центр-инвест;2225;Ростовская обл.;104 689 603,00;103 877 104,00;812 499,00;0,78
68;-1;Таврический Банк;2304;Санкт-Петербург и обл.;100 298 213,00;103 150 051,00;-2 851 838,00;-2,76
69;-19;Национальный Расчетный Депозитарий;3294;Москва и обл.;92 874 161,00;139 868 483,00;-46 994 322,00;-33,60
70;-2;Балтинвестбанк;3176;Санкт-Петербург и обл.;90 765 158,00;91 036 760,00;-271 602,00;-0,30
71;-1;Союз;2307;Москва и обл.;89 565 860,00;85 726 099,00;3 839 761,00;4,48
72;1;Эйч-Эс-Би-Си Банк (HSBC);3290;Москва и обл.;88 656 476,00;78 819 055,00;9 837 421,00;12,48
73;-2;Кубань Кредит;2518;Краснодарский край;85 316 009,00;83 233 733,00;2 082 276,00;2,50
74;-2;Локо-Банк;2707;Москва и обл.;78 110 555,00;80 294 460,00;-2 183 905,00;-2,72
75;0;Росэксимбанк;2790;Москва и обл.;77 009 445,00;74 054 315,00;2 955 130,00;3,99
76;0;Металлинвестбанк;2440;Москва и обл.;75 364 836,00;71 875 415,00;3 489 421,00;4,85
77;-3;РН Банк;170;Москва и обл.;73 899 939,00;75 648 981,00;-1 749 042,00;-2,31
78;1;ВУЗ-Банк;1557;Свердловская обл.;68 291 255,00;68 261 118,00;30 137,00;0,04
79;-2;Меткомбанк (Каменск-Уральский);2443;Свердловская обл.;67 081 335,00;69 480 094,00;-2 398 759,00;-3,45
80;-2;ЦентроКредит;121;Москва и обл.;65 852 922,00;68 448 717,00;-2 595 795,00;-3,79
81;5;ОФК Банк;2270;Москва и обл.;64 107 539,00;56 998 347,00;7 109 192,00;12,47
82;-2;Экспобанк;2998;Москва и обл.;63 431 186,00;65 062 787,00;-1 631 601,00;-2,51
83;6;Дойче Банк;3328;Москва и обл.;59 180 993,00;55 976 527,00;3 204 466,00;5,72
84;-3;Банк Интеза;2216;Москва и обл.;59 001 330,00;60 553 547,00;-1 552 217,00;-2,56
85;-3;Крайинвестбанк;3360;Краснодарский край;58 106 125,00;58 491 127,00;-385 002,00;-0,66
86;-3;БНП Париба Банк;3407;Москва и обл.;57 430 075,00;58 273 050,00;-842 975,00;-1,45
87;-3;Балтийский Банк;128;Санкт-Петербург и обл.;57 275 420,00;57 407 952,00;-132 532,00;-0,23
88;-3;СДМ-Банк;1637;Москва и обл.;56 391 443,00;57 320 935,00;-929 492,00;-1,62
89;2;БКС Банк;101;Новосибирская обл.;56 131 507,00;54 017 397,00;2 114 110,00;3,91
90;0;ББР Банк;2929;Москва и обл.;53 767 266,00;54 813 057,00;-1 045 791,00;-1,91
91;3;Примсоцбанк;2733;Приморский край;53 716 240,00;51 806 519,00;1 909 721,00;3,69
92;-4;Международный Финансовый Клуб;2618;Москва и обл.;53 552 632,00;56 706 723,00;-3 154 091,00;-5,56
93;-1;Социнвестбанк;1132;Башкортостан;53 060 825,00;53 292 281,00;-231 456,00;-0,43
94;-1;Тойота Банк;3470;Москва и обл.;52 808 246,00;52 556 262,00;251 984,00;0,48
95;0;АйСиБиСи Банк;3475;Москва и обл.;51 546 935,00;50 120 895,00;1 426 040,00;2,85
96;2;Интерпрогрессбанк;600;Москва и обл.;50 430 974,00;48 718 612,00;1 712 362,00;3,51
97;0;Левобережный;1343;Новосибирская обл.;49 173 026,00;49 223 812,00;-50 786,00;-0,10
98;-29;Банк Сберегательно-Кредитного Сервиса;3224;Москва и обл.;49 141 676,00;89 222 581,00;-40 080 905,00;-44,92
99;-3;Челябинвестбанк;493;Челябинская обл.;49 075 817,00;50 027 086,00;-951 269,00;-1,90
100;-1;Газэнергобанк;3252;Калужская обл.;48 267 955,00;48 443 754,00;-175 799,00;-0,36
101;;Мидзухо Банк;3337;Москва и обл.;48 102 369,00;-;-;
102;;Эм-Ю-Эф-Джи Банк (Евразия);3465;Москва и обл.;47 801 425,00;-;-;
103;-3;Челиндбанк;485;Челябинская обл.;47 658 697,00;47 622 785,00;35 912,00;0,08
104;-17;Креди Агриколь КИБ;1680;Санкт-Петербург и обл.;47 430 205,00;56 809 144,00;-9 378 939,00;-16,51
105;-4;Сумитомо Мицуи Рус Банк;3494;Москва и обл.;46 959 312,00;45 869 631,00;1 089 681,00;2,38
106;;Банк «Советский»;558;Санкт-Петербург и обл.;46 416 719,00;-;-;
107;-4;Севергазбанк;2816;Вологодская обл.;46 210 627,00;44 695 741,00;1 514 886,00;3,39
108;-6;Международный Банк Санкт-Петербурга (МБСП);197;Санкт-Петербург и обл.;46 148 539,00;45 711 192,00;437 347,00;0,96
109;-1;Еврофинанс Моснарбанк;2402;Москва и обл.;43 798 501,00;39 092 988,00;4 705 513,00;12,04
110;-5;Финанс Бизнес Банк;520;Москва и обл.;43 596 438,00;43 834 204,00;-237 766,00;-0,54
111;-7;Фора-Банк;1885;Москва и обл.;43 152 311,00;44 563 080,00;-1 410 769,00;-3,17
112;-5;Саровбизнесбанк;2048;Нижегородская обл.;42 009 419,00;41 649 854,00;359 565,00;0,86
113;-7;Коммерцбанк (Евразия);3333;Москва и обл.;39 779 839,00;42 757 495,00;-2 977 656,00;-6,96
114;-3;Объединенный Капитал;2611;Санкт-Петербург и обл.;37 846 785,00;36 554 394,00;1 292 391,00;3,54
115;33;Банк Кредит Свисс;2494;Москва и обл.;36 943 380,00;20 897 155,00;16 046 225,00;76,79
116;-7;БыстроБанк;1745;Удмуртия;36 763 804,00;36 956 022,00;-192 218,00;-0,52
117;-7;Квантмобайл Банк;1189;Москва и обл.;36 738 080,00;36 576 947,00;161 133,00;0,44
118;-2;Платежный Центр;3166;Новосибирская обл.;35 174 651,00;32 592 894,00;2 581 757,00;7,92
119;-6;Бэнк оф Чайна;2309;Москва и обл.;35 131 330,00;33 153 077,00;1 978 253,00;5,97
120;0;Фольксваген Банк Рус;3500;Москва и обл.;33 528 824,00;31 294 901,00;2 233 923,00;7,14
121;-6;Дальневосточный Банк;843;Приморский край;33 233 470,00;32 596 485,00;636 985,00;1,95
122;-10;Кольцо Урала;65;Свердловская обл.;32 926 009,00;33 615 216,00;-689 207,00;-2,05
123;-4;АктивКапитал Банк;3006;Самарская обл.;32 275 489,00;31 955 966,00;319 523,00;1,00
124;-6;НС Банк;3124;Москва и обл.;31 684 534,00;32 336 453,00;-651 919,00;-2,02
125;-11;Солидарность;554;Самарская обл.;31 594 561,00;32 602 779,00;-1 008 218,00;-3,09
126;-9;Бинбанк Диджитал;2827;Москва и обл.;31 325 298,00;32 567 102,00;-1 241 804,00;-3,81
127;-6;Приморье;3001;Приморский край;31 270 575,00;30 921 248,00;349 327,00;1,13
128;-3;СЭБ Банк;3235;Санкт-Петербург и обл.;30 967 052,00;29 382 327,00;1 584 725,00;5,39
129;;Тимер Банк;1581;Татарстан;30 298 867,00;-;-;
130;-8;Кредит Урал Банк;2584;Челябинская обл.;29 972 261,00;29 684 467,00;287 794,00;0,97
131;-7;Алмазэргиэнбанк;2602;Саха (Якутия);29 354 194,00;29 541 029,00;-186 835,00;-0,63
132;0;Энерготрансбанк;1307;Калининградская обл.;29 097 377,00;26 540 606,00;2 556 771,00;9,63
133;-6;БМВ Банк;3482;Москва и обл.;28 930 515,00;28 004 564,00;925 951,00;3,31
134;-8;Генбанк;2490;Симферополь;28 786 917,00;28 208 940,00;577 977,00;2,05
135;-5;Аресбанк;2914;Москва и обл.;28 567 777,00;26 715 133,00;1 852 644,00;6,93
136;-13;Газбанк;2316;Самарская обл.;28 260 829,00;29 643 813,00;-1 382 984,00;-4,67
137;-8;Девон-Кредит;1972;Татарстан;27 837 260,00;27 170 819,00;666 441,00;2,45
138;0;Мир Бизнес Банк;3396;Москва и обл.;27 836 088,00;23 760 792,00;4 075 296,00;17,15
139;-4;Ланта-Банк;1920;Москва и обл.;26 996 955,00;25 930 779,00;1 066 176,00;4,11
140;-12;Интерпромбанк;3266;Москва и обл.;26 824 797,00;27 243 631,00;-418 834,00;-1,54
141;-5;Акибанк;2587;Татарстан;25 650 853,00;25 470 067,00;180 786,00;0,71
142;-11;Татсоцбанк;480;Татарстан;25 399 865,00;26 667 021,00;-1 267 156,00;-4,75
143;-4;Данске Банк;3307;Санкт-Петербург и обл.;25 054 820,00;23 471 335,00;1 583 485,00;6,75
144;-10;Национальный Стандарт;3421;Москва и обл.;24 691 530,00;26 272 676,00;-1 581 146,00;-6,02
145;-8;Липецккомбанк;1242;Липецкая обл.;23 736 349,00;23 814 980,00;-78 631,00;-0,33
146;-6;Курскпромбанк;735;Курская обл.;23 643 832,00;23 272 910,00;370 922,00;1,59
147;-5;Энергобанк;67;Татарстан;22 841 683,00;23 193 156,00;-351 473,00;-1,52
148;-5;Урал ФД;249;Пермская обл.;22 776 769,00;23 006 681,00;-229 912,00;-1,00
149;;Экономбанк;1319;Саратовская обл.;22 503 514,00;-;-;
150;-9;Мерседес-Бенц Банк Рус;3473;Москва и обл.;22 281 719,00;23 253 337,00;-971 618,00;-4,18
151;-6;Собинбанк;1317;Москва и обл.;22 011 854,00;21 362 418,00;649 436,00;3,04
152;-5;Хлынов;254;Кировская обл.;21 975 613,00;21 294 386,00;681 227,00;3,20
153;-3;Московское Ипотечное Агентство;3344;Москва и обл.;21 557 318,00;20 329 446,00;1 227 872,00;6,04
154;-8;Кошелев-Банк;3300;Самарская обл.;21 503 791,00;21 312 696,00;191 095,00;0,90
155;;ЦМРБанк;3531;Москва и обл.;21 189 985,00;-;-;
156;-7;Агропромкредит;2880;Москва и обл.;21 180 053,00;20 796 127,00;383 926,00;1,85
157;-24;Чайна Констракшн;3515;Москва и обл.;21 148 714,00;26 323 495,00;-5 174 781,00;-19,66
158;;Дж. П. Морган Банк;2629;Москва и обл.;20 717 425,00;-;-;
159;-8;Роскомснаббанк (бывш. Башкомснаббанк);1398;Башкортостан;20 481 870,00;20 212 252,00;269 618,00;1,33
160;-8;Москоммерцбанк;3365;Москва и обл.;20 449 182,00;20 084 511,00;364 671,00;1,82
161;-6;Петербургский Социальный Коммерческий Банк;2551;Санкт-Петербург и обл.;20 198 728,00;19 632 268,00;566 460,00;2,89
162;-9;МБА-Москва;3395;Москва и обл.;19 922 888,00;20 027 662,00;-104 774,00;-0,52
163;-9;НБД-Банк;1966;Нижегородская обл.;19 916 148,00;19 902 687,00;13 461,00;0,07
164;-20;Натиксис Банк;3390;Москва и обл.;19 439 442,00;21 369 605,00;-1 930 163,00;-9,03
165;-8;Александровский;53;Санкт-Петербург и обл.;19 018 005,00;18 588 547,00;429 458,00;2,31
166;-8;Тольяттихимбанк;2507;Самарская обл.;18 643 931,00;18 484 683,00;159 248,00;0,86
167;-11;Алеф-Банк;2119;Москва и обл.;18 352 563,00;18 620 045,00;-267 482,00;-1,44
168;-7;Рублев;3098;Москва и обл.;17 944 350,00;17 933 578,00;10 772,00;0,06
169;-7;Развитие-Столица;3013;Москва и обл.;17 733 857,00;17 720 384,00;13 473,00;0,08
170;-7;Джей энд Ти Банк;3061;Москва и обл.;17 677 311,00;17 614 491,00;62 820,00;0,36
171;-6;Пойдем!;2534;Москва и обл.;17 463 749,00;17 141 974,00;321 775,00;1,88
172;-8;Темпбанк;55;Москва и обл.;17 408 796,00;17 188 905,00;219 891,00;1,28
173;-7;Банк Акцепт;567;Новосибирская обл.;17 296 698,00;16 647 600,00;649 098,00;3,90
174;-3;Киви Банк;2241;Москва и обл.;16 920 653,00;15 576 481,00;1 344 172,00;8,63
175;-16;Держава;2738;Москва и обл.;16 354 742,00;18 290 015,00;-1 935 273,00;-10,58
176;-8;Денизбанк Москва;3330;Москва и обл.;16 149 608,00;16 438 360,00;-288 752,00;-1,76
177;0;НК Банк;2755;Москва и обл.;16 135 276,00;14 985 155,00;1 150 121,00;7,68
178;-9;Расчетно-Кредитный Банк;103;Москва и обл.;16 059 236,00;16 324 586,00;-265 350,00;-1,63
179;-9;Объединенный Кредитный Банк;1118;Ярославская обл.;15 980 606,00;15 619 960,00;360 646,00;2,31
180;-13;Инбанк;1829;Москва и обл.;15 502 864,00;16 470 359,00;-967 495,00;-5,87
181;-9;Прио-Внешторгбанк;212;Рязанская обл.;15 491 761,00;15 527 613,00;-35 852,00;-0,23
182;-8;Банк ВВБ;1093;Севастополь;15 212 030,00;15 304 944,00;-92 914,00;-0,61
183;-8;Нацинвестпромбанк;3077;Москва и обл.;15 195 814,00;15 231 812,00;-35 998,00;-0,24
184;-11;Норвик Банк;902;Кировская обл.;15 080 575,00;15 340 372,00;-259 797,00;-1,69
185;-3;Солидарность (Москва);1555;Москва и обл.;14 779 676,00;14 259 533,00;520 143,00;3,65
186;-8;Национальный Резервный Банк;2170;Москва и обл.;14 520 555,00;14 644 413,00;-123 858,00;-0,85
187;-8;Форштадт;2208;Оренбургская обл.;14 499 605,00;14 604 913,00;-105 308,00;-0,72
188;-5;Банк Казани;708;Татарстан;14 372 452,00;14 216 951,00;155 501,00;1,09
189;-9;Ишбанк;2867;Москва и обл.;14 349 968,00;14 366 707,00;-16 739,00;-0,12
190;7;Руснарбанк;3403;Москва и обл.;14 319 227,00;11 690 763,00;2 628 464,00;22,48
191;-7;РосДорБанк;1573;Москва и обл.;14 278 521,00;14 088 563,00;189 958,00;1,35
192;-11;Гарант-Инвест;2576;Москва и обл.;14 271 173,00;14 280 476,00;-9 303,00;-0,07
193;-17;Морской Банк;77;Москва и обл.;14 242 472,00;15 026 879,00;-784 407,00;-5,22
194;-7;Национальная Факторинговая Компания;3437;Москва и обл.;14 197 382,00;13 245 163,00;952 219,00;7,19
195;4;Автоторгбанк;2776;Москва и обл.;13 473 206,00;11 454 292,00;2 018 914,00;17,63
196;-8;КС Банк;1752;Мордовия;13 335 445,00;13 158 999,00;176 446,00;1,34
197;-11;Уралтрансбанк;812;Свердловская обл.;13 334 732,00;13 393 288,00;-58 556,00;-0,44
198;-13;Нижневолжский Коммерческий Банк;931;Саратовская обл.;13 321 825,00;13 404 149,00;-82 324,00;-0,61
199;-10;Русский Ипотечный Банк;1968;Москва и обл.;12 957 523,00;12 944 955,00;12 568,00;0,10
200;-6;НИКО-Банк;702;Оренбургская обл.;12 492 988,00;11 876 975,00;616 013,00;5,19
201;-10;Агросоюз;1459;Москва и обл.;12 357 195,00;12 150 210,00;206 985,00;1,70
202;1;Тройка-Д Банк;3431;Москва и обл.;12 309 833,00;11 153 383,00;1 156 450,00;10,37
203;-13;ТЭМБР-Банк;2764;Москва и обл.;12 209 796,00;12 242 443,00;-32 647,00;-0,27
204;-12;Современный Коммерческий Инновационный Банк;3329;Костромская обл.;12 135 965,00;12 136 240,00;-275,00;-0,00
205;-10;Ассоциация;732;Нижегородская обл.;11 943 105,00;11 821 067,00;122 038,00;1,03
206;-4;Солид Банк;1329;Приморский край;11 576 513,00;11 203 063,00;373 450,00;3,33
207;-7;Первомайский;518;Краснодарский край;11 490 498,00;11 434 008,00;56 490,00;0,49
208;-15;Новопокровский;467;Краснодарский край;11 386 986,00;11 982 057,00;-595 071,00;-4,97
209;-5;Банк Оренбург;3269;Оренбургская обл.;11 368 959,00;11 142 199,00;226 760,00;2,04
210;-9;Датабанк;646;Удмуртия;11 320 511,00;11 313 462,00;7 049,00;0,06
211;-6;Юг-Инвестбанк;2772;Краснодарский край;11 268 364,00;11 134 071,00;134 293,00;1,21
212;-16;Ури Банк;3479;Москва и обл.;10 830 826,00;11 744 944,00;-914 118,00;-7,78
213;-6;Русский Торговый Банк;2842;Москва и обл.;10 673 987,00;10 847 690,00;-173 703,00;-1,60
214;-8;Таатта;1249;Саха (Якутия);10 673 978,00;10 969 338,00;-295 360,00;-2,69
215;1;КЭБ ЭйчЭнБи Банк;3525;Москва и обл.;10 306 852,00;9 409 512,00;897 340,00;9,54
216;-8;Гранд Инвест Банк;3053;Москва и обл.;10 251 659,00;10 583 862,00;-332 203,00;-3,14
217;-7;Снежинский;1376;Челябинская обл.;10 247 614,00;10 189 121,00;58 493,00;0,57
218;2;Морган Стэнли Банк;3456;Москва и обл.;10 065 736,00;8 888 988,00;1 176 748,00;13,24
219;-10;Реалист Банк;1067;Иркутская обл.;9 896 463,00;10 260 780,00;-364 317,00;-3,55
220;-22;Русьуниверсалбанк;3293;Москва и обл.;9 749 853,00;11 540 805,00;-1 790 952,00;-15,52
221;-9;Банк Жилищного Финансирования;3138;Москва и обл.;9 661 785,00;9 592 418,00;69 367,00;0,72
222;-8;РусЮгбанк;2093;Волгоградская обл.;9 429 313,00;9 431 002,00;-1 689,00;-0,02
223;-10;Воронеж;654;Воронежская обл.;9 427 097,00;9 523 495,00;-96 398,00;-1,01
224;-13;Модульбанк;1927;Костромская обл.;9 359 757,00;9 956 276,00;-596 519,00;-5,99
225;-6;Консервативный Коммерческий Банк;1087;Астраханская обл.;9 338 490,00;8 930 216,00;408 274,00;4,57
226;-9;Екатеринбург;3161;Свердловская обл.;9 285 747,00;9 280 351,00;5 396,00;0,06
227;-9;МС Банк Рус;2789;Москва и обл.;9 198 431,00;8 956 593,00;241 838,00;2,70
228;-13;Гута-Банк;256;Москва и обл.;9 169 609,00;9 428 672,00;-259 063,00;-2,75
229;3;Банк Раунд;2506;Москва и обл.;8 602 038,00;8 116 152,00;485 886,00;5,99
230;-6;Томскпромстройбанк;1720;Томская обл.;8 544 943,00;8 578 176,00;-33 233,00;-0,39
231;-8;Эксперт Банк;2949;Омская обл.;8 518 158,00;8 609 742,00;-91 584,00;-1,06
232;-6;Трансстройбанк;2807;Москва и обл.;8 383 136,00;8 325 648,00;57 488,00;0,69
233;-11;Славия;2664;Москва и обл.;8 278 940,00;8 614 693,00;-335 753,00;-3,90
234;-3;Московский Нефтехимический Банк;1411;Москва и обл.;8 236 689,00;8 147 937,00;88 752,00;1,09
235;-8;Энергомашбанк;52;Санкт-Петербург и обл.;8 225 154,00;8 304 548,00;-79 394,00;-0,96
236;-8;Белгородсоцбанк;760;Белгородская обл.;8 206 794,00;8 272 829,00;-66 035,00;-0,80
237;0;Кранбанк;2271;Ивановская обл.;8 113 064,00;7 767 449,00;345 615,00;4,45
238;-2;Кузнецкбизнесбанк;1158;Кемеровская обл.;7 926 360,00;7 784 378,00;141 982,00;1,82
239;-10;СИАБ;3245;Санкт-Петербург и обл.;7 912 777,00;8 239 233,00;-326 456,00;-3,96
240;-15;Углеметбанк;2997;Челябинская обл.;7 866 731,00;8 493 590,00;-626 859,00;-7,38
241;-3;Ставропольпромстройбанк;1288;Ставропольский край;7 852 899,00;7 559 242,00;293 657,00;3,88
242;-7;Вокбанк;312;Нижегородская обл.;7 656 405,00;7 855 790,00;-199 385,00;-2,54
243;-1;Уралкапиталбанк;2519;Башкортостан;7 520 013,00;7 434 123,00;85 890,00;1,16
244;-4;Северный Кредит;2398;Вологодская обл.;7 500 460,00;7 488 123,00;12 337,00;0,16
245;-1;Актив Банк;2529;Мордовия;7 495 114,00;7 364 688,00;130 426,00;1,77
246;-5;Азия-Инвест Банк;3303;Москва и обл.;7 415 852,00;7 468 426,00;-52 574,00;-0,70
247;-4;Муниципальный Камчатпрофитбанк;2103;Камчатская обл.;7 393 948,00;7 433 578,00;-39 630,00;-0,53
248;-3;Хакасский Муниципальный Банк;1049;Хакасия;7 356 691,00;7 351 426,00;5 265,00;0,07
249;-19;Банк на Гончарной (бывш. Япы Креди Банк Москва);2555;Москва и обл.;7 344 443,00;8 201 395,00;-856 952,00;-10,45
250;-11;Финам Банк;2799;Москва и обл.;7 309 773,00;7 511 991,00;-202 218,00;-2,69
251;-2;Нейва;1293;Свердловская обл.;7 230 687,00;7 132 440,00;98 247,00;1,38
252;-6;ФорБанк;2063;Москва и обл.;7 217 723,00;7 324 522,00;-106 799,00;-1,46
253;-32;Промтрансбанк;2638;Башкортостан;7 132 517,00;8 745 769,00;-1 613 252,00;-18,45
254;-21;Мосуралбанк;2468;Москва и обл.;7 121 676,00;7 919 212,00;-797 536,00;-10,07
255;-8;Нефтепромбанк;2156;Москва и обл.;6 986 470,00;7 301 867,00;-315 397,00;-4,32
256;-22;Ю Би Эс Банк;3463;Москва и обл.;6 975 693,00;7 891 330,00;-915 637,00;-11,60
257;-9;РЕСО Кредит;3450;Москва и обл.;6 938 592,00;7 258 045,00;-319 453,00;-4,40
258;28;Итуруп;2390;Сахалинская обл.;6 915 000,00;5 019 473,00;1 895 527,00;37,76
