Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Октябрь, 2017, тыс. рублей;Сентябрь, 2017, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;23 313 570 211,00;23 337 804 132,00;-24 233 921,00;-0,10
2;0;ВТБ;1000;Санкт-Петербург и обл.;9 442 605 402,00;9 278 574 632,00;164 030 770,00;1,77
3;0;Газпромбанк;354;Москва и обл.;5 577 963 244,00;5 363 245 991,00;214 717 253,00;4,00
4;0;ВТБ 24;1623;Москва и обл.;3 645 852 698,00;3 449 761 456,00;196 091 242,00;5,68
5;0;Россельхозбанк;3349;Москва и обл.;2 979 462 988,00;2 940 426 455,00;39 036 533,00;1,33
6;0;Национальный Клиринговый Центр;3466;Москва и обл.;2 924 780 604,00;2 843 087 036,00;81 693 568,00;2,87
7;0;Альфа-Банк;1326;Москва и обл.;2 648 268 747,00;2 780 625 134,00;-132 356 387,00;-4,76
8;0;Банк Открытие;2209;Москва и обл.;2 175 074 353,00;2 651 684 616,00;-476 610 263,00;-17,97
9;0;Московский Кредитный Банк;1978;Москва и обл.;1 752 027 034,00;1 704 647 202,00;47 379 832,00;2,78
10;0;Промсвязьбанк;3251;Москва и обл.;1 327 186 616,00;1 339 214 888,00;-12 028 272,00;-0,90
11;1;Бинбанк;323;Москва и обл.;1 160 426 826,00;1 121 511 725,00;38 915 101,00;3,47
12;-1;ЮниКредит Банк;1;Москва и обл.;1 151 228 496,00;1 155 496 848,00;-4 268 352,00;-0,37
13;1;Росбанк;2272;Москва и обл.;877 908 922,00;853 048 255,00;24 860 667,00;2,91
14;-1;Райффайзенбанк;3292;Москва и обл.;840 507 764,00;854 155 244,00;-13 647 480,00;-1,60
15;1;Рост Банк;2888;Москва и обл.;787 902 625,00;710 456 662,00;77 445 963,00;10,90
16;-1;Россия;328;Санкт-Петербург и обл.;775 858 871,00;778 340 622,00;-2 481 751,00;-0,32
17;0;Совкомбанк;963;Костромская обл.;665 447 713,00;615 515 832,00;49 931 881,00;8,11
18;;Траст;3279;Москва и обл.;620 011 953,00;-;-;
19;-1;БМ-Банк;2748;Москва и обл.;612 370 119,00;613 401 330,00;-1 031 211,00;-0,17
20;-1;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;610 835 502,00;568 577 904,00;42 257 598,00;7,43
21;-1;Банк Уралсиб;30;Москва и обл.;556 144 958,00;524 932 730,00;31 212 228,00;5,95
22;-1;Московский Областной Банк;1751;Москва и обл.;513 885 878,00;518 051 698,00;-4 165 820,00;-0,80
23;-1;Ситибанк;2557;Москва и обл.;474 959 861,00;476 039 221,00;-1 079 360,00;-0,23
24;-1;Ак Барс;2590;Татарстан;454 954 724,00;462 664 150,00;-7 709 426,00;-1,67
25;0;Русский Стандарт;2289;Москва и обл.;393 183 206,00;398 361 159,00;-5 177 953,00;-1,30
26;0;Банк ДОМ.РФ;2312;Москва и обл.;376 874 897,00;377 134 525,00;-259 628,00;-0,07
27;-3;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;362 994 007,00;402 284 119,00;-39 290 112,00;-9,77
28;-1;СМП Банк;3368;Москва и обл.;355 636 166,00;336 229 271,00;19 406 895,00;5,77
29;-1;Всероссийский Банк Развития Регионов;3287;Москва и обл.;350 110 467,00;328 065 832,00;22 044 635,00;6,72
30;0;Восточный Банк;1460;Амурская обл.;277 691 769,00;278 114 589,00;-422 820,00;-0,15
31;-2;Новикомбанк;2546;Москва и обл.;274 852 342,00;287 575 319,00;-12 722 977,00;-4,42
32;-1;Московский Индустриальный Банк;912;Москва и обл.;273 249 480,00;271 706 549,00;1 542 931,00;0,57
33;1;Тинькофф Банк;2673;Москва и обл.;260 132 687,00;256 450 695,00;3 681 992,00;1,44
34;-2;Связь-Банк;1470;Москва и обл.;259 562 800,00;257 098 034,00;2 464 766,00;0,96
35;-2;Возрождение;1439;Москва и обл.;259 392 965,00;256 805 033,00;2 587 932,00;1,01
