Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Май, 2019, тыс. рублей;Апрель, 2019, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;28 592 573 617,00;28 415 324 467,00;177 249 150,00;0,62
2;0;ВТБ;1000;Санкт-Петербург и обл.;14 430 799 659,00;13 853 676 703,00;577 122 956,00;4,17
3;0;Газпромбанк;354;Москва и обл.;6 049 417 173,00;6 107 996 366,00;-58 579 193,00;-0,96
4;0;Национальный Клиринговый Центр;3466;Москва и обл.;3 751 815 216,00;4 274 617 797,00;-522 802 581,00;-12,23
5;0;Россельхозбанк;3349;Москва и обл.;3 419 539 096,00;3 648 868 388,00;-229 329 292,00;-6,28
6;0;Альфа-Банк;1326;Москва и обл.;3 310 463 548,00;3 278 387 210,00;32 076 338,00;0,98
7;0;Московский Кредитный Банк;1978;Москва и обл.;2 225 490 667,00;2 217 848 935,00;7 641 732,00;0,34
8;0;Банк Открытие;2209;Москва и обл.;2 145 808 538,00;2 134 090 962,00;11 717 576,00;0,55
9;1;ЮниКредит Банк;1;Москва и обл.;1 476 456 902,00;1 487 122 670,00;-10 665 768,00;-0,72
10;1;Траст;3279;Москва и обл.;1 316 059 930,00;1 321 984 156,00;-5 924 226,00;-0,45
11;2;Райффайзенбанк;3292;Москва и обл.;1 133 579 634,00;1 119 679 450,00;13 900 184,00;1,24
12;0;Росбанк;2272;Москва и обл.;1 094 227 625,00;1 121 863 375,00;-27 635 750,00;-2,46
13;1;Совкомбанк;963;Костромская обл.;1 025 859 705,00;1 031 700 049,00;-5 840 344,00;-0,57
14;1;Россия;328;Санкт-Петербург и обл.;1 011 670 867,00;980 368 005,00;31 302 862,00;3,19
15;1;Всероссийский Банк Развития Регионов;3287;Москва и обл.;643 410 652,00;694 327 692,00;-50 917 040,00;-7,33
16;1;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;642 045 229,00;683 458 927,00;-41 413 698,00;-6,06
17;1;Ак Барс;2590;Татарстан;563 894 556,00;582 337 559,00;-18 443 003,00;-3,17
18;2;Московский Областной Банк;1751;Москва и обл.;553 836 504,00;559 340 109,00;-5 503 605,00;-0,98
19;0;Банк Уралсиб;30;Москва и обл.;551 943 416,00;561 564 716,00;-9 621 300,00;-1,71
20;2;БМ-Банк;2748;Москва и обл.;528 969 926,00;529 885 774,00;-915 848,00;-0,17
21;0;Ситибанк;2557;Москва и обл.;511 150 098,00;542 424 608,00;-31 274 510,00;-5,77
22;1;СМП Банк;3368;Москва и обл.;479 532 387,00;478 298 372,00;1 234 015,00;0,26
23;1;Тинькофф Банк;2673;Москва и обл.;456 312 553,00;439 552 941,00;16 759 612,00;3,81
24;1;Новикомбанк;2546;Москва и обл.;450 788 616,00;437 703 257,00;13 085 359,00;2,99
25;1;Почта Банк;650;Москва и обл.;435 498 450,00;427 910 580,00;7 587 870,00;1,77
26;2;Русский Стандарт;2289;Москва и обл.;344 573 839,00;351 981 660,00;-7 407 821,00;-2,10
27;0;Связь-Банк;1470;Москва и обл.;339 984 434,00;352 712 549,00;-12 728 115,00;-3,61
28;1;Пересвет;2110;Москва и обл.;328 845 619,00;326 664 195,00;2 181 424,00;0,67
29;9;Банк ДОМ.РФ;2312;Москва и обл.;294 006 395,00;236 342 070,00;57 664 325,00;24,40
30;0;Московский Индустриальный Банк;912;Москва и обл.;284 148 317,00;283 760 087,00;388 230,00;0,14
31;0;Возрождение;1439;Москва и обл.;277 464 600,00;282 229 510,00;-4 764 910,00;-1,69
32;0;Восточный Банк;1460;Амурская обл.;275 818 685,00;275 307 012,00;511 673,00;0,19
33;0;Абсолют Банк;2306;Москва и обл.;271 431 543,00;270 944 543,00;487 000,00;0,18
34;1;Хоум Кредит Банк;316;Москва и обл.;260 292 494,00;261 494 186,00;-1 201 692,00;-0,46
35;-1;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;259 727 247,00;265 019 759,00;-5 292 512,00;-2,00
36;0;Сургутнефтегазбанк;588;Ханты-Мансийский АО — Югра;254 153 663,00;260 221 657,00;-6 067 994,00;-2,33
37;0;Банк Зенит;3255;Москва и обл.;218 627 456,00;237 119 516,00;-18 492 060,00;-7,80
38;2;ИНГ Банк;2495;Москва и обл.;217 595 732,00;205 833 360,00;11 762 372,00;5,71
39;0;ДельтаКредит;3338;Москва и обл.;208 109 215,00;215 403 594,00;-7 294 379,00;-3,39
40;1;Инвестторгбанк;2763;Москва и обл.;199 559 085,00;197 749 077,00;1 810 008,00;0,92
41;7;МТС Банк;2268;Москва и обл.;187 174 919,00;160 643 016,00;26 531 903,00;16,52
42;0;РНКБ;1354;Симферополь;184 803 597,00;186 195 671,00;-1 392 074,00;-0,75
43;1;Ренессанс Кредит;3354;Москва и обл.;177 498 484,00;175 131 842,00;2 366 642,00;1,35
44;-1;Экспресс-Волга;3085;Костромская обл.;174 109 482,00;176 410 676,00;-2 301 194,00;-1,30
45;1;ОТП Банк;2766;Москва и обл.;163 987 043,00;164 026 596,00;-39 553,00;-0,02
46;-1;Кредит Европа Банк;3311;Москва и обл.;161 252 464,00;165 605 440,00;-4 352 976,00;-2,63
47;0;Транскапиталбанк;2210;Москва и обл.;160 814 230,00;161 138 980,00;-324 750,00;-0,20
48;3;Сетелем Банк;2168;Москва и обл.;143 337 394,00;142 116 894,00;1 220 500,00;0,86
49;3;Русфинанс Банк;1792;Самарская обл.;143 006 166,00;136 059 729,00;6 946 437,00;5,11
50;3;Авангард;2879;Москва и обл.;136 512 232,00;134 740 255,00;1 771 977,00;1,32
