Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Октябрь, 2012, тыс. рублей;Сентябрь, 2012, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;12 792 475 705,00;12 857 655 153,00;-65 179 448,00;-0,51
2;0;ВТБ;1000;Санкт-Петербург и обл.;4 208 111 559,00;4 190 856 013,00;17 255 546,00;0,41
3;0;Газпромбанк;354;Москва и обл.;2 737 845 649,00;2 716 103 619,00;21 742 030,00;0,80
4;0;Россельхозбанк;3349;Москва и обл.;1 591 652 129,00;1 613 247 616,00;-21 595 487,00;-1,34
5;0;БМ-Банк;2748;Москва и обл.;1 475 837 830,00;1 434 899 443,00;40 938 387,00;2,85
6;0;ВТБ 24;1623;Москва и обл.;1 414 339 821,00;1 356 547 003,00;57 792 818,00;4,26
7;0;Альфа-Банк;1326;Москва и обл.;1 147 611 779,00;1 112 864 811,00;34 746 968,00;3,12
8;0;ЮниКредит Банк;1;Москва и обл.;778 753 259,00;871 395 359,00;-92 642 100,00;-10,63
9;0;Росбанк;2272;Москва и обл.;690 269 359,00;671 727 677,00;18 541 682,00;2,76
10;0;Промсвязьбанк;3251;Москва и обл.;635 318 408,00;625 386 493,00;9 931 915,00;1,59
11;0;Райффайзенбанк;3292;Москва и обл.;625 956 320,00;599 714 028,00;26 242 292,00;4,38
12;0;Банк Открытие;2209;Москва и обл.;558 523 559,00;548 094 374,00;10 429 185,00;1,90
13;0;Транскредитбанк;2142;Москва и обл.;526 606 775,00;510 636 032,00;15 970 743,00;3,13
14;0;Банк Уралсиб;30;Москва и обл.;435 984 716,00;432 607 115,00;3 377 601,00;0,78
15;0;МДМ Банк;2562;Новосибирская обл.;361 913 589,00;357 671 603,00;4 241 986,00;1,19
16;3;Ситибанк;2557;Москва и обл.;342 204 075,00;302 787 381,00;39 416 694,00;13,02
17;-1;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;339 393 140,00;335 959 943,00;3 433 197,00;1,02
18;-1;Ак Барс;2590;Татарстан;337 233 699,00;334 664 928,00;2 568 771,00;0,77
19;-1;Россия;328;Санкт-Петербург и обл.;306 600 935,00;303 251 210,00;3 349 725,00;1,10
20;1;Московский Кредитный Банк;1978;Москва и обл.;288 847 572,00;279 325 294,00;9 522 278,00;3,41
21;-1;Нордеа Банк;3016;Москва и обл.;278 229 082,00;289 842 460,00;-11 613 378,00;-4,01
22;2;Связь-Банк;1470;Москва и обл.;256 927 803,00;248 848 113,00;8 079 690,00;3,25
23;-1;Русский Стандарт;2289;Москва и обл.;255 811 431,00;250 768 841,00;5 042 590,00;2,01
24;-1;Ханты-Мансийский банк Открытие;1971;Тюменская обл.;255 098 693,00;248 992 513,00;6 106 180,00;2,45
25;1;Хоум Кредит Банк;316;Москва и обл.;246 580 257,00;229 698 679,00;16 881 578,00;7,35
26;-1;Петрокоммерц;1776;Москва и обл.;231 366 956,00;231 884 767,00;-517 811,00;-0,22
27;0;Банк Зенит;3255;Москва и обл.;226 336 236,00;219 021 543,00;7 314 693,00;3,34
28;2;Глобэкс;1942;Москва и обл.;211 501 767,00;204 116 989,00;7 384 778,00;3,62
29;0;Возрождение;1439;Москва и обл.;206 495 757,00;207 780 493,00;-1 284 736,00;-0,62
30;1;Восточный Банк;1460;Амурская обл.;200 052 857,00;195 000 002,00;5 052 855,00;2,59
31;-3;ИНГ Банк;2495;Москва и обл.;188 531 730,00;213 886 489,00;-25 354 759,00;-11,85
32;0;Траст;3279;Москва и обл.;184 787 165,00;185 369 883,00;-582 718,00;-0,31
33;0;Банк «Открытие»;2179;Москва и обл.;167 366 655,00;177 508 574,00;-10 141 919,00;-5,71
34;2;МТС Банк;2268;Москва и обл.;166 232 945,00;148 309 705,00;17 923 240,00;12,09
35;0;Бинбанк;323;Москва и обл.;159 476 808,00;152 187 938,00;7 288 870,00;4,79
36;-2;Московский Индустриальный Банк;912;Москва и обл.;158 833 985,00;163 328 761,00;-4 494 776,00;-2,75
37;0;ОТП Банк;2766;Москва и обл.;151 111 498,00;148 206 339,00;2 905 159,00;1,96
38;0;Национальный Клиринговый Центр;3466;Москва и обл.;148 186 470,00;138 295 118,00;9 891 352,00;7,15
39;0;СКБ-Банк;705;Свердловская обл.;131 134 051,00;131 414 801,00;-280 750,00;-0,21
40;0;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;130 937 739,00;130 932 693,00;5 046,00;0,00
41;6;Дойче Банк;3328;Москва и обл.;124 213 573,00;104 125 345,00;20 088 228,00;19,29
42;0;СМП Банк;3368;Москва и обл.;123 300 984,00;119 769 294,00;3 531 690,00;2,95
43;-2;Транскапиталбанк;2210;Москва и обл.;122 385 499,00;121 956 633,00;428 866,00;0,35
44;1;Кредит Европа Банк;3311;Москва и обл.;115 103 281,00;110 430 196,00;4 673 085,00;4,23
45;1;Новикомбанк;2546;Москва и обл.;114 568 271,00;106 247 044,00;8 321 227,00;7,83
46;-2;Русфинанс Банк;1792;Самарская обл.;113 473 792,00;111 002 606,00;2 471 186,00;2,23
47;-4;Абсолют Банк;2306;Москва и обл.;110 832 549,00;111 968 187,00;-1 135 638,00;-1,01
48;12;Еврофинанс Моснарбанк;2402;Москва и обл.;107 037 813,00;84 472 768,00;22 565 045,00;26,71
49;-1;РосЕвроБанк;3137;Москва и обл.;105 042 269,00;103 426 005,00;1 616 264,00;1,56
50;-1;Инвестторгбанк;2763;Москва и обл.;102 888 225,00;102 268 052,00;620 173,00;0,61
51;4;Пробизнесбанк;2412;Москва и обл.;101 895 897,00;94 982 403,00;6 913 494,00;7,28
52;-2;Внешпромбанк;3261;Москва и обл.;101 685 055,00;102 081 843,00;-396 788,00;-0,39
53;0;МСП Банк;3340;Москва и обл.;97 552 210,00;97 168 725,00;383 485,00;0,39
54;-2;РГС Банк;3073;Москва и обл.;97 381 110,00;98 550 255,00;-1 169 145,00;-1,19
55;-1;Татфондбанк;3058;Татарстан;96 513 338,00;96 254 287,00;259 051,00;0,27
56;0;Авангард;2879;Москва и обл.;95 463 437,00;94 216 550,00;1 246 887,00;1,32
57;-6;БНП Париба Банк;3407;Москва и обл.;94 459 308,00;99 456 307,00;-4 996 999,00;-5,02
58;-1;Банк ДОМ.РФ;2312;Москва и обл.;91 685 886,00;87 203 378,00;4 482 508,00;5,14
59;13;Всероссийский Банк Развития Регионов;3287;Москва и обл.;90 785 041,00;73 507 043,00;17 277 998,00;23,51
60;-2;Юниаструм Банк;2771;Москва и обл.;88 204 922,00;85 775 534,00;2 429 388,00;2,83
61;5;Совкомбанк;963;Костромская обл.;86 745 075,00;78 823 050,00;7 922 025,00;10,05
62;-3;КИТ Финанс Инвестиционный Банк;1911;Санкт-Петербург и обл.;86 688 406,00;84 510 434,00;2 177 972,00;2,58
63;0;Банк Интеза;2216;Москва и обл.;86 481 268,00;81 776 421,00;4 704 847,00;5,75
