Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Апрель, 2012, тыс. рублей;Март, 2012, тыс. рублей;Изменение, тыс. рублей;Изменение, %
20;0;Нордеа Банк;3016;Москва и обл.;269 204 404,00;262 363 042,00;6 841 362,00;2,61
21;1;Московский Кредитный Банк;1978;Москва и обл.;242 928 844,00;230 384 827,00;12 544 017,00;5,44
22;-1;Ханты-Мансийский банк Открытие;1971;Тюменская обл.;235 573 822,00;240 704 415,00;-5 130 593,00;-2,13
23;1;Петрокоммерц;1776;Москва и обл.;233 835 694,00;224 988 984,00;8 846 710,00;3,93
24;-1;Связь-Банк;1470;Москва и обл.;232 285 684,00;226 210 001,00;6 075 683,00;2,69
25;4;ИНГ Банк;2495;Москва и обл.;218 136 971,00;189 122 898,00;29 014 073,00;15,34
26;-1;Банк Зенит;3255;Москва и обл.;214 864 626,00;214 460 910,00;403 716,00;0,19
27;-1;Русский Стандарт;2289;Москва и обл.;210 935 297,00;202 158 677,00;8 776 620,00;4,34
28;-1;Глобэкс;1942;Москва и обл.;201 408 341,00;192 460 510,00;8 947 831,00;4,65
29;-1;Возрождение;1439;Москва и обл.;193 020 319,00;189 795 019,00;3 225 300,00;1,70
30;0;Хоум Кредит Банк;316;Москва и обл.;185 287 603,00;174 530 478,00;10 757 125,00;6,16
31;0;Траст;3279;Москва и обл.;178 544 340,00;174 207 315,00;4 337 025,00;2,49
32;0;Банк «Открытие»;2179;Москва и обл.;158 853 906,00;163 416 718,00;-4 562 812,00;-2,79
33;0;Восточный Банк;1460;Амурская обл.;151 802 430,00;146 458 793,00;5 343 637,00;3,65
34;0;Московский Индустриальный Банк;912;Москва и обл.;143 505 600,00;141 755 538,00;1 750 062,00;1,23
35;0;МТС Банк;2268;Москва и обл.;142 204 919,00;137 340 216,00;4 864 703,00;3,54
36;1;ОТП Банк;2766;Москва и обл.;133 704 058,00;122 516 976,00;11 187 082,00;9,13
37;-1;Бинбанк;323;Москва и обл.;129 824 091,00;128 294 346,00;1 529 745,00;1,19
38;3;СКБ-Банк;705;Свердловская обл.;117 981 608,00;108 383 361,00;9 598 247,00;8,86
39;-1;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;113 743 606,00;113 009 794,00;733 812,00;0,65
40;0;Национальный Клиринговый Центр;3466;Москва и обл.;110 030 735,00;108 808 058,00;1 222 677,00;1,12
41;-2;Абсолют Банк;2306;Москва и обл.;109 707 037,00;109 114 617,00;592 420,00;0,54
42;8;РГС Банк;3073;Москва и обл.;109 509 463,00;97 731 616,00;11 777 847,00;12,05
43;1;Транскапиталбанк;2210;Москва и обл.;107 833 909,00;103 591 956,00;4 241 953,00;4,09
44;3;СМП Банк;3368;Москва и обл.;107 703 870,00;101 701 738,00;6 002 132,00;5,90
45;-3;Кредит Европа Банк;3311;Москва и обл.;103 970 808,00;105 381 529,00;-1 410 721,00;-1,34
46;-3;Русфинанс Банк;1792;Самарская обл.;103 709 070,00;104 601 543,00;-892 473,00;-0,85
47;10;Дойче Банк;3328;Москва и обл.;99 028 065,00;83 063 777,00;15 964 288,00;19,22
48;3;Инвестторгбанк;2763;Москва и обл.;98 691 312,00;95 235 624,00;3 455 688,00;3,63
49;-3;МСП Банк;3340;Москва и обл.;97 868 039,00;101 878 061,00;-4 010 022,00;-3,94
50;-2;Пробизнесбанк;2412;Москва и обл.;97 796 746,00;101 501 028,00;-3 704 282,00;-3,65
51;-2;БНП Париба Банк;3407;Москва и обл.;96 991 342,00;98 099 131,00;-1 107 789,00;-1,13
52;0;Новикомбанк;2546;Москва и обл.;96 720 780,00;94 531 312,00;2 189 468,00;2,32
53;1;РосЕвроБанк;3137;Москва и обл.;90 768 740,00;85 936 310,00;4 832 430,00;5,62
54;-1;Банк Интеза;2216;Москва и обл.;89 084 614,00;86 175 867,00;2 908 747,00;3,38
55;4;Авангард;2879;Москва и обл.;87 072 910,00;81 197 329,00;5 875 581,00;7,24
56;-1;Внешпромбанк;3261;Москва и обл.;85 933 837,00;83 869 298,00;2 064 539,00;2,46
57;-12;Национальный Расчетный Депозитарий;3294;Москва и обл.;85 374 948,00;103 325 546,00;-17 950 598,00;-17,37
58;0;Татфондбанк;3058;Татарстан;84 857 881,00;82 399 234,00;2 458 647,00;2,98
59;-3;Юниаструм Банк;2771;Москва и обл.;83 402 037,00;83 639 526,00;-237 489,00;-0,28
60;2;КИТ Финанс Инвестиционный Банк;1911;Санкт-Петербург и обл.;81 577 215,00;76 896 736,00;4 680 479,00;6,09
61;-1;Балтийский Банк;128;Москва и обл.;80 484 023,00;80 016 248,00;467 775,00;0,58
62;-1;Союз;2307;Москва и обл.;77 522 649,00;79 845 182,00;-2 322 533,00;-2,91
63;2;Запсибкомбанк;918;Тюменская обл.;73 368 648,00;73 016 292,00;352 356,00;0,48
64;0;Мастер-Банк;2176;Москва и обл.;72 816 967,00;76 161 359,00;-3 344 392,00;-4,39
65;2;Ренессанс Кредит;3354;Москва и обл.;72 409 047,00;68 469 763,00;3 939 284,00;5,75
66;0;Банк ДОМ.РФ;2312;Москва и обл.;72 259 033,00;69 456 308,00;2 802 725,00;4,04
67;5;ЦентроКредит;121;Москва и обл.;71 996 682,00;63 389 252,00;8 607 430,00;13,58
68;5;Пересвет;2110;Москва и обл.;67 383 085,00;61 874 653,00;5 508 432,00;8,90
69;-6;Всероссийский Банк Развития Регионов;3287;Москва и обл.;65 636 544,00;76 675 414,00;-11 038 870,00;-14,40
70;0;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;65 073 918,00;65 111 397,00;-37 479,00;-0,06
71;-3;Собинбанк;1317;Москва и обл.;64 645 589,00;67 071 842,00;-2 426 253,00;-3,62
72;-1;ДельтаКредит;3338;Москва и обл.;64 437 583,00;63 658 448,00;779 135,00;1,22
73;-4;Роскосмосбанк;2989;Москва и обл.;63 540 421,00;66 159 134,00;-2 618 713,00;-3,96
74;2;Совкомбанк;963;Костромская обл.;62 675 339,00;58 629 041,00;4 046 298,00;6,90
75;68;Банк Кредит Свисс;2494;Москва и обл.;61 076 154,00;21 623 882,00;39 452 272,00;182,45
76;-1;Балтинвестбанк;3176;Санкт-Петербург и обл.;60 888 409,00;59 058 647,00;1 829 762,00;3,10
77;-3;Локо-Банк;2707;Москва и обл.;58 474 461,00;59 283 757,00;-809 296,00;-1,37
78;-1;Центр-инвест;2225;Ростовская обл.;57 931 898,00;56 946 289,00;985 609,00;1,73
79;6;Нота-Банк;2913;Москва и обл.;53 707 618,00;47 263 440,00;6 444 178,00;13,63
80;-2;Международный Банк Санкт-Петербурга (МБСП);197;Санкт-Петербург и обл.;53 035 521,00;55 081 147,00;-2 045 626,00;-3,71
81;0;Экспо Финанс;2594;Москва и обл.;53 005 909,00;48 924 029,00;4 081 880,00;8,34
82;1;Меткомбанк (Каменск-Уральский);2443;Свердловская обл.;51 680 154,00;47 504 850,00;4 175 304,00;8,79
83;-3;Эйч-Эс-Би-Си Банк (HSBC);3290;Москва и обл.;50 329 437,00;49 392 240,00;937 197,00;1,90
84;-2;Металлинвестбанк;2440;Москва и обл.;49 488 895,00;48 835 411,00;653 484,00;1,34
85;-1;Банк Сберегательно-Кредитного Сервиса;3224;Москва и обл.;47 989 487,00;47 498 179,00;491 308,00;1,03
86;2;Связной Банк;1961;Москва и обл.;47 874 625,00;44 660 191,00;3 214 434,00;7,20
87;-1;Сургутнефтегазбанк;588;Тюменская обл.;47 869 270,00;45 674 043,00;2 195 227,00;4,81
88;-1;Креди Агриколь КИБ;1680;Санкт-Петербург и обл.;47 637 228,00;45 540 927,00;2 096 301,00;4,60
89;0;Инвестбанк;107;Москва и обл.;45 391 975,00;44 597 560,00;794 415,00;1,78
90;-11;Еврофинанс Моснарбанк;2402;Москва и обл.;44 903 201,00;53 805 773,00;-8 902 572,00;-16,55
91;0;СБ Банк (Судостроительный банк);2999;Москва и обл.;44 195 215,00;43 134 952,00;1 060 263,00;2,46
92;0;Первобанк;3461;Самарская обл.;42 167 974,00;41 375 828,00;792 146,00;1,91
93;0;Национальный Стандарт;3421;Москва и обл.;41 359 535,00;41 264 530,00;95 005,00;0,23
94;-4;Национальный Резервный Банк;2170;Москва и обл.;40 332 818,00;44 498 427,00;-4 165 609,00;-9,36
95;-1;Бинбанк Диджитал;2827;Москва и обл.;39 686 192,00;38 768 069,00;918 123,00;2,37
96;-1;Международный Финансовый Клуб;2618;Москва и обл.;39 660 239,00;38 059 610,00;1 600 629,00;4,21
97;0;Таврический Банк;2304;Санкт-Петербург и обл.;37 784 671,00;36 504 950,00;1 279 721,00;3,51
98;29;Меткомбанк (Череповец);901;Вологодская обл.;37 395 739,00;25 525 473,00;11 870 266,00;46,50
99;-1;Банк БФА;3038;Санкт-Петербург и обл.;37 385 181,00;34 436 406,00;2 948 775,00;8,56
100;20;Мир Бизнес Банк;3396;Москва и обл.;37 102 085,00;26 736 823,00;10 365 262,00;38,77
101;-1;Интеркоммерц Банк;1657;Москва и обл.;36 821 424,00;33 990 695,00;2 830 729,00;8,33
102;-1;Тинькофф Банк;2673;Москва и обл.;35 336 951,00;33 769 135,00;1 567 816,00;4,64
103;-7;Стройкредит;18;Москва и обл.;34 241 180,00;36 825 110,00;-2 583 930,00;-7,02
104;-2;Экспресс-Волга;3085;Саратовская обл.;33 602 625,00;32 964 674,00;637 951,00;1,94
105;-6;Дальневосточный Банк;843;Приморский край;32 459 519,00;34 002 333,00;-1 542 814,00;-4,54
106;-3;Челябинвестбанк;493;Челябинская обл.;31 560 085,00;31 939 860,00;-379 775,00;-1,19
107;-3;Челиндбанк;485;Челябинская обл.;31 279 774,00;31 427 388,00;-147 614,00;-0,47
108;-3;Кубань Кредит;2518;Краснодарский край;31 265 389,00;31 032 164,00;233 225,00;0,75
109;-1;Саровбизнесбанк;2048;Нижегородская обл.;30 382 913,00;29 659 301,00;723 612,00;2,44
110;-4;Межтопэнергобанк;2956;Москва и обл.;30 278 004,00;30 301 929,00;-23 925,00;-0,08
111;-1;Московский Областной Банк;1751;Москва и обл.;29 998 349,00;29 329 809,00;668 540,00;2,28
112;-3;Народный Кредит;2401;Москва и обл.;29 663 356,00;29 594 602,00;68 754,00;0,23
113;-6;Современный Коммерческий Банк (бывш. ДжиИ Мани Банк);3316;Москва и обл.;29 333 140,00;29 903 624,00;-570 484,00;-1,91
114;16;Тойота Банк;3470;Москва и обл.;29 141 090,00;25 215 717,00;3 925 373,00;15,57
115;10;Русский Международный Банк;3123;Москва и обл.;28 651 869,00;25 847 448,00;2 804 421,00;10,85
116;-5;Коммерцбанк (Евразия);3333;Москва и обл.;28 442 447,00;28 129 932,00;312 515,00;1,11
117;-4;СДМ-Банк;1637;Москва и обл.;28 191 045,00;28 078 714,00;112 331,00;0,40
118;-1;НС Банк;3124;Москва и обл.;28 145 483,00;27 561 992,00;583 491,00;2,12
119;0;Первый Республиканский Банк;1730;Москва и обл.;27 746 675,00;26 916 692,00;829 983,00;3,08
120;-8;Газбанк;2316;Самарская обл.;27 672 482,00;28 122 128,00;-449 646,00;-1,60
121;-7;Кедр;1574;Москва и обл.;27 605 448,00;27 856 358,00;-250 910,00;-0,90
122;-7;Примсоцбанк;2733;Приморский край;27 524 320,00;27 791 831,00;-267 511,00;-0,96
123;5;Интерпромбанк;3266;Москва и обл.;27 430 077,00;25 421 214,00;2 008 863,00;7,90
124;7;Сведбанк;3064;Москва и обл.;27 102 455,00;24 960 266,00;2 142 189,00;8,58
125;-9;Севергазбанк;2816;Вологодская обл.;26 906 523,00;27 757 854,00;-851 331,00;-3,07
126;0;Крайинвестбанк;3360;Краснодарский край;26 823 647,00;25 779 653,00;1 043 994,00;4,05
127;-5;Далькомбанк;84;Хабаровский край;26 260 713,00;26 363 330,00;-102 617,00;-0,39
128;8;Смоленский Банк;2029;Смоленская обл.;26 043 403,00;23 942 861,00;2 100 542,00;8,77
129;30;ПЧРБ Банк;3291;Москва и обл.;26 038 759,00;17 841 173,00;8 197 586,00;45,95
130;7;Мой Банк;2939;Москва и обл.;25 941 875,00;23 851 340,00;2 090 535,00;8,76
131;-8;Приморье;3001;Приморский край;25 884 796,00;26 078 743,00;-193 947,00;-0,74
132;-8;Фора-Банк;1885;Москва и обл.;25 807 018,00;26 055 066,00;-248 048,00;-0,95
133;1;Пушкино;391;Москва и обл.;25 513 302,00;24 209 596,00;1 303 706,00;5,39
134;-5;Банк АВБ;23;Самарская обл.;25 345 580,00;25 307 473,00;38 107,00;0,15
135;-14;Липецккомбанк;1242;Липецкая обл.;25 283 751,00;26 492 475,00;-1 208 724,00;-4,56
136;-3;М2М Прайвет Банк;1414;Москва и обл.;25 162 411,00;24 703 302,00;459 109,00;1,86
137;1;Акибанк;2587;Татарстан;24 682 829,00;23 766 447,00;916 382,00;3,86
138;-6;Кольцо Урала;65;Свердловская обл.;24 542 870,00;24 815 955,00;-273 085,00;-1,10
139;-4;Москоммерцбанк;3365;Москва и обл.;24 060 011,00;24 145 155,00;-85 144,00;-0,35
140;-1;БФГ-Кредит;3068;Москва и обл.;23 155 535,00;23 507 092,00;-351 557,00;-1,50
141;-1;АМБ Банк;3036;Москва и обл.;22 680 099,00;23 089 093,00;-408 994,00;-1,77
142;-24;Расчетная Палата РТС;3335;Москва и обл.;22 618 397,00;27 537 257,00;-4 918 860,00;-17,86
143;2;Кредит Урал Банк;2584;Челябинская обл.;22 172 841,00;21 458 665,00;714 176,00;3,33
144;2;МБА-Москва;3395;Москва и обл.;21 974 241,00;21 169 268,00;804 973,00;3,80
145;2;Левобережный;1343;Новосибирская обл.;21 891 858,00;21 084 600,00;807 258,00;3,83
146;-5;Девон-Кредит;1972;Татарстан;21 727 177,00;21 796 879,00;-69 702,00;-0,32
147;5;Солидарность;554;Самарская обл.;20 904 129,00;19 994 597,00;909 532,00;4,55
148;-6;Интерпрогрессбанк;600;Москва и обл.;20 817 944,00;21 696 447,00;-878 503,00;-4,05
149;-5;Альта-Банк;2269;Москва и обл.;20 716 497,00;21 470 707,00;-754 210,00;-3,51
150;-2;ГПБ-Ипотека;2403;Москва и обл.;20 541 241,00;20 409 037,00;132 204,00;0,65
151;-2;Агропромкредит;2880;Москва и обл.;20 223 675,00;20 235 346,00;-11 671,00;-0,06
152;-1;ФИА-Банк;2542;Самарская обл.;20 165 177,00;20 168 780,00;-3 603,00;-0,02
153;-3;Росэнергобанк;2211;Москва и обл.;20 135 185,00;20 175 314,00;-40 129,00;-0,20
154;10;Экспобанк;2998;Москва и обл.;19 606 855,00;16 850 714,00;2 756 141,00;16,36
155;-1;Банк Проектного Финансирования;1677;Москва и обл.;18 895 540,00;18 642 795,00;252 745,00;1,36
156;2;БМВ Банк;3482;Москва и обл.;18 830 129,00;17 977 363,00;852 766,00;4,74
157;0;Натиксис Банк;3390;Москва и обл.;18 767 285,00;18 012 429,00;754 856,00;4,19
158;-3;С банк;2581;Москва и обл.;18 764 793,00;18 289 101,00;475 692,00;2,60
159;-3;Урал ФД;249;Пермская обл.;18 539 961,00;18 262 527,00;277 434,00;1,52
160;2;Образование;1521;Москва и обл.;18 451 423,00;17 520 399,00;931 024,00;5,31
161;-8;Тимер Банк;1581;Татарстан;18 377 513,00;18 937 254,00;-559 741,00;-2,96
162;1;Русстройбанк;3205;Москва и обл.;17 866 211,00;17 093 524,00;772 687,00;4,52
163;-2;Спурт Банк;2207;Татарстан;17 526 723,00;17 639 896,00;-113 173,00;-0,64
164;-4;Уралтрансбанк;812;Свердловская обл.;17 467 306,00;17 757 083,00;-289 777,00;-1,63
165;1;Энергобанк;67;Татарстан;17 244 714,00;16 679 506,00;565 208,00;3,39
166;-1;НОМОС-Региобанк;539;Хабаровский край;16 593 022,00;16 846 207,00;-253 185,00;-1,50
167;11;ББР Банк;2929;Москва и обл.;16 579 167,00;14 802 980,00;1 776 187,00;12,00
168;-1;Модульбанк;1927;Костромская обл.;16 526 487,00;16 437 014,00;89 473,00;0,54
169;2;БыстроБанк;1745;Удмуртия;16 295 670,00;15 871 771,00;423 899,00;2,67
170;-1;Европейский Трастовый Банк;2968;Москва и обл.;16 251 157,00;16 129 383,00;121 774,00;0,75
171;-3;Сумитомо Мицуи Рус Банк;3494;Москва и обл.;16 240 451,00;16 169 187,00;71 264,00;0,44
172;26;Банк РСБ 24 (Русславбанк);1073;Москва и обл.;15 973 228,00;13 032 423,00;2 940 805,00;22,57
173;-1;Инвесткапиталбанк;2377;Башкортостан;15 792 718,00;15 775 445,00;17 273,00;0,11
174;11;Рост;2589;Москва и обл.;15 640 554,00;14 018 792,00;1 621 762,00;11,57
175;-2;Норвик Банк;902;Кировская обл.;15 541 948,00;15 771 946,00;-229 998,00;-1,46
176;15;Развитие-Столица;3013;Москва и обл.;15 278 270,00;13 472 677,00;1 805 593,00;13,40
177;-7;Морской Банк;77;Москва и обл.;15 193 721,00;16 100 734,00;-907 013,00;-5,63
178;8;Аверс;415;Татарстан;15 154 416,00;14 001 846,00;1 152 570,00;8,23
179;-2;Мосстройэкономбанк (М Банк);948;Москва и обл.;15 100 645,00;14 846 262,00;254 383,00;1,71
180;-4;НБД-Банк;1966;Нижегородская обл.;14 991 202,00;14 906 311,00;84 891,00;0,57
181;-2;Курскпромбанк;735;Курская обл.;14 839 657,00;14 796 299,00;43 358,00;0,29
182;-2;Интехбанк;2705;Татарстан;14 769 932,00;14 598 164,00;171 768,00;1,18
183;-1;Алмазэргиэнбанк;2602;Саха (Якутия);14 681 779,00;14 401 088,00;280 691,00;1,95
184;-3;Легион;3117;Москва и обл.;14 629 245,00;14 503 786,00;125 459,00;0,87
185;7;Петербургский Социальный Коммерческий Банк;2551;Санкт-Петербург и обл.;14 298 972,00;13 333 897,00;965 075,00;7,24
186;-11;Гута-Банк;256;Москва и обл.;14 270 063,00;15 008 314,00;-738 251,00;-4,92
187;-13;Аресбанк;2914;Москва и обл.;14 206 365,00;15 263 722,00;-1 057 357,00;-6,93
188;0;Эллипс Банк;1950;Нижегородская обл.;14 114 146,00;13 854 203,00;259 943,00;1,88
189;4;Фининвест;671;Москва и обл.;14 050 462,00;13 300 427,00;750 035,00;5,64
190;20;БКС Банк;101;Новосибирская обл.;13 984 823,00;12 138 058,00;1 846 765,00;15,21
191;-2;Рост Банк;2888;Татарстан;13 940 411,00;13 791 182,00;149 229,00;1,08
192;-2;Новокузнецкий Муниципальный Банк;2865;Кемеровская обл.;13 867 796,00;13 771 508,00;96 288,00;0,70
193;-10;Углеметбанк;2997;Челябинская обл.;13 835 196,00;14 159 330,00;-324 134,00;-2,29
194;5;НК Банк;2755;Москва и обл.;13 519 284,00;12 999 457,00;519 827,00;4,00
195;-1;Центркомбанк;2983;Москва и обл.;13 478 195,00;13 286 250,00;191 945,00;1,44
196;-9;Банк «Советский»;558;Санкт-Петербург и обл.;13 459 654,00;13 856 632,00;-396 978,00;-2,86
197;-13;Ланта-Банк;1920;Москва и обл.;13 458 758,00;14 074 128,00;-615 370,00;-4,37
198;-1;АйМаниБанк;1975;Республика Алтай;13 376 257,00;13 042 824,00;333 433,00;2,56
199;-3;Сетелем Банк;2168;Москва и обл.;13 263 205,00;13 200 897,00;62 308,00;0,47
200;1;Пойдем!;2534;Москва и обл.;13 199 548,00;12 770 277,00;429 271,00;3,36
201;6;Гаранти Банк — Москва;3275;Москва и обл.;13 008 547,00;12 285 710,00;722 837,00;5,88
202;-7;Александровский;53;Санкт-Петербург и обл.;12 933 398,00;13 211 975,00;-278 577,00;-2,11
203;-1;ВУЗ-Банк;1557;Свердловская обл.;12 827 865,00;12 723 790,00;104 075,00;0,82
204;1;Первомайский;518;Краснодарский край;12 762 664,00;12 440 260,00;322 404,00;2,59
205;-1;МАСТ-Банк;3267;Москва и обл.;12 618 753,00;12 441 193,00;177 560,00;1,43
206;-3;Газэнергобанк;3252;Калужская обл.;12 604 782,00;12 502 507,00;102 275,00;0,82
207;-7;Российский Кредит;324;Москва и обл.;12 585 720,00;12 874 406,00;-288 686,00;-2,24
208;24;Нацинвестпромбанк;3077;Москва и обл.;12 468 247,00;10 445 455,00;2 022 792,00;19,37
209;14;Западный;2598;Москва и обл.;12 459 701,00;10 983 714,00;1 475 987,00;13,44
210;2;Огни Москвы;2328;Москва и обл.;12 276 114,00;11 736 456,00;539 658,00;4,60
211;0;Банк ПСА Финанс Рус;3481;Москва и обл.;12 245 819,00;11 974 878,00;270 941,00;2,26
212;-3;Держава;2738;Москва и обл.;12 080 140,00;12 170 713,00;-90 573,00;-0,74
213;11;Энерготрансбанк;1307;Калининградская обл.;11 914 547,00;10 949 620,00;964 927,00;8,81
214;0;РосДорБанк;1573;Москва и обл.;11 912 380,00;11 398 834,00;513 546,00;4,51
215;-7;Форштадт;2208;Оренбургская обл.;11 849 720,00;12 178 728,00;-329 008,00;-2,70
216;6;Финпромбанк (ФПБ Банк);2157;Москва и обл.;11 739 957,00;11 021 015,00;718 942,00;6,52
217;9;Национальная Факторинговая Компания;3437;Москва и обл.;11 650 751,00;10 747 017,00;903 734,00;8,41
218;20;Экопромбанк;2011;Пермская обл.;11 631 268,00;9 983 116,00;1 648 152,00;16,51
219;-13;Энергомашбанк;52;Санкт-Петербург и обл.;11 606 191,00;12 380 770,00;-774 579,00;-6,26
220;-2;Солидарность (Москва);1555;Москва и обл.;11 600 615,00;11 229 414,00;371 201,00;3,31
221;-5;Банк24.ру;2227;Свердловская обл.;11 530 061,00;11 320 567,00;209 494,00;1,85
222;-7;Гранд Инвест Банк;3053;Москва и обл.;11 515 325,00;11 322 261,00;193 064,00;1,71
223;140;Экси-Банк;2530;Санкт-Петербург и обл.;11 371 961,00;4 899 820,00;6 472 141,00;132,09
224;-11;Тольяттихимбанк;2507;Самарская обл.;11 341 258,00;11 431 403,00;-90 145,00;-0,79
225;0;Балтика;967;Санкт-Петербург и обл.;11 339 411,00;10 875 534,00;463 877,00;4,27
226;1;СтарБанк;548;Москва и обл.;11 168 422,00;10 716 140,00;452 282,00;4,22
227;-6;Социнвестбанк;1132;Башкортостан;11 139 044,00;11 026 798,00;112 246,00;1,02
228;5;ТЭМБР-Банк;2764;Москва и обл.;11 061 080,00;10 433 054,00;628 026,00;6,02
229;-12;Мерседес-Бенц Банк Рус;3473;Москва и обл.;11 036 745,00;11 285 614,00;-248 869,00;-2,21
230;1;Алеф-Банк;2119;Москва и обл.;10 929 720,00;10 468 642,00;461 078,00;4,40
231;-3;Московское Ипотечное Агентство;3344;Москва и обл.;10 771 037,00;10 653 850,00;117 187,00;1,10
232;2;Интрастбанк;3144;Москва и обл.;10 713 360,00;10 405 328,00;308 032,00;2,96
233;3;АктивКапитал Банк;3006;Самарская обл.;10 623 547,00;10 162 534,00;461 013,00;4,54
234;-5;Хлынов;254;Кировская обл.;10 595 599,00;10 592 185,00;3 414,00;0,03
235;23;Бэнк оф Чайна;2309;Москва и обл.;10 585 394,00;8 746 452,00;1 838 942,00;21,03
236;34;АйСиБиСи Банк;3475;Москва и обл.;10 575 544,00;8 296 776,00;2 278 768,00;27,47
237;0;Прио-Внешторгбанк;212;Рязанская обл.;10 163 419,00;10 099 337,00;64 082,00;0,63
238;2;Квантмобайл Банк;1189;Омская обл.;9 980 107,00;9 896 197,00;83 910,00;0,85
239;16;Адмиралтейский;3054;Москва и обл.;9 927 744,00;9 007 308,00;920 436,00;10,22
240;-1;Расчетно-Кредитный Банк;103;Москва и обл.;9 829 779,00;9 979 557,00;-149 778,00;-1,50
241;1;Национальный Банк Развития Бизнеса;2795;Москва и обл.;9 822 043,00;9 617 621,00;204 422,00;2,13
242;6;СИАБ;3245;Санкт-Петербург и обл.;9 743 519,00;9 262 596,00;480 923,00;5,19
243;0;Роспромбанк;3204;Москва и обл.;9 690 560,00;9 537 071,00;153 489,00;1,61
244;-3;Холдинг-Кредит;3030;Москва и обл.;9 661 151,00;9 719 910,00;-58 759,00;-0,60
245;32;Метробанк;2548;Москва и обл.;9 657 147,00;7 838 052,00;1 819 095,00;23,21
246;-1;Экономбанк;1319;Саратовская обл.;9 560 787,00;9 474 496,00;86 291,00;0,91
247;7;РосинтерБанк;226;Москва и обл.;9 525 793,00;9 033 797,00;491 996,00;5,45
248;-29;МАК-Банк;1088;Москва и обл.;9 504 274,00;11 137 023,00;-1 632 749,00;-14,66
249;1;Европейский;1616;Калининградская обл.;9 368 705,00;9 189 696,00;179 009,00;1,95
250;-3;Банк Оренбург;3269;Оренбургская обл.;9 349 364,00;9 436 546,00;-87 182,00;-0,92
251;-16;РусЮгбанк;2093;Волгоградская обл.;9 314 419,00;10 340 091,00;-1 025 672,00;-9,92
252;-6;Росэксимбанк;2790;Москва и обл.;9 306 046,00;9 437 886,00;-131 840,00;-1,40
253;6;Банк Акцепт;567;Новосибирская обл.;9 103 650,00;8 723 486,00;380 164,00;4,36
254;-3;Международный Банк Развития;2704;Москва и обл.;9 068 050,00;9 185 551,00;-117 501,00;-1,28
255;8;Денизбанк Москва;3330;Москва и обл.;9 008 533,00;8 515 905,00;492 628,00;5,78
256;-12;Тройка-Д Банк;3431;Москва и обл.;8 971 309,00;9 480 946,00;-509 637,00;-5,38
257;-4;Новосибирский Муниципальный Банк;2786;Новосибирская обл.;8 953 606,00;9 037 543,00;-83 937,00;-0,93
258;-28;Замоскворецкий;1640;Москва и обл.;8 916 695,00;10 477 680,00;-1 560 985,00;-14,90
259;-10;Современный Коммерческий Инновационный Банк;3329;Москва и обл.;8 908 667,00;9 215 984,00;-307 317,00;-3,33
