Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Апрель, 2012, тыс. рублей;Март, 2012, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;11 547 052 205,00;11 275 964 869,00;271 087 336,00;2,40
2;0;ВТБ;1000;Санкт-Петербург и обл.;3 810 115 830,00;3 869 102 788,00;-58 986 958,00;-1,52
3;0;Газпромбанк;354;Москва и обл.;2 405 543 451,00;2 397 893 076,00;7 650 375,00;0,32
4;0;Россельхозбанк;3349;Москва и обл.;1 423 141 534,00;1 419 037 703,00;4 103 831,00;0,29
5;0;БМ-Банк;2748;Москва и обл.;1 221 285 536,00;1 237 048 581,00;-15 763 045,00;-1,27
6;0;ВТБ 24;1623;Москва и обл.;1 207 392 018,00;1 171 647 355,00;35 744 663,00;3,05
7;0;Альфа-Банк;1326;Москва и обл.;987 838 733,00;948 464 882,00;39 373 851,00;4,15
8;0;ЮниКредит Банк;1;Москва и обл.;842 647 284,00;856 073 720,00;-13 426 436,00;-1,57
9;0;Росбанк;2272;Москва и обл.;628 641 587,00;637 175 750,00;-8 534 163,00;-1,34
10;0;Райффайзенбанк;3292;Москва и обл.;594 802 880,00;564 625 706,00;30 177 174,00;5,34
11;0;Промсвязьбанк;3251;Москва и обл.;578 115 999,00;558 313 565,00;19 802 434,00;3,55
12;0;Транскредитбанк;2142;Москва и обл.;496 081 299,00;495 329 110,00;752 189,00;0,15
13;0;Банк Открытие;2209;Москва и обл.;481 998 332,00;476 324 292,00;5 674 040,00;1,19
14;0;Банк Уралсиб;30;Москва и обл.;436 337 263,00;437 236 864,00;-899 601,00;-0,21
15;0;МДМ Банк;2562;Новосибирская обл.;366 140 406,00;354 626 360,00;11 514 046,00;3,25
16;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;363 508 724,00;334 193 418,00;29 315 306,00;8,77
17;2;Россия;328;Санкт-Петербург и обл.;318 704 377,00;297 889 738,00;20 814 639,00;6,99
18;-1;Ситибанк;2557;Москва и обл.;309 487 452,00;304 873 725,00;4 613 727,00;1,51
19;-1;Ак Барс;2590;Татарстан;307 764 849,00;300 761 206,00;7 003 643,00;2,33
