Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Июнь, 2014, тыс. рублей;Май, 2014, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;17 916 590 174,00;17 827 517 758,00;89 072 416,00;0,50
2;0;ВТБ;1000;Санкт-Петербург и обл.;6 255 620 145,00;6 247 881 358,00;7 738 787,00;0,12
3;0;Газпромбанк;354;Москва и обл.;3 912 129 498,00;3 909 019 619,00;3 109 879,00;0,08
4;0;ВТБ 24;1623;Москва и обл.;2 380 578 773,00;2 317 913 731,00;62 665 042,00;2,70
5;0;Россельхозбанк;3349;Москва и обл.;1 941 267 472,00;1 890 877 557,00;50 389 915,00;2,66
6;0;БМ-Банк;2748;Москва и обл.;1 910 533 506,00;1 858 973 464,00;51 560 042,00;2,77
7;0;Альфа-Банк;1326;Москва и обл.;1 553 548 233,00;1 533 393 746,00;20 154 487,00;1,31
8;0;Банк Открытие;2209;Москва и обл.;1 039 494 580,00;971 142 215,00;68 352 365,00;7,04
9;4;Национальный Клиринговый Центр;3466;Москва и обл.;911 321 145,00;756 168 468,00;155 152 677,00;20,52
10;-1;ЮниКредит Банк;1;Москва и обл.;896 838 419,00;878 466 897,00;18 371 522,00;2,09
11;0;Промсвязьбанк;3251;Москва и обл.;812 760 032,00;814 557 673,00;-1 797 641,00;-0,22
12;-2;Росбанк;2272;Москва и обл.;804 878 405,00;819 550 494,00;-14 672 089,00;-1,79
13;-1;Райффайзенбанк;3292;Москва и обл.;742 009 345,00;769 776 741,00;-27 767 396,00;-3,61
14;1;Московский Кредитный Банк;1978;Москва и обл.;472 219 294,00;456 516 791,00;15 702 503,00;3,44
15;-1;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;453 951 226,00;456 830 369,00;-2 879 143,00;-0,63
16;1;Русский Стандарт;2289;Москва и обл.;400 835 671,00;403 458 615,00;-2 622 944,00;-0,65
17;-1;Россия;328;Санкт-Петербург и обл.;400 488 021,00;414 558 912,00;-14 070 891,00;-3,39
18;0;Ак Барс;2590;Татарстан;393 851 360,00;392 105 809,00;1 745 551,00;0,45
19;0;Банк Уралсиб;30;Москва и обл.;383 562 199,00;379 912 372,00;3 649 827,00;0,96
20;0;Хоум Кредит Банк;316;Москва и обл.;363 907 039,00;352 804 771,00;11 102 268,00;3,15
21;1;МДМ Банк;2562;Новосибирская обл.;347 278 148,00;343 656 280,00;3 621 868,00;1,05
22;3;Ситибанк;2557;Москва и обл.;339 346 117,00;318 186 552,00;21 159 565,00;6,65
23;1;Связь-Банк;1470;Москва и обл.;334 986 529,00;318 889 982,00;16 096 547,00;5,05
24;-3;Ханты-Мансийский банк Открытие;1971;Тюменская обл.;331 023 587,00;345 896 850,00;-14 873 263,00;-4,30
25;-2;Нордеа Банк;3016;Москва и обл.;326 769 687,00;329 942 770,00;-3 173 083,00;-0,96
26;11;СМП Банк;3368;Москва и обл.;276 523 230,00;196 120 265,00;80 402 965,00;41,00
27;1;Банк Зенит;3255;Москва и обл.;265 631 121,00;259 773 798,00;5 857 323,00;2,25
28;-2;Восточный Банк;1460;Амурская обл.;265 558 772,00;265 993 359,00;-434 587,00;-0,16
29;-2;Петрокоммерц;1776;Москва и обл.;262 920 218,00;260 002 852,00;2 917 366,00;1,12
30;-1;Глобэкс;1942;Москва и обл.;256 812 098,00;247 124 051,00;9 688 047,00;3,92
31;0;Бинбанк;323;Москва и обл.;250 735 271,00;236 072 791,00;14 662 480,00;6,21
32;-2;Траст;3279;Москва и обл.;248 041 814,00;245 045 668,00;2 996 146,00;1,22
33;44;Московский Областной Банк;1751;Москва и обл.;226 796 232,00;71 347 221,00;155 449 011,00;217,88
34;-1;Возрождение;1439;Москва и обл.;223 472 710,00;224 619 306,00;-1 146 596,00;-0,51
35;0;Банк «Открытие»;2179;Москва и обл.;222 257 418,00;206 733 638,00;15 523 780,00;7,51
36;-2;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;221 380 877,00;215 549 340,00;5 831 537,00;2,71
37;-5;ИНГ Банк;2495;Москва и обл.;218 313 168,00;227 516 509,00;-9 203 341,00;-4,05
38;-2;Абсолют Банк;2306;Москва и обл.;195 218 925,00;198 810 207,00;-3 591 282,00;-1,81
39;-1;Московский Индустриальный Банк;912;Москва и обл.;194 567 411,00;195 810 885,00;-1 243 474,00;-0,64
40;-1;МТС Банк;2268;Москва и обл.;193 366 290,00;186 422 521,00;6 943 769,00;3,72
41;-1;Новикомбанк;2546;Москва и обл.;181 262 314,00;176 643 611,00;4 618 703,00;2,61
42;-1;Внешпромбанк;3261;Москва и обл.;176 143 043,00;172 900 127,00;3 242 916,00;1,88
43;-1;Совкомбанк;963;Костромская обл.;176 128 228,00;162 988 400,00;13 139 828,00;8,06
