Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Июнь, 2014, тыс. рублей;Май, 2014, тыс. рублей;Изменение, тыс. рублей;Изменение, %
44;-1;ОТП Банк;2766;Москва и обл.;163 361 605,00;158 167 584,00;5 194 021,00;3,28
45;-1;Кредит Европа Банк;3311;Москва и обл.;155 255 961,00;156 692 016,00;-1 436 055,00;-0,92
46;-1;Транскапиталбанк;2210;Москва и обл.;141 160 951,00;148 157 790,00;-6 996 839,00;-4,72
47;-1;РосЕвроБанк;3137;Москва и обл.;139 832 287,00;136 405 470,00;3 426 817,00;2,51
48;11;Национальный Расчетный Депозитарий;3294;Москва и обл.;137 117 061,00;108 943 394,00;28 173 667,00;25,86
49;12;Дойче Банк;3328;Москва и обл.;135 288 615,00;104 917 429,00;30 371 186,00;28,95
50;-3;МСП Банк;3340;Москва и обл.;133 979 727,00;135 873 890,00;-1 894 163,00;-1,39
51;-3;Татфондбанк;3058;Татарстан;132 393 838,00;131 220 967,00;1 172 871,00;0,89
52;-3;Банк ДОМ.РФ;2312;Москва и обл.;131 024 573,00;130 084 876,00;939 697,00;0,72
53;-3;СКБ-Банк;705;Свердловская обл.;126 431 330,00;127 411 033,00;-979 703,00;-0,77
54;-2;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;123 415 870,00;122 780 924,00;634 946,00;0,52
55;-1;РГС Банк;3073;Москва и обл.;123 233 792,00;121 641 827,00;1 591 965,00;1,31
56;-3;Инвестторгбанк;2763;Москва и обл.;122 594 278,00;122 342 498,00;251 780,00;0,21
57;-6;Ренессанс Кредит;3354;Москва и обл.;121 081 276,00;122 992 994,00;-1 911 718,00;-1,55
58;-3;Авангард;2879;Москва и обл.;119 035 847,00;117 626 493,00;1 409 354,00;1,20
59;-2;ДельтаКредит;3338;Москва и обл.;118 658 369,00;114 071 871,00;4 586 498,00;4,02
60;-4;Русфинанс Банк;1792;Самарская обл.;116 855 918,00;116 734 843,00;121 075,00;0,10
61;-3;Тинькофф Банк;2673;Москва и обл.;113 257 637,00;110 328 174,00;2 929 463,00;2,66
62;1;Российский Кредит;324;Москва и обл.;105 246 963,00;101 456 701,00;3 790 262,00;3,74
63;-3;Пробизнесбанк;2412;Москва и обл.;104 527 474,00;106 060 280,00;-1 532 806,00;-1,45
64;-2;Пересвет;2110;Москва и обл.;103 136 832,00;104 136 134,00;-999 302,00;-0,96
65;0;Запсибкомбанк;918;Тюменская обл.;96 830 481,00;95 418 512,00;1 411 969,00;1,48
66;-2;Всероссийский Банк Развития Регионов;3287;Москва и обл.;95 887 080,00;99 788 850,00;-3 901 770,00;-3,91
67;0;Банк БФА;3038;Санкт-Петербург и обл.;89 116 543,00;88 367 272,00;749 271,00;0,85
68;1;Рост Банк;2888;Москва и обл.;87 391 203,00;83 508 718,00;3 882 485,00;4,65
69;3;Союз;2307;Москва и обл.;83 249 018,00;82 156 480,00;1 092 538,00;1,33
70;3;Центр-инвест;2225;Ростовская обл.;81 738 381,00;80 615 304,00;1 123 077,00;1,39
71;-5;БНП Париба Банк;3407;Москва и обл.;81 265 705,00;88 875 255,00;-7 609 550,00;-8,56
72;-4;ЦентроКредит;121;Москва и обл.;81 186 451,00;83 760 806,00;-2 574 355,00;-3,07
73;-2;Нота-Банк;2913;Москва и обл.;80 985 759,00;82 522 046,00;-1 536 287,00;-1,86
74;0;Сетелем Банк;2168;Москва и обл.;80 335 049,00;80 385 764,00;-50 715,00;-0,06
75;0;Локо-Банк;2707;Москва и обл.;78 817 577,00;79 755 243,00;-937 666,00;-1,18
76;-6;Банк Интеза;2216;Москва и обл.;78 747 003,00;83 269 462,00;-4 522 459,00;-5,43
77;-1;Роскосмосбанк;2989;Москва и обл.;73 910 805,00;78 329 979,00;-4 419 174,00;-5,64
78;0;Связной Банк;1961;Москва и обл.;72 397 689,00;70 923 625,00;1 474 064,00;2,08
79;4;Югра;880;Тюменская обл.;72 301 543,00;66 367 585,00;5 933 958,00;8,94
80;-1;Международный Финансовый Клуб;2618;Москва и обл.;70 938 425,00;69 984 370,00;954 055,00;1,36
81;-1;СБ Банк (Судостроительный банк);2999;Москва и обл.;70 879 717,00;69 826 068,00;1 053 649,00;1,51
82;5;Балтинвестбанк;3176;Санкт-Петербург и обл.;70 197 363,00;64 264 525,00;5 932 838,00;9,23
83;3;Металлинвестбанк;2440;Москва и обл.;67 446 984,00;64 526 942,00;2 920 042,00;4,53
84;-2;Эйч-Эс-Би-Си Банк (HSBC);3290;Москва и обл.;67 359 622,00;67 720 010,00;-360 388,00;-0,53
85;-1;Юниаструм Банк;2771;Москва и обл.;66 546 954,00;65 814 517,00;732 437,00;1,11
86;-1;Сургутнефтегазбанк;588;Тюменская обл.;65 867 360,00;65 399 853,00;467 507,00;0,71
87;-6;Балтийский Банк;128;Москва и обл.;64 074 282,00;68 439 397,00;-4 365 115,00;-6,38
88;0;Первобанк;3461;Самарская обл.;61 193 417,00;60 440 022,00;753 395,00;1,25
89;0;Интеркоммерц Банк;1657;Москва и обл.;59 479 003,00;58 078 620,00;1 400 383,00;2,41
90;0;Собинбанк;1317;Москва и обл.;55 562 069,00;56 461 908,00;-899 839,00;-1,59
91;1;Тойота Банк;3470;Москва и обл.;54 392 980,00;53 494 176,00;898 804,00;1,68
92;-1;Международный Банк Санкт-Петербурга (МБСП);197;Санкт-Петербург и обл.;54 385 080,00;55 081 318,00;-696 238,00;-1,26
93;0;РосинтерБанк;226;Москва и обл.;52 607 927,00;50 116 837,00;2 491 090,00;4,97
94;0;Таврический Банк;2304;Санкт-Петербург и обл.;51 744 899,00;49 735 602,00;2 009 297,00;4,04
95;0;Кубань Кредит;2518;Краснодарский край;51 316 989,00;49 625 336,00;1 691 653,00;3,41
96;1;Экспобанк;2998;Москва и обл.;48 621 469,00;47 900 475,00;720 994,00;1,51
97;2;Креди Агриколь КИБ;1680;Санкт-Петербург и обл.;45 295 849,00;44 399 602,00;896 247,00;2,02
98;7;Бинбанк Диджитал;2827;Москва и обл.;44 391 991,00;41 607 831,00;2 784 160,00;6,69
99;1;Межтопэнергобанк;2956;Москва и обл.;43 554 242,00;43 593 893,00;-39 651,00;-0,09
100;2;Еврофинанс Моснарбанк;2402;Москва и обл.;43 444 264,00;42 591 961,00;852 303,00;2,00
101;-3;Национальный Стандарт;3421;Москва и обл.;43 378 650,00;44 715 486,00;-1 336 836,00;-2,99
102;-1;Экспресс-Волга;3085;Саратовская обл.;43 300 624,00;43 320 046,00;-19 422,00;-0,04
103;9;Меткомбанк (Череповец);901;Вологодская обл.;41 758 093,00;38 123 328,00;3 634 765,00;9,53
104;3;БФГ-Кредит;3068;Москва и обл.;41 669 042,00;40 913 223,00;755 819,00;1,85
105;6;Аверс;415;Татарстан;41 377 086,00;39 033 959,00;2 343 127,00;6,00
106;-10;Финпромбанк (ФПБ Банк);2157;Москва и обл.;40 677 096,00;48 936 311,00;-8 259 215,00;-16,88
107;-1;Меткомбанк (Каменск-Уральский);2443;Свердловская обл.;40 248 497,00;41 561 637,00;-1 313 140,00;-3,16
108;-4;Народный Кредит;2401;Москва и обл.;39 565 146,00;41 973 216,00;-2 408 070,00;-5,74
109;1;Фора-Банк;1885;Москва и обл.;39 521 653,00;39 116 681,00;404 972,00;1,04
110;9;Челябинвестбанк;493;Челябинская обл.;38 122 358,00;37 055 846,00;1 066 512,00;2,88
111;5;Интерпромбанк;3266;Москва и обл.;37 956 056,00;37 417 067,00;538 989,00;1,44
112;2;Крайинвестбанк;3360;Краснодарский край;37 850 760,00;37 590 371,00;260 389,00;0,69
113;2;Почта Банк;650;Москва и обл.;37 722 860,00;37 437 748,00;285 112,00;0,76
114;-11;Коммерцбанк (Евразия);3333;Москва и обл.;37 217 614,00;42 084 600,00;-4 866 986,00;-11,56
115;2;Русский Международный Банк;3123;Москва и обл.;36 820 548,00;37 318 511,00;-497 963,00;-1,33
116;4;Примсоцбанк;2733;Приморский край;36 807 031,00;36 877 350,00;-70 319,00;-0,19
117;11;Банк Финсервис;3388;Москва и обл.;36 760 082,00;34 589 649,00;2 170 433,00;6,27
118;5;Интерпрогрессбанк;600;Москва и обл.;36 660 286,00;36 306 574,00;353 712,00;0,97
119;2;Челиндбанк;485;Челябинская обл.;36 576 050,00;36 689 981,00;-113 931,00;-0,31
120;4;Фольксваген Банк Рус;3500;Москва и обл.;36 406 885,00;35 889 292,00;517 593,00;1,44
121;-8;НС Банк;3124;Москва и обл.;36 311 718,00;37 923 867,00;-1 612 149,00;-4,25
122;0;СДМ-Банк;1637;Москва и обл.;36 204 331,00;36 317 528,00;-113 197,00;-0,31
123;2;Банк «Советский»;558;Санкт-Петербург и обл.;36 109 299,00;35 751 754,00;357 545,00;1,00
124;-15;АйСиБиСи Банк;3475;Москва и обл.;35 577 507,00;39 810 575,00;-4 233 068,00;-10,63
125;2;Саровбизнесбанк;2048;Нижегородская обл.;35 560 795,00;35 290 922,00;269 873,00;0,76
126;-8;Кольцо Урала;65;Свердловская обл.;35 329 616,00;37 159 081,00;-1 829 465,00;-4,92
127;5;Военно-Промышленный Банк;3065;Москва и обл.;34 701 374,00;32 978 360,00;1 723 014,00;5,22
128;8;Мосстройэкономбанк (М Банк);948;Москва и обл.;34 163 157,00;32 100 281,00;2 062 876,00;6,43
129;4;Росэнергобанк;2211;Москва и обл.;34 082 986,00;32 952 741,00;1 130 245,00;3,43
130;-1;Левобережный;1343;Новосибирская обл.;33 922 794,00;33 472 487,00;450 307,00;1,35
131;-1;Севергазбанк;2816;Вологодская обл.;33 801 967,00;33 162 929,00;639 038,00;1,93
132;-1;БыстроБанк;1745;Удмуртия;33 397 086,00;33 028 426,00;368 660,00;1,12
133;1;Образование;1521;Москва и обл.;32 893 301,00;32 837 735,00;55 566,00;0,17
134;5;Газбанк;2316;Самарская обл.;31 487 333,00;31 199 628,00;287 705,00;0,92
135;0;ББР Банк;2929;Москва и обл.;31 308 039,00;32 709 285,00;-1 401 246,00;-4,28
136;2;АМБ Банк;3036;Москва и обл.;31 266 818,00;31 695 448,00;-428 630,00;-1,35
137;0;Агропромкредит;2880;Москва и обл.;30 957 384,00;32 014 316,00;-1 056 932,00;-3,30
138;2;МБА-Москва;3395;Москва и обл.;30 172 101,00;31 042 600,00;-870 499,00;-2,80
139;2;Банк АВБ;23;Самарская обл.;29 833 618,00;30 084 855,00;-251 237,00;-0,84
140;-14;Банк РСБ 24 (Русславбанк);1073;Москва и обл.;29 689 558,00;35 442 455,00;-5 752 897,00;-16,23
141;1;Сумитомо Мицуи Рус Банк;3494;Москва и обл.;29 557 912,00;28 867 330,00;690 582,00;2,39
142;17;Девон-Кредит;1972;Татарстан;28 165 779,00;23 475 802,00;4 689 977,00;19,98
143;1;Дальневосточный Банк;843;Приморский край;27 935 166,00;27 925 223,00;9 943,00;0,04
144;1;Русстройбанк;3205;Москва и обл.;27 901 386,00;27 589 325,00;312 061,00;1,13
145;-2;Кедр;1574;Красноярский край;27 255 485,00;28 028 997,00;-773 512,00;-2,76
146;9;Кредит Урал Банк;2584;Челябинская обл.;27 237 059,00;24 447 841,00;2 789 218,00;11,41
147;0;Эллипс Банк;1950;Нижегородская обл.;26 123 194,00;26 600 786,00;-477 592,00;-1,80
148;9;Экспо Финанс;2594;Москва и обл.;26 045 137,00;24 287 342,00;1 757 795,00;7,24
149;-1;Липецккомбанк;1242;Липецкая обл.;25 986 004,00;26 580 548,00;-594 544,00;-2,24
150;3;Приморье;3001;Приморский край;25 393 149,00;24 983 148,00;410 001,00;1,64
151;1;Модульбанк;1927;Костромская обл.;25 052 066,00;25 155 084,00;-103 018,00;-0,41
152;-3;М2М Прайвет Банк;1414;Москва и обл.;25 047 065,00;26 335 937,00;-1 288 872,00;-4,89
153;-2;ПЧРБ Банк;3291;Москва и обл.;25 024 827,00;25 425 356,00;-400 529,00;-1,58
154;-4;Транспортный;3174;Москва и обл.;24 706 744,00;25 840 454,00;-1 133 710,00;-4,39
155;-1;Акибанк;2587;Татарстан;24 655 734,00;24 523 572,00;132 162,00;0,54
156;0;Урал ФД;249;Пермская обл.;24 293 562,00;24 321 571,00;-28 009,00;-0,12
157;3;Мерседес-Бенц Банк Рус;3473;Москва и обл.;24 264 895,00;23 138 093,00;1 126 802,00;4,87
158;14;БКС Банк;101;Новосибирская обл.;23 220 514,00;20 256 427,00;2 964 087,00;14,63
159;2;Балтика;967;Санкт-Петербург и обл.;23 202 128,00;22 790 187,00;411 941,00;1,81
160;4;Интехбанк;2705;Татарстан;22 918 389,00;21 925 233,00;993 156,00;4,53
161;-3;Альта-Банк;2269;Москва и обл.;22 218 624,00;23 559 385,00;-1 340 761,00;-5,69
162;1;БМВ Банк;3482;Москва и обл.;21 967 519,00;22 067 872,00;-100 353,00;-0,45
163;-1;Москоммерцбанк;3365;Москва и обл.;21 852 928,00;22 445 393,00;-592 465,00;-2,64
164;5;Легион;3117;Москва и обл.;21 496 886,00;20 828 978,00;667 908,00;3,21
165;0;Спурт Банк;2207;Татарстан;21 155 987,00;21 753 504,00;-597 517,00;-2,75
166;0;Солидарность;554;Самарская обл.;21 124 336,00;21 619 354,00;-495 018,00;-2,29
167;0;АйМаниБанк;1975;Москва и обл.;21 106 608,00;20 964 863,00;141 745,00;0,68
168;2;АктивКапитал Банк;3006;Самарская обл.;21 062 308,00;20 710 305,00;352 003,00;1,70
169;32;Бэнк оф Чайна;2309;Москва и обл.;20 835 791,00;15 859 333,00;4 976 458,00;31,38
170;1;Банк Кредит Свисс;2494;Москва и обл.;20 296 221,00;20 533 722,00;-237 501,00;-1,16
171;-3;Морской Банк;77;Москва и обл.;20 085 086,00;20 844 181,00;-759 095,00;-3,64
172;1;ФИА-Банк;2542;Самарская обл.;20 054 627,00;20 193 367,00;-138 740,00;-0,69
173;4;Алеф-Банк;2119;Москва и обл.;19 804 771,00;19 446 835,00;357 936,00;1,84
174;6;Энергобанк;67;Татарстан;19 542 566,00;18 908 714,00;633 852,00;3,35
175;3;Фининвест;671;Санкт-Петербург и обл.;19 534 750,00;19 415 160,00;119 590,00;0,62
176;-1;Алмазэргиэнбанк;2602;Саха (Якутия);19 430 702,00;19 529 567,00;-98 865,00;-0,51
177;2;Тольяттихимбанк;2507;Самарская обл.;19 310 538,00;19 277 053,00;33 485,00;0,17
178;34;Аресбанк;2914;Москва и обл.;19 027 311,00;15 006 730,00;4 020 581,00;26,79
179;4;Энерготрансбанк;1307;Калининградская обл.;18 808 480,00;18 222 710,00;585 770,00;3,21
180;-4;Платежный Центр;3166;Новосибирская обл.;18 604 899,00;19 518 153,00;-913 254,00;-4,68
181;3;Ланта-Банк;1920;Москва и обл.;18 309 820,00;18 109 268,00;200 552,00;1,11
182;9;Норвик Банк;902;Кировская обл.;17 780 502,00;17 213 678,00;566 824,00;3,29
183;6;Уралтрансбанк;812;Свердловская обл.;17 738 035,00;17 642 637,00;95 398,00;0,54
184;4;Форштадт;2208;Оренбургская обл.;17 540 259,00;17 702 653,00;-162 394,00;-0,92
185;5;Курскпромбанк;735;Курская обл.;17 510 336,00;17 446 329,00;64 007,00;0,37
186;0;Национальный Резервный Банк;2170;Москва и обл.;17 436 513,00;17 919 741,00;-483 228,00;-2,70
187;0;ГПБ-Ипотека;2403;Москва и обл.;17 374 813,00;17 760 702,00;-385 889,00;-2,17
188;16;Объединенный Капитал;2611;Санкт-Петербург и обл.;17 296 815,00;15 280 310,00;2 016 505,00;13,20
189;-4;Держава;2738;Москва и обл.;17 173 783,00;18 038 171,00;-864 388,00;-4,79
190;2;Транснациональный Банк;2108;Москва и обл.;17 167 898,00;17 041 824,00;126 074,00;0,74
191;4;МАСТ-Банк;3267;Москва и обл.;17 137 940,00;16 550 978,00;586 962,00;3,55
192;1;НБД-Банк;1966;Нижегородская обл.;17 116 881,00;17 032 469,00;84 412,00;0,50
193;-47;Современный Коммерческий Банк (бывш. ДжиИ Мани Банк);3316;Костромская обл.;16 684 931,00;27 480 561,00;-10 795 630,00;-39,28
194;2;Инвесткапиталбанк;2377;Башкортостан;16 580 322,00;16 548 364,00;31 958,00;0,19
195;3;Нацинвестпромбанк;3077;Москва и обл.;16 427 069,00;16 312 737,00;114 332,00;0,70
196;1;Гута-Банк;256;Москва и обл.;16 190 389,00;16 406 449,00;-216 060,00;-1,32
197;6;ОФК Банк;2270;Москва и обл.;16 125 336,00;15 343 947,00;781 389,00;5,09
198;4;Газэнергобанк;3252;Калужская обл.;16 004 440,00;15 542 868,00;461 572,00;2,97
199;1;Московское Ипотечное Агентство;3344;Москва и обл.;15 922 241,00;15 859 425,00;62 816,00;0,40
200;9;Автоторгбанк;2776;Москва и обл.;15 908 912,00;15 040 126,00;868 786,00;5,78
201;13;Тройка-Д Банк;3431;Москва и обл.;15 777 684,00;14 932 920,00;844 764,00;5,66
202;14;Расчетно-Кредитный Банк;103;Москва и обл.;15 741 551,00;14 760 395,00;981 156,00;6,65
203;-4;Пойдем!;2534;Москва и обл.;15 640 255,00;16 137 119,00;-496 864,00;-3,08
204;-22;Натиксис Банк;3390;Москва и обл.;15 502 976,00;18 732 223,00;-3 229 247,00;-17,24
205;5;Банк Город;2644;Москва и обл.;15 333 266,00;15 020 577,00;312 689,00;2,08
206;0;Гранд Инвест Банк;3053;Москва и обл.;15 194 677,00;15 220 736,00;-26 059,00;-0,17
207;1;Квантмобайл Банк;1189;Омская обл.;15 158 328,00;15 129 412,00;28 916,00;0,19
208;-3;НК Банк;2755;Москва и обл.;15 033 448,00;15 275 562,00;-242 114,00;-1,58
209;8;Рублев;3098;Москва и обл.;14 858 852,00;14 751 205,00;107 647,00;0,73
210;8;Хлынов;254;Кировская обл.;14 793 845,00;14 663 461,00;130 384,00;0,89
211;-4;Развитие-Столица;3013;Москва и обл.;14 768 775,00;15 162 186,00;-393 411,00;-2,59
212;-31;Гаранти Банк — Москва;3275;Москва и обл.;14 732 348,00;18 748 878,00;-4 016 530,00;-21,42
213;-2;Интрастбанк;3144;Москва и обл.;14 480 855,00;15 008 263,00;-527 408,00;-3,51
214;5;СтарБанк;548;Москва и обл.;14 351 798,00;13 999 733,00;352 065,00;2,51
215;-21;Тимер Банк;1581;Татарстан;14 246 329,00;16 595 663,00;-2 349 334,00;-14,16
216;26;Данске Банк;3307;Санкт-Петербург и обл.;14 146 675,00;11 593 757,00;2 552 918,00;22,02
217;-2;Национальная Факторинговая Компания;3437;Москва и обл.;14 141 535,00;14 864 686,00;-723 151,00;-4,86
218;-5;РосДорБанк;1573;Москва и обл.;14 104 283,00;14 975 261,00;-870 978,00;-5,82
219;1;Петербургский Социальный Коммерческий Банк;2551;Санкт-Петербург и обл.;13 881 910,00;13 712 305,00;169 605,00;1,24
220;1;Анталбанк;3115;Москва и обл.;13 811 347,00;13 654 826,00;156 521,00;1,15
221;5;Тусар;2712;Москва и обл.;13 761 584,00;12 983 437,00;778 147,00;5,99
222;10;БайкалБанк;2632;Бурятия;13 689 456,00;12 724 343,00;965 113,00;7,58
223;26;РН Банк;170;Москва и обл.;13 498 504,00;11 179 368,00;2 319 136,00;20,74
224;1;Инвестиционный Республиканский Банк;2571;Москва и обл.;13 237 205,00;13 161 163,00;76 042,00;0,58
225;-1;Первомайский;518;Краснодарский край;13 203 011,00;13 349 350,00;-146 339,00;-1,10
226;-4;Денизбанк Москва;3330;Москва и обл.;13 144 591,00;13 409 500,00;-264 909,00;-1,98
227;-4;ВУЗ-Банк;1557;Свердловская обл.;13 138 191,00;13 397 303,00;-259 112,00;-1,93
228;6;СЭБ Банк;3235;Санкт-Петербург и обл.;13 042 473,00;12 573 501,00;468 972,00;3,73
229;2;Клиентский;2324;Москва и обл.;12 999 417,00;12 743 811,00;255 606,00;2,01
230;-2;Центркомбанк;2983;Москва и обл.;12 862 325,00;12 916 289,00;-53 964,00;-0,42
231;-1;Социнвестбанк;1132;Башкортостан;12 816 435,00;12 774 728,00;41 707,00;0,33
232;-3;Банк Акцепт;567;Новосибирская обл.;12 419 158,00;12 784 091,00;-364 933,00;-2,85
233;0;Росэксимбанк;2790;Москва и обл.;12 397 123,00;12 613 470,00;-216 347,00;-1,72
234;3;Росавтобанк;2767;Москва и обл.;12 322 850,00;12 091 054,00;231 796,00;1,92
235;3;ТЭМБР-Банк;2764;Москва и обл.;12 193 654,00;12 083 229,00;110 425,00;0,91
236;9;Чайна Констракшн;3515;Москва и обл.;12 185 420,00;11 333 504,00;851 916,00;7,52
237;-2;Банк ПСА Финанс Рус;3481;Москва и обл.;12 179 649,00;12 454 926,00;-275 277,00;-2,21
238;44;Руснарбанк;3403;Москва и обл.;12 176 332,00;8 473 190,00;3 703 142,00;43,70
239;-12;Александровский;53;Санкт-Петербург и обл.;12 144 375,00;12 950 407,00;-806 032,00;-6,22
240;3;Русский Ипотечный Банк;1968;Москва и обл.;12 042 865,00;11 481 289,00;561 576,00;4,89
241;87;РНКБ;1354;Москва и обл.;11 935 660,00;6 891 144,00;5 044 516,00;73,20
242;-2;Метробанк;2548;Москва и обл.;11 783 269,00;11 684 549,00;98 720,00;0,84
243;10;Роскомснаббанк (бывш. Башкомснаббанк);1398;Башкортостан;11 223 548,00;11 028 523,00;195 025,00;1,77
244;-5;Экономбанк;1319;Саратовская обл.;11 221 426,00;11 741 474,00;-520 048,00;-4,43
245;2;Русьуниверсалбанк;3293;Москва и обл.;11 182 115,00;11 302 827,00;-120 712,00;-1,07
246;-2;Солидарность (Москва);1555;Москва и обл.;11 145 759,00;11 431 368,00;-285 609,00;-2,50
247;1;СИАБ;3245;Санкт-Петербург и обл.;11 116 342,00;11 255 217,00;-138 875,00;-1,23
248;4;Экопромбанк;2011;Пермская обл.;11 102 644,00;11 053 698,00;48 946,00;0,44
249;5;Гарант-Инвест;2576;Москва и обл.;11 086 406,00;11 021 776,00;64 630,00;0,59
250;35;Кубаньторгбанк;478;Краснодарский край;11 077 873,00;8 358 634,00;2 719 239,00;32,53
251;4;Унифин;2654;Москва и обл.;10 954 711,00;10 951 000,00;3 711,00;0,03
252;-11;Хованский;2145;Москва и обл.;10 930 484,00;11 640 144,00;-709 660,00;-6,10
253;-7;ЕвроситиБанк;1869;Москва и обл.;10 728 255,00;11 321 053,00;-592 798,00;-5,24
254;3;Банк Оренбург;3269;Оренбургская обл.;10 720 803,00;10 732 991,00;-12 188,00;-0,11
255;1;Дил-Банк;3384;Москва и обл.;10 717 033,00;10 834 024,00;-116 991,00;-1,08
256;7;Кредит-Москва;5;Москва и обл.;10 705 243,00;10 425 857,00;279 386,00;2,68
257;1;Екатеринбург;3161;Свердловская обл.;10 607 199,00;10 682 471,00;-75 272,00;-0,70
258;2;Банк24.ру;2227;Свердловская обл.;10 587 547,00;10 586 285,00;1 262,00;0,01
259;6;ОПМ-Банк;2734;Москва и обл.;10 541 479,00;10 354 392,00;187 087,00;1,81
