Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Июнь, 2015, тыс. рублей;Май, 2015, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;20 194 996 155,00;20 573 849 231,00;-378 853 076,00;-1,84
2;0;ВТБ;1000;Санкт-Петербург и обл.;7 702 198 646,00;7 590 041 163,00;112 157 483,00;1,48
3;0;Газпромбанк;354;Москва и обл.;4 430 547 395,00;4 568 031 351,00;-137 483 956,00;-3,01
4;0;ВТБ 24;1623;Москва и обл.;2 650 073 935,00;2 674 032 640,00;-23 958 705,00;-0,90
5;0;Банк Открытие;2209;Москва и обл.;2 424 733 200,00;2 343 371 510,00;81 361 690,00;3,47
6;0;Россельхозбанк;3349;Москва и обл.;2 254 178 680,00;2 208 969 332,00;45 209 348,00;2,05
7;0;Альфа-Банк;1326;Москва и обл.;1 902 378 627,00;1 941 088 301,00;-38 709 674,00;-1,99
8;0;БМ-Банк;2748;Москва и обл.;1 871 664 327,00;1 901 156 568,00;-29 492 241,00;-1,55
9;0;Национальный Клиринговый Центр;3466;Москва и обл.;1 507 561 197,00;1 598 167 132,00;-90 605 935,00;-5,67
10;0;ЮниКредит Банк;1;Москва и обл.;1 241 600 206,00;1 188 652 499,00;52 947 707,00;4,45
11;0;Промсвязьбанк;3251;Москва и обл.;1 034 498 950,00;1 059 253 824,00;-24 754 874,00;-2,34
12;1;Райффайзенбанк;3292;Москва и обл.;870 723 130,00;833 488 516,00;37 234 614,00;4,47
13;-1;Росбанк;2272;Москва и обл.;852 697 779,00;881 581 981,00;-28 884 202,00;-3,28
14;1;Московский Кредитный Банк;1978;Москва и обл.;745 708 146,00;673 968 399,00;71 739 747,00;10,64
15;-1;Ханты-Мансийский банк Открытие;1971;Москва и обл.;674 184 245,00;710 988 311,00;-36 804 066,00;-5,18
16;2;Бинбанк;323;Москва и обл.;558 234 694,00;502 475 652,00;55 759 042,00;11,10
17;-1;Россия;328;Санкт-Петербург и обл.;539 858 828,00;510 275 762,00;29 583 066,00;5,80
18;-1;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;525 422 920,00;509 291 703,00;16 131 217,00;3,17
19;0;Ак Барс;2590;Татарстан;469 696 063,00;465 036 371,00;4 659 692,00;1,00
20;0;Русский Стандарт;2289;Москва и обл.;444 895 601,00;444 609 495,00;286 106,00;0,06
21;2;Связь-Банк;1470;Москва и обл.;395 672 061,00;368 486 539,00;27 185 522,00;7,38
22;-1;Ситибанк;2557;Москва и обл.;366 574 808,00;375 651 486,00;-9 076 678,00;-2,42
23;-1;МДМ Банк;2562;Москва и обл.;363 082 193,00;368 511 119,00;-5 428 926,00;-1,47
24;0;Банк Уралсиб;30;Москва и обл.;359 876 054,00;357 131 546,00;2 744 508,00;0,77
25;2;Траст;3279;Москва и обл.;333 037 874,00;331 671 941,00;1 365 933,00;0,41
26;0;Нордеа Банк;3016;Москва и обл.;331 991 343,00;333 872 084,00;-1 880 741,00;-0,56
27;-2;Московский Областной Банк;1751;Москва и обл.;331 961 160,00;340 882 976,00;-8 921 816,00;-2,62
28;1;ИНГ Банк;2495;Москва и обл.;312 569 359,00;307 376 816,00;5 192 543,00;1,69
29;-1;Хоум Кредит Банк;316;Москва и обл.;304 267 233,00;311 731 800,00;-7 464 567,00;-2,39
30;0;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;296 649 623,00;288 756 134,00;7 893 489,00;2,73
31;1;Глобэкс;1942;Москва и обл.;286 785 586,00;280 788 805,00;5 996 781,00;2,14
32;-1;Банк Зенит;3255;Москва и обл.;276 912 228,00;282 521 260,00;-5 609 032,00;-1,99
33;1;Совкомбанк;963;Костромская обл.;276 780 509,00;257 943 668,00;18 836 841,00;7,30
34;4;Петрокоммерц;1776;Москва и обл.;259 145 790,00;242 975 489,00;16 170 301,00;6,66
35;4;Югра;880;Ханты-Мансийский АО — Югра;255 290 528,00;242 194 702,00;13 095 826,00;5,41
36;1;Внешпромбанк;3261;Москва и обл.;252 920 796,00;245 728 823,00;7 191 973,00;2,93
37;-4;СМП Банк;3368;Москва и обл.;250 975 915,00;273 477 850,00;-22 501 935,00;-8,23
38;-2;Новикомбанк;2546;Москва и обл.;248 023 938,00;246 382 987,00;1 640 951,00;0,67
39;-4;Восточный Банк;1460;Амурская обл.;241 268 029,00;247 168 402,00;-5 900 373,00;-2,39
40;2;Рост Банк;2888;Москва и обл.;237 253 799,00;219 677 413,00;17 576 386,00;8,00
41;-1;Абсолют Банк;2306;Москва и обл.;234 217 388,00;232 317 527,00;1 899 861,00;0,82
42;-1;Возрождение;1439;Москва и обл.;227 915 672,00;228 033 872,00;-118 200,00;-0,05
43;0;Московский Индустриальный Банк;912;Москва и обл.;211 874 812,00;215 178 645,00;-3 303 833,00;-1,54
44;0;Банк ДОМ.РФ;2312;Москва и обл.;207 255 576,00;201 668 636,00;5 586 940,00;2,77
45;3;Российский Кредит;324;Москва и обл.;182 564 099,00;164 077 811,00;18 486 288,00;11,27
46;0;Татфондбанк;3058;Татарстан;176 924 653,00;170 741 451,00;6 183 202,00;3,62
47;-2;МТС Банк;2268;Москва и обл.;166 295 512,00;170 957 848,00;-4 662 336,00;-2,73
48;-1;Транскапиталбанк;2210;Москва и обл.;165 979 541,00;166 649 135,00;-669 594,00;-0,40
49;0;ОТП Банк;2766;Москва и обл.;163 013 781,00;159 570 880,00;3 442 901,00;2,16
50;0;Кредит Европа Банк;3311;Москва и обл.;156 367 182,00;156 044 954,00;322 228,00;0,21
51;1;РосЕвроБанк;3137;Москва и обл.;148 229 782,00;139 656 793,00;8 572 989,00;6,14
52;-1;Тинькофф Банк;2673;Москва и обл.;145 515 937,00;140 965 810,00;4 550 127,00;3,23
53;2;МСП Банк;3340;Москва и обл.;136 928 196,00;136 260 994,00;667 202,00;0,49
54;2;Ренессанс Кредит;3354;Москва и обл.;136 561 565,00;135 490 233,00;1 071 332,00;0,79
55;3;Пробизнесбанк;2412;Москва и обл.;136 243 495,00;133 297 969,00;2 945 526,00;2,21
56;-2;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;135 637 015,00;136 331 872,00;-694 857,00;-0,51
57;0;ДельтаКредит;3338;Москва и обл.;135 096 773,00;133 929 633,00;1 167 140,00;0,87
58;1;Пересвет;2110;Москва и обл.;133 958 541,00;129 512 302,00;4 446 239,00;3,43
59;1;РГС Банк;3073;Москва и обл.;128 231 275,00;128 591 209,00;-359 934,00;-0,28
60;1;Инвестторгбанк;2763;Москва и обл.;126 373 017,00;123 465 229,00;2 907 788,00;2,36
61;-8;Национальный Расчетный Депозитарий;3294;Москва и обл.;126 256 540,00;138 683 440,00;-12 426 900,00;-8,96
62;0;Авангард;2879;Москва и обл.;126 029 208,00;120 471 035,00;5 558 173,00;4,61
63;0;СКБ-Банк;705;Свердловская обл.;114 541 644,00;113 459 116,00;1 082 528,00;0,95
64;0;Русфинанс Банк;1792;Самарская обл.;110 188 576,00;112 059 181,00;-1 870 605,00;-1,67
65;0;Запсибкомбанк;918;Тюменская обл.;101 562 192,00;99 318 072,00;2 244 120,00;2,26
66;0;Сетелем Банк;2168;Москва и обл.;99 528 181,00;99 101 795,00;426 386,00;0,43
67;0;Балтийский Банк;128;Санкт-Петербург и обл.;98 940 849,00;98 846 661,00;94 188,00;0,10
68;0;Международный Финансовый Клуб;2618;Москва и обл.;94 893 779,00;98 629 171,00;-3 735 392,00;-3,79
69;5;Локо-Банк;2707;Москва и обл.;92 962 976,00;88 900 963,00;4 062 013,00;4,57
70;0;Дойче Банк;3328;Москва и обл.;91 487 824,00;94 213 275,00;-2 725 451,00;-2,89
71;1;Центр-инвест;2225;Ростовская обл.;90 911 428,00;93 167 623,00;-2 256 195,00;-2,42
72;-3;БНП Париба Банк;3407;Москва и обл.;90 857 152,00;95 206 413,00;-4 349 261,00;-4,57
73;-2;Всероссийский Банк Развития Регионов;3287;Москва и обл.;90 834 801,00;93 788 775,00;-2 953 974,00;-3,15
74;2;ЦентроКредит;121;Москва и обл.;90 661 967,00;84 471 022,00;6 190 945,00;7,33
75;-2;Банк БФА;3038;Санкт-Петербург и обл.;89 525 728,00;90 722 272,00;-1 196 544,00;-1,32
76;-1;Сургутнефтегазбанк;588;Ханты-Мансийский АО — Югра;88 145 242,00;86 077 325,00;2 067 917,00;2,40
77;1;Интеркоммерц Банк;1657;Москва и обл.;85 168 025,00;82 771 912,00;2 396 113,00;2,89
78;-1;Металлинвестбанк;2440;Москва и обл.;84 292 946,00;83 766 675,00;526 271,00;0,63
79;1;Нота-Банк;2913;Москва и обл.;82 032 390,00;81 159 053,00;873 337,00;1,08
80;-1;Союз;2307;Москва и обл.;81 471 815,00;81 359 951,00;111 864,00;0,14
81;0;Балтинвестбанк;3176;Санкт-Петербург и обл.;78 917 297,00;79 826 319,00;-909 022,00;-1,14
82;1;Банк Интеза;2216;Москва и обл.;76 315 439,00;73 852 402,00;2 463 037,00;3,34
83;-1;Эйч-Эс-Би-Си Банк (HSBC);3290;Москва и обл.;75 186 800,00;77 485 397,00;-2 298 597,00;-2,97
84;1;РосинтерБанк;226;Москва и обл.;75 062 075,00;71 714 262,00;3 347 813,00;4,67
85;1;Бинбанк Диджитал;2827;Москва и обл.;70 020 284,00;68 637 718,00;1 382 566,00;2,01
86;2;Военно-Промышленный Банк;3065;Москва и обл.;67 192 943,00;64 522 954,00;2 669 989,00;4,14
87;0;Таврический Банк;2304;Санкт-Петербург и обл.;63 788 629,00;66 059 454,00;-2 270 825,00;-3,44
88;4;Банк Финсервис;3388;Москва и обл.;62 006 992,00;57 818 169,00;4 188 823,00;7,24
89;1;Почта Банк;650;Москва и обл.;59 861 412,00;58 813 735,00;1 047 677,00;1,78
90;3;Первобанк;3461;Самарская обл.;59 860 943,00;57 614 993,00;2 245 950,00;3,90
91;6;БФГ-Кредит;3068;Москва и обл.;58 099 782,00;56 361 422,00;1 738 360,00;3,08
92;3;Креди Агриколь КИБ;1680;Санкт-Петербург и обл.;57 534 162,00;57 170 565,00;363 597,00;0,64
93;-2;Юниаструм Банк;2771;Москва и обл.;56 590 066,00;58 479 412,00;-1 889 346,00;-3,23
94;0;Росэнергобанк;2211;Москва и обл.;56 481 789,00;57 214 113,00;-732 324,00;-1,28
95;-6;Экспобанк;2998;Москва и обл.;56 159 555,00;60 841 369,00;-4 681 814,00;-7,70
