Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Июнь, 2015, тыс. рублей;Май, 2015, тыс. рублей;Изменение, тыс. рублей;Изменение, %
96;0;Тойота Банк;3470;Москва и обл.;56 013 698,00;56 542 975,00;-529 277,00;-0,94
97;1;Кубань Кредит;2518;Краснодарский край;55 011 659,00;54 881 460,00;130 199,00;0,24
98;3;Экспресс-Волга;3085;Саратовская обл.;52 052 373,00;51 524 372,00;528 001,00;1,02
99;6;АйСиБиСи Банк;3475;Москва и обл.;51 837 390,00;47 500 120,00;4 337 270,00;9,13
100;3;Образование;1521;Москва и обл.;51 349 868,00;50 471 303,00;878 565,00;1,74
101;7;Коммерцбанк (Евразия);3333;Москва и обл.;51 184 358,00;43 554 599,00;7 629 759,00;17,52
102;2;Финпромбанк (ФПБ Банк);2157;Москва и обл.;50 598 697,00;49 368 248,00;1 230 449,00;2,49
103;-1;Международный Банк Санкт-Петербурга (МБСП);197;Санкт-Петербург и обл.;49 989 786,00;50 976 808,00;-987 022,00;-1,94
104;12;Аверс;415;Татарстан;49 023 345,00;39 869 446,00;9 153 899,00;22,96
105;-5;Национальный Стандарт;3421;Москва и обл.;47 547 304,00;52 044 698,00;-4 497 394,00;-8,64
106;0;Мосстройэкономбанк (М Банк);948;Москва и обл.;46 269 838,00;45 816 859,00;452 979,00;0,99
107;0;Межтопэнергобанк;2956;Москва и обл.;46 088 893,00;44 578 128,00;1 510 765,00;3,39
108;1;Еврофинанс Моснарбанк;2402;Москва и обл.;45 165 026,00;43 460 168,00;1 704 858,00;3,92
109;1;МБА-Москва;3395;Москва и обл.;44 204 098,00;42 727 307,00;1 476 791,00;3,46
110;1;Фора-Банк;1885;Москва и обл.;43 779 138,00;42 526 597,00;1 252 541,00;2,95
111;1;Меткомбанк (Каменск-Уральский);2443;Свердловская обл.;40 719 997,00;42 288 059,00;-1 568 062,00;-3,71
112;5;Челиндбанк;485;Челябинская обл.;40 431 640,00;39 430 774,00;1 000 866,00;2,54
113;1;Экспо Финанс;2594;Москва и обл.;40 309 931,00;40 910 849,00;-600 918,00;-1,47
114;5;Челябинвестбанк;493;Челябинская обл.;40 092 252,00;38 929 815,00;1 162 437,00;2,99
115;6;Интерпромбанк;3266;Москва и обл.;39 069 888,00;38 729 694,00;340 194,00;0,88
116;2;СДМ-Банк;1637;Москва и обл.;38 734 314,00;39 035 926,00;-301 612,00;-0,77
117;5;Кольцо Урала;65;Свердловская обл.;38 588 767,00;38 360 917,00;227 850,00;0,59
118;2;Фольксваген Банк Рус;3500;Москва и обл.;38 458 485,00;38 917 979,00;-459 494,00;-1,18
119;11;Русский Международный Банк;3123;Москва и обл.;38 362 236,00;36 108 643,00;2 253 593,00;6,24
120;5;Интерпрогрессбанк;600;Москва и обл.;38 248 345,00;37 030 934,00;1 217 411,00;3,29
121;-8;Крайинвестбанк;3360;Краснодарский край;38 018 516,00;41 114 547,00;-3 096 031,00;-7,53
122;1;Примсоцбанк;2733;Приморский край;37 903 166,00;37 634 492,00;268 674,00;0,71
123;-8;БКС Банк;101;Новосибирская обл.;37 542 920,00;40 255 869,00;-2 712 949,00;-6,74
124;13;ББР Банк;2929;Москва и обл.;37 085 317,00;34 353 409,00;2 731 908,00;7,95
125;4;Русстройбанк;3205;Москва и обл.;36 635 296,00;36 134 827,00;500 469,00;1,39
126;2;ПЧРБ Банк;3291;Москва и обл.;36 543 571,00;36 322 089,00;221 482,00;0,61
127;5;Банк РСБ 24 (Русславбанк);1073;Москва и обл.;36 251 595,00;35 766 593,00;485 002,00;1,36
128;5;Саровбизнесбанк;2048;Нижегородская обл.;36 197 236,00;35 653 321,00;543 915,00;1,53
129;-5;Собинбанк;1317;Москва и обл.;36 115 982,00;37 622 699,00;-1 506 717,00;-4,00
130;5;Левобережный;1343;Новосибирская обл.;35 932 047,00;34 744 105,00;1 187 942,00;3,42
131;0;Сумитомо Мицуи Рус Банк;3494;Москва и обл.;35 423 465,00;35 856 377,00;-432 912,00;-1,21
132;-5;Меткомбанк (Череповец);901;Вологодская обл.;35 290 985,00;36 383 299,00;-1 092 314,00;-3,00
133;5;РН Банк;170;Москва и обл.;35 190 257,00;34 155 324,00;1 034 933,00;3,03
134;0;НС Банк;3124;Москва и обл.;35 158 318,00;35 284 201,00;-125 883,00;-0,36
135;1;Банк «Советский»;558;Санкт-Петербург и обл.;34 500 567,00;34 665 935,00;-165 368,00;-0,48
136;-10;Связной Банк;1961;Москва и обл.;33 984 943,00;36 903 343,00;-2 918 400,00;-7,91
137;2;Севергазбанк;2816;Вологодская обл.;33 525 397,00;33 434 752,00;90 645,00;0,27
138;4;РНКБ;1354;Симферополь;32 249 295,00;31 033 751,00;1 215 544,00;3,92
139;2;Газбанк;2316;Самарская обл.;31 928 406,00;31 499 523,00;428 883,00;1,36
140;24;Банк Кредит Свисс;2494;Москва и обл.;31 714 359,00;23 380 204,00;8 334 155,00;35,65
141;2;БыстроБанк;1745;Удмуртия;31 365 452,00;30 826 740,00;538 712,00;1,75
142;2;Банк АВБ;23;Самарская обл.;30 586 478,00;30 458 182,00;128 296,00;0,42
143;-3;Натиксис Банк;3390;Москва и обл.;30 211 320,00;32 288 774,00;-2 077 454,00;-6,43
144;2;Кедр;1574;Красноярский край;29 776 627,00;29 375 211,00;401 416,00;1,37
145;2;Дальневосточный Банк;843;Приморский край;29 707 848,00;29 252 055,00;455 793,00;1,56
146;-1;Держава;2738;Москва и обл.;29 304 929,00;29 406 768,00;-101 839,00;-0,35
147;4;Приморье;3001;Приморский край;28 308 505,00;27 381 899,00;926 606,00;3,38
148;1;М2М Прайвет Банк;1414;Москва и обл.;28 261 831,00;28 124 984,00;136 847,00;0,49
149;1;Интехбанк;2705;Татарстан;28 206 454,00;27 921 053,00;285 401,00;1,02
150;-2;Балтика;967;Москва и обл.;28 038 968,00;28 527 632,00;-488 664,00;-1,71
151;19;Бэнк оф Чайна;2309;Москва и обл.;26 440 982,00;22 594 972,00;3 846 010,00;17,02
152;2;АктивКапитал Банк;3006;Самарская обл.;26 132 605,00;25 316 501,00;816 104,00;3,22
153;0;Акибанк;2587;Татарстан;25 994 799,00;25 792 733,00;202 066,00;0,78
154;-2;Кредит Урал Банк;2584;Челябинская обл.;25 494 278,00;27 258 593,00;-1 764 315,00;-6,47
155;1;Тольяттихимбанк;2507;Самарская обл.;25 350 759,00;24 610 224,00;740 535,00;3,01
156;3;Мерседес-Бенц Банк Рус;3473;Москва и обл.;25 348 701,00;24 177 905,00;1 170 796,00;4,84
157;-2;Липецккомбанк;1242;Липецкая обл.;25 123 398,00;25 201 914,00;-78 516,00;-0,31
158;-1;Модульбанк;1927;Костромская обл.;25 114 829,00;24 561 554,00;553 275,00;2,25
159;2;Москоммерцбанк;3365;Москва и обл.;24 879 867,00;24 027 385,00;852 482,00;3,55
160;0;Девон-Кредит;1972;Татарстан;24 850 802,00;24 036 729,00;814 073,00;3,39
161;-3;Анталбанк;3115;Москва и обл.;24 623 677,00;24 494 835,00;128 842,00;0,53
162;6;АйМаниБанк;1975;Москва и обл.;24 144 000,00;22 631 814,00;1 512 186,00;6,68
163;-1;Тимер Банк;1581;Татарстан;24 083 117,00;24 006 503,00;76 614,00;0,32
164;2;Газэнергобанк;3252;Калужская обл.;23 258 542,00;22 896 373,00;362 169,00;1,58
165;0;Агропромкредит;2880;Москва и обл.;23 031 182,00;23 139 523,00;-108 341,00;-0,47
166;5;ОФК Банк;2270;Москва и обл.;22 576 774,00;21 749 230,00;827 544,00;3,80
167;5;ФИА-Банк;2542;Самарская обл.;22 333 390,00;21 600 943,00;732 447,00;3,39
168;-1;Урал ФД;249;Пермская обл.;22 189 529,00;22 810 908,00;-621 379,00;-2,72
169;6;Спурт Банк;2207;Татарстан;22 181 270,00;21 148 095,00;1 033 175,00;4,89
170;-7;Морской Банк;77;Москва и обл.;22 173 068,00;23 434 436,00;-1 261 368,00;-5,38
171;3;Альта-Банк;2269;Москва и обл.;21 809 644,00;21 369 480,00;440 164,00;2,06
172;4;Легион;3117;Москва и обл.;21 743 295,00;21 011 902,00;731 393,00;3,48
173;6;Алмазэргиэнбанк;2602;Саха (Якутия);21 419 180,00;20 448 506,00;970 674,00;4,75
174;3;Солидарность;554;Самарская обл.;20 919 667,00;20 972 998,00;-53 331,00;-0,25
175;5;Ланта-Банк;1920;Москва и обл.;20 769 325,00;20 080 960,00;688 365,00;3,43
176;14;АМБ Банк;3036;Москва и обл.;20 671 028,00;18 075 576,00;2 595 452,00;14,36
177;1;Московское Ипотечное Агентство;3344;Москва и обл.;20 665 449,00;20 674 378,00;-8 929,00;-0,04
178;-9;Платежный Центр;3166;Новосибирская обл.;20 410 213,00;22 611 057,00;-2 200 844,00;-9,73
179;3;Генбанк;2490;Москва и обл.;19 881 229,00;19 440 662,00;440 567,00;2,27
180;6;НБД-Банк;1966;Нижегородская обл.;19 409 721,00;19 036 537,00;373 184,00;1,96
181;14;Аресбанк;2914;Москва и обл.;19 373 762,00;17 196 897,00;2 176 865,00;12,66
182;1;Энергобанк;67;Татарстан;19 296 086,00;19 420 554,00;-124 468,00;-0,64
183;5;Нацинвестпромбанк;3077;Москва и обл.;19 283 610,00;18 461 949,00;821 661,00;4,45
184;3;Чайна Констракшн;3515;Москва и обл.;19 254 795,00;19 021 069,00;233 726,00;1,23
185;-4;Морган Стэнли Банк;3456;Москва и обл.;18 894 081,00;19 630 148,00;-736 067,00;-3,75
186;-2;МАСТ-Банк;3267;Москва и обл.;18 752 480,00;19 376 671,00;-624 191,00;-3,22
187;4;Тусар;2712;Москва и обл.;18 379 758,00;18 029 594,00;350 164,00;1,94
188;-3;БМВ Банк;3482;Москва и обл.;18 141 912,00;19 152 443,00;-1 010 531,00;-5,28
189;4;Курскпромбанк;735;Курская обл.;18 089 271,00;17 567 547,00;521 724,00;2,97
190;-1;Денизбанк Москва;3330;Москва и обл.;17 964 520,00;18 182 970,00;-218 450,00;-1,20
191;5;Алеф-Банк;2119;Москва и обл.;17 789 122,00;17 076 036,00;713 086,00;4,18
192;27;СЭБ Банк;3235;Санкт-Петербург и обл.;17 632 891,00;14 309 105,00;3 323 786,00;23,23
193;5;Клиентский;2324;Москва и обл.;17 626 909,00;16 608 719,00;1 018 190,00;6,13
194;0;Рублев;3098;Москва и обл.;17 417 568,00;17 324 625,00;92 943,00;0,54
195;2;СтарБанк;548;Москва и обл.;17 150 483,00;16 902 883,00;247 600,00;1,46
196;-4;Банк Город;2644;Москва и обл.;16 846 033,00;17 953 938,00;-1 107 905,00;-6,17
197;2;Росэксимбанк;2790;Москва и обл.;16 668 153,00;16 322 007,00;346 146,00;2,12
198;13;Развитие-Столица;3013;Москва и обл.;16 341 288,00;15 054 101,00;1 287 187,00;8,55
199;2;Расчетно-Кредитный Банк;103;Москва и обл.;16 187 516,00;15 905 922,00;281 594,00;1,77
200;14;Социнвестбанк;1132;Башкортостан;16 186 747,00;14 732 271,00;1 454 476,00;9,87
201;2;Хлынов;254;Кировская обл.;16 083 338,00;15 635 868,00;447 470,00;2,86
202;10;Объединенный Капитал;2611;Санкт-Петербург и обл.;16 080 463,00;14 872 786,00;1 207 677,00;8,12
203;-30;Русьуниверсалбанк;3293;Москва и обл.;16 057 826,00;21 412 351,00;-5 354 525,00;-25,01
204;2;Квантмобайл Банк;1189;Москва и обл.;16 043 739,00;15 478 738,00;565 001,00;3,65
205;-1;Уралтрансбанк;812;Свердловская обл.;15 862 776,00;15 615 905,00;246 871,00;1,58
206;-4;Норвик Банк;902;Кировская обл.;15 481 871,00;15 709 725,00;-227 854,00;-1,45
207;2;Национальный Резервный Банк;2170;Москва и обл.;15 326 874,00;15 290 140,00;36 734,00;0,24
208;-8;Энерготрансбанк;1307;Калининградская обл.;15 189 410,00;16 262 343,00;-1 072 933,00;-6,60
209;4;Роскомснаббанк (бывш. Башкомснаббанк);1398;Башкортостан;15 186 284,00;14 861 506,00;324 778,00;2,19
210;0;Инвесткапиталбанк;2377;Башкортостан;15 126 580,00;15 235 201,00;-108 621,00;-0,71
211;-4;Форштадт;2208;Оренбургская обл.;15 092 248,00;15 472 548,00;-380 300,00;-2,46
212;-4;ГПБ-Ипотека;2403;Москва и обл.;15 081 548,00;15 308 110,00;-226 562,00;-1,48
213;2;Русский Ипотечный Банк;1968;Москва и обл.;15 040 388,00;14 678 943,00;361 445,00;2,46
214;-9;Дил-Банк;3384;Москва и обл.;15 023 633,00;15 542 658,00;-519 025,00;-3,34
215;5;Росавтобанк;2767;Москва и обл.;14 897 982,00;14 233 295,00;664 687,00;4,67
216;2;Ури Банк;3479;Москва и обл.;14 806 963,00;14 413 760,00;393 203,00;2,73
217;-1;РосДорБанк;1573;Москва и обл.;14 646 163,00;14 616 848,00;29 315,00;0,20
218;6;Петербургский Социальный Коммерческий Банк;2551;Санкт-Петербург и обл.;14 622 775,00;13 766 063,00;856 712,00;6,22
219;-2;Гранд Инвест Банк;3053;Москва и обл.;14 432 255,00;14 428 229,00;4 026,00;0,03
220;1;Джей энд Ти Банк;3061;Москва и обл.;14 232 489,00;14 211 917,00;20 572,00;0,14
221;13;Ишбанк;2867;Москва и обл.;14 197 650,00;12 802 842,00;1 394 808,00;10,89
222;9;Тройка-Д Банк;3431;Москва и обл.;14 194 528,00;13 150 656,00;1 043 872,00;7,94
223;3;Стратегия;2801;Москва и обл.;14 193 496,00;13 498 186,00;695 310,00;5,15
224;-1;Банк Акцепт;567;Новосибирская обл.;14 100 486,00;13 795 111,00;305 375,00;2,21
225;28;Инбанк;1829;Москва и обл.;14 050 151,00;11 135 000,00;2 915 151,00;26,18
226;-4;Гарант-Инвест;2576;Москва и обл.;13 988 214,00;13 807 773,00;180 441,00;1,31
227;0;Бенифит-Банк;3229;Москва и обл.;13 982 259,00;13 431 199,00;551 060,00;4,10
228;1;НК Банк;2755;Москва и обл.;13 936 274,00;13 217 289,00;718 985,00;5,44
229;-1;Центркомбанк;2983;Москва и обл.;13 614 567,00;13 405 224,00;209 343,00;1,56
230;-5;Экономбанк;1319;Саратовская обл.;13 539 166,00;13 738 317,00;-199 151,00;-1,45
231;-1;Темпбанк;55;Москва и обл.;13 400 143,00;13 171 240,00;228 903,00;1,74
232;0;ВУЗ-Банк;1557;Свердловская обл.;12 981 592,00;12 999 709,00;-18 117,00;-0,14
233;0;ТЭМБР-Банк;2764;Москва и обл.;12 955 032,00;12 875 361,00;79 671,00;0,62
234;8;Данске Банк;3307;Санкт-Петербург и обл.;12 923 267,00;11 938 443,00;984 824,00;8,25
235;4;Автоторгбанк;2776;Москва и обл.;12 890 313,00;12 280 628,00;609 685,00;4,96
236;-1;Гаранти Банк — Москва;3275;Москва и обл.;12 816 917,00;12 582 754,00;234 163,00;1,86
237;1;ЕвроситиБанк;1869;Москва и обл.;12 570 166,00;12 319 773,00;250 393,00;2,03
238;2;Пойдем!;2534;Москва и обл.;12 308 234,00;12 128 346,00;179 888,00;1,48
239;9;Еврокоммерц;1777;Москва и обл.;12 277 024,00;11 566 622,00;710 402,00;6,14
240;6;Татсоцбанк;480;Татарстан;12 110 296,00;11 705 057,00;405 239,00;3,46
241;-5;БайкалБанк;2632;Бурятия;11 983 160,00;12 489 330,00;-506 170,00;-4,05
242;-5;Национальная Факторинговая Компания;3437;Москва и обл.;11 950 128,00;12 386 166,00;-436 038,00;-3,52
243;1;Финансовый Стандарт;1053;Москва и обл.;11 932 289,00;11 791 551,00;140 738,00;1,19
244;6;Прио-Внешторгбанк;212;Рязанская обл.;11 818 168,00;11 437 066,00;381 102,00;3,33
245;2;Международный Акционерный Банк;1987;Москва и обл.;11 807 905,00;11 699 417,00;108 488,00;0,93
246;-3;Нефтяной Альянс;2859;Москва и обл.;11 749 719,00;11 812 488,00;-62 769,00;-0,53
247;-6;Кубаньторгбанк;478;Краснодарский край;11 538 216,00;12 025 094,00;-486 878,00;-4,05
248;6;Александровский;53;Санкт-Петербург и обл.;11 361 611,00;11 099 590,00;262 021,00;2,36
249;3;Солидарность (Москва);1555;Москва и обл.;11 357 242,00;11 198 308,00;158 934,00;1,42
250;1;ОПМ-Банк;2734;Москва и обл.;11 354 780,00;11 354 780,00;0,00;0
251;5;Кредит-Москва;5;Москва и обл.;11 325 637,00;10 732 491,00;593 146,00;5,53
252;3;Солид Банк;1329;Камчатская обл.;11 313 879,00;10 752 532,00;561 347,00;5,22
253;-4;Унифин;2654;Москва и обл.;11 172 409,00;11 487 265,00;-314 856,00;-2,74
254;27;Российская Финансовая Корпорация;3099;Москва и обл.;10 640 450,00;8 811 294,00;1 829 156,00;20,76
255;3;Первомайский;518;Краснодарский край;10 603 190,00;10 710 736,00;-107 546,00;-1,00
256;4;Метробанк;2548;Москва и обл.;10 375 088,00;10 375 088,00;0,00;0
257;8;Евромет;2902;Москва и обл.;10 374 750,00;9 939 876,00;434 874,00;4,38
258;1;Банк на Гончарной (бывш. Япы Креди Банк Москва);2555;Москва и обл.;10 338 258,00;10 612 267,00;-274 009,00;-2,58
259;-2;Гута-Банк;256;Москва и обл.;10 331 956,00;10 716 452,00;-384 496,00;-3,59
260;2;Банк Оренбург;3269;Оренбургская обл.;10 236 311,00;10 179 956,00;56 355,00;0,55
