Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Сентябрь, 2016, тыс. рублей;Август, 2016, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;22 706 333 744,00;22 923 093 141,00;-216 759 397,00;-0,95
2;0;ВТБ;1000;Санкт-Петербург и обл.;9 709 652 302,00;9 719 640 051,00;-9 987 749,00;-0,10
3;0;Газпромбанк;354;Москва и обл.;5 098 628 320,00;5 138 013 687,00;-39 385 367,00;-0,77
4;1;Банк Открытие;2209;Москва и обл.;3 139 555 863,00;2 890 944 665,00;248 611 198,00;8,60
5;-1;ВТБ 24;1623;Москва и обл.;3 135 856 632,00;3 111 485 934,00;24 370 698,00;0,78
6;0;Россельхозбанк;3349;Москва и обл.;2 715 947 473,00;2 685 812 968,00;30 134 505,00;1,12
7;0;Альфа-Банк;1326;Москва и обл.;2 259 355 199,00;2 281 252 644,00;-21 897 445,00;-0,96
8;0;Национальный Клиринговый Центр;3466;Москва и обл.;1 954 430 292,00;1 855 323 750,00;99 106 542,00;5,34
9;2;Московский Кредитный Банк;1978;Москва и обл.;1 287 333 439,00;1 266 359 177,00;20 974 262,00;1,66
10;0;Промсвязьбанк;3251;Москва и обл.;1 273 328 527,00;1 270 203 884,00;3 124 643,00;0,25
11;-2;ЮниКредит Банк;1;Москва и обл.;1 258 177 872,00;1 321 422 868,00;-63 244 996,00;-4,79
12;2;Бинбанк;323;Москва и обл.;832 369 768,00;806 411 139,00;25 958 629,00;3,22
13;-1;Райффайзенбанк;3292;Москва и обл.;831 986 302,00;834 394 416,00;-2 408 114,00;-0,29
14;-1;Росбанк;2272;Москва и обл.;824 725 495,00;829 569 166,00;-4 843 671,00;-0,58
15;0;БМ-Банк;2748;Москва и обл.;689 239 853,00;706 206 253,00;-16 966 400,00;-2,40
16;0;Россия;328;Санкт-Петербург и обл.;663 136 384,00;674 807 190,00;-11 670 806,00;-1,73
17;1;Рост Банк;2888;Москва и обл.;590 933 643,00;563 055 438,00;27 878 205,00;4,95
18;-1;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;573 794 806,00;576 297 516,00;-2 502 710,00;-0,43
19;1;Совкомбанк;963;Костромская обл.;506 923 367,00;521 536 381,00;-14 613 014,00;-2,80
20;1;Русский Стандарт;2289;Москва и обл.;476 035 081,00;486 107 486,00;-10 072 405,00;-2,07
21;3;Ак Барс;2590;Татарстан;447 782 706,00;444 848 358,00;2 934 348,00;0,66
22;0;Московский Областной Банк;1751;Москва и обл.;443 823 482,00;478 310 651,00;-34 487 169,00;-7,21
23;0;Банк Уралсиб;30;Москва и обл.;437 073 314,00;464 644 731,00;-27 571 417,00;-5,93
24;1;Ситибанк;2557;Москва и обл.;428 110 377,00;430 978 136,00;-2 867 759,00;-0,67
25;1;Траст;3279;Москва и обл.;402 066 770,00;373 929 298,00;28 137 472,00;7,52
26;3;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;341 276 671,00;344 816 518,00;-3 539 847,00;-1,03
27;1;СМП Банк;3368;Москва и обл.;341 147 529,00;346 208 812,00;-5 061 283,00;-1,46
28;-1;Связь-Банк;1470;Москва и обл.;338 717 377,00;354 246 765,00;-15 529 388,00;-4,38
29;1;МДМ Банк;2562;Москва и обл.;324 680 776,00;327 370 806,00;-2 690 030,00;-0,82
30;1;Югра;880;Москва и обл.;315 743 336,00;319 571 221,00;-3 827 885,00;-1,20
31;3;Банк ДОМ.РФ;2312;Москва и обл.;297 753 144,00;298 319 439,00;-566 295,00;-0,19
32;0;Нордеа Банк;3016;Москва и обл.;283 210 201,00;314 851 012,00;-31 640 811,00;-10,05
33;3;Абсолют Банк;2306;Москва и обл.;270 314 044,00;263 232 368,00;7 081 676,00;2,69
34;1;Банк Зенит;3255;Москва и обл.;268 746 397,00;273 398 323,00;-4 651 926,00;-1,70
35;-2;ИНГ Банк;2495;Москва и обл.;260 126 743,00;303 658 901,00;-43 532 158,00;-14,34
36;2;Новикомбанк;2546;Москва и обл.;260 001 621,00;257 249 468,00;2 752 153,00;1,07
37;0;Московский Индустриальный Банк;912;Москва и обл.;256 522 742,00;259 136 990,00;-2 614 248,00;-1,01
38;1;Возрождение;1439;Москва и обл.;235 445 240,00;237 351 646,00;-1 906 406,00;-0,80
39;1;Глобэкс;1942;Москва и обл.;224 137 850,00;226 922 178,00;-2 784 328,00;-1,23
40;2;Транскапиталбанк;2210;Москва и обл.;223 206 232,00;224 702 508,00;-1 496 276,00;-0,67
41;0;Хоум Кредит Банк;316;Москва и обл.;222 501 727,00;225 472 389,00;-2 970 662,00;-1,32
42;13;Всероссийский Банк Развития Регионов;3287;Москва и обл.;217 761 839,00;135 776 974,00;81 984 865,00;60,38
43;1;Восточный Банк;1460;Амурская обл.;214 384 015,00;203 188 085,00;11 195 930,00;5,51
