Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Январь, 2012, тыс. рублей;Декабрь, 2011, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;10 975 636 300,00;10 414 994 686,00;560 641 614,00;5,38
2;0;ВТБ;1000;Санкт-Петербург и обл.;4 209 294 510,00;3 980 335 738,00;228 958 772,00;5,75
3;0;Газпромбанк;354;Москва и обл.;2 458 897 495,00;2 359 784 575,00;99 112 920,00;4,20
4;0;Россельхозбанк;3349;Москва и обл.;1 466 605 876,00;1 385 434 005,00;81 171 871,00;5,86
5;1;БМ-Банк;2748;Москва и обл.;1 333 451 155,00;1 222 865 312,00;110 585 843,00;9,04
6;-1;ВТБ 24;1623;Москва и обл.;1 215 652 461,00;1 249 690 887,00;-34 038 426,00;-2,72
7;0;Альфа-Банк;1326;Москва и обл.;998 169 890,00;964 457 258,00;33 712 632,00;3,50
8;0;ЮниКредит Банк;1;Москва и обл.;894 251 608,00;844 319 437,00;49 932 171,00;5,91
9;0;Росбанк;2272;Москва и обл.;644 809 922,00;648 554 614,00;-3 744 692,00;-0,58
10;0;Райффайзенбанк;3292;Москва и обл.;594 216 497,00;611 390 089,00;-17 173 592,00;-2,81
11;0;Промсвязьбанк;3251;Москва и обл.;589 098 990,00;555 508 092,00;33 590 898,00;6,05
12;1;Транскредитбанк;2142;Москва и обл.;511 123 981,00;477 166 819,00;33 957 162,00;7,12
13;-1;Банк Открытие;2209;Москва и обл.;477 551 056,00;482 388 866,00;-4 837 810,00;-1,00
14;0;Банк Уралсиб;30;Москва и обл.;448 379 092,00;450 314 106,00;-1 935 014,00;-0,43
15;0;МДМ Банк;2562;Новосибирская обл.;381 509 924,00;380 696 204,00;813 720,00;0,21
16;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;342 254 428,00;330 922 241,00;11 332 187,00;3,42
17;1;Россия;328;Санкт-Петербург и обл.;306 180 265,00;292 750 873,00;13 429 392,00;4,59
18;-1;Ак Барс;2590;Татарстан;302 471 540,00;297 806 733,00;4 664 807,00;1,57
19;0;Ситибанк;2557;Москва и обл.;284 028 682,00;284 517 825,00;-489 143,00;-0,17
20;0;Нордеа Банк;3016;Москва и обл.;276 713 343,00;253 436 909,00;23 276 434,00;9,18
21;1;Московский Кредитный Банк;1978;Москва и обл.;237 615 707,00;228 051 882,00;9 563 825,00;4,19
22;4;Связь-Банк;1470;Москва и обл.;227 180 067,00;210 291 267,00;16 888 800,00;8,03
23;1;Ханты-Мансийский банк Открытие;1971;Тюменская обл.;223 246 898,00;217 083 159,00;6 163 739,00;2,84
24;-1;Банк Зенит;3255;Москва и обл.;217 670 755,00;219 457 967,00;-1 787 212,00;-0,81
25;0;Петрокоммерц;1776;Москва и обл.;203 881 417,00;214 253 293,00;-10 371 876,00;-4,84
26;1;Возрождение;1439;Москва и обл.;193 406 116,00;187 772 455,00;5 633 661,00;3,00
27;1;Русский Стандарт;2289;Москва и обл.;193 083 078,00;178 085 397,00;14 997 681,00;8,42
28;-7;ИНГ Банк;2495;Москва и обл.;189 154 552,00;230 226 362,00;-41 071 810,00;-17,84
29;1;Траст;3279;Москва и обл.;181 765 254,00;166 718 413,00;15 046 841,00;9,03
