Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Март, 2019, тыс. рублей;Февраль, 2019, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;28 357 071 793,00;27 948 167 428,00;408 904 365,00;1,46
2;0;ВТБ;1000;Санкт-Петербург и обл.;13 941 983 769,00;13 747 721 706,00;194 262 063,00;1,41
3;0;Газпромбанк;354;Москва и обл.;6 274 990 547,00;6 476 874 005,00;-201 883 458,00;-3,12
4;0;Национальный Клиринговый Центр;3466;Москва и обл.;3 986 509 038,00;4 323 785 886,00;-337 276 848,00;-7,80
5;0;Россельхозбанк;3349;Москва и обл.;3 381 846 671,00;3 333 005 756,00;48 840 915,00;1,47
6;0;Альфа-Банк;1326;Москва и обл.;3 290 037 343,00;3 294 398 583,00;-4 361 240,00;-0,13
7;1;Московский Кредитный Банк;1978;Москва и обл.;2 167 417 851,00;2 145 744 916,00;21 672 935,00;1,01
8;-1;Банк Открытие;2209;Москва и обл.;2 157 394 981,00;2 163 002 502,00;-5 607 521,00;-0,26
9;0;Промсвязьбанк;3251;Москва и обл.;1 605 991 402,00;1 523 790 403,00;82 200 999,00;5,39
10;0;ЮниКредит Банк;1;Москва и обл.;1 448 183 351,00;1 336 921 478,00;111 261 873,00;8,32
11;0;Райффайзенбанк;3292;Москва и обл.;1 171 340 599,00;1 156 548 281,00;14 792 318,00;1,28
12;0;Росбанк;2272;Москва и обл.;1 068 246 629,00;1 086 951 496,00;-18 704 867,00;-1,72
13;1;Россия;328;Санкт-Петербург и обл.;1 024 313 328,00;1 003 120 119,00;21 193 209,00;2,11
14;-1;Траст;3279;Москва и обл.;1 018 639 367,00;1 054 521 066,00;-35 881 699,00;-3,40
15;0;Совкомбанк;963;Костромская обл.;1 007 743 702,00;995 757 234,00;11 986 468,00;1,20
16;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;681 025 025,00;700 933 740,00;-19 908 715,00;-2,84
17;0;Всероссийский Банк Развития Регионов;3287;Москва и обл.;649 049 897,00;693 251 935,00;-44 202 038,00;-6,38
18;1;Банк Уралсиб;30;Москва и обл.;556 473 224,00;560 030 903,00;-3 557 679,00;-0,64
19;1;БМ-Банк;2748;Москва и обл.;544 856 143,00;546 522 255,00;-1 666 112,00;-0,30
20;-2;Ак Барс;2590;Татарстан;544 774 032,00;561 974 558,00;-17 200 526,00;-3,06
21;1;Ситибанк;2557;Москва и обл.;541 023 525,00;527 751 529,00;13 271 996,00;2,51
22;-1;Московский Областной Банк;1751;Москва и обл.;534 256 483,00;542 167 970,00;-7 911 487,00;-1,46
23;0;СМП Банк;3368;Москва и обл.;470 035 362,00;475 041 516,00;-5 006 154,00;-1,05
24;0;Новикомбанк;2546;Москва и обл.;428 449 513,00;432 634 056,00;-4 184 543,00;-0,97
25;0;Тинькофф Банк;2673;Москва и обл.;418 992 461,00;407 111 567,00;11 880 894,00;2,92
26;0;Почта Банк;650;Москва и обл.;416 766 542,00;406 875 241,00;9 891 301,00;2,43
27;0;Связь-Банк;1470;Москва и обл.;367 780 082,00;379 432 788,00;-11 652 706,00;-3,07
28;0;Банк АВБ;23;Самарская обл.;366 329 689,00;364 702 765,00;1 626 924,00;0,45
29;0;Русский Стандарт;2289;Москва и обл.;351 894 700,00;350 862 420,00;1 032 280,00;0,29
30;0;Пересвет;2110;Москва и обл.;326 825 291,00;324 232 591,00;2 592 700,00;0,80
31;2;Московский Индустриальный Банк;912;Москва и обл.;287 453 576,00;277 254 723,00;10 198 853,00;3,68
32;0;Восточный Банк;1460;Амурская обл.;286 618 210,00;287 971 462,00;-1 353 252,00;-0,47
33;-2;Возрождение;1439;Москва и обл.;285 542 359,00;291 078 345,00;-5 535 986,00;-1,90
34;2;Сургутнефтегазбанк;588;Ханты-Мансийский АО — Югра;273 238 805,00;270 301 529,00;2 937 276,00;1,09
35;-1;Абсолют Банк;2306;Москва и обл.;264 314 682,00;273 196 189,00;-8 881 507,00;-3,25
36;1;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;259 216 370,00;256 852 383,00;2 363 987,00;0,92
37;-2;Хоум Кредит Банк;316;Москва и обл.;257 084 212,00;271 326 983,00;-14 242 771,00;-5,25
38;0;Банк ДОМ.РФ;2312;Москва и обл.;244 247 577,00;255 144 574,00;-10 896 997,00;-4,27
39;0;Банк Зенит;3255;Москва и обл.;233 499 090,00;230 624 255,00;2 874 835,00;1,25
40;0;ИНГ Банк;2495;Москва и обл.;216 087 836,00;215 941 698,00;146 138,00;0,07
41;0;ДельтаКредит;3338;Москва и обл.;210 135 725,00;198 951 542,00;11 184 183,00;5,62
42;0;Инвестторгбанк;2763;Москва и обл.;195 440 553,00;193 421 484,00;2 019 069,00;1,04
43;0;Экспресс-Волга;3085;Костромская обл.;182 812 905,00;183 765 758,00;-952 853,00;-0,52
44;0;РНКБ;1354;Симферополь;181 346 884,00;178 032 883,00;3 314 001,00;1,86
45;0;Ренессанс Кредит;3354;Москва и обл.;174 252 115,00;173 556 248,00;695 867,00;0,40
46;1;МТС Банк;2268;Москва и обл.;168 657 487,00;164 681 661,00;3 975 826,00;2,41
47;2;Кредит Европа Банк;3311;Москва и обл.;168 480 429,00;160 771 209,00;7 709 220,00;4,80
48;0;ОТП Банк;2766;Москва и обл.;164 187 616,00;162 358 827,00;1 828 789,00;1,13
49;-3;Транскапиталбанк;2210;Москва и обл.;160 424 351,00;167 866 492,00;-7 442 141,00;-4,43
50;1;Национальный Расчетный Депозитарий;3294;Москва и обл.;144 343 734,00;136 783 489,00;7 560 245,00;5,53
51;4;Аверс;415;Татарстан;141 113 668,00;129 810 282,00;11 303 386,00;8,71
52;-2;Сетелем Банк;2168;Москва и обл.;137 923 399,00;137 160 768,00;762 631,00;0,56
