Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Февраль, 2017, тыс. рублей;Январь, 2017, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;22 474 428 311,00;22 683 024 956,00;-208 596 645,00;-0,92
2;0;ВТБ;1000;Санкт-Петербург и обл.;9 609 160 400,00;9 462 035 421,00;147 124 979,00;1,55
3;0;Газпромбанк;354;Москва и обл.;5 318 681 912,00;5 154 059 526,00;164 622 386,00;3,19
4;0;ВТБ 24;1623;Москва и обл.;3 186 420 953,00;3 148 754 529,00;37 666 424,00;1,20
5;1;Россельхозбанк;3349;Москва и обл.;2 914 492 241,00;2 802 482 746,00;112 009 495,00;4,00
6;-1;Банк Открытие;2209;Москва и обл.;2 754 454 963,00;2 817 870 773,00;-63 415 810,00;-2,25
7;1;Национальный Клиринговый Центр;3466;Москва и обл.;2 466 340 972,00;2 310 056 873,00;156 284 099,00;6,77
8;-1;Альфа-Банк;1326;Москва и обл.;2 386 886 731,00;2 458 447 294,00;-71 560 563,00;-2,91
9;0;Московский Кредитный Банк;1978;Москва и обл.;1 375 221 913,00;1 454 783 713,00;-79 561 800,00;-5,47
10;0;Промсвязьбанк;3251;Москва и обл.;1 319 570 295,00;1 327 405 045,00;-7 834 750,00;-0,59
11;0;ЮниКредит Банк;1;Москва и обл.;1 178 872 770,00;1 213 680 015,00;-34 807 245,00;-2,87
12;0;Бинбанк;323;Москва и обл.;1 157 959 604,00;1 165 424 642,00;-7 465 038,00;-0,64
13;1;Райффайзенбанк;3292;Москва и обл.;801 523 603,00;778 648 690,00;22 874 913,00;2,94
14;-1;Росбанк;2272;Москва и обл.;790 462 010,00;793 006 467,00;-2 544 457,00;-0,32
15;0;Россия;328;Санкт-Петербург и обл.;742 062 016,00;753 410 260,00;-11 348 244,00;-1,51
16;0;БМ-Банк;2748;Москва и обл.;657 754 829,00;668 337 277,00;-10 582 448,00;-1,58
17;0;Рост Банк;2888;Москва и обл.;617 712 993,00;616 462 140,00;1 250 853,00;0,20
18;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;597 111 090,00;608 391 942,00;-11 280 852,00;-1,85
19;0;Совкомбанк;963;Костромская обл.;546 255 128,00;554 476 258,00;-8 221 130,00;-1,48
20;10;Всероссийский Банк Развития Регионов;3287;Москва и обл.;499 440 751,00;301 398 810,00;198 041 941,00;65,71
21;-1;Ак Барс;2590;Татарстан;472 123 124,00;465 699 733,00;6 423 391,00;1,38
22;0;Московский Областной Банк;1751;Москва и обл.;459 063 758,00;456 623 501,00;2 440 257,00;0,53
23;-2;Банк Уралсиб;30;Москва и обл.;457 045 007,00;457 565 222,00;-520 215,00;-0,11
24;-1;Ситибанк;2557;Москва и обл.;451 288 974,00;445 176 146,00;6 112 828,00;1,37
25;-1;Русский Стандарт;2289;Москва и обл.;417 004 124,00;425 819 027,00;-8 814 903,00;-2,07
26;-1;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;402 604 155,00;419 525 395,00;-16 921 240,00;-4,03
27;-1;Траст;3279;Москва и обл.;395 362 566,00;372 498 680,00;22 863 886,00;6,14
28;1;Банк ДОМ.РФ;2312;Москва и обл.;328 742 198,00;320 157 599,00;8 584 599,00;2,68
29;-1;Югра;880;Москва и обл.;323 997 506,00;324 839 491,00;-841 985,00;-0,26
30;-3;СМП Банк;3368;Москва и обл.;318 896 451,00;359 561 868,00;-40 665 417,00;-11,31
31;12;Восточный Банк;1460;Амурская обл.;289 164 849,00;198 450 353,00;90 714 496,00;45,71
32;-1;Связь-Банк;1470;Москва и обл.;281 285 387,00;301 046 915,00;-19 761 528,00;-6,56
33;0;Абсолют Банк;2306;Москва и обл.;273 177 316,00;267 841 655,00;5 335 661,00;1,99
34;-2;Банк Зенит;3255;Москва и обл.;257 992 254,00;270 129 983,00;-12 137 729,00;-4,49
35;-1;Московский Индустриальный Банк;912;Москва и обл.;254 179 701,00;258 289 271,00;-4 109 570,00;-1,59
36;1;Новикомбанк;2546;Москва и обл.;245 406 042,00;239 894 860,00;5 511 182,00;2,30
37;-2;Возрождение;1439;Москва и обл.;244 388 007,00;254 315 386,00;-9 927 379,00;-3,90
38;-2;Нордеа Банк;3016;Москва и обл.;233 680 277,00;241 668 210,00;-7 987 933,00;-3,31
39;0;Хоум Кредит Банк;316;Москва и обл.;222 427 404,00;220 988 410,00;1 438 994,00;0,65
40;2;ИНГ Банк;2495;Москва и обл.;212 940 988,00;202 871 192,00;10 069 796,00;4,96
41;-1;Транскапиталбанк;2210;Москва и обл.;212 417 326,00;212 140 738,00;276 588,00;0,13
42;-1;Глобэкс;1942;Москва и обл.;205 436 071,00;206 822 444,00;-1 386 373,00;-0,67
43;-5;Экспресс-Волга;3085;Костромская обл.;187 532 915,00;235 757 495,00;-48 224 580,00;-20,46
44;0;Тинькофф Банк;2673;Москва и обл.;184 771 060,00;188 167 310,00;-3 396 250,00;-1,80
45;0;РосЕвроБанк;3137;Москва и обл.;184 461 440,00;180 930 400,00;3 531 040,00;1,95
46;13;Национальный Расчетный Депозитарий;3294;Москва и обл.;180 376 324,00;118 609 748,00;61 766 576,00;52,08
47;9;Сургутнефтегазбанк;588;Ханты-Мансийский АО — Югра;167 275 727,00;131 198 027,00;36 077 700,00;27,50
48;-2;ДельтаКредит;3338;Москва и обл.;162 937 193,00;163 411 085,00;-473 892,00;-0,29
49;-2;МТС Банк;2268;Москва и обл.;159 087 015,00;160 438 153,00;-1 351 138,00;-0,84
50;-2;Банк Сберегательно-Кредитного Сервиса;3224;Москва и обл.;156 469 349,00;155 136 343,00;1 333 006,00;0,86
51;-2;РГС Банк;3073;Москва и обл.;145 602 149,00;150 077 490,00;-4 475 341,00;-2,98
52;-2;Авангард;2879;Москва и обл.;143 749 467,00;149 202 588,00;-5 453 121,00;-3,65
53;-2;ОТП Банк;2766;Москва и обл.;139 789 155,00;144 556 740,00;-4 767 585,00;-3,30
54;1;Почта Банк;650;Москва и обл.;136 435 077,00;131 590 327,00;4 844 750,00;3,68
55;-2;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;134 907 013,00;136 346 501,00;-1 439 488,00;-1,06
56;-2;СКБ-Банк;705;Свердловская обл.;126 278 547,00;134 867 029,00;-8 588 482,00;-6,37
57;0;Инвестторгбанк;2763;Москва и обл.;125 708 393,00;123 220 338,00;2 488 055,00;2,02
58;-6;МСП Банк;3340;Москва и обл.;124 076 216,00;141 645 902,00;-17 569 686,00;-12,40
59;-1;Кредит Европа Банк;3311;Москва и обл.;123 431 314,00;121 202 754,00;2 228 560,00;1,84
60;0;Запсибкомбанк;918;Тюменская обл.;115 239 149,00;118 497 163,00;-3 258 014,00;-2,75
61;4;Аверс;415;Татарстан;110 424 673,00;102 633 399,00;7 791 274,00;7,59
62;-1;Сетелем Банк;2168;Москва и обл.;110 282 221,00;111 074 147,00;-791 926,00;-0,71
63;1;Ренессанс Кредит;3354;Москва и обл.;104 931 145,00;105 434 725,00;-503 580,00;-0,48
64;-1;Русфинанс Банк;1792;Самарская обл.;104 212 468,00;106 096 003,00;-1 883 535,00;-1,78
65;1;Роскосмосбанк;2989;Москва и обл.;101 171 304,00;101 573 470,00;-402 166,00;-0,40
66;1;Центр-инвест;2225;Ростовская обл.;98 912 461,00;99 775 285,00;-862 824,00;-0,86
67;10;Балтийский Банк;128;Санкт-Петербург и обл.;91 703 121,00;72 877 564,00;18 825 557,00;25,83
68;0;Таврический Банк;2304;Санкт-Петербург и обл.;91 441 565,00;91 544 133,00;-102 568,00;-0,11
69;4;Балтинвестбанк;3176;Санкт-Петербург и обл.;88 699 585,00;83 253 758,00;5 445 827,00;6,54
70;1;Банк Финсервис;3388;Москва и обл.;85 805 820,00;84 911 890,00;893 930,00;1,05
71;-1;Локо-Банк;2707;Москва и обл.;84 605 268,00;87 656 968,00;-3 051 700,00;-3,48
72;-3;РНКБ;1354;Симферополь;84 484 083,00;91 324 917,00;-6 840 834,00;-7,49
73;1;ЦентроКредит;121;Москва и обл.;81 622 841,00;81 563 756,00;59 085,00;0,07
74;-2;Союз;2307;Москва и обл.;80 006 981,00;84 178 851,00;-4 171 870,00;-4,96
75;0;Кубань Кредит;2518;Краснодарский край;78 075 606,00;76 673 654,00;1 401 952,00;1,83
76;5;БНП Париба Банк;3407;Москва и обл.;77 908 995,00;69 548 291,00;8 360 704,00;12,02
77;2;Росэксимбанк;2790;Москва и обл.;70 949 951,00;70 023 798,00;926 153,00;1,32
78;-2;Эйч-Эс-Би-Си Банк (HSBC);3290;Москва и обл.;70 763 526,00;74 864 639,00;-4 101 113,00;-5,48
79;-1;Меткомбанк (Каменск-Уральский);2443;Свердловская обл.;70 451 482,00;70 110 506,00;340 976,00;0,49
80;2;ВУЗ-Банк;1557;Свердловская обл.;68 409 321,00;68 430 617,00;-21 296,00;-0,03
81;4;Дойче Банк;3328;Москва и обл.;67 805 060,00;65 269 950,00;2 535 110,00;3,88
82;5;РН Банк;170;Москва и обл.;66 722 414,00;62 503 033,00;4 219 381,00;6,75
83;-3;Металлинвестбанк;2440;Москва и обл.;66 015 707,00;69 720 796,00;-3 705 089,00;-5,31
84;-1;Экспобанк;2998;Москва и обл.;65 263 069,00;66 936 350,00;-1 673 281,00;-2,50
85;-1;Международный Финансовый Клуб;2618;Москва и обл.;63 293 897,00;65 546 862,00;-2 252 965,00;-3,44
86;0;БКС Банк;101;Новосибирская обл.;58 183 930,00;63 221 819,00;-5 037 889,00;-7,97
87;1;Банк Интеза;2216;Москва и обл.;58 088 924,00;60 131 289,00;-2 042 365,00;-3,40
88;2;Росэнергобанк;2211;Москва и обл.;57 327 165,00;58 799 277,00;-1 472 112,00;-2,50
89;2;ОФК Банк;2270;Москва и обл.;56 765 702,00;57 276 230,00;-510 528,00;-0,89
90;4;СДМ-Банк;1637;Москва и обл.;56 262 478,00;54 841 886,00;1 420 592,00;2,59
91;2;Крайинвестбанк;3360;Краснодарский край;55 256 319,00;54 953 577,00;302 742,00;0,55
92;-3;Креди Агриколь КИБ;1680;Санкт-Петербург и обл.;54 260 591,00;59 719 502,00;-5 458 911,00;-9,14
93;5;ББР Банк;2929;Москва и обл.;53 774 813,00;52 195 565,00;1 579 248,00;3,03
94;-2;Образование;1521;Москва и обл.;52 223 461,00;55 850 190,00;-3 626 729,00;-6,49
95;2;Социнвестбанк;1132;Башкортостан;51 423 559,00;52 386 764,00;-963 205,00;-1,84
96;-1;Тойота Банк;3470;Москва и обл.;51 311 887,00;53 447 538,00;-2 135 651,00;-4,00
97;2;Международный Банк Санкт-Петербурга (МБСП);197;Санкт-Петербург и обл.;50 592 777,00;51 892 069,00;-1 299 292,00;-2,50
98;3;Межтопэнергобанк;2956;Москва и обл.;49 013 415,00;49 090 118,00;-76 703,00;-0,16
99;4;Газэнергобанк;3252;Калужская обл.;47 975 504,00;48 056 229,00;-80 725,00;-0,17
100;9;Сумитомо Мицуи Рус Банк;3494;Москва и обл.;47 571 002,00;46 832 048,00;738 954,00;1,58
101;5;Челябинвестбанк;493;Челябинская обл.;47 438 600,00;47 012 015,00;426 585,00;0,91
102;3;Примсоцбанк;2733;Приморский край;46 913 616,00;47 022 877,00;-109 261,00;-0,23
103;-3;АйСиБиСи Банк;3475;Москва и обл.;46 761 281,00;50 166 393,00;-3 405 112,00;-6,79
104;4;Челиндбанк;485;Челябинская обл.;46 625 408,00;46 920 625,00;-295 217,00;-0,63
105;-3;Фора-Банк;1885;Москва и обл.;46 418 369,00;48 232 367,00;-1 813 998,00;-3,76
106;-2;Еврофинанс Моснарбанк;2402;Москва и обл.;46 323 720,00;47 233 246,00;-909 526,00;-1,93
107;0;Левобережный;1343;Новосибирская обл.;46 213 942,00;46 931 677,00;-717 735,00;-1,53
108;2;Интерпрогрессбанк;600;Москва и обл.;42 452 519,00;43 274 323,00;-821 804,00;-1,90
109;-13;Банк БФА;3038;Санкт-Петербург и обл.;41 249 448,00;52 701 576,00;-11 452 128,00;-21,73
110;1;Саровбизнесбанк;2048;Нижегородская обл.;41 030 645,00;40 918 261,00;112 384,00;0,27
111;3;Финанс Бизнес Банк;520;Москва и обл.;37 740 332,00;37 796 149,00;-55 817,00;-0,15
112;0;Севергазбанк;2816;Вологодская обл.;37 521 080,00;39 485 879,00;-1 964 799,00;-4,98
113;5;Коммерцбанк (Евразия);3333;Москва и обл.;36 917 833,00;34 007 405,00;2 910 428,00;8,56
114;1;Квантмобайл Банк;1189;Москва и обл.;36 777 247,00;36 833 507,00;-56 260,00;-0,15
115;-2;Бинбанк Диджитал;2827;Москва и обл.;36 175 749,00;38 647 082,00;-2 471 333,00;-6,39
116;15;Бэнк оф Чайна;2309;Москва и обл.;35 938 723,00;29 460 757,00;6 477 966,00;21,99
117;3;Кольцо Урала;65;Свердловская обл.;33 548 557,00;32 727 042,00;821 515,00;2,51
118;5;БыстроБанк;1745;Удмуртия;32 304 868,00;31 260 016,00;1 044 852,00;3,34
119;19;МБА-Москва;3395;Москва и обл.;31 752 110,00;27 187 390,00;4 564 720,00;16,79
120;-3;НС Банк;3124;Москва и обл.;31 605 756,00;34 325 756,00;-2 720 000,00;-7,92
121;14;Объединенный Капитал;2611;Санкт-Петербург и обл.;31 306 301,00;28 374 157,00;2 932 144,00;10,33
122;4;Фольксваген Банк Рус;3500;Москва и обл.;31 213 995,00;30 223 156,00;990 839,00;3,28
123;7;Дальневосточный Банк;843;Приморский край;30 709 132,00;29 740 346,00;968 786,00;3,26
124;3;Солидарность;554;Самарская обл.;30 520 760,00;30 066 618,00;454 142,00;1,51
125;-1;Алмазэргиэнбанк;2602;Саха (Якутия);30 410 363,00;30 642 012,00;-231 649,00;-0,76
126;-1;Русский Международный Банк;3123;Москва и обл.;30 146 479,00;30 249 216,00;-102 737,00;-0,34
127;1;Кредит Урал Банк;2584;Челябинская обл.;30 080 357,00;29 785 425,00;294 932,00;0,99
128;6;Национальный Стандарт;3421;Москва и обл.;29 934 438,00;28 745 103,00;1 189 335,00;4,14
129;0;Интехбанк;2705;Татарстан;29 780 280,00;29 762 660,00;17 620,00;0,06
130;3;АктивКапитал Банк;3006;Самарская обл.;29 345 674,00;28 836 737,00;508 937,00;1,76
131;-9;Интерпромбанк;3266;Москва и обл.;29 258 250,00;31 394 464,00;-2 136 214,00;-6,80
132;8;Мир Бизнес Банк;3396;Москва и обл.;29 252 048,00;26 559 348,00;2 692 700,00;10,14
133;-1;Приморье;3001;Приморский край;29 218 086,00;29 242 372,00;-24 286,00;-0,08
134;-13;Генбанк;2490;Симферополь;28 999 203,00;31 924 713,00;-2 925 510,00;-9,16
135;1;Аресбанк;2914;Москва и обл.;28 091 362,00;28 273 188,00;-181 826,00;-0,64
136;-17;Московское Ипотечное Агентство;3344;Москва и обл.;27 630 927,00;33 096 312,00;-5 465 385,00;-16,51
137;0;Газбанк;2316;Самарская обл.;26 982 722,00;27 600 152,00;-617 430,00;-2,24
138;4;Девон-Кредит;1972;Татарстан;26 547 907,00;25 714 319,00;833 588,00;3,24
139;4;Татсоцбанк;480;Татарстан;25 888 607,00;25 421 497,00;467 110,00;1,84
140;-24;Платежный Центр;3166;Новосибирская обл.;25 408 035,00;34 785 772,00;-9 377 737,00;-26,96
141;8;Агропромкредит;2880;Москва и обл.;25 152 643,00;24 383 461,00;769 182,00;3,15
142;2;Липецккомбанк;1242;Липецкая обл.;25 090 555,00;25 329 461,00;-238 906,00;-0,94
143;2;Ланта-Банк;1920;Москва и обл.;24 370 017,00;24 973 883,00;-603 866,00;-2,42
144;-5;Данске Банк;3307;Санкт-Петербург и обл.;24 143 731,00;26 706 421,00;-2 562 690,00;-9,60
145;5;Акибанк;2587;Татарстан;23 752 005,00;24 048 424,00;-296 419,00;-1,23
146;1;БМВ Банк;3482;Москва и обл.;23 649 252,00;24 633 107,00;-983 855,00;-3,99
147;-6;СЭБ Банк;3235;Санкт-Петербург и обл.;23 385 157,00;25 809 449,00;-2 424 292,00;-9,39
148;3;Урал ФД;249;Пермская обл.;23 225 509,00;23 495 845,00;-270 336,00;-1,15
149;4;Энергобанк;67;Татарстан;22 763 826,00;22 292 148,00;471 678,00;2,12
150;4;Спурт Банк;2207;Татарстан;22 061 871,00;22 240 436,00;-178 565,00;-0,80
151;4;Легион;3117;Москва и обл.;21 865 840,00;21 733 990,00;131 850,00;0,61
152;-4;Чайна Констракшн;3515;Москва и обл.;21 741 785,00;24 522 927,00;-2 781 142,00;-11,34
153;4;Курскпромбанк;735;Курская обл.;21 541 697,00;21 221 473,00;320 224,00;1,51
154;-2;Петербургский Социальный Коммерческий Банк;2551;Санкт-Петербург и обл.;20 606 541,00;22 581 775,00;-1 975 234,00;-8,75
155;1;Москоммерцбанк;3365;Москва и обл.;20 519 522,00;21 629 094,00;-1 109 572,00;-5,13
156;-10;Энерготрансбанк;1307;Калининградская обл.;20 277 493,00;24 656 361,00;-4 378 868,00;-17,76
157;5;НБД-Банк;1966;Нижегородская обл.;20 048 297,00;19 893 118,00;155 179,00;0,78
158;2;Хлынов;254;Кировская обл.;20 024 099,00;20 194 419,00;-170 320,00;-0,84
159;0;Мерседес-Бенц Банк Рус;3473;Москва и обл.;19 900 266,00;20 370 668,00;-470 402,00;-2,31
160;1;Меткомбанк (Череповец);901;Вологодская обл.;19 659 652,00;19 899 496,00;-239 844,00;-1,21
161;3;Роскомснаббанк (бывш. Башкомснаббанк);1398;Башкортостан;19 619 800,00;19 165 062,00;454 738,00;2,37
162;-4;Джей энд Ти Банк;3061;Москва и обл.;19 202 790,00;20 783 533,00;-1 580 743,00;-7,61
163;0;Собинбанк;1317;Москва и обл.;18 977 727,00;19 808 231,00;-830 504,00;-4,19
164;1;Тольяттихимбанк;2507;Самарская обл.;18 611 188,00;18 880 384,00;-269 196,00;-1,43
165;6;Кошелев-Банк;3300;Самарская обл.;18 275 593,00;16 896 009,00;1 379 584,00;8,17
166;1;Банк Кредит Свисс;2494;Москва и обл.;18 113 253,00;17 559 593,00;553 660,00;3,15
167;-1;Натиксис Банк;3390;Москва и обл.;17 267 885,00;18 502 626,00;-1 234 741,00;-6,67
168;1;Рублев;3098;Москва и обл.;16 758 256,00;17 206 841,00;-448 585,00;-2,61
169;3;Держава;2738;Москва и обл.;16 550 758,00;16 781 513,00;-230 755,00;-1,38
170;0;НК Банк;2755;Москва и обл.;16 491 532,00;16 941 464,00;-449 932,00;-2,66
171;5;Развитие-Столица;3013;Москва и обл.;16 432 986,00;15 800 659,00;632 327,00;4,00
172;3;Банк Акцепт;567;Новосибирская обл.;16 359 946,00;16 014 449,00;345 497,00;2,16
173;6;Темпбанк;55;Москва и обл.;15 934 679,00;15 572 128,00;362 551,00;2,33
174;6;Объединенный Кредитный Банк;1118;Ярославская обл.;15 801 808,00;15 475 501,00;326 307,00;2,11
175;-2;Алеф-Банк;2119;Москва и обл.;15 653 805,00;16 576 301,00;-922 496,00;-5,57
176;5;Александровский;53;Санкт-Петербург и обл.;15 642 219,00;15 467 232,00;174 987,00;1,13
177;-3;Пойдем!;2534;Москва и обл.;15 570 043,00;16 030 561,00;-460 518,00;-2,87
178;-1;Уралтрансбанк;812;Свердловская обл.;15 162 104,00;15 763 316,00;-601 212,00;-3,81
179;-1;Нацинвестпромбанк;3077;Москва и обл.;15 084 819,00;15 656 018,00;-571 199,00;-3,65
180;3;Денизбанк Москва;3330;Москва и обл.;14 959 971,00;14 954 850,00;5 121,00;0,03
181;1;Солидарность (Москва);1555;Москва и обл.;14 689 082,00;15 010 872,00;-321 790,00;-2,14
182;8;Банк Казани;708;Татарстан;14 670 116,00;14 108 920,00;561 196,00;3,98
183;2;Гарант-Инвест;2576;Москва и обл.;14 648 874,00;14 422 689,00;226 185,00;1,57
184;0;Норвик Банк;902;Кировская обл.;14 595 303,00;14 515 636,00;79 667,00;0,55
185;7;Расчетно-Кредитный Банк;103;Москва и обл.;14 433 077,00;13 958 465,00;474 612,00;3,40
186;1;Национальный Резервный Банк;2170;Москва и обл.;14 385 314,00;14 337 105,00;48 209,00;0,34
187;1;РосДорБанк;1573;Москва и обл.;14 259 809,00;14 324 165,00;-64 356,00;-0,45
188;5;Ишбанк;2867;Москва и обл.;14 183 593,00;13 823 598,00;359 995,00;2,60
189;2;Форштадт;2208;Оренбургская обл.;14 131 780,00;14 068 824,00;62 956,00;0,45
190;-4;Русский Ипотечный Банк;1968;Москва и обл.;14 129 853,00;14 397 855,00;-268 002,00;-1,86
191;3;Прио-Внешторгбанк;212;Рязанская обл.;13 960 296,00;13 803 861,00;156 435,00;1,13
192;-3;Морской Банк;77;Москва и обл.;13 699 719,00;14 186 183,00;-486 464,00;-3,43
193;5;Гранд Инвест Банк;3053;Москва и обл.;13 628 632,00;12 792 918,00;835 714,00;6,53
194;7;Банк ВВБ;1093;Севастополь;13 217 429,00;12 247 695,00;969 734,00;7,92
195;1;КС Банк;1752;Мордовия;12 911 516,00;12 930 898,00;-19 382,00;-0,15
196;1;Нижневолжский Коммерческий Банк;931;Саратовская обл.;12 508 884,00;12 914 641,00;-405 757,00;-3,14
197;-29;Инбанк;1829;Москва и обл.;12 222 626,00;17 417 837,00;-5 195 211,00;-29,83
198;2;Агросоюз;1459;Москва и обл.;12 090 467,00;12 270 515,00;-180 048,00;-1,47
199;6;ТЭМБР-Банк;2764;Москва и обл.;12 052 749,00;11 851 360,00;201 389,00;1,70
200;2;Русьуниверсалбанк;3293;Москва и обл.;11 938 891,00;12 137 567,00;-198 676,00;-1,64
201;6;НИКО-Банк;702;Оренбургская обл.;11 848 815,00;11 722 882,00;125 933,00;1,07
202;6;Первомайский;518;Краснодарский край;11 679 240,00;11 493 364,00;185 876,00;1,62
203;6;Датабанк;646;Удмуртия;11 599 618,00;11 477 086,00;122 532,00;1,07
204;-1;Тройка-Д Банк;3431;Москва и обл.;11 458 824,00;12 066 677,00;-607 853,00;-5,04
205;1;Солид Банк;1329;Камчатская обл.;11 292 966,00;11 777 046,00;-484 080,00;-4,11
206;5;Российская Финансовая Корпорация;3099;Москва и обл.;11 214 992,00;11 207 411,00;7 581,00;0,07
207;-3;Ури Банк;3479;Москва и обл.;11 191 534,00;11 959 858,00;-768 324,00;-6,42
208;-13;Национальная Факторинговая Компания;3437;Москва и обл.;11 056 047,00;13 376 682,00;-2 320 635,00;-17,35
209;5;Русский Торговый Банк;2842;Москва и обл.;11 011 481,00;10 756 427,00;255 054,00;2,37
210;2;Таатта;1249;Саха (Якутия);10 823 173,00;11 146 071,00;-322 898,00;-2,90
211;7;Ассоциация;732;Нижегородская обл.;10 794 267,00;10 546 838,00;247 429,00;2,35
212;4;Новопокровский;467;Краснодарский край;10 480 968,00;10 693 698,00;-212 730,00;-1,99
213;-3;Современный Коммерческий Инновационный Банк;3329;Костромская обл.;10 368 499,00;11 264 014,00;-895 515,00;-7,95
214;1;Нефтяной Альянс;2859;Москва и обл.;10 302 676,00;10 750 675,00;-447 999,00;-4,17
215;-2;Морган Стэнли Банк;3456;Москва и обл.;10 295 119,00;10 839 306,00;-544 187,00;-5,02
216;-17;Киви Банк;2241;Москва и обл.;10 221 637,00;12 470 944,00;-2 249 307,00;-18,04
217;5;Юг-Инвестбанк;2772;Краснодарский край;10 186 420,00;10 048 210,00;138 210,00;1,38
218;-1;Банк Жилищного Финансирования;3138;Москва и обл.;10 163 171,00;10 680 888,00;-517 717,00;-4,85
219;0;Банк Оренбург;3269;Оренбургская обл.;10 151 617,00;10 479 674,00;-328 057,00;-3,13
220;5;Снежинский;1376;Челябинская обл.;9 871 153,00;9 770 196,00;100 957,00;1,03
221;3;Торговый Городской Банк;3180;Москва и обл.;9 738 223,00;9 790 380,00;-52 157,00;-0,53
222;1;Екатеринбург;3161;Свердловская обл.;9 487 146,00;9 912 465,00;-425 319,00;-4,29
223;-2;Модульбанк;1927;Костромская обл.;9 434 868,00;10 055 717,00;-620 849,00;-6,17
224;-4;Промтрансбанк;2638;Башкортостан;9 431 703,00;10 109 765,00;-678 062,00;-6,71
225;2;Автоторгбанк;2776;Москва и обл.;9 397 212,00;9 297 154,00;100 058,00;1,08
226;35;Банк Раунд;2506;Москва и обл.;9 251 216,00;6 916 989,00;2 334 227,00;33,75
227;3;Нефтепромбанк;2156;Москва и обл.;9 146 914,00;9 078 022,00;68 892,00;0,76
228;10;Енисей;474;Красноярский край;9 125 246,00;8 335 698,00;789 548,00;9,47
229;-1;СИАБ;3245;Санкт-Петербург и обл.;9 095 339,00;9 226 721,00;-131 382,00;-1,42
230;-4;Энергомашбанк;52;Санкт-Петербург и обл.;8 953 004,00;9 306 657,00;-353 653,00;-3,80
231;0;Анкор Банк;889;Татарстан;8 941 569,00;8 856 940,00;84 629,00;0,96
232;5;Эксперт Банк;2949;Омская обл.;8 861 611,00;8 432 115,00;429 496,00;5,09
233;1;РусЮгбанк;2093;Волгоградская обл.;8 711 854,00;8 549 819,00;162 035,00;1,90
234;1;Славия;2664;Москва и обл.;8 603 566,00;8 513 173,00;90 393,00;1,06
235;1;Московский Нефтехимический Банк;1411;Москва и обл.;8 363 466,00;8 461 873,00;-98 407,00;-1,16
236;10;Томскпромстройбанк;1720;Томская обл.;8 192 565,00;7 885 708,00;306 857,00;3,89
237;8;Кранбанк;2271;Ивановская обл.;8 171 607,00;8 009 035,00;162 572,00;2,03
238;3;Трансстройбанк;2807;Москва и обл.;8 148 460,00;8 271 977,00;-123 517,00;-1,49
239;14;НБК-Банк;3283;Москва и обл.;8 088 950,00;7 487 828,00;601 122,00;8,03
240;4;Союзный;3236;Москва и обл.;8 050 146,00;8 046 256,00;3 890,00;0,05
241;1;Ставропольпромстройбанк;1288;Ставропольский край;8 018 145,00;8 098 596,00;-80 451,00;-0,99
242;-9;Воронеж;654;Воронежская обл.;8 012 904,00;8 646 746,00;-633 842,00;-7,33
243;-4;Вокбанк;312;Нижегородская обл.;7 971 275,00;8 307 130,00;-335 855,00;-4,04
244;8;Банк на Гончарной (бывш. Япы Креди Банк Москва);2555;Москва и обл.;7 828 533,00;7 536 900,00;291 633,00;3,87
245;-2;Северный Кредит;2398;Вологодская обл.;7 796 346,00;8 075 280,00;-278 934,00;-3,45
246;-6;МС Банк Рус;2789;Москва и обл.;7 777 455,00;8 288 668,00;-511 213,00;-6,17
247;-15;Северо-Восточный Альянс;2768;Москва и обл.;7 755 706,00;8 816 250,00;-1 060 544,00;-12,03
248;0;Мосуралбанк;2468;Москва и обл.;7 610 297,00;7 619 706,00;-9 409,00;-0,12
249;23;Альба Альянс;2593;Москва и обл.;7 560 569,00;6 542 860,00;1 017 709,00;15,55
250;6;Белгородсоцбанк;760;Белгородская обл.;7 513 155,00;7 254 622,00;258 533,00;3,56
251;-4;Реалист Банк;1067;Иркутская обл.;7 485 606,00;7 863 450,00;-377 844,00;-4,81
252;-1;Азия-Инвест Банк;3303;Москва и обл.;7 441 454,00;7 579 935,00;-138 481,00;-1,83
253;6;Консервативный Коммерческий Банк;1087;Астраханская обл.;7 432 336,00;7 104 554,00;327 782,00;4,61
254;-4;Актив Банк;2529;Мордовия;7 421 592,00;7 617 293,00;-195 701,00;-2,57
