Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Октябрь, 2015, тыс. рублей;Сентябрь, 2015, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;22 582 271 547,00;22 167 983 555,00;414 287 992,00;1,87
2;0;ВТБ;1000;Санкт-Петербург и обл.;8 635 881 358,00;8 729 926 680,00;-94 045 322,00;-1,08
3;0;Газпромбанк;354;Москва и обл.;4 903 223 702,00;5 017 179 104,00;-113 955 402,00;-2,27
4;0;Банк Открытие;2209;Москва и обл.;2 971 672 984,00;2 989 478 663,00;-17 805 679,00;-0,60
5;0;ВТБ 24;1623;Москва и обл.;2 824 182 986,00;2 875 640 221,00;-51 457 235,00;-1,79
6;0;Россельхозбанк;3349;Москва и обл.;2 452 473 590,00;2 358 401 414,00;94 072 176,00;3,99
7;0;Альфа-Банк;1326;Москва и обл.;2 189 943 079,00;2 215 195 014,00;-25 251 935,00;-1,14
8;0;БМ-Банк;2748;Москва и обл.;1 832 625 047,00;1 854 764 947,00;-22 139 900,00;-1,19
9;0;Национальный Клиринговый Центр;3466;Москва и обл.;1 571 338 143,00;1 439 575 028,00;131 763 115,00;9,15
10;0;ЮниКредит Банк;1;Москва и обл.;1 383 425 064,00;1 370 002 045,00;13 423 019,00;0,98
11;0;Промсвязьбанк;3251;Москва и обл.;1 237 033 623,00;1 206 638 025,00;30 395 598,00;2,52
12;1;Московский Кредитный Банк;1978;Москва и обл.;1 033 392 084,00;875 564 875,00;157 827 209,00;18,03
13;1;Росбанк;2272;Москва и обл.;901 581 883,00;857 645 131,00;43 936 752,00;5,12
14;-2;Райффайзенбанк;3292;Москва и обл.;890 757 447,00;900 792 663,00;-10 035 216,00;-1,11
15;0;Бинбанк;323;Москва и обл.;701 265 591,00;663 311 713,00;37 953 878,00;5,72
16;0;Ханты-Мансийский банк Открытие;1971;Москва и обл.;622 828 733,00;618 748 493,00;4 080 240,00;0,66
17;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;552 125 308,00;570 621 715,00;-18 496 407,00;-3,24
18;1;Россия;328;Санкт-Петербург и обл.;529 951 922,00;522 510 770,00;7 441 152,00;1,42
19;-1;Ак Барс;2590;Татарстан;525 728 825,00;524 392 552,00;1 336 273,00;0,25
20;2;Ситибанк;2557;Москва и обл.;497 338 587,00;410 682 360,00;86 656 227,00;21,10
21;-1;Русский Стандарт;2289;Москва и обл.;490 682 377,00;500 653 490,00;-9 971 113,00;-1,99
22;-1;Московский Областной Банк;1751;Москва и обл.;453 205 648,00;425 203 336,00;28 002 312,00;6,59
23;5;Совкомбанк;963;Костромская обл.;452 425 279,00;350 877 876,00;101 547 403,00;28,94
24;-1;ИНГ Банк;2495;Москва и обл.;388 884 127,00;408 879 214,00;-19 995 087,00;-4,89
25;-1;Связь-Банк;1470;Москва и обл.;383 348 193,00;391 321 688,00;-7 973 495,00;-2,04
26;-1;Нордеа Банк;3016;Москва и обл.;373 030 816,00;374 081 503,00;-1 050 687,00;-0,28
27;0;Банк Уралсиб;30;Москва и обл.;356 812 048,00;361 971 474,00;-5 159 426,00;-1,43
28;-2;МДМ Банк;2562;Москва и обл.;352 106 395,00;362 081 937,00;-9 975 542,00;-2,76
29;0;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;350 182 655,00;346 389 684,00;3 792 971,00;1,10
30;0;Траст;3279;Москва и обл.;344 015 667,00;344 033 282,00;-17 615,00;-0,01
31;4;Рост Банк;2888;Москва и обл.;342 543 106,00;282 704 199,00;59 838 907,00;21,17
32;1;Югра;880;Ханты-Мансийский АО — Югра;315 241 600,00;302 709 885,00;12 531 715,00;4,14
33;-1;Глобэкс;1942;Москва и обл.;300 077 075,00;307 252 829,00;-7 175 754,00;-2,34
34;-3;Новикомбанк;2546;Москва и обл.;299 843 698,00;331 194 603,00;-31 350 905,00;-9,47
