Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Октябрь, 2015, тыс. рублей;Сентябрь, 2015, тыс. рублей;Изменение, тыс. рублей;Изменение, %
35;-1;СМП Банк;3368;Москва и обл.;299 363 805,00;299 760 895,00;-397 090,00;-0,13
36;0;Банк Зенит;3255;Москва и обл.;285 838 355,00;279 409 811,00;6 428 544,00;2,30
37;1;Внешпромбанк;3261;Москва и обл.;276 070 291,00;269 684 467,00;6 385 824,00;2,37
38;-1;Хоум Кредит Банк;316;Москва и обл.;272 363 459,00;273 440 736,00;-1 077 277,00;-0,39
39;0;Абсолют Банк;2306;Москва и обл.;259 524 105,00;267 628 675,00;-8 104 570,00;-3,03
40;0;Банк ДОМ.РФ;2312;Москва и обл.;257 143 127,00;259 511 397,00;-2 368 270,00;-0,91
41;0;Восточный Банк;1460;Амурская обл.;227 193 003,00;226 679 462,00;513 541,00;0,23
42;0;Возрождение;1439;Москва и обл.;217 672 944,00;225 066 682,00;-7 393 738,00;-3,29
43;0;Московский Индустриальный Банк;912;Москва и обл.;213 442 224,00;212 819 915,00;622 309,00;0,29
44;0;Татфондбанк;3058;Татарстан;190 138 092,00;187 934 248,00;2 203 844,00;1,17
45;0;Транскапиталбанк;2210;Москва и обл.;184 168 848,00;177 724 739,00;6 444 109,00;3,63
46;2;МТС Банк;2268;Москва и обл.;173 346 829,00;165 965 679,00;7 381 150,00;4,45
47;-1;ОТП Банк;2766;Москва и обл.;169 405 081,00;170 864 395,00;-1 459 314,00;-0,85
48;4;Пересвет;2110;Москва и обл.;166 868 652,00;154 984 745,00;11 883 907,00;7,67
49;1;РосЕвроБанк;3137;Москва и обл.;157 652 395,00;156 982 128,00;670 267,00;0,43
50;-1;Кредит Европа Банк;3311;Москва и обл.;153 491 263,00;163 295 680,00;-9 804 417,00;-6,00
51;2;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;149 073 327,00;148 947 475,00;125 852,00;0,08
52;2;МСП Банк;3340;Москва и обл.;145 433 507,00;145 897 382,00;-463 875,00;-0,32
53;3;ДельтаКредит;3338;Москва и обл.;144 138 051,00;139 321 914,00;4 816 137,00;3,46
54;1;Ренессанс Кредит;3354;Москва и обл.;143 079 111,00;141 870 971,00;1 208 140,00;0,85
55;-8;Тинькофф Банк;2673;Москва и обл.;139 406 292,00;166 723 570,00;-27 317 278,00;-16,38
56;3;СКБ-Банк;705;Свердловская обл.;138 597 953,00;123 663 597,00;14 934 356,00;12,08
57;-6;Национальный Расчетный Депозитарий;3294;Москва и обл.;138 514 802,00;155 024 641,00;-16 509 839,00;-10,65
58;-1;Авангард;2879;Москва и обл.;134 246 706,00;138 021 253,00;-3 774 547,00;-2,73
59;1;Международный Финансовый Клуб;2618;Москва и обл.;129 556 863,00;121 000 555,00;8 556 308,00;7,07
60;1;РГС Банк;3073;Москва и обл.;125 510 751,00;119 908 512,00;5 602 239,00;4,67
61;-3;Сургутнефтегазбанк;588;Ханты-Мансийский АО — Югра;125 424 859,00;129 253 495,00;-3 828 636,00;-2,96
62;1;Инвестторгбанк;2763;Москва и обл.;118 620 712,00;112 386 204,00;6 234 508,00;5,55
63;-1;БНП Париба Банк;3407;Москва и обл.;115 868 864,00;117 430 143,00;-1 561 279,00;-1,33
64;28;Экспресс-Волга;3085;Саратовская обл.;114 655 388,00;57 525 966,00;57 129 422,00;99,31
65;-1;Русфинанс Банк;1792;Самарская обл.;108 870 647,00;108 203 344,00;667 303,00;0,62
66;0;Сетелем Банк;2168;Москва и обл.;107 236 193,00;104 214 042,00;3 022 151,00;2,90
67;3;Локо-Банк;2707;Москва и обл.;101 359 542,00;96 149 350,00;5 210 192,00;5,42
68;-3;Запсибкомбанк;918;Тюменская обл.;100 264 605,00;107 514 012,00;-7 249 407,00;-6,74
69;0;Интеркоммерц Банк;1657;Москва и обл.;99 025 510,00;97 774 069,00;1 251 441,00;1,28
70;-2;Балтийский Банк;128;Санкт-Петербург и обл.;97 881 106,00;98 756 979,00;-875 873,00;-0,89
71;-4;ЦентроКредит;121;Москва и обл.;97 488 822,00;100 070 734,00;-2 581 912,00;-2,58
72;1;Союз;2307;Москва и обл.;94 540 417,00;91 014 459,00;3 525 958,00;3,87
73;1;Банк БФА;3038;Санкт-Петербург и обл.;93 656 498,00;90 990 213,00;2 666 285,00;2,93
74;1;Дойче Банк;3328;Москва и обл.;91 293 292,00;88 868 897,00;2 424 395,00;2,73
75;-3;Центр-инвест;2225;Ростовская обл.;91 210 038,00;93 162 115,00;-1 952 077,00;-2,10
76;1;Всероссийский Банк Развития Регионов;3287;Москва и обл.;89 640 999,00;85 585 461,00;4 055 538,00;4,74
77;-1;РосинтерБанк;226;Москва и обл.;87 048 729,00;86 115 831,00;932 898,00;1,08
78;-7;Эйч-Эс-Би-Си Банк (HSBC);3290;Москва и обл.;83 636 336,00;96 121 701,00;-12 485 365,00;-12,99
79;0;Балтинвестбанк;3176;Санкт-Петербург и обл.;80 212 470,00;80 774 052,00;-561 582,00;-0,70
80;1;Бинбанк Диджитал;2827;Москва и обл.;79 047 935,00;77 758 358,00;1 289 577,00;1,66
81;-3;Банк Интеза;2216;Москва и обл.;78 699 214,00;83 027 188,00;-4 327 974,00;-5,21
82;0;Таврический Банк;2304;Санкт-Петербург и обл.;78 620 527,00;77 303 120,00;1 317 407,00;1,70
83;-3;Нота-Банк;2913;Москва и обл.;76 126 179,00;77 827 551,00;-1 701 372,00;-2,19
84;-1;Металлинвестбанк;2440;Москва и обл.;74 805 012,00;76 080 898,00;-1 275 886,00;-1,68
85;0;Креди Агриколь КИБ;1680;Санкт-Петербург и обл.;71 805 828,00;68 656 072,00;3 149 756,00;4,59
86;-2;Военно-Промышленный Банк;3065;Москва и обл.;71 627 277,00;71 341 396,00;285 881,00;0,40
87;-1;Банк Финсервис;3388;Москва и обл.;69 701 200,00;67 518 668,00;2 182 532,00;3,23
88;-1;Почта Банк;650;Москва и обл.;68 398 724,00;65 480 166,00;2 918 558,00;4,46
89;-1;Экспобанк;2998;Москва и обл.;64 794 349,00;60 409 971,00;4 384 378,00;7,26
90;-1;Кубань Кредит;2518;Краснодарский край;61 702 320,00;60 168 869,00;1 533 451,00;2,55
91;0;Финпромбанк (ФПБ Банк);2157;Москва и обл.;60 760 012,00;58 126 312,00;2 633 700,00;4,53
92;-2;БФГ-Кредит;3068;Москва и обл.;60 691 460,00;58 321 947,00;2 369 513,00;4,06
93;6;Образование;1521;Москва и обл.;58 586 080,00;54 739 913,00;3 846 167,00;7,03
94;8;Аверс;415;Татарстан;57 390 620,00;51 191 352,00;6 199 268,00;12,11
95;-1;РНКБ;1354;Симферополь;57 356 413,00;56 660 956,00;695 457,00;1,23
96;-3;Росэнергобанк;2211;Москва и обл.;56 959 523,00;57 220 448,00;-260 925,00;-0,46
97;1;АйСиБиСи Банк;3475;Москва и обл.;55 028 481,00;54 910 926,00;117 555,00;0,21
98;-3;Юниаструм Банк;2771;Москва и обл.;54 847 589,00;55 603 734,00;-756 145,00;-1,36
99;-2;Международный Банк Санкт-Петербурга (МБСП);197;Санкт-Петербург и обл.;53 780 932,00;55 114 924,00;-1 333 992,00;-2,42
100;10;Меткомбанк (Каменск-Уральский);2443;Свердловская обл.;53 429 440,00;44 258 573,00;9 170 867,00;20,72
101;5;Коммерцбанк (Евразия);3333;Москва и обл.;52 407 051,00;47 084 555,00;5 322 496,00;11,30
102;28;Бэнк оф Чайна;2309;Москва и обл.;52 130 705,00;35 833 818,00;16 296 887,00;45,48
103;-7;Первобанк;3461;Самарская обл.;51 038 593,00;55 521 308,00;-4 482 715,00;-8,07
104;-4;Тойота Банк;3470;Москва и обл.;50 967 258,00;53 439 592,00;-2 472 334,00;-4,63
105;-1;Межтопэнергобанк;2956;Москва и обл.;50 298 569,00;49 527 834,00;770 735,00;1,56
106;-5;Национальный Стандарт;3421;Москва и обл.;50 134 141,00;51 691 676,00;-1 557 535,00;-3,01
107;-2;Фора-Банк;1885;Москва и обл.;48 606 950,00;49 193 661,00;-586 711,00;-1,19
108;0;СДМ-Банк;1637;Москва и обл.;46 653 872,00;45 286 196,00;1 367 676,00;3,02
109;-2;МБА-Москва;3395;Москва и обл.;46 539 149,00;45 880 213,00;658 936,00;1,44
110;-1;РН Банк;170;Москва и обл.;44 947 529,00;44 503 936,00;443 593,00;1,00
111;44;Газэнергобанк;3252;Калужская обл.;44 424 421,00;27 658 393,00;16 766 028,00;60,62
112;-9;Сумитомо Мицуи Рус Банк;3494;Москва и обл.;42 851 057,00;49 647 966,00;-6 796 909,00;-13,69
113;-1;ББР Банк;2929;Москва и обл.;42 222 499,00;43 217 171,00;-994 672,00;-2,30
114;1;Челиндбанк;485;Челябинская обл.;41 605 623,00;41 595 363,00;10 260,00;0,02
115;-4;Крайинвестбанк;3360;Краснодарский край;41 244 481,00;43 899 052,00;-2 654 571,00;-6,05
116;1;Русстройбанк;3205;Москва и обл.;41 139 735,00;40 157 847,00;981 888,00;2,45
117;-4;Челябинвестбанк;493;Челябинская обл.;41 071 724,00;42 291 568,00;-1 219 844,00;-2,88
118;5;Меткомбанк (Череповец);901;Вологодская обл.;41 045 732,00;38 377 393,00;2 668 339,00;6,95
119;3;Примсоцбанк;2733;Приморский край;40 544 289,00;39 573 885,00;970 404,00;2,45
120;-4;Интерпрогрессбанк;600;Москва и обл.;39 758 523,00;40 216 195,00;-457 672,00;-1,14
121;0;Банк РСБ 24 (Русславбанк);1073;Москва и обл.;39 511 983,00;39 623 252,00;-111 269,00;-0,28
122;3;Фольксваген Банк Рус;3500;Москва и обл.;39 438 124,00;38 234 373,00;1 203 751,00;3,15
123;-4;ПЧРБ Банк;3291;Москва и обл.;39 070 788,00;39 909 312,00;-838 524,00;-2,10
124;-6;Русский Международный Банк;3123;Москва и обл.;38 844 202,00;40 031 942,00;-1 187 740,00;-2,97
125;3;НС Банк;3124;Москва и обл.;38 731 348,00;36 352 692,00;2 378 656,00;6,54
126;-2;Левобережный;1343;Новосибирская обл.;38 363 800,00;38 328 652,00;35 148,00;0,09
127;-13;Интерпромбанк;3266;Москва и обл.;38 170 075,00;41 727 417,00;-3 557 342,00;-8,53
128;-1;Кольцо Урала;65;Свердловская обл.;37 312 640,00;37 255 189,00;57 451,00;0,15
129;-3;БКС Банк;101;Новосибирская обл.;37 223 424,00;37 301 286,00;-77 862,00;-0,21
130;-1;Саровбизнесбанк;2048;Нижегородская обл.;36 203 541,00;36 061 603,00;141 938,00;0,39
131;-11;Еврофинанс Моснарбанк;2402;Москва и обл.;35 029 533,00;39 712 867,00;-4 683 334,00;-11,79
132;7;Росэксимбанк;2790;Москва и обл.;34 903 835,00;31 296 465,00;3 607 370,00;11,53
133;1;Банк «Советский»;558;Санкт-Петербург и обл.;34 388 584,00;34 636 566,00;-247 982,00;-0,72
134;12;Московское Ипотечное Агентство;3344;Москва и обл.;33 822 368,00;29 058 263,00;4 764 105,00;16,40
135;-4;Собинбанк;1317;Москва и обл.;33 340 731,00;35 150 185,00;-1 809 454,00;-5,15
136;39;Банк Кредит Свисс;2494;Москва и обл.;32 904 989,00;21 785 633,00;11 119 356,00;51,04
137;-1;М2М Прайвет Банк;1414;Москва и обл.;32 823 479,00;32 196 886,00;626 593,00;1,95
138;-5;Севергазбанк;2816;Вологодская обл.;32 471 045,00;34 908 152,00;-2 437 107,00;-6,98
139;-2;Кедр;1574;Красноярский край;31 894 825,00;32 084 168,00;-189 343,00;-0,59
140;-2;Держава;2738;Москва и обл.;31 816 475,00;31 979 081,00;-162 606,00;-0,51
141;-6;Приморье;3001;Приморский край;31 193 647,00;32 411 379,00;-1 217 732,00;-3,76
142;0;БыстроБанк;1745;Удмуртия;30 565 424,00;30 154 817,00;410 607,00;1,36
143;-2;Интехбанк;2705;Татарстан;30 491 623,00;30 221 256,00;270 367,00;0,89
144;1;Тольяттихимбанк;2507;Самарская обл.;30 440 783,00;29 392 231,00;1 048 552,00;3,57
145;-5;Дальневосточный Банк;843;Приморский край;30 022 882,00;31 004 829,00;-981 947,00;-3,17
146;-14;Натиксис Банк;3390;Москва и обл.;29 905 059,00;35 089 454,00;-5 184 395,00;-14,77
147;2;Мерседес-Бенц Банк Рус;3473;Москва и обл.;29 780 560,00;28 323 732,00;1 456 828,00;5,14
148;-5;Связной Банк;1961;Москва и обл.;29 265 697,00;30 052 431,00;-786 734,00;-2,62
149;1;Балтика;967;Москва и обл.;28 673 720,00;28 062 943,00;610 777,00;2,18
150;-2;Модульбанк;1927;Костромская обл.;28 031 973,00;28 721 876,00;-689 903,00;-2,40
151;6;АйМаниБанк;1975;Москва и обл.;27 523 963,00;27 167 020,00;356 943,00;1,31
152;1;Газбанк;2316;Самарская обл.;27 399 518,00;27 839 431,00;-439 913,00;-1,58
153;-2;Экспо Финанс;2594;Москва и обл.;27 214 524,00;27 973 108,00;-758 584,00;-2,71
154;2;ОФК Банк;2270;Москва и обл.;27 163 971,00;27 170 416,00;-6 445,00;-0,02
155;-11;Москоммерцбанк;3365;Москва и обл.;26 708 751,00;29 749 190,00;-3 040 439,00;-10,22
156;-4;Девон-Кредит;1972;Татарстан;26 666 792,00;27 852 570,00;-1 185 778,00;-4,26
157;1;Акибанк;2587;Татарстан;26 425 486,00;26 278 627,00;146 859,00;0,56
158;-11;Кредит Урал Банк;2584;Челябинская обл.;26 112 317,00;29 016 222,00;-2 903 905,00;-10,01
159;0;Липецккомбанк;1242;Липецкая обл.;26 004 263,00;26 078 006,00;-73 743,00;-0,28
160;1;Генбанк;2490;Москва и обл.;25 398 367,00;24 991 923,00;406 444,00;1,63
161;-1;АктивКапитал Банк;3006;Самарская обл.;25 272 509,00;25 608 268,00;-335 759,00;-1,31
162;0;Тимер Банк;1581;Татарстан;25 233 344,00;24 874 842,00;358 502,00;1,44
163;1;Морской Банк;77;Москва и обл.;24 956 373,00;24 408 494,00;547 879,00;2,24
164;6;Объединенный Капитал;2611;Санкт-Петербург и обл.;24 848 805,00;22 814 357,00;2 034 448,00;8,92
165;0;Агропромкредит;2880;Москва и обл.;24 674 494,00;24 352 385,00;322 109,00;1,32
166;33;Ишбанк;2867;Москва и обл.;24 225 700,00;16 690 918,00;7 534 782,00;45,14
167;0;Легион;3117;Москва и обл.;24 176 233,00;23 503 061,00;673 172,00;2,86
168;0;Алмазэргиэнбанк;2602;Саха (Якутия);23 300 394,00;23 432 345,00;-131 951,00;-0,56
169;0;Спурт Банк;2207;Татарстан;22 968 004,00;23 186 363,00;-218 359,00;-0,94
170;-4;Урал ФД;249;Пермская обл.;22 948 316,00;23 661 044,00;-712 728,00;-3,01
171;5;Квантмобайл Банк;1189;Москва и обл.;22 784 845,00;21 770 702,00;1 014 143,00;4,66
172;5;СтарБанк;548;Москва и обл.;22 384 801,00;21 727 015,00;657 786,00;3,03
173;-1;Солидарность;554;Самарская обл.;22 366 242,00;22 516 018,00;-149 776,00;-0,67
174;-11;Платежный Центр;3166;Новосибирская обл.;22 276 247,00;24 514 495,00;-2 238 248,00;-9,13
175;3;Ланта-Банк;1920;Москва и обл.;22 038 944,00;21 114 244,00;924 700,00;4,38
176;-2;Альта-Банк;2269;Москва и обл.;22 004 731,00;21 991 433,00;13 298,00;0,06
177;-4;ФИА-Банк;2542;Самарская обл.;21 496 952,00;22 266 001,00;-769 049,00;-3,45
178;9;Банк Город;2644;Москва и обл.;21 016 716,00;19 014 769,00;2 001 947,00;10,53
179;4;Нацинвестпромбанк;3077;Москва и обл.;20 952 021,00;20 194 692,00;757 329,00;3,75
180;-1;Морган Стэнли Банк;3456;Москва и обл.;20 765 900,00;21 002 972,00;-237 072,00;-1,13
181;1;Энергобанк;67;Татарстан;20 482 910,00;20 380 171,00;102 739,00;0,50
182;-28;Чайна Констракшн;3515;Москва и обл.;20 452 058,00;27 736 145,00;-7 284 087,00;-26,26
183;1;НБД-Банк;1966;Нижегородская обл.;20 397 837,00;20 144 804,00;253 033,00;1,26
184;-13;СЭБ Банк;3235;Санкт-Петербург и обл.;20 350 276,00;22 733 059,00;-2 382 783,00;-10,48
185;-4;Энерготрансбанк;1307;Калининградская обл.;20 282 746,00;20 399 193,00;-116 447,00;-0,57
186;-6;Денизбанк Москва;3330;Москва и обл.;20 086 867,00;20 858 199,00;-771 332,00;-3,70
187;41;Ури Банк;3479;Москва и обл.;20 065 412,00;13 435 185,00;6 630 227,00;49,35
188;5;БМВ Банк;3482;Москва и обл.;19 193 048,00;17 604 444,00;1 588 604,00;9,02
189;38;Социнвестбанк;1132;Башкортостан;19 175 458,00;13 675 324,00;5 500 134,00;40,22
190;-2;Курскпромбанк;735;Курская обл.;19 075 444,00;18 773 107,00;302 337,00;1,61
191;0;Расчетно-Кредитный Банк;103;Москва и обл.;18 762 667,00;18 454 405,00;308 262,00;1,67
192;0;Роскомснаббанк (бывш. Башкомснаббанк);1398;Башкортостан;18 626 760,00;18 276 985,00;349 775,00;1,91
193;-7;Алеф-Банк;2119;Москва и обл.;18 575 306,00;19 663 547,00;-1 088 241,00;-5,53
194;-4;Рублев;3098;Москва и обл.;18 386 523,00;18 479 469,00;-92 946,00;-0,50
195;2;Аресбанк;2914;Москва и обл.;17 113 776,00;17 066 656,00;47 120,00;0,28
196;-1;Развитие-Столица;3013;Москва и обл.;17 099 357,00;17 239 013,00;-139 656,00;-0,81
197;-8;Данске Банк;3307;Санкт-Петербург и обл.;16 761 758,00;18 481 706,00;-1 719 948,00;-9,31
198;0;Хлынов;254;Кировская обл.;16 724 827,00;16 731 153,00;-6 326,00;-0,04
199;9;Джей энд Ти Банк;3061;Москва и обл.;16 493 560,00;15 682 808,00;810 752,00;5,17
200;-4;Русский Ипотечный Банк;1968;Москва и обл.;16 427 591,00;17 183 932,00;-756 341,00;-4,40
201;-1;Петербургский Социальный Коммерческий Банк;2551;Санкт-Петербург и обл.;16 370 487,00;16 145 426,00;225 061,00;1,39
202;3;Уралтрансбанк;812;Свердловская обл.;15 887 855,00;15 858 381,00;29 474,00;0,19
203;-1;НК Банк;2755;Москва и обл.;15 821 231,00;16 094 553,00;-273 322,00;-1,70
204;-1;Инвесткапиталбанк;2377;Башкортостан;15 810 781,00;16 007 067,00;-196 286,00;-1,23
205;2;Гарант-Инвест;2576;Москва и обл.;15 779 830,00;15 807 605,00;-27 775,00;-0,18
206;0;Гранд Инвест Банк;3053;Москва и обл.;15 779 542,00;15 840 743,00;-61 201,00;-0,39
207;9;Росавтобанк;2767;Москва и обл.;15 587 842,00;14 789 594,00;798 248,00;5,40
208;-4;РосДорБанк;1573;Москва и обл.;15 509 497,00;15 860 798,00;-351 301,00;-2,21
209;1;Форштадт;2208;Оренбургская обл.;15 457 366,00;15 576 260,00;-118 894,00;-0,76
210;4;Темпбанк;55;Москва и обл.;15 435 164,00;14 895 097,00;540 067,00;3,63
211;2;Национальный Резервный Банк;2170;Москва и обл.;15 406 492,00;15 008 402,00;398 090,00;2,65
212;-3;Центркомбанк;2983;Москва и обл.;15 347 802,00;15 591 719,00;-243 917,00;-1,56
213;-12;Норвик Банк;902;Кировская обл.;15 282 634,00;16 103 693,00;-821 059,00;-5,10
214;-2;Тройка-Д Банк;3431;Москва и обл.;15 206 074,00;15 121 205,00;84 869,00;0,56
215;3;ТЭМБР-Банк;2764;Москва и обл.;15 104 651,00;14 579 244,00;525 407,00;3,60
216;-5;Дил-Банк;3384;Москва и обл.;14 971 777,00;15 172 814,00;-201 037,00;-1,32
217;0;ВУЗ-Банк;1557;Свердловская обл.;14 922 434,00;14 625 225,00;297 209,00;2,03
218;-3;Банк Акцепт;567;Новосибирская обл.;14 828 485,00;14 873 265,00;-44 780,00;-0,30
219;0;Стратегия;2801;Москва и обл.;14 789 482,00;14 484 477,00;305 005,00;2,11
220;4;Бенифит-Банк;3229;Москва и обл.;14 623 273,00;13 990 233,00;633 040,00;4,52
221;1;БайкалБанк;2632;Бурятия;14 532 215,00;14 270 440,00;261 775,00;1,83
222;-1;ГПБ-Ипотека;2403;Москва и обл.;14 107 436,00;14 288 469,00;-181 033,00;-1,27
223;2;Экономбанк;1319;Саратовская обл.;13 777 980,00;13 853 097,00;-75 117,00;-0,54
224;-1;Инбанк;1829;Москва и обл.;13 324 401,00;14 159 295,00;-834 894,00;-5,90
225;7;Пойдем!;2534;Москва и обл.;13 224 668,00;12 937 857,00;286 811,00;2,22
226;43;Российская Финансовая Корпорация;3099;Москва и обл.;13 195 544,00;9 556 922,00;3 638 622,00;38,07
227;80;Инвестиционный Республиканский Банк;2571;Москва и обл.;13 129 363,00;7 318 545,00;5 810 818,00;79,40
228;1;ЕвроситиБанк;1869;Москва и обл.;13 107 801,00;13 423 135,00;-315 334,00;-2,35
229;5;Международный Акционерный Банк;1987;Москва и обл.;12 820 969,00;12 881 724,00;-60 755,00;-0,47
230;0;Автоторгбанк;2776;Москва и обл.;12 678 954,00;13 405 820,00;-726 866,00;-5,42
231;6;Финансовый Стандарт;1053;Москва и обл.;12 669 608,00;12 515 284,00;154 324,00;1,23
232;-1;Нефтяной Альянс;2859;Москва и обл.;12 588 604,00;13 102 898,00;-514 294,00;-3,93
233;7;Прио-Внешторгбанк;212;Рязанская обл.;12 567 147,00;12 158 755,00;408 392,00;3,36
234;-1;Национальная Факторинговая Компания;3437;Москва и обл.;12 543 644,00;12 919 815,00;-376 171,00;-2,91
235;-9;Татсоцбанк;480;Татарстан;12 358 936,00;13 847 171,00;-1 488 235,00;-10,75
236;0;Солид Банк;1329;Камчатская обл.;12 140 502,00;12 580 102,00;-439 600,00;-3,49
237;5;Развитие;2729;Карачаево-Черкесия;12 135 344,00;11 842 744,00;292 600,00;2,47
238;1;Солидарность (Москва);1555;Москва и обл.;12 131 111,00;12 164 201,00;-33 090,00;-0,27
239;5;Гаранти Банк — Москва;3275;Москва и обл.;12 088 368,00;11 402 189,00;686 179,00;6,02
240;1;Агросоюз;1459;Москва и обл.;11 978 402,00;11 937 042,00;41 360,00;0,35
241;9;Объединенный Кредитный Банк;1118;Ярославская обл.;11 615 544,00;10 917 378,00;698 166,00;6,39
242;-7;Унифин;2654;Москва и обл.;11 510 062,00;12 767 136,00;-1 257 074,00;-9,85
243;5;Мир Бизнес Банк;3396;Москва и обл.;11 426 817,00;11 177 910,00;248 907,00;2,23
244;2;Первомайский;518;Краснодарский край;11 407 007,00;11 265 374,00;141 633,00;1,26
245;-2;Александровский;53;Санкт-Петербург и обл.;11 379 354,00;11 568 101,00;-188 747,00;-1,63
246;21;Банк на Гончарной (бывш. Япы Креди Банк Москва);2555;Москва и обл.;11 376 593,00;9 765 304,00;1 611 289,00;16,50
247;-2;Еврокоммерц;1777;Москва и обл.;11 277 405,00;11 388 921,00;-111 516,00;-0,98
248;-1;Хованский;2145;Москва и обл.;11 080 103,00;11 244 863,00;-164 760,00;-1,47
249;11;Ренессанс;1939;Москва и обл.;11 066 945,00;10 357 348,00;709 597,00;6,85
250;1;КС Банк;1752;Мордовия;10 939 875,00;10 743 526,00;196 349,00;1,83
251;-31;Русьуниверсалбанк;3293;Москва и обл.;10 834 159,00;14 307 410,00;-3 473 251,00;-24,28
252;4;Русский Торговый Банк;2842;Москва и обл.;10 831 834,00;10 547 181,00;284 653,00;2,70
253;-4;Арксбанк;1868;Москва и обл.;10 811 919,00;11 008 089,00;-196 170,00;-1,78
254;1;Нижневолжский Коммерческий Банк;931;Саратовская обл.;10 733 522,00;10 619 045,00;114 477,00;1,08
255;2;Банк Оренбург;3269;Оренбургская обл.;10 596 709,00;10 514 982,00;81 727,00;0,78
256;-3;Промтрансбанк;2638;Башкортостан;10 575 464,00;10 695 423,00;-119 959,00;-1,12
257;1;Ассоциация;732;Нижегородская обл.;10 543 528,00;10 442 425,00;101 103,00;0,97
