Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Сентябрь, 2015, тыс. рублей;Август, 2015, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;22 167 983 555,00;21 261 487 348,00;906 496 207,00;4,26
2;0;ВТБ;1000;Санкт-Петербург и обл.;8 729 926 680,00;8 286 085 180,00;443 841 500,00;5,36
3;0;Газпромбанк;354;Москва и обл.;5 017 179 104,00;4 719 186 301,00;297 992 803,00;6,31
4;1;Банк Открытие;2209;Москва и обл.;2 989 478 663,00;2 722 533 502,00;266 945 161,00;9,81
5;-1;ВТБ 24;1623;Москва и обл.;2 875 640 221,00;2 743 620 141,00;132 020 080,00;4,81
6;0;Россельхозбанк;3349;Москва и обл.;2 358 401 414,00;2 318 868 034,00;39 533 380,00;1,70
7;0;Альфа-Банк;1326;Москва и обл.;2 215 195 014,00;2 074 947 658,00;140 247 356,00;6,76
8;0;БМ-Банк;2748;Москва и обл.;1 854 764 947,00;1 861 902 005,00;-7 137 058,00;-0,38
9;1;Национальный Клиринговый Центр;3466;Москва и обл.;1 439 575 028,00;1 260 650 241,00;178 924 787,00;14,19
10;-1;ЮниКредит Банк;1;Москва и обл.;1 370 002 045,00;1 279 916 246,00;90 085 799,00;7,04
11;0;Промсвязьбанк;3251;Москва и обл.;1 206 638 025,00;1 086 073 259,00;120 564 766,00;11,10
12;0;Райффайзенбанк;3292;Москва и обл.;900 792 663,00;864 609 263,00;36 183 400,00;4,18
13;1;Московский Кредитный Банк;1978;Москва и обл.;875 564 875,00;831 587 256,00;43 977 619,00;5,29
14;-1;Росбанк;2272;Москва и обл.;857 645 131,00;863 592 781,00;-5 947 650,00;-0,69
15;1;Бинбанк;323;Москва и обл.;663 311 713,00;597 993 933,00;65 317 780,00;10,92
16;-1;Ханты-Мансийский банк Открытие;1971;Москва и обл.;618 748 493,00;649 499 859,00;-30 751 366,00;-4,73
17;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;570 621 715,00;548 954 104,00;21 667 611,00;3,95
18;1;Ак Барс;2590;Татарстан;524 392 552,00;494 308 935,00;30 083 617,00;6,09
19;-1;Россия;328;Санкт-Петербург и обл.;522 510 770,00;520 912 113,00;1 598 657,00;0,31
20;0;Русский Стандарт;2289;Москва и обл.;500 653 490,00;458 098 373,00;42 555 117,00;9,29
21;0;Московский Областной Банк;1751;Москва и обл.;425 203 336,00;412 887 289,00;12 316 047,00;2,98
22;0;Ситибанк;2557;Москва и обл.;410 682 360,00;406 683 730,00;3 998 630,00;0,98
23;7;ИНГ Банк;2495;Москва и обл.;408 879 214,00;294 491 219,00;114 387 995,00;38,84
24;-1;Связь-Банк;1470;Москва и обл.;391 321 688,00;383 475 552,00;7 846 136,00;2,05
25;2;Нордеа Банк;3016;Москва и обл.;374 081 503,00;334 959 502,00;39 122 001,00;11,68
26;-2;МДМ Банк;2562;Москва и обл.;362 081 937,00;359 616 761,00;2 465 176,00;0,69
27;-2;Банк Уралсиб;30;Москва и обл.;361 971 474,00;354 471 685,00;7 499 789,00;2,12
28;1;Совкомбанк;963;Костромская обл.;350 877 876,00;324 610 497,00;26 267 379,00;8,09
29;-1;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;346 389 684,00;333 396 955,00;12 992 729,00;3,90
30;-4;Траст;3279;Москва и обл.;344 033 282,00;338 124 070,00;5 909 212,00;1,75
31;3;Новикомбанк;2546;Москва и обл.;331 194 603,00;278 100 357,00;53 094 246,00;19,09
32;-1;Глобэкс;1942;Москва и обл.;307 252 829,00;293 017 721,00;14 235 108,00;4,86
33;0;Югра;880;Ханты-Мансийский АО — Югра;302 709 885,00;279 233 272,00;23 476 613,00;8,41
34;-2;СМП Банк;3368;Москва и обл.;299 760 895,00;283 350 320,00;16 410 575,00;5,79
35;2;Рост Банк;2888;Москва и обл.;282 704 199,00;267 966 335,00;14 737 864,00;5,50
36;0;Банк Зенит;3255;Москва и обл.;279 409 811,00;271 354 499,00;8 055 312,00;2,97
37;-2;Хоум Кредит Банк;316;Москва и обл.;273 440 736,00;273 176 892,00;263 844,00;0,10
38;0;Внешпромбанк;3261;Москва и обл.;269 684 467,00;265 156 934,00;4 527 533,00;1,71
39;0;Абсолют Банк;2306;Москва и обл.;267 628 675,00;243 294 392,00;24 334 283,00;10,00
40;2;Банк ДОМ.РФ;2312;Москва и обл.;259 511 397,00;210 884 003,00;48 627 394,00;23,06
41;-1;Восточный Банк;1460;Амурская обл.;226 679 462,00;239 524 824,00;-12 845 362,00;-5,36
42;-1;Возрождение;1439;Москва и обл.;225 066 682,00;228 722 547,00;-3 655 865,00;-1,60
43;0;Московский Индустриальный Банк;912;Москва и обл.;212 819 915,00;210 575 085,00;2 244 830,00;1,07
44;0;Татфондбанк;3058;Татарстан;187 934 248,00;191 132 919,00;-3 198 671,00;-1,67
45;0;Транскапиталбанк;2210;Москва и обл.;177 724 739,00;174 797 295,00;2 927 444,00;1,67
46;1;ОТП Банк;2766;Москва и обл.;170 864 395,00;167 195 938,00;3 668 457,00;2,19
47;2;Тинькофф Банк;2673;Москва и обл.;166 723 570,00;156 728 978,00;9 994 592,00;6,38
48;-2;МТС Банк;2268;Москва и обл.;165 965 679,00;168 158 254,00;-2 192 575,00;-1,30
49;-1;Кредит Европа Банк;3311;Москва и обл.;163 295 680,00;159 165 826,00;4 129 854,00;2,59
50;0;РосЕвроБанк;3137;Москва и обл.;156 982 128,00;151 802 940,00;5 179 188,00;3,41
51;8;Национальный Расчетный Депозитарий;3294;Москва и обл.;155 024 641,00;128 903 023,00;26 121 618,00;20,26
52;-1;Пересвет;2110;Москва и обл.;154 984 745,00;145 719 991,00;9 264 754,00;6,36
